Ar+ 0        18         1    127118.1070(1s)
     1 522563524565        (1)0( 0.0)         0.0000    {X}
     2 522563524555517     (3)1( 2.0)    140912.6321    {X}
     3 522563524555517     (3)1( 1.0)    141458.9691    {X}
     4 522563524555517     (3)1( 0.0)    141883.7726    {X}
     5 522563524555517     (1)1( 1.0)    143648.1005    {X}
     6 522563524555518     (3)0( 1.0)    152008.6871    {X}
     7 522563524555518     (3)2( 3.0)    153732.0115    {X}
     8 522563524555518     (3)2( 2.0)    153957.3643    {X}
     9 522563524555518     (3)2( 1.0)    154327.1749    {X}
    10 522563524555518     (1)2( 2.0)    154749.0018    {X}
    11 522563524555518     (1)1( 1.0)    155233.2777    {X}
    12 522563524555518     (3)1( 2.0)    155399.3265    {X}
    13 522563524555518     (3)1( 0.0)    155531.2056    {X}
    14 522563524555518     (3)1( 1.0)    155629.1635    {X}
    15 522563524555516     (3)1( 0.0)    162046.2272    {X}
    16 522563524555516     (3)1( 1.0)    162151.7299    {X}
    17 522563524555516     (3)1( 2.0)    162375.7800    {X}
    18 522563524555516     (3)3( 4.0)    162546.5678    {X}
    19 522563524555516     (3)3( 3.0)    162695.8744    {X}
    20 522563524555516     (3)3( 2.0)    163028.9963    {X}
    21 522563524555516     (1)3( 3.0)    163166.0392    {X}
    22 522563524555516     (3)2( 1.0)    163736.2670    {X}
    23 522563524555516     (1)2( 2.0)    163902.4905    {X}
    24 522563524555516     (3)2( 3.0)    163965.0391    {X}
    25 522563524555516     (3)2( 2.0)    164050.7083    {X}
    26 522563524555516     (1)1( 1.0)    164864.6945    {X}
    27 522563524555518     (1)0( 0.0)    169772.4290    {X}
    28 522563524555519     (3)1( 0.0)    169786.6914    {X}
    29 522563524555519     (3)1( 1.0)    169844.4566    {X}
    30 522563524555519     (3)3( 4.0)    169903.5893    {X}
    31 522563524555519     (3)1( 2.0)    169939.8239    {X}
    32 522563524555519     (3)3( 3.0)    169965.0698    {X}
    33 522563524555519     (1)2( 2.0)    170087.4457    {X}
    34 522563524555519     (3)2( 3.0)    170113.8165    {X}
    35 522563524555519     (3)2( 1.0)    170453.2634    {X}
    36 52256352455551A     (3)2( 1.0)    170700.5778    {X}
    37 52256352455551A     (3)2( 2.0)    170703.2546    {X}
    38 52256352455551A     (3)4( 5.0)    170737.5778    {X}
    39 52256352455551A     (1)4( 4.0)    170738.4258    {X}
    40 52256352455551A     (3)2( 3.0)    170770.3146    {X}
    41 52256352455551A     (1)2( 2.0)    170772.3229    {X}
    42 52256352455551A     (1)3( 3.0)    170808.1757    {X}
    43 52256352455551A     (3)3( 4.0)    170808.5101    {X}
    44 522563524555519     (3)3( 2.0)    170948.9348    {X}
    45 522563524555519     (3)2( 2.0)    170981.3328    {X}
    46 522563524555519     (1)3( 3.0)    170990.0178    {X}
    47 522563524555519     (1)1( 1.0)    171427.1562    {X}
    48 52256352455551A     (3)4( 3.0)    171740.8285    {X}
    49 52256352455551A     (3)4( 4.0)    171741.4993    {X}
    50 52256352455551A     (3)3( 3.0)    171741.7923    {X}
    51 52256352455551A     (3)3( 2.0)    171743.6168    {X}
    52 522563514565517     (3)0( 1.0)    305142.4200    {X}
    53 522563514565517     (1)0( 0.0)    310016.8838    {X}
    54 522563514565518     (3)1( 0.0)    318035.5557    {X}
    55 522563514565518     (3)1( 1.0)    318052.5279    {X}
    56 522563514565518     (3)1( 2.0)    318087.6847    {X}
    57 522563514565518     (1)1( 1.0)    319565.9957    {X}
    58 522563514565516     (3)2( 1.0)    328111.5732    {X}
    59 522563514565516     (3)2( 2.0)    328112.0575    {X}
