Ar+ 7        18         8   1157142.1748(1s)
    1 522563514           (2)0( 0.5)         0.0000    {X}
    2 522563515           (2)1( 0.5)    140897.4339    {X}
    3 522563515           (2)1( 1.5)    143649.0531    {X}
    4 522563516           (2)2( 1.5)    334669.6276    {X}
    5 522563516           (2)2( 2.5)    335141.5897    {X}
    6 522563517           (2)0( 0.5)    576253.1304    {X}
    7 522563518           (2)1( 0.5)    628616.0453    {X}
    8 522563518           (2)1( 1.5)    629640.6289    {X}
    9 522563519           (2)2( 1.5)    698094.2520    {X}
   10 522563519           (2)2( 2.5)    698297.3293    {X}
   11 52256351A           (2)3( 2.5)    717182.6347    {X}
   12 52256351A           (2)3( 3.5)    717247.0632    {X}
   13 522553524           (2)1( 1.5)   2018799.8376    {X}
   14 522553524           (2)1( 0.5)   2035821.5435    {X}
   15 522553514515        (4)0( 1.5)   2101297.9755    {X}
   16 522553514515        (4)2( 3.5)   2115741.4315    {X}
   17 522553514515        (4)2( 2.5)   2117567.3625    {X}
   18 522553514515        (4)2( 1.5)   2120605.1325    {X}
   19 522553514515        (4)2( 0.5)   2124478.9272    {X}
   20 522553514515        (4)1( 2.5)   2128629.8576    {X}
   21 522553514515        (4)1( 1.5)   2131114.7930    {X}
   22 522553514515        (4)1( 0.5)   2135285.0614    {X}
   23 522553514515        (2)2( 1.5)   2140175.3252    {X}
   24 522553514515        (2)1( 0.5)   2141772.7865    {X}
   25 522553514515        (2)2( 2.5)   2145463.9839    {X}
   26 522553514515        (2)1( 1.5)   2146388.9614    {X}
   27 522553514515        (2)0( 0.5)   2162031.9990    {X}
   28 522553514515        (2)2( 2.5)   2195581.4615    {X}
   29 522553514515        (2)1( 1.5)   2202390.2492    {X}
   30 522553514515        (2)2( 1.5)   2215286.9114    {X}
   31 522553514515        (2)1( 0.5)   2216148.1096    {X}
   32 522553514515        (2)0( 0.5)   2255457.0799    {X}
   33 522553514516        (4)1( 0.5)   2326673.6969    {X}
   34 522553514516        (4)1( 1.5)   2328609.6396    {X}
   35 522553514516        (4)1( 2.5)   2332155.0963    {X}
   36 522553514516        (4)3( 4.5)   2333372.3147    {X}
   37 522553514516        (4)3( 3.5)   2335967.8365    {X}
   38 522553514516        (4)3( 2.5)   2338932.5951    {X}
   39 522553514516        (4)3( 1.5)   2342411.9902    {X}
   40 522553514516        (4)2( 3.5)   2346725.1370    {X}
   41 522553514516        (2)3( 2.5)   2348766.1896    {X}
   42 522553514516        (4)2( 0.5)   2350641.5823    {X}
   43 522553514516        (4)2( 1.5)   2352851.8927    {X}
   44 522553514516        (4)2( 2.5)   2358438.1174    {X}
   45 522553514516        (2)2( 1.5)   2360082.1403    {X}
   46 522553514516        (2)3( 3.5)   2361894.0257    {X}
   47 522553514516        (2)2( 2.5)   2363670.1736    {X}
   48 522553514516        (2)1( 0.5)   2363730.9946    {X}
   49 522553514516        (2)1( 1.5)   2367444.5327    {X}
   50 522553514516        (2)3( 3.5)   2370497.5577    {X}
   51 522553514516        (2)3( 2.5)   2377757.6607    {X}
   52 522553514516        (2)2( 1.5)   2387015.2120    {X}
   53 522553514516        (2)2( 2.5)   2391381.1836    {X}
   54 522553514516        (2)1( 0.5)   2394944.2272    {X}
   55 522553514516        (2)1( 1.5)   2400885.3606    {X}
   -1    234.845 32.2771 27.6152 10.4647 9.23524 7.49897 5.27979 4.81776 4.19280 4.00813
 8.00    3       6.40+03 1.28+04 3.20+04 6.40+04 1.28+05 3.20+05 6.40+05 1.28+06 3.20+06 6.40+06 1.28+07 3.20+07 6.40+07 1.28+08
   2   1 2.57+09 2.95+00 2.96+00 2.98+00 3.03+00 3.12+00 3.35+00 3.60+00 3.92+00 4.52+00 5.10+00 5.77+00 6.75+00 7.53+00 8.34+00-1.21+00
   3   1 2.72+09 5.82+00 5.84+00 5.89+00 5.97+00 6.14+00 6.59+00 7.04+00 7.63+00 8.83+00 1.00+01 1.14+01 1.34+01 1.49+01 1.65+01-2.41+00
   3   2 1.87-01 7.71-01 7.70-01 7.64-01 7.53-01 7.36-01 7.01-01 6.69-01 6.38-01 6.06-01 5.90-01 5.78-01 5.67-01 5.62-01 5.58-01 5.53-01
   4   1 2.26+05 3.48-01 3.49-01 3.50-01 3.53-01 3.59-01 3.72-01 3.88-01 4.09-01 4.42-01 4.64-01 4.81-01 4.92-01 4.96-01 4.98-01 5.00-01
   4   2 6.64+09 4.66+00 4.68+00 4.72+00 4.80+00 4.94+00 5.34+00 5.81+00 6.38+00 7.49+00 8.59+00 9.88+00 1.18+01 1.33+01 1.49+01-2.40+00
   4   3 1.27+09 1.19+00 1.19+00 1.20+00 1.21+00 1.23+00 1.30+00 1.38+00 1.49+00 1.69+00 1.90+00 2.15+00 2.52+00 2.83+00 3.14+00-4.80-01
   5   1 2.28+05 5.22-01 5.23-01 5.26-01 5.30-01 5.38-01 5.58-01 5.82-01 6.14-01 6.63-01 6.97-01 7.21-01 7.39-01 7.44-01 7.47-01 7.49-01
   5   2 3.05-02 1.86-01 1.85-01 1.84-01 1.81-01 1.76-01 1.65-01 1.52-01 1.39-01 1.27-01 1.24-01 1.25-01 1.29-01 1.32-01 1.34-01 1.38-01
   5   3 7.69+09 8.59+00 8.61+00 8.69+00 8.82+00 9.08+00 9.81+00 1.07+01 1.18+01 1.38+01 1.57+01 1.80+01 2.13+01 2.41+01 2.69+01-4.32+00
   5   4 1.13-03 1.09+00 1.08+00 1.06+00 1.02+00 9.54-01 8.22-01 6.97-01 5.74-01 4.47-01 3.86-01 3.48-01 3.21-01 3.11-01 3.06-01 2.99-01
   6   1 1.00-30 2.76-01 2.76-01 2.78-01 2.79-01 2.82-01 2.89-01 2.96-01 3.05-01 3.17-01 3.23-01 3.27-01 3.30-01 3.30-01 3.30-01 3.30-01
   6   2 1.10+10 4.77-02 4.81-02 4.93-02 5.14-02 5.56-02 6.78-02 8.73-02 1.20-01 1.92-01 2.75-01 3.75-01 5.19-01 6.32-01 7.48-01-1.76-01
   6   3 2.16+10 9.69-02 9.76-02 1.00-01 1.04-01 1.13-01 1.37-01 1.77-01 2.43-01 3.86-01 5.51-01 7.51-01 1.04+00 1.26+00 1.50+00-3.52-01
   6   4 8.31+04 1.13-01 1.13-01 1.13-01 1.14-01 1.16-01 1.21-01 1.27-01 1.35-01 1.47-01 1.54-01 1.60-01 1.64-01 1.66-01 1.67-01 1.68-01
