Ar+ 8        18         9   3408720.9014(1s)
    1 522563              (1)0( 0.0)         0.0000    {X}
    2 522553514           (3)1( 2.0)   2041857.2212    {X}
    3 522553514           (3)1( 1.0)   2048841.3404    {X}
    4 522553514           (3)1( 0.0)   2059197.4960    {X}
    5 522553514           (1)1( 1.0)   2068027.5722    {X}
    6 522553515           (3)0( 1.0)   2162849.1815    {X}
    7 522553515           (3)2( 3.0)   2185253.4468    {X}
    8 522553515           (3)2( 2.0)   2186487.1072    {X}
    9 522553515           (3)2( 1.0)   2192262.2487    {X}
   10 522553515           (3)1( 2.0)   2198246.0217    {X}
   11 522553515           (1)1( 1.0)   2204773.7007    {X}
   12 522553515           (3)1( 0.0)   2208025.7490    {X}
   13 522553515           (1)2( 2.0)   2210542.9601    {X}
   14 522553515           (3)1( 1.0)   2211601.5428    {X}
   15 522553515           (1)0( 0.0)   2300770.6225    {X}
   16 522553516           (3)1( 0.0)   2366610.7063    {X}
   17 522553516           (3)1( 1.0)   2368743.4622    {X}
   18 522553516           (3)1( 2.0)   2373092.2822    {X}
   19 522553516           (3)3( 4.0)   2377290.3006    {X}
   20 522553516           (3)3( 3.0)   2380235.6060    {X}
   21 522553516           (3)3( 2.0)   2385324.9707    {X}
   22 522553516           (1)3( 3.0)   2390164.5016    {X}
   23 522553516           (3)2( 1.0)   2399891.3990    {X}
   24 522553516           (1)2( 2.0)   2400764.0438    {X}
   25 522553516           (3)2( 3.0)   2403545.0056    {X}
   26 522553516           (3)2( 2.0)   2403827.4787    {X}
   27 522553516           (1)1( 1.0)   2436450.9972    {X}
   28 512563514           (3)0( 1.0)   2663999.6989    {X}
   29 512563514           (1)0( 0.0)   2695090.6070    {X}
   30 522553517           (3)1( 2.0)   2719952.7192    {X}
   31 522553517           (1)1( 1.0)   2723163.4461    {X}
   32 522553517           (3)1( 0.0)   2736991.0570    {X}
   33 522553517           (3)1( 1.0)   2739383.2620    {X}
   34 522553518           (3)0( 1.0)   2773124.0905    {X}
   35 522553518           (3)2( 3.0)   2775272.2957    {X}
   36 522553518           (3)2( 2.0)   2775799.4419    {X}
   37 522553518           (1)1( 1.0)   2778268.4647    {X}
   38 522553518           (3)1( 2.0)   2779553.0568    {X}
   39 522553518           (3)1( 0.0)   2789044.9545    {X}
   40 522553518           (3)2( 1.0)   2792476.4939    {X}
