Ar+ 5        18         6    736351.4697(1s)
     1 522563524515        (2)1(  2.5)         0.0000    {X}
     2 522563514525        (4)1(  5.5)    102402.2147    {X}
     3 522563514525        (2)2(  4.5)    135720.5370    {X}
     4 522563514525        (2)0(  0.5)    176400.6356    {X}
     5 522563514525        (2)1(  2.5)    189898.8563    {X}
     6 522563524516        (2)2(  4.5)    227218.3068    {X}
     7 522563535           (2)2(  4.5)    266708.8416    {X}
     8 522563535           (4)0(  1.5)    277877.2847    {X}
     9 522563514515516     (4)3( 13.5)    299723.2873    {X}
    10 522563535           (2)1(  2.5)    302720.9432    {X}
    11 522563514515516     (4)1(  5.5)    325329.2085    {X}
    12 522563514515516     (4)2(  9.5)    329289.4144    {X}
    13 522563514515516     (2)2(  4.5)    339488.4496    {X}
    14 522563514515516     (2)3(  6.5)    359087.8320    {X}
    15 522563524517        (2)0(  0.5)    362072.7035    {X}
    16 522563514515516     (2)1(  2.5)    392168.2285    {X}
    17 522563514515516     (2)3(  6.5)    393395.4929    {X}
    18 522563514515516     (2)1(  2.5)    408877.0162    {X}
    19 522563514515516     (2)2(  4.5)    412445.8241    {X}
    20 522563524518        (2)1(  2.5)    412617.0736    {X}
    21 522563525516        (2)3(  6.5)    451606.2386    {X}
    22 522563525516        (4)3( 13.5)    460343.5247    {X}
    23 522563525516        (2)1(  2.5)    465976.8263    {X}
    24 522563514515517     (4)1(  5.5)    468526.3175    {X}
    25 522563525516        (4)2(  9.5)    468620.2591    {X}
    26 522563524519        (2)2(  4.5)    476833.0647    {X}
    27 522563525516        (2)4(  8.5)    478302.3117    {X}
    28 522563514515517     (2)1(  2.5)    486807.6864    {X}
    29 522563525516        (2)2(  4.5)    493625.0059    {X}
    30 522563525516        (4)1(  5.5)    500178.8794    {X}
    31 52256352451A        (2)3(  6.5)    509238.4504    {X}
    32 522563525516        (2)1(  2.5)    513253.2670    {X}
    33 522563514515518     (4)2(  9.5)    513953.5379    {X}
    34 522563525516        (2)0(  0.5)    515086.4399    {X}
    35 522563514515518     (2)1(  2.5)    519691.0141    {X}
    36 522563514515518     (4)0(  1.5)    520429.5881    {X}
    37 522563525516        (2)2(  4.5)    522878.3851    {X}
    38 522563514515518     (4)1(  5.5)    525651.9859    {X}
    39 522563525516        (2)3(  6.5)    527876.0377    {X}
    40 522563514515518     (2)2(  4.5)    532879.7350    {X}
    41 522563514526        (4)3( 13.5)    533306.5557    {X}
    42 522563514515518     (2)0(  0.5)    543132.4956    {X}
    43 522563514515517     (2)1(  2.5)    543190.2309    {X}
    44 522563514526        (4)1(  5.5)    549841.4454    {X}
    45 522563525516        (2)2(  4.5)    560414.6064    {X}
    46 522563514526        (2)4(  8.5)    569276.9430    {X}
    47 522563514526        (2)2(  4.5)    578097.7923    {X}
    48 522563514515519     (4)2(  9.5)    582984.3314    {X}
    49 522563514515519     (2)2(  4.5)    584172.8308    {X}
    50 522563514515519     (4)3( 13.5)    585204.7924    {X}
    51 522563514515519     (4)1(  5.5)    588808.0639    {X}
    52 522563514515518     (2)1(  2.5)    590085.4345    {X}
    53 522563514515519     (2)3(  6.5)    591122.9639    {X}
    54 522563514515518     (2)2(  4.5)    591591.4032    {X}
    55 522563514515519     (2)1(  2.5)    594793.1896    {X}
    56 522563514526        (2)3(  6.5)    599838.2286    {X}
    57 522563514515518     (2)0(  0.5)    601472.7073    {X}
    58 52256351451551A     (4)4( 17.5)    610313.0942    {X}
    59 52256351451551A     (4)3( 13.5)    610878.7856    {X}
    60 522563514526        (2)0(  0.5)    614013.7549    {X}
    61 52256351451551A     (4)2(  9.5)    615591.2269    {X}
    62 52256351451551A     (2)3(  6.5)    622163.7070    {X}
    63 52256351451551A     (2)4(  8.5)    626601.8415    {X}
    64 52256351451551A     (2)2(  4.5)    628606.6151    {X}
    65 522563514526        (2)1(  2.5)    632872.9177    {X}
    66 522563515526        (4)4( 17.5)    646475.4130    {X}
    67 522563514515519     (2)2(  4.5)    649816.2613    {X}
    68 522563514515519     (2)3(  6.5)    654692.9473    {X}
    69 522563514515519     (2)1(  2.5)    660014.9980    {X}
    70 522563515526        (2)3(  6.5)    661689.2516    {X}
    71 522563515526        (2)2(  4.5)    663717.7258    {X}
    72 522563515526        (4)2(  9.5)    670324.0491    {X}
    73 522563515526        (2)0(  0.5)    671448.1663    {X}
    74 522563515526        (4)3( 13.5)    677233.9336    {X}
    75 522563515526        (4)1(  5.5)    678928.6240    {X}
    76 522563515526        (2)4(  8.5)    679257.3060    {X}
    77 52256351451551A     (2)3(  6.5)    679747.2135    {X}
    78 52256351451551A     (2)4(  8.5)    684980.8348    {X}
    79 522563515526        (2)5( 10.5)    688658.3325    {X}
    80 52256351451551A     (2)2(  4.5)    689522.4956    {X}
    81 522563515526        (4)2(  9.5)    695853.6775    {X}
    82 522563515526        (2)1(  2.5)    701507.9696    {X}
    83 522563515526        (4)0(  1.5)    714910.9334    {X}
    84 522563515526        (2)3(  6.5)    715610.5012    {X}
    85 522563515526        (2)1(  2.5)    725891.1393    {X}
    86 522563515526        (2)2(  4.5)    727687.5881    {X}
    87 522563515526        (2)3(  6.5)    742102.8917    {X}
    88 522563515526        (2)4(  8.5)    747292.1194    {X}
    89 522563515526        (2)2(  4.5)    766706.9524    {X}
    90 522563515526        (2)1(  2.5)    777188.2193    {X}
    91 522553524525        (4)1(  5.5)   2086306.7180    {X}
    92 522553524525        (4)2(  9.5)   2095425.7329    {X}
    93 522553524525        (2)1(  2.5)   2096198.2276    {X}
    94 522553524525        (2)2(  4.5)   2103508.3756    {X}
    95 522553524525        (2)0(  0.5)   2109071.6840    {X}
    96 522553524525        (4)0(  1.5)   2109083.9206    {X}
    97 522553524525        (2)3(  6.5)   2112535.9009    {X}
    98 522553524525        (2)2(  4.5)   2123764.1245    {X}
    99 522553524525        (2)1(  2.5)   2144561.5585    {X}
   100 522553524525        (2)1(  2.5)   2172320.8715    {X}
   101 522553524515516     (4)2(  9.5)   2289305.5696    {X}
   102 522553524515516     (4)4( 17.5)   2297116.4118    {X}
   103 522553524515516     (2)2(  4.5)   2302335.2795    {X}
   104 522553524515516     (2)4(  8.5)   2305980.1255    {X}
   105 522553524515516     (2)3(  6.5)   2307014.8192    {X}
   106 522553524515516     (4)3( 13.5)   2310073.7846    {X}
   107 522553524515516     (2)1(  2.5)   2310267.4604    {X}
   108 522553524515516     (2)3(  6.5)   2313300.5000    {X}
   109 522553524515516     (4)0(  1.5)   2318226.3410    {X}
   110 522553524515516     (4)1(  5.5)   2321810.1233    {X}
   111 522553524515516     (4)2(  9.5)   2325051.0884    {X}
   112 522553524515516     (2)2(  4.5)   2329690.9292    {X}
   113 522553524515516     (4)3( 13.5)   2331121.0363    {X}
   114 522553524515516     (4)2(  9.5)   2331376.4442    {X}
   115 522553524515516     (2)3(  6.5)   2337497.5036    {X}
   116 522553524515516     (2)1(  2.5)   2338872.0816    {X}
   117 522553524515516     (2)2(  4.5)   2338895.5164    {X}
   118 522553524515516     (4)1(  5.5)   2340525.7828    {X}
   119 522553524515516     (2)0(  0.5)   2341658.0968    {X}
   120 522553524515516     (2)2(  4.5)   2351595.5040    {X}
   121 522553524515516     (2)1(  2.5)   2351915.1206    {X}
   122 522553524515516     (2)0(  0.5)   2369039.0857    {X}
   123 522553524515516     (2)4(  8.5)   2370206.0791    {X}
   124 522553524515516     (2)1(  2.5)   2372676.3674    {X}
   125 522553524515516     (2)2(  4.5)   2375911.5267    {X}
   126 522553524515516     (2)3(  6.5)   2381192.4571    {X}
   127 522553524515516     (2)2(  4.5)   2412773.3869    {X}
    -1     229.193 27.4520 22.7127 7.17191 6.02749 4.36613 3.39791 3.00233 2.42971 2.25632
 6.00    3         3.60+03 7.20+03 1.80+04 3.60+04 7.20+04 1.80+05 3.60+05 7.20+05 1.80+06 3.60+06 7.20+06 1.80+07 3.60+07 7.20+07
    2    1 1.00-30 4.78-01 4.78-01 4.77-01 4.76-01 4.72-01 4.50-01 4.08-01 3.38-01 2.25-01 1.47-01 8.64-02 3.79-02 1.94-02 9.78-03 0.00+00
    3    1 4.71+08 3.45+00 3.46+00 3.48+00 3.51+00 3.57+00 3.71+00 3.90+00 4.12+00 4.54+00 5.01+00 5.61+00 6.54+00 7.31+00 8.12+00-1.24+00
    3    2 1.00-30 1.09+00 1.09+00 1.08+00 1.06+00 1.02+00 9.08-01 7.69-01 5.95-01 3.68-01 2.31-01 1.33-01 5.75-02 2.94-02 1.48-02 0.00+00
    4    1 5.58+09 2.27+00 2.28+00 2.30+00 2.34+00 2.40+00 2.58+00 2.83+00 3.17+00 3.75+00 4.33+00 5.02+00 6.05+00 6.88+00 7.76+00-1.34+00
    4    2 1.00-30 1.18-01 1.17-01 1.16-01 1.13-01 1.07-01 9.25-02 7.52-02 5.53-02 3.19-02 1.91-02 1.07-02 4.55-03 2.32-03 1.17-03 0.00+00
    4    3 5.84+01 1.85+00 1.85+00 1.86+00 1.86+00 1.87+00 1.89+00 1.91+00 1.95+00 2.00+00 2.03+00 2.04+00 2.05+00 2.05+00 2.05+00 2.04+00
    5    1 1.67+10 1.50+01 1.50+01 1.52+01 1.54+01 1.59+01 1.71+01 1.89+01 2.13+01 2.58+01 3.01+01 3.51+01 4.25+01 4.86+01 5.48+01-9.63+00
    5    2 1.00-30 1.51-01 1.50-01 1.49-01 1.45-01 1.39-01 1.23-01 1.03-01 7.95-02 4.90-02 3.07-02 1.76-02 7.63-03 3.90-03 1.97-03 0.00+00
    5    3 2.59+00 5.71-01 5.69-01 5.64-01 5.55-01 5.37-01 4.86-01 4.21-01 3.41-01 2.35-01 1.72-01 1.29-01 9.53-02 8.20-02 7.46-02 6.57-02
    5    4 1.00-30 6.03-02 6.01-02 5.94-02 5.81-02 5.53-02 4.79-02 3.90-02 2.87-02 1.64-02 9.78-03 5.54-03 2.50-03 1.34-03 7.12-04 0.00+00
    6    1 2.06+10 1.47+01 1.48+01 1.49+01 1.52+01 1.57+01 1.70+01 1.90+01 2.19+01 2.68+01 3.17+01 3.76+01 4.63+01 5.35+01 6.10+01-1.16+01
    6    2 1.00-30 1.39-01 1.38-01 1.37-01 1.34-01 1.29-01 1.14-01 9.70-02 7.52-02 4.68-02 2.95-02 1.69-02 7.35-03 3.76-03 1.89-03 0.00+00
    6    3 1.96+00 6.57-01 6.53-01 6.39-01 6.16-01 5.74-01 4.81-01 3.86-01 2.88-01 1.82-01 1.29-01 9.71-02 7.51-02 6.73-02 6.32-02 5.89-02
    6    4 1.07+01 5.06-01 5.06-01 5.08-01 5.09-01 5.12-01 5.18-01 5.25-01 5.35-01 5.48-01 5.56-01 5.60-01 5.60-01 5.59-01 5.57-01 5.54-01
    6    5 1.13-01 1.32-01 1.32-01 1.31-01 1.29-01 1.25-01 1.14-01 1.01-01 8.43-02 6.27-02 4.99-02 4.11-02 3.45-02 3.19-02 3.04-02 2.87-02
    7    1 1.18+05 8.88-01 8.89-01 8.95-01 9.06-01 9.26-01 9.80-01 1.05+00 1.14+00 1.28+00 1.38+00 1.46+00 1.53+00 1.57+00 1.59+00 1.62+00
    7    2 1.00-30 8.90-01 8.89-01 8.85-01 8.77-01 8.59-01 7.98-01 7.03-01 5.66-01 3.66-01 2.35-01 1.37-01 5.96-02 3.05-02 1.54-02 0.00+00
    7    3 9.01+08 6.22+00 6.23+00 6.28+00 6.35+00 6.48+00 6.85+00 7.34+00 7.93+00 9.02+00 1.02+01 1.15+01 1.36+01 1.53+01 1.70+01-2.64+00
    7    4 1.00-30 8.72-03 8.71-03 8.64-03 8.51-03 8.22-03 7.38-03 6.22-03 4.73-03 2.78-03 1.68-03 9.61-04 4.35-04 2.34-04 1.24-04 0.00+00
    7    5 1.32+08 5.81+00 5.82+00 5.86+00 5.93+00 6.06+00 6.41+00 6.75+00 7.20+00 8.13+00 9.10+00 1.02+01 1.18+01 1.31+01 1.44+01-1.92+00
    7    6 1.98+06 8.49-01 8.50-01 8.55-01 8.67-01 8.88-01 9.18-01 9.53-01 1.01+00 1.15+00 1.27+00 1.42+00 1.61+00 1.75+00 1.90+00-2.12-01
    8    1 1.00-30 2.16-03 2.15-03 2.12-03 2.07-03 1.96-03 1.70-03 1.40-03 1.05-03 6.22-04 3.82-04 2.16-04 9.27-05 4.72-05 2.37-05 0.00+00
    8    2 1.54+10 1.24+01 1.24+01 1.26+01 1.28+01 1.31+01 1.41+01 1.56+01 1.76+01 2.09+01 2.42+01 2.82+01 3.40+01 3.87+01 4.36+01-7.53+00
    8    3 1.00-30 1.30-03 1.29-03 1.28-03 1.25-03 1.19-03 1.04-03 8.60-04 6.41-04 3.73-04 2.25-04 1.26-04 5.37-05 2.73-05 1.38-05 0.00+00
    8    5 1.00-30 1.77-01 1.77-01 1.76-01 1.75-01 1.72-01 1.62-01 1.44-01 1.18-01 7.72-02 5.00-02 2.92-02 1.28-02 6.54-03 3.30-03 0.00+00
    8    6 1.00-30 1.93-04 1.92-04 1.90-04 1.86-04 1.78-04 1.57-04 1.30-04 9.66-05 5.60-05 3.36-05 1.87-05 7.96-06 4.06-06 2.04-06 0.00+00
    8    7 1.00-30 4.53-01 4.51-01 4.46-01 4.37-01 4.19-01 3.71-01 3.13-01 2.42-01 1.49-01 9.34-02 5.35-02 2.32-02 1.19-02 5.98-03 0.00+00
    9    1 1.00-30 4.23-01 4.22-01 4.20-01 4.15-01 4.06-01 3.77-01 3.35-01 2.74-01 1.83-01 1.20-01 7.05-02 3.09-02 1.58-02 7.99-03 0.00+00
    9    2 1.30-01 1.40+00 1.40+00 1.39+00 1.39+00 1.37+00 1.34+00 1.29+00 1.25+00 1.23+00 1.25+00 1.31+00 1.40+00 1.45+00 1.49+00 1.56+00
