Ar+ 6        18         7   1003515.3181(1s)
    1 522563524           (1)0(  0.0)         0.0000    {X}
    2 522563514515        (3)1(  4.0)    116149.7045    {X}
    3 522563514515        (1)1(  1.0)    175493.6007    {X}
    4 522563525           (1)2(  2.0)    267147.1906    {X}
    5 522563525           (3)1(  4.0)    274846.1561    {X}
    6 522563525           (1)0(  0.0)    322514.0065    {X}
    7 522563514516        (3)2(  7.0)    329628.2583    {X}
    8 522563514516        (1)2(  2.0)    382986.2839    {X}
    9 522563515516        (3)3( 10.0)    449593.7266    {X}
   10 522563515516        (1)2(  2.0)    454813.9684    {X}
   11 522563515516        (3)1(  4.0)    478958.7887    {X}
   12 522563515516        (3)2(  7.0)    481658.0496    {X}
   13 522563515516        (1)3(  3.0)    520146.5933    {X}
   14 522563514517        (3)0(  1.0)    520607.2892    {X}
   15 522563515516        (1)1(  1.0)    529440.2618    {X}
   16 522563514517        (1)0(  0.0)    536696.2275    {X}
   17 522563514518        (3)1(  4.0)    575131.2288    {X}
   18 522563514518        (1)1(  1.0)    582210.9878    {X}
   19 522563514519        (3)2(  7.0)    642933.5827    {X}
   20 522563514519        (1)2(  2.0)    644416.6184    {X}
   21 522563526           (3)3( 10.0)    662362.9318    {X}
   22 52256351451A        (3)3( 10.0)    667070.6104    {X}
   23 52256351451A        (1)3(  3.0)    676190.5767    {X}
   24 522563526           (3)1(  4.0)    680068.1604    {X}
   25 522563526           (1)2(  2.0)    681733.1837    {X}
   26 522563526           (1)4(  4.0)    682594.9927    {X}
   27 522563526           (1)0(  0.0)    726631.2317    {X}
   28 522563516517        (3)2(  7.0)    862188.8554    {X}
   29 522563516517        (1)2(  2.0)    867436.4370    {X}
   30 522563516518        (1)2(  2.0)    906719.6151    {X}
   31 522563516518        (3)2(  7.0)    908996.6428    {X}
   32 522563516518        (3)3( 10.0)    911424.0490    {X}
   33 522563516518        (3)1(  4.0)    916736.4648    {X}
   34 522563516518        (1)3(  3.0)    919836.3925    {X}
   35 522563516518        (1)1(  1.0)    923958.4956    {X}
   36 522563516519        (1)3(  3.0)    967433.3512    {X}
   37 522563516519        (3)2(  7.0)    969880.6282    {X}
   38 522563516519        (1)1(  1.0)    971614.6133    {X}
   39 522563516519        (3)4( 13.0)    971622.7751    {X}
   40 522563516519        (3)0(  1.0)    976665.1364    {X}
   41 522563516519        (3)3( 10.0)    984252.4689    {X}
   42 522563516519        (1)2(  2.0)    991669.2556    {X}
   43 52256351651A        (1)4(  4.0)    992128.1868    {X}
   44 522563516519        (3)1(  4.0)    992242.0311    {X}
   45 52256351651A        (3)5( 16.0)    993335.7931    {X}
   46 522563516519        (1)4(  4.0)    994303.5704    {X}
   47 52256351651A        (3)3( 10.0)    995983.1864    {X}
   48 52256351651A        (1)2(  2.0)   1000411.7320    {X}
   49 52256351651A        (3)4( 13.0)   1006720.7350    {X}
   50 52256351651A        (3)2(  7.0)   1009131.7744    {X}
   51 522563516519        (1)0(  0.0)   1010263.5125    {X}
   52 52256351651A        (3)1(  4.0)   1010319.1328    {X}
   53 52256351651A        (1)3(  3.0)   1012773.2645    {X}
   54 52256351651A        (1)5(  5.0)   1023633.0166    {X}
   55 52256351651A        (1)1(  1.0)   1024408.2025    {X}
   56 522553524515        (3)0(  1.0)   2100713.7526    {X}
   57 522553524515        (3)2(  7.0)   2116170.8127    {X}
   58 522553524515        (1)2(  2.0)   2124886.6046    {X}
   59 522553524515        (1)1(  1.0)   2126448.9536    {X}
   60 522553524515        (3)1(  4.0)   2126457.2965    {X}
   61 522553524515        (1)0(  0.0)   2209060.5811    {X}
   62 522553524516        (3)1(  4.0)   2331289.2138    {X}
   63 522553524516        (3)3( 10.0)   2336855.9174    {X}
   64 522553524516        (1)3(  3.0)   2342755.4031    {X}
   65 522553524516        (1)2(  2.0)   2346905.1114    {X}
   66 522553524516        (3)2(  7.0)   2346905.1719    {X}
   67 522553524516        (1)1(  1.0)   2369572.1505    {X}
   -1    231.799 29.7011 24.9942 8.74916 7.55690 5.83475 4.29580 3.86319 3.25488 3.07008
 7.00    3       4.90+03 9.80+03 2.45+04 4.90+04 9.80+04 2.45+05 4.90+05 9.80+05 2.45+06 4.90+06 9.80+06 2.45+07 4.90+07 9.80+07
   2   1 1.00-30 1.51-01 1.51-01 1.50-01 1.48-01 1.45-01 1.33-01 1.16-01 9.19-02 5.83-02 3.71-02 2.14-02 9.32-03 4.77-03 2.41-03 0.00+00
   3   1 8.62+09 5.90+00 5.92+00 5.97+00 6.06+00 6.24+00 6.75+00 7.40+00 8.21+00 9.69+00 1.12+01 1.29+01 1.54+01 1.74+01 1.95+01-3.15+00
   3   2 1.00-30 2.63-01 2.61-01 2.57-01 2.50-01 2.36-01 2.04-01 1.68-01 1.26-01 7.60-02 4.69-02 2.67-02 1.15-02 5.88-03 2.97-03 0.00+00
   4   1 6.66+04 3.07-01 3.08-01 3.10-01 3.13-01 3.20-01 3.38-01 3.61-01 3.90-01 4.34-01 4.65-01 4.87-01 5.04-01 5.10-01 5.12-01 5.15-01
   4   2 1.00-30 4.23-01 4.22-01 4.18-01 4.12-01 3.99-01 3.61-01 3.09-01 2.42-01 1.51-01 9.49-02 5.45-02 2.37-02 1.21-02 6.12-03 0.00+00
   4   3 4.48+08 5.55+00 5.56+00 5.61+00 5.68+00 5.83+00 6.21+00 6.58+00 7.09+00 8.08+00 9.05+00 1.02+01 1.17+01 1.30+01 1.43+01-1.92+00
   5   1 1.00-30 1.42-03 1.41-03 1.38-03 1.34-03 1.25-03 1.05-03 8.46-04 6.19-04 3.60-04 2.20-04 1.24-04 5.30-05 2.69-05 1.35-05 0.00+00
   5   2 7.45+09 2.26+01 2.27+01 2.29+01 2.32+01 2.38+01 2.56+01 2.78+01 3.08+01 3.61+01 4.13+01 4.72+01 5.59+01 6.29+01 7.02+01-1.10+01
   5   3 1.00-30 1.63-01 1.63-01 1.62-01 1.60-01 1.56-01 1.42-01 1.23-01 9.65-02 6.08-02 3.84-02 2.21-02 9.63-03 4.93-03 2.49-03 0.00+00
   5   4 1.00-30 5.37-01 5.35-01 5.26-01 5.11-01 4.83-01 4.16-01 3.42-01 2.57-01 1.54-01 9.52-02 5.40-02 2.33-02 1.19-02 6.01-03 0.00+00
   6   1 1.00-30 7.11-04 7.10-04 7.07-04 7.03-04 6.95-04 6.73-04 6.48-04 6.17-04 5.72-04 5.42-04 5.17-04 4.94-04 4.83-04 4.76-04 4.66-04
   6   2 1.00-30 2.74-02 2.73-02 2.71-02 2.68-02 2.59-02 2.35-02 2.03-02 1.59-02 1.00-02 6.36-03 3.66-03 1.59-03 8.15-04 4.11-04 0.00+00
   6   3 6.88+09 3.06+00 3.07+00 3.10+00 3.14+00 3.22+00 3.45+00 3.74+00 4.12+00 4.82+00 5.50+00 6.27+00 7.41+00 8.32+00 9.26+00-1.42+00
   6   4 2.08+02 7.34-01 7.35-01 7.37-01 7.40-01 7.44-01 7.53-01 7.65-01 7.81-01 8.03-01 8.14-01 8.18-01 8.19-01 8.17-01 8.16-01 8.13-01
   6   5 1.00-30 6.78-02 6.74-02 6.59-02 6.34-02 5.89-02 4.88-02 3.84-02 2.74-02 1.54-02 9.16-03 5.08-03 2.16-03 1.10-03 5.51-04 0.00+00
   7   1 1.00-30 1.64-01 1.63-01 1.62-01 1.59-01 1.54-01 1.40-01 1.21-01 9.66-02 6.21-02 3.98-02 2.31-02 1.01-02 5.18-03 2.61-03 0.00+00
   7   2 1.08+10 1.80+01 1.81+01 1.82+01 1.85+01 1.90+01 2.05+01 2.26+01 2.54+01 3.05+01 3.55+01 4.12+01 4.97+01 5.66+01 6.38+01-1.09+01
   7   3 1.00-30 3.98-01 3.96-01 3.92-01 3.84-01 3.67-01 3.25-01 2.73-01 2.09-01 1.28-01 7.92-02 4.51-02 1.95-02 9.98-03 5.04-03 0.00+00
