Ar+ 9        18        10   3870100.0674(1s)
     1 522553              (2)1(  2.5)         0.0000    {X}
     2 512563              (2)0(  0.5)    611126.7482    {X}
     3 522543514           (4)1(  5.5)   2289410.5907    {X}
     4 522543514           (2)1(  2.5)   2315959.0571    {X}
     5 522543514           (2)2(  4.5)   2360503.8540    {X}
     6 522543515           (4)1(  5.5)   2416002.4017    {X}
     7 522543514           (2)0(  0.5)   2426616.8026    {X}
     8 522543515           (4)2(  9.5)   2436013.7023    {X}
     9 522543515           (2)1(  2.5)   2449518.2746    {X}
    10 522543515           (2)2(  4.5)   2450339.5037    {X}
    11 522543515           (2)0(  0.5)   2459202.3309    {X}
    12 522543515           (4)0(  1.5)   2459202.3309    {X}
    13 522543515           (2)3(  6.5)   2497128.0359    {X}
    14 522543515           (2)2(  4.5)   2515631.6134    {X}
    15 522543515           (2)1(  2.5)   2560305.9527    {X}
    16 522543515           (2)1(  2.5)   2582294.0819    {X}
    17 522543516           (4)2(  9.5)   2605837.6737    {X}
    18 522543516           (4)3( 13.5)   2626163.8598    {X}
    19 522543516           (4)1(  5.5)   2635166.7262    {X}
    20 522543516           (2)3(  6.5)   2638316.8834    {X}
    21 522543516           (2)1(  2.5)   2647169.4454    {X}
    22 522543516           (2)2(  4.5)   2651431.7491    {X}
    23 522543516           (2)4(  8.5)   2682583.8744    {X}
    24 522543516           (2)0(  0.5)   2698351.2660    {X}
    25 522543516           (2)3(  6.5)   2702773.0956    {X}
    26 522543516           (2)1(  2.5)   2714131.1812    {X}
    27 522543516           (2)2(  4.5)   2715599.9541    {X}
    28 522543516           (2)2(  4.5)   2763495.2319    {X}
    29 512553514           (4)1(  5.5)   2828155.0384    {X}
    30 512553514           (2)1(  2.5)   2869202.8852    {X}
    31 512553515           (4)0(  1.5)   2942396.3894    {X}
    32 512553515           (4)2(  9.5)   2966934.8671    {X}
    33 512553515           (4)1(  5.5)   2981370.9453    {X}
    34 512553515           (2)2(  4.5)   2986636.0282    {X}
    35 512553515           (2)1(  2.5)   2991060.7958    {X}
    36 512553515           (2)0(  0.5)   3031733.3351    {X}
    37 512553514           (2)1(  2.5)   3038102.1455    {X}
    38 522543517           (4)1(  5.5)   3079293.5440    {X}
    39 522543517           (2)1(  2.5)   3084485.6173    {X}
    40 522543518           (4)1(  5.5)   3124708.7542    {X}
    41 522543518           (4)2(  9.5)   3130294.2630    {X}
    42 522543518           (2)2(  4.5)   3135589.0711    {X}
    43 522543517           (2)2(  4.5)   3136939.7932    {X}
    44 522543518           (4)0(  1.5)   3140124.8593    {X}
    45 522543518           (2)0(  0.5)   3140124.8593    {X}
    46 512553516           (4)1(  5.5)   3141268.0763    {X}
    47 512553516           (4)3( 13.5)   3141360.8713    {X}
    48 522543518           (2)1(  2.5)   3150469.3054    {X}
    49 512553516           (4)2(  9.5)   3163823.3679    {X}
    50 512553516           (2)3(  6.5)   3166686.4990    {X}
    51 512553515           (2)2(  4.5)   3178033.9990    {X}
    52 512553516           (2)2(  4.5)   3178430.2642    {X}
    53 512553515           (2)1(  2.5)   3185912.1896    {X}
    54 522543518           (2)3(  6.5)   3194005.8725    {X}
    55 512553515           (2)0(  0.5)   3194822.5909    {X}
    56 522543519           (4)2(  9.5)   3195036.6408    {X}
    57 522543518           (2)2(  4.5)   3200181.4508    {X}
    58 522543519           (4)3( 13.5)   3200911.0232    {X}
    59 522543519           (4)1(  5.5)   3204003.2038    {X}
    60 522543519           (2)3(  6.5)   3205216.8156    {X}
    61 512553516           (2)1(  2.5)   3205908.5665    {X}
    62 522543518           (2)1(  2.5)   3210817.4332    {X}
    63 522543519           (2)1(  2.5)   3213322.3115    {X}
    64 522543519           (2)2(  4.5)   3215826.9520    {X}
    65 522543517           (2)0(  0.5)   3218808.4591    {X}
    66 52254351A           (4)4( 17.5)   3230538.9846    {X}
    67 52254351A           (2)4(  8.5)   3230932.4236    {X}
    68 52254351A           (4)3( 13.5)   3232207.1795    {X}
    69 52254351A           (2)3(  6.5)   3233251.5183    {X}
    70 52254351A           (4)2(  9.5)   3236021.3204    {X}
    71 52254351A           (2)2(  4.5)   3236187.1586    {X}
    72 522543519           (2)4(  8.5)   3261329.0728    {X}
    73 522543518           (2)1(  2.5)   3263233.1801    {X}
    74 522543519           (2)3(  6.5)   3267672.3694    {X}
    75 522543519           (2)0(  0.5)   3267881.4273    {X}
    76 522543519           (2)1(  2.5)   3269915.8869    {X}
    77 522543519           (2)2(  4.5)   3270497.6963    {X}
    78 52254351A           (2)1(  2.5)   3279459.7070    {X}
    79 52254351A           (2)2(  4.5)   3285256.3141    {X}
    80 52254351A           (2)3(  6.5)   3290203.2105    {X}
    81 52254351A           (2)5( 10.5)   3290295.0563    {X}
    82 52254351A           (2)4(  8.5)   3294419.1687    {X}
    83 522543519           (2)2(  4.5)   3331317.5874    {X}
    84 52254351A           (2)3(  6.5)   3350467.0093    {X}
    85 512553516           (2)3(  6.5)   3367629.7543    {X}
    86 512553516           (2)1(  2.5)   3370922.5444    {X}
    87 512553516           (2)2(  4.5)   3376872.2441    {X}
    88 563514              (2)0(  0.5)   3571096.9839    {X}
    89 512553517           (4)1(  5.5)   3605704.1721    {X}
    90 512553517           (2)1(  2.5)   3617630.4106    {X}
    91 512553518           (4)0(  1.5)   3652989.7120    {X}
    92 512553518           (4)2(  9.5)   3660072.0719    {X}
    93 512553518           (4)1(  5.5)   3665254.4468    {X}
    94 512553518           (2)2(  4.5)   3665860.8369    {X}
    95 512553518           (2)1(  2.5)   3667828.9797    {X}
    96 512553518           (2)0(  0.5)   3696000.0793    {X}
    97 563515              (2)1(  2.5)   3702635.1212    {X}
    98 512553519           (4)1(  5.5)   3722323.2255    {X}
    99 512553519           (4)3( 13.5)   3725271.8942    {X}
   100 512553519           (4)2(  9.5)   3731265.9223    {X}
   101 512553519           (2)3(  6.5)   3734007.6856    {X}
   102 512553519           (2)2(  4.5)   3736913.9835    {X}
   103 512553519           (2)1(  2.5)   3750268.4485    {X}
   104 51255351A           (4)2(  9.5)   3754151.0051    {X}
   105 51255351A           (4)4( 17.5)   3755024.1053    {X}
   106 51255351A           (2)2(  4.5)   3755658.9917    {X}
   107 51255351A           (2)4(  8.5)   3755799.9618    {X}
   108 51255351A           (4)3( 13.5)   3758822.7149    {X}
   109 51255351A           (2)3(  6.5)   3759218.4363    {X}
   110 512553517           (2)1(  2.5)   3811321.2919    {X}
   111 512553518           (2)2(  4.5)   3854592.0658    {X}
   112 512553518           (2)1(  2.5)   3866195.5525    {X}
   113 512553518           (2)0(  0.5)   3868386.5966    {X}
   114 563516              (2)2(  4.5)   3876890.1294    {X}
   115 512553519           (2)3(  6.5)   3928727.2942    {X}
   116 512553519           (2)1(  2.5)   3931571.2166    {X}
   117 512553519           (2)2(  4.5)   3933397.8308    {X}
   118 51255351A           (2)4(  8.5)   3956151.9012    {X}
   119 51255351A           (2)3(  6.5)   3959124.5783    {X}
   120 51255351A           (2)2(  4.5)   3965860.3231    {X}
   121 563517              (2)0(  0.5)   4329421.9469    {X}
   122 563518              (2)1(  2.5)   4381377.7011    {X}
   123 563519              (2)2(  4.5)   4446672.0047    {X}
   124 56351A              (2)3(  6.5)   4472322.8003    {X}
    -1     242.498 38.4870 33.9779 14.2996 13.0446 11.4299 7.50635 7.01212 6.41245 6.25721
10.00    3         1.00+04 2.00+04 5.00+04 1.00+05 2.00+05 5.00+05 1.00+06 2.00+06 5.00+06 1.00+07 2.00+07 5.00+07 1.00+08 2.00+08
    2    1 5.59+10 8.26-01 8.27-01 8.29-01 8.34-01 8.45-01 8.77-01 9.24-01 9.98-01 1.14+00 1.26+00 1.42+00 1.67+00 1.88+00 2.10+00-3.22-01
    3    1 1.00-30 1.71-02 1.71-02 1.70-02 1.69-02 1.66-02 1.59-02 1.47-02 1.29-02 9.63-03 6.96-03 4.56-03 2.21-03 1.17-03 5.98-04 0.00+00
    3    2 1.00-30 3.51-05 3.51-05 3.48-05 3.44-05 3.36-05 3.12-05 2.79-05 2.32-05 1.57-05 1.05-05 6.41-06 2.96-06 1.55-06 7.93-07 0.00+00
    4    1 3.61+11 1.56-02 1.56-02 1.59-02 1.63-02 1.73-02 2.03-02 2.53-02 3.55-02 6.27-02 9.49-02 1.37-01 2.07-01 2.69-01 3.36-01-1.15-01
    4    2 1.00-30 3.19-05 3.19-05 3.16-05 3.12-05 3.04-05 2.82-05 2.52-05 2.10-05 1.44-05 9.67-06 5.99-06 2.92-06 1.63-06 8.91-07 0.00+00
    4    3 1.00-30 1.76-01 1.75-01 1.73-01 1.68-01 1.60-01 1.42-01 1.22-01 9.93-02 6.80-02 4.71-02 3.00-02 1.43-02 7.53-03 3.84-03 0.00+00
