N + 4         7         5        789537.(1S)
    1         1s22s(2S) (2)0( 0.5)               0.
    2         1s22p(2P) (2)1( 2.5)           80987.
    3         1s23s(2S) (2)0( 0.5)          455943.
    4         1s23p(2P) (2)1( 2.5)          477691.
    5         1s23d(2D) (2)2( 4.5)          484225.
    6         1s24s(2S) (2)0( 0.5)          606092.
    7         1s24p(2P) (2)1( 2.5)          614930.
    8         1s24d(2D) (2)2( 4.5)          617661.
    9         1s24f(2F) (2)3( 6.5)          617757.
   10         1s25s(2S) (2)0( 0.5)          673601.
   11         1s25p(2P) (2)1( 2.5)          678039.
   12         1s25d(2D) (2)2( 4.5)          679430.
   13         1s25f(2F) (2)3( 6.5)          679484.
   14         1s25g(2G) (2)4( 8.5)          679485.
   15         1s26s(2S) (2)0( 0.5)          709642.
   16         1s26p(2P) (2)1( 2.5)          712181.
   17         1s26d(2D) (2)2( 4.5)          712982.
   18         1s26f(2F) (2)3( 6.5)          713015.
   19         1s26g(2G) (2)4( 8.5)          713016.
   20         1s26h(2H) (2)5(10.5)          713016.
   21         1s27s(2S) (2)0( 0.5)          731123.
   22         1s27p(2P) (2)1( 2.5)          732709.
   23         1s27d(2D) (2)2( 4.5)          733212.
   24         1s27f(2F) (2)3( 6.5)          733233.
   25         1s27g(2G) (2)4( 8.5)          733234.
   26         1s27h(2H) (2)5(10.5)          733234.
   27         1s27i(2I) (2)6(12.5)          733234.
   -1
 5.00    3       5.00+03 1.25+04 2.50+04 5.00+04 1.25+05 2.50+05 5.00+05 1.25+06 2.50+06 5.80+06 1.16+07 2.32+07
   2   1 3.44+08 6.31+00 6.40+00 6.49+00 6.64+00 7.07+00 7.62+00 8.40+00 9.89+00 1.14+01 1.34+01 1.51+01 1.68+01 2.56+00
   3   1 0.00+00 4.81-01 4.62-01 4.19-01 3.57-01 2.93-01 2.67-01 2.57-01 2.63-01 2.74-01 2.90-01 3.01-01 3.09-01 3.26-01
   4   1 1.21+10 4.10-01 3.48-01 2.82-01 2.36-01 2.02-01 1.89-01 1.97-01 2.61-01 3.62-01 5.50-01 7.51-01 9.86-01 4.39-01
   5   1 0.00+00 4.22-01 3.75-01 3.55-01 3.55-01 3.66-01 3.78-01 4.11-01 4.95-01 5.78-01 6.77-01 7.43-01 7.92-01 8.81-01
   6   1 0.00+00 1.02-01 8.95-02 7.53-02 6.31-02 5.23-02 4.82-02 4.73-02 4.92-02 5.18-02 5.53-02 5.78-02 5.99-02 6.40-02
   7   1 5.83+09 6.36-02 6.76-02 6.81-02 6.60-02 6.01-02 5.69-02 5.80-02 7.05-02 9.15-02 1.31-01 1.74-01 2.25-01 9.90-02
   8   1 0.00+00 8.21-02 8.19-02 8.06-02 7.88-02 7.55-02 7.56-02 7.97-02 9.12-02 1.03-01 1.19-01 1.30-01 1.38-01 1.54-01
   9   1 0.00+00 6.81-02 6.87-02 6.66-02 6.22-02 5.25-02 4.62-02 4.26-02 4.11-02 4.15-02 4.24-02 4.31-02 4.35-02 4.41-02
  10   1 0.00+00 2.24-02 2.20-02 2.06-02 1.88-02 1.70-02 1.66-02 1.69-02 1.81-02 1.92-02 2.07-02 2.18-02 2.26-02 2.44-02
  11   1 3.10+09 3.38-02 3.34-02 3.25-02 3.03-02 2.74-02 2.62-02 2.65-02 3.09-02 3.87-02 5.39-02 7.06-02 9.06-02 3.93-02
  12   1 0.00+00 3.08-02 3.08-02 3.08-02 2.98-02 2.87-02 2.91-02 3.06-02 3.41-02 3.80-02 4.31-02 4.69-02 4.99-02 5.58-02
  13   1 0.00+00 3.16-02 3.04-02 2.95-02 2.73-02 2.39-02 2.22-02 2.13-02 2.11-02 2.14-02 2.20-02 2.24-02 2.27-02 2.32-02
  14   1 0.00+00 1.87-02 1.77-02 1.64-02 1.33-02 8.52-03 5.88-03 4.12-03 2.74-03 2.16-03 1.78-03 1.61-03 1.52-03 1.39-03
  15   1 0.00+00 1.39-02 1.11-02 9.69-03 8.72-03 8.05-03 7.98-03 8.23-03 8.87-03 9.47-03 1.02-02 1.08-02 1.12-02 1.21-02
  16   1 1.83+09 1.97-02 1.81-02 1.71-02 1.61-02 1.51-02 1.47-02 1.48-02 1.69-02 2.07-02 2.82-02 3.65-02 4.65-02 2.00-02
  17   1 0.00+00 1.46-02 1.51-02 1.52-02 1.49-02 1.47-02 1.50-02 1.56-02 1.70-02 1.86-02 2.10-02 2.27-02 2.42-02 2.71-02
  18   1 0.00+00 1.46-02 1.51-02 1.49-02 1.42-02 1.31-02 1.25-02 1.22-02 1.20-02 1.21-02 1.24-02 1.27-02 1.28-02 1.31-02
  19   1 0.00+00 9.23-03 8.87-03 7.79-03 6.37-03 4.63-03 3.60-03 2.80-03 2.07-03 1.72-03 1.48-03 1.36-03 1.30-03 1.20-03
  20   1 0.00+00 6.47-03 5.48-03 4.12-03 2.76-03 1.44-03 8.42-04 4.85-04 2.36-04 1.42-04 8.34-05 5.87-05 4.51-05 2.85-05
  21   1 0.00+00 1.20-02 9.01-03 7.33-03 6.14-03 5.20-03 4.85-03 4.79-03 5.05-03 5.38-03 5.82-03 6.15-03 6.42-03 6.96-03
  22   1 1.15+09 1.76-02 1.51-02 1.34-02 1.21-02 1.08-02 1.01-02 9.78-03 1.06-02 1.27-02 1.70-02 2.18-02 2.75-02 1.16-02
  23   1 0.00+00 1.35-02 1.23-02 1.15-02 1.08-02 1.00-02 9.65-03 9.52-03 9.89-03 1.06-02 1.19-02 1.29-02 1.37-02 1.54-02
  24   1 0.00+00 1.38-02 1.25-02 1.15-02 1.05-02 9.23-03 8.50-03 7.96-03 7.60-03 7.58-03 7.69-03 7.81-03 7.91-03 8.10-03
  25   1 0.00+00 9.21-03 7.61-03 6.49-03 5.34-03 3.90-03 3.01-03 2.31-03 1.67-03 1.37-03 1.15-03 1.05-03 9.83-04 8.87-04
  26   1 0.00+00 2.58-03 2.34-03 2.06-03 1.61-03 9.82-04 6.24-04 3.87-04 2.08-04 1.35-04 8.52-05 6.32-05 5.04-05 3.35-05
  27   1 0.00+00 5.13-04 7.25-04 7.89-04 6.55-04 3.82-04 2.24-04 1.25-04 5.60-05 3.00-05 1.41-05 7.65-06 4.24-06 4.09-07
   3   2 9.17+09 2.06+00 1.61+00 1.27+00 9.11-01 5.43-01 3.73-01 2.80-01 2.48-01 2.80-01 3.68-01 4.72-01 5.95-01 2.29-01
