SEQ='C '     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  89332695.2   NPRNTI= 5   NPRNTF=15
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P1             (2)1( 0.5)        0.0 
     2          2S2 2P1             (2)1( 1.5)    21142.4 
     3          2S1 2P2             (4)1( 0.5)   224907.7 
     4          2S1 2P2             (4)1( 1.5)   232992.9 
     5          2S1 2P2             (4)1( 2.5)   244649.9 
     6          2S1 2P2             (2)2( 1.5)   413978.1*
     7          2S1 2P2             (2)2( 2.5)   415111.6*
     8          2S1 2P2             (2)0( 0.5)   516374.1*
     9          2S1 2P2             (2)1( 0.5)   551564.0*
    10          2S1 2P2             (2)1( 1.5)   562322.0*
    11          2P3                 (4)0( 1.5)   714476.6*
    12          2P3                 (2)2( 1.5)   818289.0*
    13          2P3                 (2)2( 2.5)   820820.3*
    14          2P3                 (2)1( 0.5)   916384.1*
    15          2P3                 (2)1( 1.5)   920564.0*

   IC RESOLVED LEVEL INDEXING           BWNR=  94851161.9   NLVL=1444
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    2S2 2P2             (3)1( 0.0)        0.0 
     2  9999    2S2 2P2             (3)1( 1.0)     9185.9 
     3  9999    2S2 2P2             (3)1( 2.0)    21186.8 
     4  9999    2S2 2P2             (1)2( 2.0)    85488.5 
     5  9999    2S2 2P2             (1)0( 0.0)   155443.8 
     6  9999    2S1 2P3             (5)0( 2.0)   217011.3 
     7  9999    2S1 2P3             (3)2( 2.0)   422537.7 
     8  9999    2S1 2P3             (3)2( 1.0)   422843.3 
     9  9999    2S1 2P3             (3)2( 3.0)   424553.0 
    10  9999    2S1 2P3             (3)1( 0.0)   492702.0 
    11  9999    2S1 2P3             (3)1( 1.0)   493402.9 
    12  9999    2S1 2P3             (3)1( 2.0)   494733.2 
    13  9999    2S1 2P3             (1)2( 2.0)   634483.0 
    14  9999    2S1 2P3             (3)0( 1.0)   634786.0 
    15  9999    2S1 2P3             (1)1( 1.0)   704392.3 
    16  9999    2P4                 (3)1( 2.0)   961307.9 
    17  9999    2P4                 (3)1( 1.0)   975930.9 
    18  9999    2P4                 (3)1( 0.0)   980709.2 
    19  9999    2P4                 (1)2( 2.0)  1038548.2 
    20  9999    2P4                 (1)0( 0.0)  1174825.3 
    21     1    2S2 2P1 3S1         (3)1( 0.0)  3129282.0 
    22     1    2S2 2P1 3S1         (3)1( 1.0)  3133057.0 
    23     2    2S2 2P1 3S1         (3)1( 2.0)  3150460.8 
    24     2    2S2 2P1 3S1         (1)1( 1.0)  3166687.5 
    25     1    2S2 2P1 3P1         (3)2( 1.0)  3237547.0 
    26     1    2S2 2P1 3P1         (1)1( 1.0)  3252116.5 
    27     1    2S2 2P1 3P1         (3)2( 2.0)  3252305.9 
    28     2    2S2 2P1 3P1         (3)2( 3.0)  3266634.6 
    29     2    2S2 2P1 3P1         (3)0( 1.0)  3273387.1 
    30     1    2S2 2P1 3P1         (3)1( 0.0)  3288424.9 
    31     2    2S2 2P1 3P1         (3)1( 1.0)  3296730.1 
    32     2    2S2 2P1 3P1         (3)1( 2.0)  3302725.8 
    33     2    2S2 2P1 3P1         (1)2( 2.0)  3326843.7 
    34     3    2S1 2P2 3S1         (5)1( 1.0)  3350954.4 
    35     4    2S1 2P2 3S1         (5)1( 2.0)  3358799.5 
    36     2    2S2 2P1 3P1         (1)0( 0.0)  3367229.6 
    37     5    2S1 2P2 3S1         (5)1( 3.0)  3369511.2 
    38     1    2S2 2P1 3D1         (3)3( 2.0)  3373144.1 
    39     1    2S2 2P1 3D1         (3)3( 3.0)  3383032.5 
    40     1    2S2 2P1 3D1         (1)2( 2.0)  3386960.4 
    41     2    2S2 2P1 3D1         (3)3( 4.0)  3395477.1 
    42     1    2S2 2P1 3D1         (3)2( 1.0)  3403684.5 
    43     2    2S2 2P1 3D1         (3)2( 2.0)  3407721.0 
    44     3    2S1 2P2 3S1         (3)1( 0.0)  3409287.2 
    45     4    2S1 2P2 3S1         (3)1( 1.0)  3415831.6 
    46     2    2S2 2P1 3D1         (3)2( 3.0)  3415947.2 
    47     2    2S2 2P1 3D1         (3)1( 2.0)  3421484.0 
    48     2    2S2 2P1 3D1         (3)1( 1.0)  3423065.4 
    49     2    2S2 2P1 3D1         (3)1( 0.0)  3424000.7 
    50     5    2S1 2P2 3S1         (3)1( 2.0)  3427417.8 
    51     2    2S2 2P1 3D1         (1)1( 1.0)  3458993.9 
    52     2    2S2 2P1 3D1         (1)3( 3.0)  3460177.4 
    53     3    2S1 2P2 3P1         (5)2( 0.0)  3465649.8 
