SEQ='C '     NUCCHG=18                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  88960077.4   NPRNTI= 2   NPRNTF= 8
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P1             (2)1( 2.5)        0.0 
     2          2S1 2P2             (4)1( 5.5)   205723.1 
     3          2S1 2P2             (2)2( 4.5)   382202.9*
     4          2S1 2P2             (2)0( 0.5)   487532.9*
     5          2S1 2P2             (2)1( 2.5)   524502.3*
     6          2P3                 (4)0( 1.5)   663873.5*
     7          2P3                 (2)2( 4.5)   769203.6*
     8          2P3                 (2)1( 2.5)   866325.8*

   LS RESOLVED TERM INDEXING            BWNR=  94468457.1   NTRM= 488
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    2S2 2P2             (3)1( 4.0)        0.0 
     2  9999    2S2 2P2             (1)2( 2.0)    68148.9 
     3  9999    2S2 2P2             (1)0( 0.0)   135869.9 
     4  9999    2S1 2P3             (5)0( 2.0)   183813.2 
     5  9999    2S1 2P3             (3)2( 7.0)   390664.2 
     6  9999    2S1 2P3             (3)1( 4.0)   458813.1 
     7  9999    2S1 2P3             (3)0( 1.0)   602323.5 
     8  9999    2S1 2P3             (1)1( 1.0)   668068.3 
     9  9999    2P4                 (3)1( 4.0)   917339.1 
    10  9999    2P4                 (1)2( 2.0)   985488.1 
    11  9999    2P4                 (1)0( 0.0)  1122213.8 
    12     1    2S2 2P1 3S1         (3)1( 4.0)  3128321.4 
    13     1    2S2 2P1 3S1         (1)1( 1.0)  3148323.1 
    14     1    2S2 2P1 3P1         (1)1( 1.0)  3228360.3 
    15     1    2S2 2P1 3P1         (3)2( 7.0)  3237854.2 
    16     1    2S2 2P1 3P1         (3)0( 1.0)  3252045.2 
    17     1    2S2 2P1 3P1         (3)1( 4.0)  3279291.9 
    18     1    2S2 2P1 3P1         (1)2( 2.0)  3304751.1 
    19     2    2S1 2P2 3S1         (5)1( 7.0)  3329500.0 
    20     1    2S2 2P1 3P1         (1)0( 0.0)  3345321.2 
    21     1    2S2 2P1 3D1         (1)2( 2.0)  3363075.1 
    22     1    2S2 2P1 3D1         (3)3(10.0)  3364786.8 
    23     2    2S1 2P2 3S1         (3)1( 4.0)  3388645.4 
    24     1    2S2 2P1 3D1         (3)2( 7.0)  3389168.9 
    25     1    2S2 2P1 3D1         (3)1( 4.0)  3394685.5 
    26     1    2S2 2P1 3D1         (1)1( 1.0)  3433833.2 
    27     1    2S2 2P1 3D1         (1)3( 3.0)  3435654.5 
    28     2    2S1 2P2 3P1         (5)2(12.0)  3442291.1 
    29     2    2S1 2P2 3P1         (3)0( 1.0)  3443685.0 
    30     2    2S1 2P2 3P1         (5)1( 7.0)  3452173.0 
    31     2    2S1 2P2 3P1         (3)2( 7.0)  3491596.0 
    32     2    2S1 2P2 3P1         (5)0( 2.0)  3505043.9 
    33     2    2S1 2P2 3P1         (3)1( 4.0)  3510361.6 
    34     2    2S1 2P2 3D1         (5)3(17.0)  3560126.4 
    35     2    2S1 2P2 3D1         (5)2(12.0)  3575444.3 
    36     2    2S1 2P2 3D1         (5)1( 7.0)  3595740.6 
    37     2    2S1 2P2 3D1         (3)1( 4.0)  3599965.1 
    38     2    2S1 2P2 3D1         (3)3(10.0)  3623521.9 
    39     3    2S1 2P2 3P1         (3)2( 7.0)  3658394.6 
    40     2    2S1 2P2 3D1         (3)2( 7.0)  3659188.3 
    41     5    2S1 2P2 3S1         (3)1( 4.0)  3668907.9 
    42     3    2S1 2P2 3P1         (3)1( 4.0)  3672526.9 
    43     4    2S1 2P2 3P1         (3)1( 4.0)  3749398.1 
    44     3    2S1 2P2 3D1         (3)3(10.0)  3765364.3 
    45     3    2S1 2P2 3D1         (3)2( 7.0)  3770775.2 
    46     5    2S1 2P2 3P1         (3)2( 7.0)  3775229.8 
    47     5    2S1 2P2 3P1         (3)1( 4.0)  3789523.2 
    48     3    2S1 2P2 3D1         (3)1( 4.0)  3791867.3 
    49     5    2S1 2P2 3P1         (3)0( 1.0)  3822986.5 
    50     4    2S1 2P2 3D1         (3)2( 7.0)  3872168.9 
    51     5    2S1 2P2 3D1         (3)3(10.0)  3897919.6 
    52     5    2S1 2P2 3D1         (3)2( 7.0)  3915168.7 
    53     5    2S1 2P2 3D1         (3)1( 4.0)  3925545.4 
    54     6    2P3 3P1             (3)1( 4.0)  3949193.6 
    55     7    2P3 3P1             (1)1( 1.0)  4017086.5 
    56     7    2P3 3P1             (3)2( 7.0)  4018263.3 
    57     8    2P3 3S1             (3)1( 4.0)  4020444.8 
    58     8    2P3 3S1             (1)1( 1.0)  4040446.5 
