SEQ='B '     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  83257501.5   NPRNTI= 4   NPRNTF=10
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2                 (1)0( 0.0)        0.0 
     2          2S1 2P1             (3)1( 0.0)   232333.8 
     3          2S1 2P1             (3)1( 1.0)   239470.3 
     4          2S1 2P1             (3)1( 2.0)   255316.4 
     5          2S1 2P1             (1)1( 1.0)   463871.2*
     6          2P2                 (3)1( 0.0)   611022.9*
     7          2P2                 (3)1( 1.0)   620493.6*
     8          2P2                 (3)1( 2.0)   634048.8*
     9          2P2                 (1)2( 2.0)   702259.0*
    10          2P2                 (1)0( 0.0)   853979.8*

   IC RESOLVED LEVEL INDEXING           BWNR=  89332695.2   NLVL= 673
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    2S2 2P1             (2)1( 0.5)        0.0 
     2  9999    2S2 2P1             (2)1( 1.5)    21142.4 
     3  9999    2S1 2P2             (4)1( 0.5)   224907.7 
     4  9999    2S1 2P2             (4)1( 1.5)   232992.9 
     5  9999    2S1 2P2             (4)1( 2.5)   244649.9 
     6  9999    2S1 2P2             (2)2( 1.5)   413978.1 
     7  9999    2S1 2P2             (2)2( 2.5)   415111.6 
     8  9999    2S1 2P2             (2)0( 0.5)   516374.1 
     9  9999    2S1 2P2             (2)1( 0.5)   551564.0 
    10  9999    2S1 2P2             (2)1( 1.5)   562322.0 
    11  9999    2P3                 (4)0( 1.5)   714476.6 
    12  9999    2P3                 (2)2( 1.5)   818289.0 
    13  9999    2P3                 (2)1( 0.5)   916384.1 
    14  9999    2P3                 (2)1( 1.5)   920564.0 
    15     1    2S2 3S1             (2)0( 0.5)  3410006.6 
    16     1    2S2 3P1             (2)1( 0.5)  3528062.5 
    17     1    2S2 3P1             (2)1( 1.5)  3534032.7 
    18     1    2S2 3D1             (2)2( 1.5)  3631249.7 
    19     1    2S2 3D1             (2)2( 2.5)  3633008.6 
    20     2    2S1 2P1 3S1         (4)1( 0.5)  3639452.9 
    21     3    2S1 2P1 3S1         (4)1( 1.5)  3646464.1 
    22     4    2S1 2P1 3S1         (4)1( 2.5)  3660281.0 
    23     3    2S1 2P1 3S1         (2)1( 0.5)  3697416.9 
    24     4    2S1 2P1 3S1         (2)1( 1.5)  3711475.3 
    25     2    2S1 2P1 3P1         (4)2( 0.5)  3740278.5 
    26     2    2S1 2P1 3P1         (4)2( 1.5)  3745672.4 
    27     3    2S1 2P1 3P1         (4)2( 2.5)  3754541.4 
    28     3    2S1 2P1 3P1         (2)1( 1.5)  3763896.5 
    29     3    2S1 2P1 3P1         (2)1( 0.5)  3765718.8 
    30     4    2S1 2P1 3P1         (4)2( 3.5)  3766525.0 
    31     3    2S1 2P1 3P1         (4)0( 1.5)  3777023.6 
    32     3    2S1 2P1 3P1         (4)1( 0.5)  3791452.3 
    33     4    2S1 2P1 3P1         (4)1( 1.5)  3798749.2 
    34     4    2S1 2P1 3P1         (4)1( 2.5)  3804727.2 
    35     4    2S1 2P1 3P1         (2)2( 1.5)  3811809.4 
    36     4    2S1 2P1 3P1         (2)2( 2.5)  3825659.4 
    37     2    2S1 2P1 3D1         (4)3( 1.5)  3837424.1 
    38     2    2S1 2P1 3D1         (4)3( 2.5)  3841778.7 
    39     3    2S1 2P1 3D1         (4)3( 3.5)  3848336.6 
    40     4    2S1 2P1 3P1         (2)0( 0.5)  3851598.7 
    41     4    2S1 2P1 3D1         (4)3( 4.5)  3858227.2 
    42     3    2S1 2P1 3D1         (4)2( 2.5)  3869698.5 
    43     3    2S1 2P1 3D1         (4)2( 1.5)  3871277.9 
    44     3    2S1 2P1 3D1         (4)2( 0.5)  3871962.1 
    45     3    2S1 2P1 3D1         (2)2( 1.5)  3878857.4 
    46     3    2S1 2P1 3D1         (2)2( 2.5)  3881870.2 
    47     4    2S1 2P1 3D1         (4)2( 3.5)  3882313.1 
    48     5    2S1 2P1 3S1         (2)1( 0.5)  3886872.6 
    49     4    2S1 2P1 3D1         (4)1( 2.5)  3888612.6 
    50     5    2S1 2P1 3S1         (2)1( 1.5)  3888785.6 
    51     4    2S1 2P1 3D1         (4)1( 1.5)  3889594.3 
    52     4    2S1 2P1 3D1         (4)1( 0.5)  3890548.0 
    53     4    2S1 2P1 3D1         (2)3( 2.5)  3930222.9 
    54     4    2S1 2P1 3D1         (2)1( 1.5)  3943395.8 
    55     4    2S1 2P1 3D1         (2)3( 3.5)  3943465.4 
    56     4    2S1 2P1 3D1         (2)1( 0.5)  3951283.9 
    57     5    2S1 2P1 3P1         (2)2( 1.5)  3996579.6 
