SEQ='B '     NUCCHG=18                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  82908802.3   NPRNTI= 2   NPRNTF= 6
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2                 (1)0( 0.0)        0.0 
     2          2S1 2P1             (3)1( 4.0)   229492.2 
     3          2S1 2P1             (1)1( 1.0)   445183.5*
     4          2P2                 (3)1( 4.0)   589717.3*
     5          2P2                 (1)2( 2.0)   662055.2*
     6          2P2                 (1)0( 0.0)   815843.3*

   LS RESOLVED TERM INDEXING            BWNR=  88960077.3   NTRM= 278
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    2S2 2P1             (2)1( 2.5)        0.0 
     2  9999    2S1 2P2             (4)1( 5.5)   205723.1 
     3  9999    2S1 2P2             (2)2( 4.5)   382202.9 
     4  9999    2S1 2P2             (2)0( 0.5)   487532.9 
     5  9999    2S1 2P2             (2)1( 2.5)   524502.4 
     6  9999    2P3                 (2)1( 2.5)   866325.8 
     7     1    2S2 3S1             (2)0( 0.5)  3396322.4 
     8     1    2S2 3P1             (2)1( 2.5)  3512984.0 
     9     1    2S2 3D1             (2)2( 4.5)  3609816.1 
    10     2    2S1 2P1 3S1         (4)1( 5.5)  3620639.7 
    11     2    2S1 2P1 3S1         (2)1( 2.5)  3674509.2 
    12     2    2S1 2P1 3P1         (4)2( 9.5)  3719623.2 
    13     2    2S1 2P1 3P1         (2)1( 2.5)  3730890.0 
    14     2    2S1 2P1 3P1         (4)0( 1.5)  3735541.8 
    15     2    2S1 2P1 3P1         (4)1( 5.5)  3763177.6 
    16     2    2S1 2P1 3P1         (2)2( 4.5)  3782073.2 
    17     2    2S1 2P1 3D1         (4)3(13.5)  3809190.9 
    18     2    2S1 2P1 3P1         (2)0( 0.5)  3813127.5 
    19     2    2S1 2P1 3D1         (4)2( 9.5)  3837643.1 
    20     2    2S1 2P1 3D1         (2)2( 4.5)  3839635.8 
    21     2    2S1 2P1 3D1         (4)1( 5.5)  3843549.5 
    22     3    2S1 2P1 3S1         (2)1( 2.5)  3855634.7 
    23     2    2S1 2P1 3D1         (2)3( 6.5)  3896757.3 
    24     2    2S1 2P1 3D1         (2)1( 2.5)  3904610.9 
    25     3    2S1 2P1 3P1         (2)2( 4.5)  3960437.2 
    26     3    2S1 2P1 3P1         (2)1( 2.5)  3973314.7 
    27     3    2S1 2P1 3P1         (2)0( 0.5)  3986841.5 
    28     3    2S1 2P1 3D1         (2)3( 6.5)  4057054.0 
    29     3    2S1 2P1 3D1         (2)2( 4.5)  4059397.9 
    30     3    2S1 2P1 3D1         (2)1( 2.5)  4079632.4 
    31     4    2P2 3P1             (2)1( 2.5)  4138691.8 
    32     5    2P2 3P1             (2)1( 2.5)  4236701.6 
    33     6    2P2 3S1             (2)0( 0.5)  4238402.5 
    34     4    2P2 3D1             (2)2( 4.5)  4268496.6 
    35     6    2P2 3P1             (2)1( 2.5)  4344134.7 
    36     6    2P2 3D1             (2)2( 4.5)  4440248.7 
    37     1    2S2 4S1             (2)0( 0.5)  4601498.3 
    38     1    2S2 4P1             (2)1( 2.5)  4647780.4 
    39     1    2S2 4D1             (2)2( 4.5)  4685106.8 
    40     1    2S2 4F1             (2)3( 6.5)  4704775.6 
    41     2    2S1 2P1 4S1         (4)1( 5.5)  4829565.4 
    42     2    2S1 2P1 4S1         (2)1( 2.5)  4847040.5 
    43     2    2S1 2P1 4P1         (4)2( 9.5)  4870744.8 
    44     2    2S1 2P1 4P1         (2)1( 2.5)  4874537.4 
    45     2    2S1 2P1 4P1         (4)0( 1.5)  4877009.8 
    46     2    2S1 2P1 4P1         (4)1( 5.5)  4883218.3 
    47     2    2S1 2P1 4P1         (2)2( 4.5)  4891701.6 
    48     2    2S1 2P1 4P1         (2)0( 0.5)  4904359.8 
    49     2    2S1 2P1 4D1         (4)3(13.5)  4904578.5 
    50     2    2S1 2P1 4D1         (4)2( 9.5)  4914279.2 
    51     2    2S1 2P1 4D1         (2)2( 4.5)  4915578.8 
    52     2    2S1 2P1 4D1         (4)1( 5.5)  4916518.9 
    53     2    2S1 2P1 4F1         (4)3(13.5)  4929750.3 
    54     2    2S1 2P1 4F1         (2)3( 6.5)  4930800.2 
    55     2    2S1 2P1 4F1         (4)4(17.5)  4934523.5 
    56     2    2S1 2P1 4D1         (2)3( 6.5)  4935347.4 
    57     2    2S1 2P1 4F1         (4)2( 9.5)  4937608.9 
    58     2    2S1 2P1 4D1         (2)1( 2.5)  4937772.7 
    59     2    2S1 2P1 4F1         (2)4( 8.5)  4938490.8 
    60     2    2S1 2P1 4F1         (2)2( 4.5)  4940474.2 
