SEQ='N '     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  94851161.9   NPRNTI= 6   NPRNTF=20
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P2             (3)1( 0.0)        0.0 
     2          2S2 2P2             (3)1( 1.0)     9185.9 
     3          2S2 2P2             (3)1( 2.0)    21186.8 
     4          2S2 2P2             (1)2( 2.0)    85488.5 
     5          2S2 2P2             (1)0( 0.0)   155443.8 
     6          2S1 2P3             (5)0( 2.0)   217011.3 
     7          2S1 2P3             (3)2( 2.0)   422537.7*
     8          2S1 2P3             (3)2( 1.0)   422843.3*
     9          2S1 2P3             (3)2( 3.0)   424553.0*
    10          2S1 2P3             (3)1( 0.0)   492702.0*
    11          2S1 2P3             (3)1( 1.0)   493402.9*
    12          2S1 2P3             (3)1( 2.0)   494733.3*
    13          2S1 2P3             (1)2( 2.0)   634483.0*
    14          2S1 2P3             (3)0( 1.0)   634786.0*
    15          2S1 2P3             (1)1( 1.0)   704392.3*
    16          2P4                 (3)1( 2.0)   961307.9*
    17          2P4                 (3)1( 1.0)   975930.9*
    18          2P4                 (3)1( 0.0)   980709.2*
    19          2P4                 (1)2( 2.0)  1038548.2*
    20          2P4                 (1)0( 0.0)  1174825.3*

   IC RESOLVED LEVEL INDEXING           BWNR=  99828787.1   NLVL=1446
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    2S2 2P3             (4)0( 1.5)        0.0 
     2  9999    2S2 2P3             (2)2( 1.5)    96265.6 
     3  9999    2S2 2P3             (2)2( 2.5)   100377.6 
     4  9999    2S2 2P3             (2)1( 0.5)   146055.4 
     5  9999    2S2 2P3             (2)1( 1.5)   150947.5 
     6  9999    2S1 2P4             (4)1( 2.5)   443181.3 
     7  9999    2S1 2P4             (4)1( 1.5)   454413.1 
     8  9999    2S1 2P4             (4)1( 0.5)   460230.4 
     9  9999    2S1 2P4             (2)2( 1.5)   618888.9 
    10  9999    2S1 2P4             (2)2( 2.5)   619801.1 
    11  9999    2S1 2P4             (2)0( 0.5)   717080.7 
    12  9999    2S1 2P4             (2)1( 1.5)   755328.2 
    13  9999    2S1 2P4             (2)1( 0.5)   770173.4 
    14  9999    2P5                 (2)1( 1.5)  1183605.7 
    15  9999    2P5                 (2)1( 0.5)  1202862.5 
    16     1    2S2 2P2 3S1         (4)1( 0.5)  2855857.9 
    17     2    2S2 2P2 3S1         (4)1( 1.5)  2863971.3 
    18     3    2S2 2P2 3S1         (4)1( 2.5)  2874681.0 
    19     2    2S2 2P2 3S1         (2)1( 0.5)  2888316.1 
    20     3    2S2 2P2 3S1         (2)1( 1.5)  2900963.4 
    21     4    2S2 2P2 3S1         (2)2( 2.5)  2948082.5 
    22     4    2S2 2P2 3S1         (2)2( 1.5)  2948724.1 
    23     1    2S2 2P2 3P1         (2)0( 0.5)  2975750.6 
    24     2    2S2 2P2 3P1         (4)2( 0.5)  2981366.1 
    25     1    2S2 2P2 3P1         (4)2( 1.5)  2984306.9 
    26     2    2S2 2P2 3P1         (4)2( 2.5)  2991983.8 
    27     2    2S2 2P2 3P1         (4)1( 0.5)  2998471.0 
    28     2    2S2 2P2 3P1         (4)1( 1.5)  2999317.2 
    29     3    2S2 2P2 3P1         (4)2( 3.5)  3001816.0 
    30     3    2S2 2P2 3P1         (4)1( 2.5)  3005590.0 
    31     2    2S2 2P2 3P1         (2)2( 1.5)  3015384.2 
    32     5    2S2 2P2 3S1         (2)0( 0.5)  3019022.3 
    33     3    2S2 2P2 3P1         (2)2( 2.5)  3029001.7 
    34     3    2S2 2P2 3P1         (2)1( 1.5)  3039552.6 
    35     3    2S2 2P2 3P1         (2)1( 0.5)  3040540.9 
    36     3    2S2 2P2 3P1         (4)0( 1.5)  3053772.5 
    37     6    2S1 2P3 3S1         (6)0( 2.5)  3066230.4 
    38     4    2S2 2P2 3P1         (2)3( 2.5)  3074175.3 
    39     4    2S2 2P2 3P1         (2)3( 3.5)  3077540.5 
    40     4    2S2 2P2 3P1         (2)2( 1.5)  3116222.6 
    41     4    2S2 2P2 3P1         (2)2( 2.5)  3117669.1 
    42     4    2S2 2P2 3P1         (2)1( 0.5)  3122034.9 
    43     6    2S1 2P3 3S1         (4)0( 1.5)  3130739.8 
    44     4    2S2 2P2 3P1         (2)1( 1.5)  3133072.0 
    45     1    2S2 2P2 3D1         (4)3( 1.5)  3135706.1 
    46     1    2S2 2P2 3D1         (4)3( 2.5)  3139708.1 
    47     2    2S2 2P2 3D1         (4)3( 3.5)  3145850.8 
    48     2    2S2 2P2 3D1         (2)1( 1.5)  3152380.8 
