SEQ='N '     NUCCHG=18                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  94468457.0   NPRNTI= 4   NPRNTF=12
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P2             (3)1( 4.0)        0.0 
     2          2S2 2P2             (1)2( 2.0)    68148.9 
     3          2S2 2P2             (1)0( 0.0)   135869.9 
     4          2S1 2P3             (5)0( 2.0)   183813.2 
     5          2S1 2P3             (3)2( 7.0)   390664.2*
     6          2S1 2P3             (3)1( 4.0)   458813.1*
     7          2S1 2P3             (1)2( 2.0)   599919.3*
     8          2S1 2P3             (3)0( 1.0)   602323.5*
     9          2S1 2P3             (1)1( 1.0)   668068.3*
    10          2P4                 (3)1( 4.0)   917339.2*
    11          2P4                 (1)2( 2.0)   985488.1*
    12          2P4                 (1)0( 0.0)  1122213.8*

   LS RESOLVED TERM INDEXING            BWNR=  99453731.9   NTRM= 469
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    2S2 2P3             (4)0( 1.5)        0.0 
     2  9999    2S2 2P3             (2)2( 4.5)    99203.2 
     3  9999    2S2 2P3             (2)1( 2.5)   143900.7 
     4  9999    2S1 2P4             (4)1( 5.5)   431409.8 
     5  9999    2S1 2P4             (2)2( 4.5)   600504.8 
     6  9999    2S1 2P4             (2)0( 0.5)   699708.0 
     7  9999    2S1 2P4             (2)1( 2.5)   740288.5 
     8  9999    2P5                 (2)1( 2.5)  1154298.4 
     9     1    2S2 2P2 3S1         (4)1( 5.5)  2869018.7 
    10     1    2S2 2P2 3S1         (2)1( 2.5)  2897433.0 
    11     2    2S2 2P2 3S1         (2)2( 4.5)  2946639.0 
    12     1    2S2 2P2 3P1         (2)0( 0.5)  2976866.9 
    13     1    2S2 2P2 3P1         (4)2( 9.5)  2990113.7 
    14     1    2S2 2P2 3P1         (4)1( 5.5)  2998923.3 
    15     3    2S2 2P2 3S1         (2)0( 0.5)  3015208.9 
    16     1    2S2 2P2 3P1         (2)2( 4.5)  3017984.4 
    17     1    2S2 2P2 3P1         (2)1( 2.5)  3034481.6 
    18     4    2S1 2P3 3S1         (6)0( 2.5)  3048700.1 
    19     1    2S2 2P2 3P1         (4)0( 1.5)  3049656.5 
    20     2    2S2 2P2 3P1         (2)3( 6.5)  3070125.8 
    21     2    2S2 2P2 3P1         (2)2( 4.5)  3112941.6 
    22     4    2S1 2P3 3S1         (4)0( 1.5)  3113277.5 
    23     2    2S2 2P2 3P1         (2)1( 2.5)  3122454.1 
    24     1    2S2 2P2 3D1         (4)3(13.5)  3140531.7 
    25     1    2S2 2P2 3D1         (2)1( 2.5)  3153453.7 
    26     1    2S2 2P2 3D1         (4)2( 9.5)  3153952.1 
    27     3    2S2 2P2 3P1         (2)1( 2.5)  3158812.7 
    28     1    2S2 2P2 3D1         (2)3( 6.5)  3169400.2 
    29     1    2S2 2P2 3D1         (4)1( 5.5)  3170641.7 
    30     4    2S1 2P3 3P1         (6)1( 8.5)  3177172.6 
    31     1    2S2 2P2 3D1         (2)2( 4.5)  3209542.4 
    32     2    2S2 2P2 3D1         (2)4( 8.5)  3225682.1 
    33     4    2S1 2P3 3P1         (4)1( 5.5)  3227307.5 
    34     2    2S2 2P2 3D1         (2)2( 4.5)  3239982.4 
    35     2    2S2 2P2 3D1         (2)3( 6.5)  3245970.0 
    36     2    2S2 2P2 3D1         (2)1( 2.5)  3258778.9 
    37     2    2S2 2P2 3D1         (2)0( 0.5)  3264334.2 
    38     3    2S2 2P2 3D1         (2)2( 4.5)  3306636.6 
    39     4    2S1 2P3 3D1         (6)2(14.5)  3324066.9 
    40     4    2S1 2P3 3D1         (4)2( 9.5)  3386762.1 
    41     5    2S1 2P3 3P1         (4)1( 5.5)  3441775.1 
    42     8    2S1 2P3 3S1         (4)0( 1.5)  3487820.2 
    43     6    2S1 2P3 3P1         (4)1( 5.5)  3491005.4 
    44     5    2S1 2P3 3D1         (4)2( 9.5)  3553902.6 
    45     8    2S1 2P3 3P1         (4)1( 5.5)  3606427.3 
    46     6    2S1 2P3 3D1         (4)2( 9.5)  3627467.5 
    47     8    2S1 2P3 3D1         (4)2( 9.5)  3757249.3 
    48    10    2P4 3S1             (4)1( 5.5)  3811216.4 
    49    10    2P4 3S1             (2)1( 2.5)  3839630.7 
    50     1    2S2 2P2 4S1         (4)1( 5.5)  3856570.8 
    51     1    2S2 2P2 4S1         (2)1( 2.5)  3865968.3 
    52    11    2P4 3S1             (2)2( 4.5)  3888836.7 
    53     1    2S2 2P2 4P1         (2)0( 0.5)  3900528.9 
    54     1    2S2 2P2 4P1         (4)2( 9.5)  3905576.6 
