SEQ='NE'     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 108033272.5   NPRNTI= 2   NPRNTF= 2
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P5             (2)1( 1.5)        0.0 
     2          2S2 2P5             (2)1( 0.5)    17922.2 

   IC RESOLVED LEVEL INDEXING           BWNR= 111432848.8   NLVL= 337
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    2S2 2P6             (1)0( 0.0)        0.0 
     2     1    2S2 2P5 3S1         (3)1( 2.0)  2017456.8 
     3     1    2S2 2P5 3S1         (3)1( 1.0)  2024436.4 
     4     2    2S2 2P5 3S1         (3)1( 0.0)  2035379.0 
     5     2    2S2 2P5 3S1         (1)1( 1.0)  2043771.1 
     6     1    2S2 2P5 3P1         (3)0( 1.0)  2144134.3 
     7     1    2S2 2P5 3P1         (3)2( 3.0)  2160120.6 
     8     1    2S2 2P5 3P1         (3)2( 2.0)  2161327.7 
     9     1    2S2 2P5 3P1         (3)2( 1.0)  2166782.2 
    10     1    2S2 2P5 3P1         (3)1( 2.0)  2172264.1 
    11     2    2S2 2P5 3P1         (1)1( 1.0)  2179384.3 
    12     1    2S2 2P5 3P1         (3)1( 0.0)  2182094.7 
    13     2    2S2 2P5 3P1         (1)2( 2.0)  2185472.6 
    14     2    2S2 2P5 3P1         (3)1( 1.0)  2186026.6 
    15     2    2S2 2P5 3P1         (1)0( 0.0)  2296020.0 
    16     1    2S2 2P5 3D1         (3)1( 0.0)  2347325.1 
    17     1    2S2 2P5 3D1         (3)1( 1.0)  2349358.8 
    18     1    2S2 2P5 3D1         (3)1( 2.0)  2353445.5 
    19     1    2S2 2P5 3D1         (3)3( 4.0)  2355365.6 
    20     1    2S2 2P5 3D1         (3)3( 3.0)  2358022.4 
    21     1    2S2 2P5 3D1         (3)3( 2.0)  2362953.1 
    22     1    2S2 2P5 3D1         (3)2( 3.0)  2366660.1 
    23     1    2S2 2P5 3D1         (3)2( 1.0)  2376386.1 
    24     2    2S2 2P5 3D1         (1)2( 2.0)  2378223.7 
    25     2    2S2 2P5 3D1         (1)3( 3.0)  2380756.8 
    26     2    2S2 2P5 3D1         (3)2( 2.0)  2381097.5 
    27     2    2S2 2P5 3D1         (1)1( 1.0)  2409466.5 
    28     1    2S2 2P5 4S1         (3)1( 2.0)  2693668.5 
    29     1    2S2 2P5 4S1         (1)1( 1.0)  2696615.8 
    30     2    2S2 2P5 4S1         (3)1( 0.0)  2711590.7 
    31     2    2S2 2P5 4S1         (3)1( 1.0)  2713546.9 
    32     1    2S2 2P5 4P1         (3)0( 1.0)  2743559.5 
    33     1    2S2 2P5 4P1         (3)2( 3.0)  2748230.1 
    34     1    2S2 2P5 4P1         (3)2( 2.0)  2748842.7 
    35     1    2S2 2P5 4P1         (1)1( 1.0)  2751091.7 
    36     1    2S2 2P5 4P1         (3)1( 2.0)  2752462.4 
    37     1    2S2 2P5 4P1         (3)1( 0.0)  2761842.6 
    38     2    2S2 2P5 4P1         (3)2( 1.0)  2765943.4 
    39     2    2S2 2P5 4P1         (3)1( 1.0)  2767978.3 
    40     2    2S2 2P5 4P1         (1)2( 2.0)  2768395.2 
