SEQ='HE'     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  35708278.8   NPRNTI= 1   NPRNTF= 1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S1                 (2)0( 0.5)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR=  68948754.9   NLVL= 127
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    1S2                 (1)0( 0.0)        0.0 
     2     1    1S1 2S1             (3)0( 1.0) 25039266.4 
     3     1    1S1 2P1             (3)1( 0.0) 25189122.3 
     4     1    1S1 2P1             (3)1( 1.0) 25198285.6 
     5     1    1S1 2S1             (1)0( 0.0) 25209781.7 
     6     1    1S1 2P1             (3)1( 2.0) 25222207.3 
     7     1    1S1 2P1             (1)1( 1.0) 25330571.3 
     8     1    1S1 3S1             (3)0( 1.0) 29637782.1 
     9     1    1S1 3P1             (3)1( 0.0) 29678908.9 
    10     1    1S1 3P1             (3)1( 1.0) 29681578.8 
    11     1    1S1 3S1             (1)0( 0.0) 29682314.2 
    12     1    1S1 3P1             (3)1( 2.0) 29688708.2 
    13     1    1S1 3D1             (3)2( 1.0) 29711053.2 
    14     1    1S1 3D1             (3)2( 2.0) 29711502.4 
    15     1    1S1 3D1             (3)2( 3.0) 29714246.8 
    16     1    1S1 3D1             (1)2( 2.0) 29715286.3 
    17     1    1S1 3P1             (1)1( 1.0) 29717945.9 
    18     1    1S1 4S1             (3)0( 1.0) 31225153.5 
    19     1    1S1 4P1             (3)1( 0.0) 31242056.5 
    20     1    1S1 4S1             (1)0( 0.0) 31243159.5 
    21     1    1S1 4P1             (3)1( 1.0) 31243175.7 
    22     1    1S1 4P1             (3)1( 2.0) 31246188.5 
    23     1    1S1 4D1             (3)2( 1.0) 31255364.9 
    24     1    1S1 4D1             (3)2( 2.0) 31255589.8 
    25     1    1S1 4D1             (3)2( 3.0) 31256712.7 
    26     1    1S1 4F1             (3)3( 2.0) 31257203.4 
    27     1    1S1 4F1             (3)3( 3.0) 31257208.1 
    28     1    1S1 4D1             (1)2( 2.0) 31257291.2 
    29     1    1S1 4F1             (3)3( 4.0) 31257876.3 
    30     1    1S1 4F1             (1)3( 3.0) 31257882.6 
    31     1    1S1 4P1             (1)1( 1.0) 31258131.6 
    32     1    1S1 5S1             (3)0( 1.0) 31954909.5 
    33     1    1S1 5P1             (3)1( 0.0) 31963456.2 
    34     1    1S1 5S1             (1)0( 0.0) 31963948.2 
    35     1    1S1 5P1             (3)1( 1.0) 31964027.5 
    36     1    1S1 5P1             (3)1( 2.0) 31965571.0 
    37     1    1S1 5D1             (3)2( 1.0) 31970211.7 
    38     1    1S1 5D1             (3)2( 2.0) 31970333.6 
    39     1    1S1 5D1             (3)2( 3.0) 31970901.9 
    40     1    1S1 5F1             (3)3( 2.0) 31971179.1 
    41     1    1S1 5F1             (3)3( 3.0) 31971182.9 
    42     1    1S1 5D1             (1)2( 2.0) 31971229.4 
    43     1    1S1 5F1             (3)3( 4.0) 31971523.6 
    44     1    1S1 5F1             (1)3( 3.0) 31971528.8 
    45     1    1S1 5P1             (1)1( 1.0) 31971595.4 
    46     1    1S1 5G1             (1)*( 3.0) 31971736.8 
    47     1    1S1 5G1             (1)*( 4.0) 31971736.8 
    48     1    1S1 5G1             (1)*( 4.0) 31971736.8 
    49     1    1S1 5G1             (1)*( 5.0) 31971736.8 
    50     1    1S1 6S1             (3)0( 1.0) 32349677.7 
    51     1    1S1 6P1             (3)1( 0.0) 32354588.6 
    52     1    1S1 6S1             (1)0( 0.0) 32354851.6 
    53     1    1S1 6P1             (3)1( 1.0) 32354918.6 
    54     1    1S1 6P1             (3)1( 2.0) 32355812.1 
    55     1    1S1 6D1             (3)2( 1.0) 32358479.8 
    56     1    1S1 6D1             (3)2( 2.0) 32358552.2 
    57     1    1S1 6D1             (3)2( 3.0) 32358879.2 
    58     1    1S1 6F1             (3)3( 2.0) 32359047.4 
    59     1    1S1 6F1             (3)3( 3.0) 32359050.1 
    60     1    1S1 6D1             (1)2( 2.0) 32359078.3 
    61     1    1S1 6F1             (3)3( 4.0) 32359246.8 
    62     1    1S1 6F1             (1)3( 3.0) 32359250.4 
    63     1    1S1 6P1             (1)1( 1.0) 32359270.3 
    64     1    1S1 6G1             (1)*( 3.0) 32359427.4 
    65     1    1S1 6G1             (1)*( 4.0) 32359427.4 
    66     1    1S1 6G1             (1)*( 4.0) 32359427.4 
    67     1    1S1 6G1             (1)*( 5.0) 32359427.4 
    68     1    1S1 6H1             (1)*( 4.0) 32359476.4 
    69     1    1S1 6H1             (1)*( 5.0) 32359476.4 
    70     1    1S1 6H1             (1)*( 5.0) 32359476.4 
    71     1    1S1 6H1             (1)*( 6.0) 32359476.4 
    72     1    1S1 7S1             (3)0( 1.0) 32587038.2 
    73     1    1S1 7P1             (3)1( 0.0) 32590116.8 
    74     1    1S1 7S1             (1)0( 0.0) 32590274.6 
    75     1    1S1 7P1             (3)1( 1.0) 32590324.4 
    76     1    1S1 7P1             (3)1( 2.0) 32590887.2 
    77     1    1S1 7D1             (3)2( 1.0) 32592560.3 
    78     1    1S1 7D1             (3)2( 2.0) 32592606.6 
    79     1    1S1 7D1             (3)2( 3.0) 32592811.8 
    80     1    1S1 7F1             (3)3( 2.0) 32592920.7 
    81     1    1S1 7F1             (3)3( 3.0) 32592922.5 
    82     1    1S1 7D1             (1)2( 2.0) 32592940.7 
    83     1    1S1 7F1             (3)3( 4.0) 32593046.2 
    84     1    1S1 7F1             (1)3( 3.0) 32593048.8 
    85     1    1S1 7P1             (1)1( 1.0) 32593054.2 
    86     1    1S1 7G1             (1)*( 3.0) 32593185.7 
    87     1    1S1 7G1             (1)*( 4.0) 32593185.7 
    88     1    1S1 7G1             (1)*( 4.0) 32593185.7 
    89     1    1S1 7G1             (1)*( 5.0) 32593185.7 
    90     1    1S1 7H1             (1)*( 4.0) 32593216.5 
    91     1    1S1 7H1             (1)*( 5.0) 32593216.5 
    92     1    1S1 7H1             (1)*( 5.0) 32593216.5 
    93     1    1S1 7H1             (1)*( 6.0) 32593216.5 
    94     1    1S1 7I1             (1)*( 5.0) 32593230.3 
    95     1    1S1 7I1             (1)*( 6.0) 32593230.3 
    96     1    1S1 7I1             (1)*( 6.0) 32593230.3 
    97     1    1S1 7I1             (1)*( 7.0) 32593230.3 
    98     1    1S1 8S1             (3)0( 1.0) 32740777.5 
    99     1    1S1 8P1             (3)1( 0.0) 32742833.5 
   100     1    1S1 8S1             (1)0( 0.0) 32742935.9 
   101     1    1S1 8P1             (3)1( 1.0) 32742972.5 
   102     1    1S1 8P1             (3)1( 2.0) 32743349.5 
   103     1    1S1 8D1             (3)2( 1.0) 32744467.4 
   104     1    1S1 8D1             (3)2( 2.0) 32744498.7 
   105     1    1S1 8D1             (3)2( 3.0) 32744635.9 
   106     1    1S1 8F1             (3)3( 2.0) 32744710.0 
   107     1    1S1 8F1             (3)3( 3.0) 32744711.4 
   108     1    1S1 8D1             (1)2( 2.0) 32744723.8 
   109     1    1S1 8F1             (3)3( 4.0) 32744794.2 
   110     1    1S1 8F1             (1)3( 3.0) 32744796.0 
   111     1    1S1 8P1             (1)1( 1.0) 32744796.6 
   112     1    1S1 8G1             (1)*( 3.0) 32744900.5 
   113     1    1S1 8G1             (1)*( 4.0) 32744900.5 
   114     1    1S1 8G1             (1)*( 4.0) 32744900.5 
   115     1    1S1 8G1             (1)*( 5.0) 32744900.5 
   116     1    1S1 8H1             (1)*( 4.0) 32744921.2 
   117     1    1S1 8H1             (1)*( 5.0) 32744921.2 
   118     1    1S1 8H1             (1)*( 5.0) 32744921.2 
   119     1    1S1 8H1             (1)*( 6.0) 32744921.2 
   120     1    1S1 8I1             (1)*( 5.0) 32744930.4 
   121     1    1S1 8I1             (1)*( 6.0) 32744930.4 
   122     1    1S1 8I1             (1)*( 6.0) 32744930.4 
   123     1    1S1 8I1             (1)*( 7.0) 32744930.4 
   124     1    1S1 8J1             (1)*( 6.0) 32744935.1 
   125     1    1S1 8J1             (1)*( 7.0) 32744935.1 
   126     1    1S1 8J1             (1)*( 7.0) 32744935.1 
   127     1    1S1 8J1             (1)*( 8.0) 32744935.1 

   NL-SHELL INDEXING                     NLREP= 55
   -----------------
   ILREP   N   L
   -----   -   -
     1     1   0
     2     2   0
     3     2   1
     4     3   0
     5     3   1
     6     3   2
     7     4   0
     8     4   1
     9     4   2
    10     4   3
    11     5   0
    12     5   1
    13     5   2
    14     5   3
    15     5   4
    16     6   0
    17     6   1
    18     6   2
    19     6   3
    20     6   4
    21     6   5
    22     7   0
    23     7   1
    24     7   2
    25     7   3
    26     7   4
    27     7   5
    28     7   6
    29     8   0
    30     8   1
    31     8   2
    32     8   3
    33     8   4
    34     8   5
    35     8   6
    36     8   7
    37     9   0
    38     9   1
    39     9   2
    40     9   3
    41     9   4
    42     9   5
    43     9   6
    44     9   7
    45     9   8
    46    10   0
    47    10   1
    48    10   2
    49    10   3
    50    10   4
    51    10   5
    52    10   6
    53    10   7
    54    10   8
    55    10   9

   N-SHELL INDEXING                                     NREP= 42
   ----------------
   INREP   N
   -----   -
     1     1
     2     2
     3     3
     4     4
     5     5
     6     6
     7     7
     8     8
     9     9
    10    10
    11    11
    12    12
    13    13
    14    14
    15    15
    16    16
    17    18
    18    20
    19    22
    20    25
    21    29
    22    35
    23    39
    24    45
    25    49
    26    55
    27    61
    28    70
    29    81
    30   100
    31   115
    32   140
    33   162
    34   200
    35   235
    36   300
    37   353
    38   450
    39   535
    40   700
    41   811
    42   999



 --------------------------
 PRTI= 1  LVLPRT= (2S  0.5)

   INDX TE=  2.89E+03  5.78E+03  1.45E+04  2.89E+04  5.78E+04  1.45E+05  2.89E+05  5.78E+05  1.45E+06  2.89E+06
   ---- ---  5.78E+06  1.45E+07  2.89E+07  5.78E+07  1.45E+08  2.89E+08  5.78E+08  1.45E+09  2.89E+09
     1       4.85E-11  3.43E-11  2.17E-11  1.53E-11  1.08E-11  6.84E-12  4.83E-12  3.40E-12  2.13E-12  1.48E-12
             1.01E-12  5.89E-13  3.71E-13  2.21E-13  9.98E-14  5.04E-14  2.38E-14  8.04E-15  3.34E-15
     2       1.03E-11  7.29E-12  4.61E-12  3.26E-12  2.30E-12  1.46E-12  1.03E-12  7.25E-13  4.55E-13  3.17E-13
             2.17E-13  1.25E-13  7.81E-14  4.56E-14  2.01E-14  9.95E-15  4.63E-15  1.54E-15  6.37E-16
     3       3.14E-12  2.22E-12  1.40E-12  9.90E-13  6.98E-13  4.38E-13  3.06E-13  2.11E-13  1.25E-13  8.03E-14
             4.87E-14  2.24E-14  1.13E-14  5.25E-15  1.71E-15  6.82E-16  2.61E-16  7.03E-17  2.55E-17
     4       9.38E-12  6.63E-12  4.19E-12  2.96E-12  2.09E-12  1.31E-12  9.14E-13  6.31E-13  3.74E-13  2.40E-13
             1.46E-13  6.71E-14  3.39E-14  1.57E-14  5.11E-15  2.04E-15  7.83E-16  2.11E-16  7.64E-17
     5       3.23E-12  2.28E-12  1.44E-12  1.02E-12  7.21E-13  4.56E-13  3.22E-13  2.28E-13  1.43E-13  1.00E-13
             6.91E-14  4.03E-14  2.53E-14  1.48E-14  6.58E-15  3.27E-15  1.52E-15  5.10E-16  2.11E-16
     6       1.55E-11  1.10E-11  6.92E-12  4.89E-12  3.45E-12  2.16E-12  1.51E-12  1.04E-12  6.18E-13  3.97E-13
             2.41E-13  1.11E-13  5.61E-14  2.61E-14  8.48E-15  3.39E-15  1.30E-15  3.50E-16  1.27E-16
     7       8.93E-12  6.31E-12  3.99E-12  2.82E-12  1.99E-12  1.25E-12  8.71E-13  6.02E-13  3.57E-13  2.30E-13
             1.40E-13  6.49E-14  3.29E-14  1.53E-14  5.00E-15  2.00E-15  7.67E-16  2.07E-16  7.50E-17
     8       3.35E-12  2.37E-12  1.50E-12  1.06E-12  7.49E-13  4.74E-13  3.35E-13  2.36E-13  1.48E-13  1.03E-13
             6.97E-14  3.97E-14  2.44E-14  1.41E-14  6.12E-15  3.01E-15  1.39E-15  4.62E-16  1.90E-16
     9       1.17E-12  8.29E-13  5.24E-13  3.70E-13  2.61E-13  1.64E-13  1.14E-13  7.90E-14  4.68E-14  3.01E-14
             1.82E-14  8.33E-15  4.19E-15  1.94E-15  6.26E-16  2.49E-16  9.54E-17  2.56E-17  9.29E-18
    10       3.51E-12  2.48E-12  1.57E-12  1.11E-12  7.81E-13  4.90E-13  3.42E-13  2.37E-13  1.40E-13  9.00E-14
             5.45E-14  2.50E-14  1.25E-14  5.80E-15  1.88E-15  7.48E-16  2.86E-16  7.69E-17  2.79E-17
    11       1.08E-12  7.62E-13  4.82E-13  3.40E-13  2.41E-13  1.52E-13  1.08E-13  7.60E-14  4.78E-14  3.33E-14
             2.27E-14  1.30E-14  8.03E-15  4.65E-15  2.03E-15  9.99E-16  4.62E-16  1.53E-16  6.32E-17
    12       5.81E-12  4.11E-12  2.60E-12  1.83E-12  1.29E-12  8.12E-13  5.67E-13  3.92E-13  2.32E-13  1.49E-13
             9.05E-14  4.15E-14  2.09E-14  9.65E-15  3.12E-15  1.24E-15  4.76E-16  1.28E-16  4.64E-17
    13       2.37E-12  1.67E-12  1.05E-12  7.42E-13  5.21E-13  3.22E-13  2.20E-13  1.45E-13  7.81E-14  4.48E-14
             2.35E-14  8.71E-15  3.73E-15  1.49E-15  4.16E-16  1.53E-16  5.51E-17  1.41E-17  5.02E-18
    14       3.94E-12  2.78E-12  1.76E-12  1.24E-12  8.68E-13  5.37E-13  3.66E-13  2.42E-13  1.30E-13  7.47E-14
             3.92E-14  1.45E-14  6.21E-15  2.49E-15  6.92E-16  2.54E-16  9.18E-17  2.35E-17  8.36E-18
    15       5.50E-12  3.89E-12  2.45E-12  1.73E-12  1.21E-12  7.49E-13  5.11E-13  3.39E-13  1.82E-13  1.04E-13
             5.48E-14  2.03E-14  8.69E-15  3.48E-15  9.68E-16  3.55E-16  1.28E-16  3.29E-17  1.17E-17
    16       3.93E-12  2.78E-12  1.75E-12  1.23E-12  8.65E-13  5.35E-13  3.65E-13  2.42E-13  1.30E-13  7.45E-14
             3.91E-14  1.45E-14  6.20E-15  2.49E-15  6.91E-16  2.54E-16  9.16E-17  2.35E-17  8.34E-18
    17       3.40E-12  2.41E-12  1.52E-12  1.07E-12  7.57E-13  4.76E-13  3.33E-13  2.30E-13  1.37E-13  8.80E-14
             5.34E-14  2.46E-14  1.24E-14  5.73E-15  1.86E-15  7.41E-16  2.84E-16  7.62E-17  2.76E-17
    18       1.55E-12  1.09E-12  6.91E-13  4.89E-13  3.45E-13  2.18E-13  1.54E-13  1.08E-13  6.74E-14  4.64E-14
             3.12E-14  1.75E-14  1.06E-14  6.08E-15  2.62E-15  1.29E-15  5.92E-16  1.96E-16  8.05E-17
    19       5.57E-13  3.94E-13  2.49E-13  1.76E-13  1.24E-13  7.78E-14  5.43E-14  3.75E-14  2.21E-14  1.41E-14
             8.52E-15  3.87E-15  1.93E-15  8.90E-16  2.87E-16  1.14E-16  4.35E-17  1.17E-17  4.23E-18
    20       5.02E-13  3.55E-13  2.24E-13  1.59E-13  1.12E-13  7.09E-14  5.01E-14  3.53E-14  2.20E-14  1.52E-14
             1.03E-14  5.78E-15  3.52E-15  2.02E-15  8.71E-16  4.27E-16  1.97E-16  6.52E-17  2.68E-17
    21       1.67E-12  1.18E-12  7.45E-13  5.26E-13  3.71E-13  2.33E-13  1.63E-13  1.12E-13  6.62E-14  4.24E-14
             2.55E-14  1.16E-14  5.80E-15  2.67E-15  8.59E-16  3.42E-16  1.30E-16  3.50E-17  1.27E-17
    22       2.77E-12  1.96E-12  1.24E-12  8.73E-13  6.16E-13  3.87E-13  2.70E-13  1.86E-13  1.10E-13  7.05E-14
             4.24E-14  1.93E-14  9.64E-15  4.44E-15  1.43E-15  5.69E-16  2.17E-16  5.83E-17  2.11E-17
    23       1.48E-12  1.04E-12  6.59E-13  4.64E-13  3.26E-13  2.02E-13  1.38E-13  9.11E-14  4.89E-14  2.80E-14
             1.47E-14  5.42E-15  2.32E-15  9.27E-16  2.58E-16  9.45E-17  3.41E-17  8.74E-18  3.11E-18
    24       2.46E-12  1.74E-12  1.10E-12  7.74E-13  5.43E-13  3.36E-13  2.29E-13  1.52E-13  8.15E-14  4.67E-14
             2.45E-14  9.04E-15  3.86E-15  1.55E-15  4.29E-16  1.58E-16  5.68E-17  1.46E-17  5.18E-18
    25       3.44E-12  2.43E-12  1.54E-12  1.08E-12  7.59E-13  4.69E-13  3.20E-13  2.12E-13  1.14E-13  6.53E-14
             3.42E-14  1.26E-14  5.40E-15  2.16E-15  6.01E-16  2.20E-16  7.95E-17  2.04E-17  7.24E-18
    26       1.31E-12  9.24E-13  5.81E-13  4.07E-13  2.83E-13  1.71E-13  1.12E-13  7.00E-14  3.33E-14  1.70E-14
             7.90E-15  2.51E-15  9.81E-16  3.67E-16  9.66E-17  3.46E-17  1.23E-17  3.13E-18  1.11E-18
    27       1.83E-12  1.29E-12  8.14E-13  5.70E-13  3.97E-13  2.39E-13  1.57E-13  9.80E-14  4.67E-14  2.38E-14
             1.11E-14  3.52E-15  1.37E-15  5.14E-16  1.35E-16  4.85E-17  1.73E-17  4.39E-18  1.55E-18
    28       2.46E-12  1.74E-12  1.10E-12  7.72E-13  5.42E-13  3.35E-13  2.29E-13  1.51E-13  8.13E-14  4.66E-14
             2.45E-14  9.03E-15  3.86E-15  1.54E-15  4.29E-16  1.57E-16  5.68E-17  1.46E-17  5.17E-18
    29       2.35E-12  1.66E-12  1.04E-12  7.33E-13  5.09E-13  3.07E-13  2.02E-13  1.26E-13  5.99E-14  3.06E-14
             1.42E-14  4.52E-15  1.76E-15  6.61E-16  1.74E-16  6.23E-17  2.22E-17  5.64E-18  2.00E-18
    30       1.83E-12  1.29E-12  8.13E-13  5.70E-13  3.96E-13  2.39E-13  1.57E-13  9.79E-14  4.66E-14  2.38E-14
             1.10E-14  3.51E-15  1.37E-15  5.14E-16  1.35E-16  4.85E-17  1.73E-17  4.38E-18  1.55E-18
    31       1.63E-12  1.15E-12  7.29E-13  5.15E-13  3.63E-13  2.28E-13  1.59E-13  1.10E-13  6.51E-14  4.18E-14
             2.52E-14  1.15E-14  5.75E-15  2.65E-15  8.54E-16  3.40E-16  1.30E-16  3.49E-17  1.26E-17
    32       8.57E-13  6.06E-13  3.83E-13  2.71E-13  1.91E-13  1.21E-13  8.49E-14  5.96E-14  3.68E-14  2.51E-14
             1.67E-14  9.22E-15  5.56E-15  3.16E-15  1.36E-15  6.63E-16  3.05E-16  1.01E-16  4.14E-17
    33       3.11E-13  2.20E-13  1.39E-13  9.81E-14  6.92E-14  4.34E-14  3.02E-14  2.08E-14  1.22E-14  7.76E-15
             4.64E-15  2.09E-15  1.04E-15  4.77E-16  1.53E-16  6.08E-17  2.32E-17  6.22E-18  2.25E-18
    34       2.80E-13  1.98E-13  1.25E-13  8.84E-14  6.24E-14  3.94E-14  2.78E-14  1.95E-14  1.21E-14  8.26E-15
             5.52E-15  3.06E-15  1.85E-15  1.05E-15  4.51E-16  2.21E-16  1.01E-16  3.35E-17  1.38E-17
    35       9.33E-13  6.59E-13  4.16E-13  2.94E-13  2.07E-13  1.30E-13  9.06E-14  6.23E-14  3.66E-14  2.33E-14
             1.39E-14  6.27E-15  3.12E-15  1.43E-15  4.59E-16  1.82E-16  6.95E-17  1.86E-17  6.75E-18
    36       1.55E-12  1.09E-12  6.91E-13  4.88E-13  3.44E-13  2.16E-13  1.51E-13  1.04E-13  6.08E-14  3.87E-14
             2.32E-14  1.04E-14  5.19E-15  2.38E-15  7.64E-16  3.04E-16  1.16E-16  3.11E-17  1.12E-17
    37       9.06E-13  6.40E-13  4.04E-13  2.84E-13  1.99E-13  1.23E-13  8.41E-14  5.56E-14  2.98E-14  1.70E-14
             8.90E-15  3.27E-15  1.40E-15  5.58E-16  1.55E-16  5.68E-17  2.05E-17  5.25E-18  1.86E-18
    38       1.51E-12  1.07E-12  6.72E-13  4.74E-13  3.32E-13  2.05E-13  1.40E-13  9.27E-14  4.96E-14  2.84E-14
             1.48E-14  5.46E-15  2.33E-15  9.30E-16  2.58E-16  9.46E-17  3.41E-17  8.74E-18  3.11E-18
    39       2.11E-12  1.49E-12  9.40E-13  6.62E-13  4.65E-13  2.87E-13  1.96E-13  1.30E-13  6.94E-14  3.97E-14
             2.07E-14  7.63E-15  3.26E-15  1.30E-15  3.61E-16  1.32E-16  4.77E-17  1.22E-17  4.35E-18
    40       1.15E-12  8.13E-13  5.11E-13  3.58E-13  2.49E-13  1.50E-13  9.89E-14  6.16E-14  2.93E-14  1.50E-14
             6.93E-15  2.20E-15  8.60E-16  3.22E-16  8.47E-17  3.03E-17  1.08E-17  2.75E-18  9.72E-19
    41       1.61E-12  1.14E-12  7.16E-13  5.02E-13  3.49E-13  2.10E-13  1.38E-13  8.63E-14  4.10E-14  2.10E-14
             9.71E-15  3.08E-15  1.20E-15  4.51E-16  1.19E-16  4.25E-17  1.51E-17  3.84E-18  1.36E-18
    42       1.51E-12  1.06E-12  6.71E-13  4.73E-13  3.32E-13  2.05E-13  1.40E-13  9.26E-14  4.95E-14  2.83E-14
             1.48E-14  5.45E-15  2.32E-15  9.29E-16  2.58E-16  9.45E-17  3.41E-17  8.74E-18  3.10E-18
    43       2.07E-12  1.46E-12  9.20E-13  6.45E-13  4.48E-13  2.70E-13  1.78E-13  1.11E-13  5.27E-14  2.69E-14
             1.25E-14  3.96E-15  1.55E-15  5.79E-16  1.52E-16  5.46E-17  1.94E-17  4.94E-18  1.75E-18
    44       1.61E-12  1.14E-12  7.15E-13  5.01E-13  3.49E-13  2.10E-13  1.38E-13  8.62E-14  4.10E-14  2.09E-14
             9.70E-15  3.08E-15  1.20E-15  4.51E-16  1.18E-16  4.25E-17  1.51E-17  3.84E-18  1.36E-18
    45       9.16E-13  6.47E-13  4.09E-13  2.89E-13  2.04E-13  1.28E-13  8.92E-14  6.14E-14  3.61E-14  2.30E-14
             1.38E-14  6.24E-15  3.10E-15  1.42E-15  4.57E-16  1.82E-16  6.93E-17  1.86E-17  6.73E-18
    46       6.87E-13  4.84E-13  3.03E-13  2.11E-13  1.45E-13  8.42E-14  5.27E-14  3.06E-14  1.29E-14  5.97E-15
             2.53E-15  7.32E-16  2.73E-16  9.94E-17  2.56E-17  9.11E-18  3.23E-18  8.19E-19  2.90E-19
    47       8.83E-13  6.22E-13  3.90E-13  2.71E-13  1.86E-13  1.08E-13  6.78E-14  3.94E-14  1.66E-14  7.67E-15
             3.25E-15  9.41E-16  3.51E-16  1.28E-16  3.29E-17  1.17E-17  4.15E-18  1.05E-18  3.73E-19
