SEQ='BE'     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  76358438.3   NPRNTI= 3   NPRNTF= 3
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S1                 (2)0( 0.5)        0.0 
     2          2P1                 (2)1( 0.5)   262317.2 
     3          2P1                 (2)1( 1.5)   286598.3 

   IC RESOLVED LEVEL INDEXING           BWNR=  83257501.5   NLVL= 466
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    2S2                 (1)0( 0.0)        0.0 
     2  9999    2S1 2P1             (3)1( 0.0)   232333.8 
     3  9999    2S1 2P1             (3)1( 1.0)   239470.3 
     4  9999    2S1 2P1             (3)1( 2.0)   255316.4 
     5  9999    2S1 2P1             (1)1( 1.0)   463871.2 
     6  9999    2P2                 (3)1( 0.0)   611022.9 
     7  9999    2P2                 (3)1( 1.0)   620493.6 
     8  9999    2P2                 (3)1( 2.0)   634048.8 
     9  9999    2P2                 (1)2( 2.0)   702259.0 
    10  9999    2P2                 (1)0( 0.0)   853979.8 
    11     1    2S1 3S1             (3)0( 1.0)  3940870.2 
    12     1    2S1 3S1             (1)0( 0.0)  3995369.5 
    13     1    2S1 3P1             (3)1( 0.0)  4047322.8 
    14     1    2S1 3P1             (3)1( 1.0)  4049029.6 
    15     1    2S1 3P1             (3)1( 2.0)  4053879.8 
    16     1    2S1 3P1             (1)1( 1.0)  4069460.3 
    17     1    2S1 3D1             (3)2( 1.0)  4111072.1 
    18     1    2S1 3D1             (3)2( 2.0)  4111855.3 
    19     1    2S1 3D1             (3)2( 3.0)  4113086.3 
    20     1    2S1 3D1             (1)2( 2.0)  4155252.1 
    21     2    2P1 3S1             (3)1( 0.0)  4226987.3 
    22     2    2P1 3S1             (3)1( 1.0)  4231219.5 
    23     3    2P1 3S1             (3)1( 2.0)  4251268.4 
    24     3    2P1 3S1             (1)1( 1.0)  4269010.1 
    25     2    2P1 3P1             (3)2( 1.0)  4292427.2 
    26     2    2P1 3P1             (1)1( 1.0)  4309451.2 
    27     2    2P1 3P1             (3)2( 2.0)  4309759.3 
    28     3    2P1 3P1             (3)2( 3.0)  4326417.7 
    29     3    2P1 3P1             (3)0( 1.0)  4334560.9 
    30     2    2P1 3P1             (3)1( 0.0)  4348594.5 
    31     3    2P1 3P1             (3)1( 1.0)  4358405.1 
    32     2    2P1 3D1             (3)3( 2.0)  4362600.5 
    33     3    2P1 3P1             (3)1( 2.0)  4365301.6 
    34     2    2P1 3D1             (3)3( 3.0)  4374248.8 
    35     2    2P1 3D1             (1)2( 2.0)  4379600.7 
    36     3    2P1 3D1             (3)3( 4.0)  4388367.4 
    37     3    2P1 3P1             (1)2( 2.0)  4393179.0 
    38     2    2P1 3D1             (3)2( 1.0)  4401982.5 
    39     3    2P1 3D1             (3)2( 2.0)  4406074.5 
    40     3    2P1 3D1             (3)2( 3.0)  4416157.4 
    41     3    2P1 3D1             (3)1( 2.0)  4422024.5 
    42     3    2P1 3D1             (3)1( 1.0)  4423554.3 
    43     3    2P1 3D1             (3)1( 0.0)  4424447.6 
    44     3    2P1 3P1             (1)0( 0.0)  4437418.3 
    45     3    2P1 3D1             (1)1( 1.0)  4468544.8 
    46     3    2P1 3D1             (1)3( 3.0)  4472313.9 
    47     1    2S1 4S1             (3)0( 1.0)  5270055.8 
    48     1    2S1 4S1             (1)0( 0.0)  5287228.7 
    49     1    2S1 4P1             (3)1( 0.0)  5311964.1 
    50     1    2S1 4P1             (3)1( 1.0)  5312644.4 
    51     1    2S1 4P1             (3)1( 2.0)  5314704.0 
    52     1    2S1 4P1             (1)1( 1.0)  5320035.4 
    53     1    2S1 4D1             (3)2( 1.0)  5337923.8 
    54     1    2S1 4D1             (3)2( 2.0)  5338251.1 
    55     1    2S1 4D1             (3)2( 3.0)  5338773.0 
    56     1    2S1 4D1             (1)2( 2.0)  5352248.3 
    57     1    2S1 4F1             (3)3( 2.0)  5353066.7 
    58     1    2S1 4F1             (3)3( 3.0)  5353228.2 
    59     1    2S1 4F1             (3)3( 4.0)  5353479.3 
    60     1    2S1 4F1             (1)3( 3.0)  5355959.8 
    61     2    2P1 4S1             (3)1( 0.0)  5540165.8 
    62     2    2P1 4S1             (3)1( 1.0)  5542197.9 
    63     3    2P1 4S1             (3)1( 2.0)  5564447.0 
    64     3    2P1 4S1             (1)1( 1.0)  5569873.5 
    65     2    2P1 4P1             (3)2( 1.0)  5570025.0 
    66     2    2P1 4P1             (3)2( 2.0)  5579708.7 
    67     2    2P1 4P1             (3)0( 1.0)  5579736.7 
    68     2    2P1 4P1             (3)1( 0.0)  5588844.9 
