SEQ='BE'     NUCCHG=18                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  76039261.2   NPRNTI= 2   NPRNTF= 2
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S1                 (2)0( 0.5)        0.0 
     2          2P1                 (2)1( 2.5)   257223.7 

   LS RESOLVED TERM INDEXING            BWNR=  82908802.3   NTRM= 246
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    2S2                 (1)0( 0.0)        0.0 
     2  9999    2S1 2P1             (3)1( 4.0)   229492.2 
     3  9999    2S1 2P1             (1)1( 1.0)   445183.5 
     4  9999    2P2                 (3)1( 4.0)   589717.3 
     5  9999    2P2                 (1)2( 2.0)   662055.2 
     6  9999    2P2                 (1)0( 0.0)   815843.3 
     7     1    2S1 3S1             (3)0( 1.0)  3922587.7 
     8     1    2S1 3S1             (1)0( 0.0)  3977086.9 
     9     1    2S1 3P1             (3)1( 4.0)  4027671.2 
    10     1    2S1 3P1             (1)1( 1.0)  4044958.5 
    11     1    2S1 3D1             (3)2( 7.0)  4084493.5 
    12     1    2S1 3D1             (1)2( 2.0)  4127442.5 
    13     2    2P1 3S1             (3)1( 4.0)  4203611.2 
    14     2    2P1 3S1             (1)1( 1.0)  4225585.1 
    15     2    2P1 3P1             (1)1( 1.0)  4259499.2 
    16     2    2P1 3P1             (3)2( 7.0)  4270834.5 
    17     2    2P1 3P1             (3)0( 1.0)  4287837.5 
    18     2    2P1 3P1             (3)1( 4.0)  4316016.7 
    19     2    2P1 3D1             (1)2( 2.0)  4329216.7 
    20     2    2P1 3D1             (3)3(10.0)  4330400.0 
    21     2    2P1 3P1             (1)2( 2.0)  4345477.2 
    22     2    2P1 3D1             (3)2( 7.0)  4362910.0 
    23     2    2P1 3D1             (3)1( 4.0)  4368494.4 
    24     2    2P1 3P1             (1)0( 0.0)  4389667.9 
    25     2    2P1 3D1             (1)1( 1.0)  4417084.3 
    26     2    2P1 3D1             (1)3( 3.0)  4421803.0 
    27     1    2S1 4S1             (3)0( 1.0)  5245504.0 
    28     1    2S1 4S1             (1)0( 0.0)  5262676.9 
    29     1    2S1 4P1             (3)1( 4.0)  5286876.5 
    30     1    2S1 4P1             (1)1( 1.0)  5292888.2 
    31     1    2S1 4D1             (3)2( 7.0)  5309943.1 
    32     1    2S1 4D1             (1)2( 2.0)  5323745.7 
    33     1    2S1 4F1             (3)3(10.0)  5324237.1 
    34     1    2S1 4F1             (1)3( 3.0)  5326879.1 
    35     2    2P1 4S1             (3)1( 4.0)  5510520.5 
    36     2    2P1 4S1             (1)1( 1.0)  5517979.1 
    37     2    2P1 4P1             (1)1( 1.0)  5536292.1 
    38     2    2P1 4P1             (3)2( 7.0)  5540813.6 
    39     2    2P1 4P1             (3)0( 1.0)  5547595.8 
    40     2    2P1 4P1             (3)1( 4.0)  5553676.9 
    41     2    2P1 4D1             (1)2( 2.0)  5562900.1 
    42     2    2P1 4D1             (3)3(10.0)  5563650.7 
    43     2    2P1 4P1             (1)2( 2.0)  5564610.0 
    44     2    2P1 4D1             (3)2( 7.0)  5574219.2 
    45     2    2P1 4D1             (3)1( 4.0)  5576644.4 
    46     2    2P1 4F1             (1)3( 3.0)  5576881.4 
    47     2    2P1 4F1             (3)3(10.0)  5577714.9 
    48     2    2P1 4P1             (1)0( 0.0)  5581009.6 
    49     2    2P1 4F1             (3)4(13.0)  5583024.2 
    50     2    2P1 4F1             (3)2( 7.0)  5586632.9 
    51     2    2P1 4F1             (1)4( 4.0)  5586997.1 
    52     2    2P1 4F1             (1)2( 2.0)  5588787.2 
    53     2    2P1 4D1             (1)1( 1.0)  5593726.3 
    54     2    2P1 4D1             (1)3( 3.0)  5594844.6 
    55     1    2S1 5S1             (3)0( 1.0)  5841511.8 
    56     1    2S1 5S1             (1)0( 0.0)  5849322.8 
    57     1    2S1 5P1             (3)1( 4.0)  5862104.5 
    58     1    2S1 5P1             (1)1( 1.0)  5864952.0 
    59     1    2S1 5D1             (3)2( 7.0)  5873714.2 
    60     1    2S1 5D1             (1)2( 2.0)  5879989.2 
    61     1    2S1 5F1             (3)3(10.0)  5880471.2 
    62     1    2S1 5G1             (3)4(13.0)  5881311.1 
    63     1    2S1 5G1             (1)4( 4.0)  5881311.1 
    64     1    2S1 5F1             (1)3( 3.0)  5882162.8 
    65     2    2P1 5S1             (3)1( 4.0)  6102348.6 
    66     2    2P1 5S1             (1)1( 1.0)  6105833.2 
    67     2    2P1 5P1             (1)1( 1.0)  6115861.2 
    68     2    2P1 5P1             (3)2( 7.0)  6118060.6 
    69     2    2P1 5P1             (3)0( 1.0)  6121359.6 
