SEQ='AL'     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 113591722.5   NPRNTI= 4   NPRNTF=24
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S2                 (1)0( 0.0)        0.0 
     2          3S1 3P1             (3)1( 0.0)   112374.1 
     3          3S1 3P1             (3)1( 1.0)   113146.7 
     4          3S1 3P1             (3)1( 2.0)   114754.1 
     5          3S1 3P1             (1)1( 1.0)   173170.4*
     6          3P2                 (1)2( 2.0)   265156.7*
     7          3P2                 (3)1( 0.0)   270187.3*
     8          3P2                 (3)1( 1.0)   271077.3*
     9          3P2                 (3)1( 2.0)   272796.3*
    10          3P2                 (1)0( 0.0)   320050.1*
    11          3S1 3D1             (3)2( 1.0)   329789.1*
    12          3S1 3D1             (3)2( 2.0)   329855.6*
    13          3S1 3D1             (3)2( 3.0)   329955.6*
    14          3S1 3D1             (1)2( 2.0)   381955.3*
    15          3P1 3D1             (3)3( 2.0)   448709.4*
    16          3P1 3D1             (3)3( 3.0)   449667.8*
    17          3P1 3D1             (3)3( 4.0)   450847.2*
    18          3P1 3D1             (1)2( 2.0)   454725.9*
    19          3P1 3D1             (3)1( 2.0)   478623.0*
    20          3P1 3D1             (3)1( 1.0)   479303.2*
    21          3P1 3D1             (3)1( 0.0)   479888.5*
    22          3P1 3D1             (3)2( 1.0)   481475.4*
    23          3P1 3D1             (3)2( 2.0)   481855.8*
    24          3P1 3D1             (3)2( 3.0)   482071.0*

   IC RESOLVED LEVEL INDEXING           BWNR= 114327603.5   NLVL= 830
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    3S2 3P1             (2)1( 0.5)        0.0 
     2  9999    3S2 3P1             (2)1( 1.5)     2156.8 
     3  9999    3S1 3P2             (4)1( 0.5)    98612.1 
     4  9999    3S1 3P2             (4)1( 1.5)    99383.7 
     5  9999    3S1 3P2             (4)1( 2.5)   100594.9 
     6  9999    3S1 3P2             (2)2( 1.5)   133633.4 
     7  9999    3S1 3P2             (2)2( 2.5)   133717.6 
     8  9999    3S1 3P2             (2)0( 0.5)   173519.1 
     9  9999    3S1 3P2             (2)1( 0.5)   186115.9 
    10  9999    3S1 3P2             (2)1( 1.5)   187477.8 
    11  9999    3S2 3D1             (2)2( 1.5)   227573.5 
    12  9999    3S2 3D1             (2)2( 2.5)   227676.4 
    13  9999    3P3                 (2)2( 1.5)   260909.4 
    14  9999    3P3                 (2)2( 2.5)   261126.7 
    15  9999    3P3                 (4)0( 1.5)   271170.0 
    16  9999    3S1 3P1 3D1         (4)3( 1.5)   294407.3 
    17  9999    3S1 3P1 3D1         (4)3( 2.5)   294851.1 
    18  9999    3S1 3P1 3D1         (4)3( 3.5)   295480.4 
    19  9999    3S1 3P1 3D1         (4)3( 4.5)   296304.2 
    20  9999    3P3                 (2)1( 1.5)   297691.0 
    21  9999    3P3                 (2)1( 0.5)   297744.1 
    22  9999    3S1 3P1 3D1         (4)1( 2.5)   320699.3 
    23  9999    3S1 3P1 3D1         (4)1( 1.5)   321273.7 
    24  9999    3S1 3P1 3D1         (4)1( 0.5)   321688.4 
    25  9999    3S1 3P1 3D1         (4)2( 0.5)   324403.1 
    26  9999    3S1 3P1 3D1         (4)2( 1.5)   324640.1 
    27  9999    3S1 3P1 3D1         (4)2( 2.5)   324902.1 
    28  9999    3S1 3P1 3D1         (4)2( 3.5)   325110.4 
    29  9999    3S1 3P1 3D1         (2)2( 2.5)   335004.2 
    30  9999    3S1 3P1 3D1         (2)2( 1.5)   335035.0 
    31     1    3S2 4S1             (2)0( 0.5)   345675.3 
    32  9999    3S1 3P1 3D1         (2)3( 2.5)   354529.3 
    33  9999    3S1 3P1 3D1         (2)3( 3.5)   356248.3 
    34  9999    3S1 3P1 3D1         (2)1( 1.5)   389222.1 
    35  9999    3S1 3P1 3D1         (2)1( 0.5)   389922.5 
    36  9999    3S1 3P1 3D1         (2)3( 3.5)   393260.1 
    37  9999    3S1 3P1 3D1         (2)3( 2.5)   393736.7 
    38     1    3S2 4P1             (2)1( 0.5)   394502.1 
    39     1    3S2 4P1             (2)1( 1.5)   395184.5 
    40  9999    3S1 3P1 3D1         (2)1( 0.5)   405911.7 
    41  9999    3S1 3P1 3D1         (2)1( 1.5)   406151.4 
    42  9999    3S1 3P1 3D1         (2)2( 1.5)   408738.2 
    43  9999    3S1 3P1 3D1         (2)2( 2.5)   409068.7 
    44  9999    3P2 3D1             (2)3( 2.5)   443083.4 
    45  9999    3P2 3D1             (2)3( 3.5)   443912.2 
    46  9999    3P2 3D1             (4)3( 1.5)   450987.0 
    47  9999    3P2 3D1             (4)3( 2.5)   451440.0 
    48  9999    3P2 3D1             (4)3( 3.5)   452070.0 
    49  9999    3P2 3D1             (4)3( 4.5)   452868.9 
    50     2    3S1 3P1 4S1         (4)1( 0.5)   454515.2 
    51     3    3S1 3P1 4S1         (4)1( 1.5)   455283.3 
    52     4    3S1 3P1 4S1         (4)1( 2.5)   456647.3 
    53  9999    3P2 3D1             (2)1( 1.5)   457572.9 
    54  9999    3P2 3D1             (2)1( 0.5)   458864.2 
    55     1    3S2 4D1             (2)2( 1.5)   459015.8 
    56     1    3S2 4D1             (2)2( 2.5)   459070.3 
    57  9999    3P2 3D1             (4)2( 1.5)   461592.1 
    58  9999    3P2 3D1             (4)2( 0.5)   461603.7 
    59  9999    3P2 3D1             (4)2( 2.5)   461783.1 
    60  9999    3P2 3D1             (4)2( 3.5)   462212.7 
    61     3    3S1 3P1 4S1         (2)1( 0.5)   470830.0 
    62     4    3S1 3P1 4S1         (2)1( 1.5)   472215.3 
    63  9999    3P2 3D1             (2)4( 3.5)   472986.5 
    64  9999    3P2 3D1             (2)4( 4.5)   473142.1 
    65     1    3S2 4F1             (2)3( 2.5)   484714.8 
    66     1    3S2 4F1             (2)3( 3.5)   484730.9 
    67  9999    3P2 3D1             (2)2( 2.5)   485318.2 
