SEQ='AL'     NUCCHG=18                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 113193148.8   NPRNTI= 2   NPRNTF=12
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S2                 (1)0( 0.0)        0.0 
     2          3S1 3P1             (3)1( 4.0)   111438.1 
     3          3S1 3P1             (1)1( 1.0)   170493.9*
     4          3P2                 (1)2( 2.0)   260346.6*
     5          3P2                 (3)1( 4.0)   266665.2*
     6          3P2                 (1)0( 0.0)   314828.5*
     7          3S1 3D1             (3)2( 7.0)   325881.7*
     8          3S1 3D1             (1)2( 2.0)   377637.0*
     9          3P1 3D1             (3)3(10.0)   443287.6*
    10          3P1 3D1             (1)2( 2.0)   447952.7*
    11          3P1 3D1             (3)1( 4.0)   472525.7*
    12          3P1 3D1             (3)2( 7.0)   475048.7*

   LS RESOLVED TERM INDEXING            BWNR= 113926516.9   NTRM= 326
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    3S2 3P1             (2)1( 2.5)        0.0 
     2  9999    3S1 3P2             (4)1( 5.5)    96037.3 
     3  9999    3S1 3P2             (2)2( 4.5)   129927.6 
     4  9999    3S1 3P2             (2)0( 0.5)   169701.2 
     5  9999    3S1 3P2             (2)1( 2.5)   182950.7 
     6  9999    3S2 3D1             (2)2( 4.5)   224625.9 
     7  9999    3P3                 (2)2( 4.5)   255053.5 
     8  9999    3S1 3P1 3D1         (4)3(13.5)   290259.7 
     9  9999    3P3                 (2)1( 2.5)   291517.2 
    10  9999    3S1 3P1 3D1         (4)1( 5.5)   315946.0 
    11  9999    3S1 3P1 3D1         (4)2( 9.5)   319553.1 
    12  9999    3S1 3P1 3D1         (2)2( 4.5)   329443.4 
    13     1    3S2 4S1             (2)0( 0.5)   344411.4 
    14  9999    3S1 3P1 3D1         (2)3( 6.5)   350218.7 
    15  9999    3S1 3P1 3D1         (2)1( 2.5)   384011.5 
    16  9999    3S1 3P1 3D1         (2)3( 6.5)   388113.3 
    17     1    3S2 4P1             (2)1( 2.5)   392938.7 
    18  9999    3S1 3P1 3D1         (2)1( 2.5)   400701.9 
    19  9999    3S1 3P1 3D1         (2)2( 4.5)   403321.7 
    20  9999    3P2 3D1             (2)3( 6.5)   435949.1 
    21  9999    3P2 3D1             (4)3(13.5)   444288.3 
    22  9999    3P2 3D1             (2)1( 2.5)   450412.8 
    23     2    3S1 3P1 4S1         (4)1( 5.5)   452064.2 
    24  9999    3P2 3D1             (4)2( 9.5)   454022.1 
    25     1    3S2 4D1             (2)2( 4.5)   456598.3 
    26  9999    3P2 3D1             (2)4( 8.5)   465372.4 
    27     2    3S1 3P1 4S1         (2)1( 2.5)   467950.3 
    28  9999    3P2 3D1             (2)2( 4.5)   477828.4 
    29     1    3S2 4F1             (2)3( 6.5)   482222.4 
    30  9999    3P2 3D1             (4)1( 5.5)   482494.4 
    31     2    3S1 3P1 4P1         (4)2( 9.5)   496459.7 
    32     2    3S1 3P1 4P1         (2)1( 2.5)   498367.8 
    33  9999    3P2 3D1             (2)1( 2.5)   502589.1 
    34     2    3S1 3P1 4P1         (4)0( 1.5)   503049.9 
    35  9999    3P2 3D1             (2)0( 0.5)   503338.8 
    36     2    3S1 3P1 4P1         (4)1( 5.5)   505139.5 
    37  9999    3P2 3D1             (2)2( 4.5)   508051.7 
    38     1    3S2 5S1             (2)0( 0.5)   509858.5 
    39     2    3S1 3P1 4P1         (2)2( 4.5)   513532.4 
    40     3    3S1 3P1 4S1         (2)1( 2.5)   516897.6 
    41  9999    3P2 3D1             (2)3( 6.5)   518099.7 
    42     2    3S1 3P1 4P1         (2)0( 0.5)   524851.5 
    43     1    3S2 5P1             (2)1( 2.5)   531377.3 
    44  9999    3S1 3D2             (4)1( 5.5)   536737.1 
    45  9999    3P2 3D1             (2)2( 4.5)   547329.9 
    46     1    3S2 5D1             (2)2( 4.5)   560573.6 
    47     3    3S1 3P1 4P1         (2)2( 4.5)   561659.7 
    48     2    3S1 3P1 4D1         (4)2( 9.5)   563716.2 
    49     2    3S1 3P1 4D1         (2)2( 4.5)   564272.5 
    50     3    3S1 3P1 4P1         (2)1( 2.5)   564548.2 
    51     2    3S1 3P1 4D1         (4)3(13.5)   565373.4 
    52  9999    3S1 3D2             (2)4( 8.5)   565446.0 
    53  9999    3S1 3D2             (2)2( 4.5)   566226.6 
    54     3    3S1 3P1 4P1         (2)0( 0.5)   568603.0 
    55     2    3S1 3P1 4D1         (4)1( 5.5)   569866.7 
    56     1    3S2 5F1             (2)3( 6.5)   572699.3 
    57     2    3S1 3P1 4D1         (2)3( 6.5)   573208.1 
    58     1    3S2 5G1             (2)4( 8.5)   574335.9 
    59     2    3S1 3P1 4D1         (2)1( 2.5)   576433.9 
    60     1    3S2 6S1             (2)0( 0.5)   587872.9 
    61     2    3S1 3P1 4F1         (4)3(13.5)   588616.0 
    62     2    3S1 3P1 4F1         (2)3( 6.5)   589325.6 
    63     2    3S1 3P1 4F1         (4)4(17.5)   591228.6 
    64     2    3S1 3P1 4F1         (4)2( 9.5)   595803.2 
    65  9999    3S1 3D2             (2)3( 6.5)   597004.8 
    66     1    3S2 6P1             (2)1( 2.5)   599340.9 
    67     2    3S1 3P1 4F1         (2)4( 8.5)   599826.5 
    68     2    3S1 3P1 4F1         (2)2( 4.5)   601802.6 
    69  9999    3S1 3D2             (2)0( 0.5)   605201.9 
    70     4    3P2 4S1             (2)2( 4.5)   607604.6 
    71  9999    3S1 3D2             (2)1( 2.5)   613364.5 
    72     1    3S2 6D1             (2)2( 4.5)   615220.9 
    73     2    3S1 3P1 5S1         (4)1( 5.5)   619963.1 
    74     5    3P2 4S1             (2)1( 2.5)   620562.0 
    75     1    3S2 6F1             (2)3( 6.5)   621980.0 
    76     1    3S2 6G1             (2)4( 8.5)   623046.4 
    77     1    3S2 6H1             (2)5(10.5)   623329.9 
    78     3    3S1 3P1 4D1         (2)2( 4.5)   624411.9 
