SEQ='O '     NUCCHG=18                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  99453731.9   NPRNTI= 3   NPRNTF= 8
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P3             (4)0( 1.5)        0.0 
     2          2S2 2P3             (2)2( 4.5)    99203.2 
     3          2S2 2P3             (2)1( 2.5)   143900.7 
     4          2S1 2P4             (4)1( 5.5)   431409.8*
     5          2S1 2P4             (2)2( 4.5)   600504.8*
     6          2S1 2P4             (2)0( 0.5)   699708.0*
     7          2S1 2P4             (2)1( 2.5)   740288.5*
     8          2P5                 (2)1( 2.5)  1154298.4*

   LS RESOLVED TERM INDEXING            BWNR= 103785549.2   NTRM= 515
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    2S2 2P4             (3)1( 4.0)        0.0 
     2  9999    2S2 2P4             (1)2( 2.0)    64193.9 
     3  9999    2S2 2P4             (1)0( 0.0)   131593.9 
     4  9999    2S1 2P5             (3)1( 4.0)   516230.0 
     5  9999    2S1 2P5             (1)1( 1.0)   718771.6 
     6  9999    2P6                 (1)0( 0.0)  1225436.6 
     7     1    2S2 2P3 3S1         (5)0( 2.0)  2468169.0 
     8     1    2S2 2P3 3S1         (3)0( 1.0)  2503819.6 
     9     2    2S2 2P3 3S1         (3)2( 7.0)  2576284.9 
    10     2    2S2 2P3 3S1         (1)2( 2.0)  2594110.2 
    11     1    2S2 2P3 3P1         (5)1( 7.0)  2602074.3 
    12     3    2S2 2P3 3S1         (3)1( 4.0)  2621471.3 
    13     1    2S2 2P3 3P1         (3)1( 4.0)  2634529.8 
    14     3    2S2 2P3 3S1         (1)1( 1.0)  2639296.6 
    15     2    2S2 2P3 3P1         (1)1( 1.0)  2697497.8 
    16     2    2S2 2P3 3P1         (3)2( 7.0)  2700958.2 
    17     2    2S2 2P3 3P1         (3)3(10.0)  2708166.2 
    18     2    2S2 2P3 3P1         (1)3( 3.0)  2715054.8 
    19     3    2S2 2P3 3P1         (3)0( 1.0)  2745885.5 
    20     3    2S2 2P3 3P1         (3)2( 7.0)  2753464.8 
    21     2    2S2 2P3 3P1         (3)1( 4.0)  2757004.2 
    22     2    2S2 2P3 3P1         (1)2( 2.0)  2763793.8 
    23     3    2S2 2P3 3P1         (1)1( 1.0)  2764048.0 
    24     1    2S2 2P3 3D1         (5)2(12.0)  2775490.2 
    25     3    2S2 2P3 3P1         (3)1( 4.0)  2791985.6 
    26     1    2S2 2P3 3D1         (3)2( 7.0)  2811331.0 
    27     3    2S2 2P3 3P1         (1)2( 2.0)  2824282.3 
    28     2    2S2 2P3 3D1         (3)3(10.0)  2872717.5 
    29     3    2S2 2P3 3P1         (1)0( 0.0)  2874108.0 
    30     2    2S2 2P3 3D1         (1)0( 0.0)  2874693.4 
    31     2    2S2 2P3 3D1         (3)4(13.0)  2881435.5 
    32     2    2S2 2P3 3D1         (1)4( 4.0)  2885930.3 
    33     2    2S2 2P3 3D1         (1)1( 1.0)  2891039.8 
    34     2    2S2 2P3 3D1         (3)2( 7.0)  2897675.3 
    35     2    2S2 2P3 3D1         (1)2( 2.0)  2903459.5 
    36     2    2S2 2P3 3D1         (3)1( 4.0)  2904461.8 
    37     2    2S2 2P3 3D1         (3)0( 1.0)  2917194.2 
    38     3    2S2 2P3 3D1         (3)3(10.0)  2928270.2 
    39     2    2S2 2P3 3D1         (1)3( 3.0)  2931802.2 
    40     3    2S2 2P3 3D1         (3)1( 4.0)  2931931.7 
    41     3    2S2 2P3 3D1         (3)2( 7.0)  2944937.9 
    42     3    2S2 2P3 3D1         (1)2( 2.0)  2956387.4 
    43     3    2S2 2P3 3D1         (1)3( 3.0)  2962359.2 
    44     3    2S2 2P3 3D1         (1)1( 1.0)  2992535.2 
    45     1    2S2 2P3 4S1         (5)0( 2.0)  3351434.3 
    46     1    2S2 2P3 4S1         (3)0( 1.0)  3363100.8 
    47     1    2S2 2P3 4P1         (5)1( 7.0)  3404452.4 
    48     1    2S2 2P3 4P1         (3)1( 4.0)  3419414.3 
    49     2    2S2 2P3 4S1         (3)2( 7.0)  3453554.1 
    50     2    2S2 2P3 4S1         (1)2( 2.0)  3459387.4 
    51     1    2S2 2P3 4D1         (5)2(12.0)  3466690.2 
    52     1    2S2 2P3 4D1         (3)2( 7.0)  3483428.6 
    53     3    2S2 2P3 4S1         (3)1( 4.0)  3498412.7 
    54     1    2S2 2P3 4F1         (5)3(17.0)  3499617.1 
    55     1    2S2 2P3 4F1         (3)3(10.0)  3500976.9 
    56     2    2S2 2P3 4P1         (3)2( 7.0)  3503953.7 
    57     2    2S2 2P3 4P1         (1)1( 1.0)  3503991.7 
