SEQ='MG'     NUCCHG=18                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 112194636.0   NPRNTI= 2   NPRNTF= 3
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S1                 (2)0( 0.5)        0.0 
     2          3P1                 (2)1( 2.5)   138954.8 
     3          3D1                 (2)2( 4.5)   333008.1*

   LS RESOLVED TERM INDEXING            BWNR= 113193148.8   NTRM= 243
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    3S2                 (1)0( 0.0)        0.0 
     2  9999    3S1 3P1             (3)1( 4.0)   111438.1 
     3  9999    3S1 3P1             (1)1( 1.0)   170493.9 
     4  9999    3P2                 (1)2( 2.0)   260346.5 
     5  9999    3P2                 (3)1( 4.0)   266665.2 
     6  9999    3P2                 (1)0( 0.0)   314828.5 
     7  9999    3S1 3D1             (3)2( 7.0)   325881.7 
     8  9999    3S1 3D1             (1)2( 2.0)   377637.0 
     9  9999    3P1 3D1             (3)3(10.0)   443287.6 
    10  9999    3P1 3D1             (1)2( 2.0)   447952.7 
    11  9999    3P1 3D1             (3)1( 4.0)   472525.7 
    12  9999    3P1 3D1             (3)2( 7.0)   475048.7 
    13     1    3S1 4S1             (3)0( 1.0)   512906.3 
    14  9999    3P1 3D1             (1)3( 3.0)   519154.0 
    15  9999    3P1 3D1             (1)1( 1.0)   526696.2 
    16     1    3S1 4S1             (1)0( 0.0)   529921.7 
    17     1    3S1 4P1             (3)1( 4.0)   566469.6 
    18     1    3S1 4P1             (1)1( 1.0)   572865.2 
    19     1    3S1 4D1             (3)2( 7.0)   634613.1 
    20     1    3S1 4D1             (1)2( 2.0)   637960.3 
    21     2    3P1 4S1             (3)1( 4.0)   656457.8 
    22     1    3S1 4F1             (3)3(10.0)   657431.1 
    23     1    3S1 4F1             (1)3( 3.0)   662031.4 
    24     2    3P1 4S1             (1)1( 1.0)   663221.3 
    25  9999    3D2                 (3)1( 4.0)   674222.0 
    26  9999    3D2                 (1)2( 2.0)   675077.0 
    27     2    3P1 4P1             (1)1( 1.0)   695268.2 
    28     2    3P1 4P1             (3)2( 7.0)   699930.4 
    29     2    3P1 4P1             (3)0( 1.0)   706923.5 
    30     2    3P1 4P1             (3)1( 4.0)   709729.6 
    31     1    3S1 5S1             (3)0( 1.0)   713385.3 
    32     1    3S1 5S1             (1)0( 0.0)   718945.9 
    33     2    3P1 4P1             (1)2( 2.0)   719220.6 
    34  9999    3D2                 (1)0( 0.0)   720492.7 
    35     2    3P1 4P1             (1)0( 0.0)   733457.1 
    36     1    3S1 5P1             (3)1( 4.0)   737660.5 
    37     1    3S1 5P1             (1)1( 1.0)   739997.8 
    38     2    3P1 4D1             (1)2( 2.0)   768416.2 
    39     1    3S1 5D1             (3)2( 7.0)   769431.8 
    40     2    3P1 4D1             (3)2( 7.0)   770449.8 
    41     1    3S1 5D1             (1)2( 2.0)   770677.0 
    42     2    3P1 4D1             (3)3(10.0)   772762.1 
    43     2    3P1 4D1             (3)1( 4.0)   777436.1 
    44     2    3P1 4D1             (1)3( 3.0)   779861.0 
    45     1    3S1 5F1             (3)3(10.0)   780511.6 
    46     1    3S1 5G1             (3)4(13.0)   782287.5 
    47     1    3S1 5G1             (1)4( 4.0)   782287.5 
    48     2    3P1 4D1             (1)1( 1.0)   782829.8 
    49     1    3S1 5F1             (1)3( 3.0)   782845.7 
    50     2    3P1 4F1             (1)3( 3.0)   790297.8 
    51     2    3P1 4F1             (3)3(10.0)   792782.2 
    52     2    3P1 4F1             (3)4(13.0)   794803.4 
    53     2    3P1 4F1             (3)2( 7.0)   800728.2 
    54     2    3P1 4F1             (1)4( 4.0)   806823.4 
    55     2    3P1 4F1             (1)2( 2.0)   807390.0 
    56     1    3S1 6S1             (3)0( 1.0)   810540.4 
    57     1    3S1 6S1             (1)0( 0.0)   813149.7 
    58     1    3S1 6P1             (3)1( 4.0)   823666.9 
    59     1    3S1 6P1             (1)1( 1.0)   824817.6 
    60     1    3S1 6D1             (3)2( 7.0)   841109.7 
    61     1    3S1 6D1             (1)2( 2.0)   841739.3 
    62     1    3S1 6F1             (3)3(10.0)   847386.6 
    63     1    3S1 6G1             (3)4(13.0)   848488.7 
    64     1    3S1 6G1             (1)4( 4.0)   848488.7 
    65     1    3S1 6F1             (1)3( 3.0)   848678.1 
    66     1    3S1 6H1             (3)5(16.0)   848808.4 
    67     1    3S1 6H1             (1)5( 5.0)   848808.4 
    68     2    3P1 5S1             (3)1( 4.0)   853716.4 
    69     2    3P1 5S1             (1)1( 1.0)   856081.1 
    70     1    3S1 7S1             (3)0( 1.0)   865218.9 
    71     1    3S1 7S1             (1)0( 0.0)   866674.1 
    72     2    3P1 5P1             (1)1( 1.0)   872727.4 
    73     1    3S1 7P1             (3)1( 4.0)   873120.2 
    74     1    3S1 7P1             (1)1( 1.0)   873779.3 
    75     2    3P1 5P1             (3)2( 7.0)   874890.5 
    76     2    3P1 5P1             (3)1( 4.0)   877402.2 
    77     2    3P1 5P1             (3)0( 1.0)   878135.0 
    78     2    3P1 5P1             (1)2( 2.0)   881389.8 
    79     1    3S1 7D1             (3)2( 7.0)   883737.3 
    80     1    3S1 7D1             (1)2( 2.0)   884106.3 
    81     2    3P1 5P1             (1)0( 0.0)   887371.3 
    82     1    3S1 7F1             (3)3(10.0)   887643.0 
    83     1    3S1 7G1             (3)4(13.0)   888360.4 
    84     1    3S1 7G1             (1)4( 4.0)   888360.4 
    85     1    3S1 7F1             (1)3( 3.0)   888428.1 
    86     1    3S1 7H1             (3)5(16.0)   888561.6 
    87     1    3S1 7H1             (1)5( 5.0)   888561.6 
    88     1    3S1 7I1             (3)6(19.0)   888651.3 
    89     1    3S1 7I1             (1)6( 6.0)   888651.3 
    90     1    3S1 8S1             (3)0( 1.0)   899062.9 
    91     1    3S1 8S1             (1)0( 0.0)   899963.7 
    92     1    3S1 8P1             (3)1( 4.0)   904186.3 
    93     1    3S1 8P1             (1)1( 1.0)   904601.3 
    94     3    3D1 4P1             (3)1( 4.0)   904732.3 
    95     2    3P1 5D1             (1)2( 2.0)   906040.0 
    96     2    3P1 5D1             (3)2( 7.0)   906679.8 
    97     2    3P1 5D1             (3)3(10.0)   908225.4 
    98     2    3P1 5D1             (3)1( 4.0)   910150.4 
    99     2    3P1 5D1             (1)3( 3.0)   910698.9 
   100     1    3S1 8D1             (3)2( 7.0)   911131.5 
   101     1    3S1 8D1             (1)2( 2.0)   911368.1 
   102     3    3D1 4P1             (1)1( 1.0)   911604.3 
   103     2    3P1 5D1             (1)1( 1.0)   912220.7 
   104     1    3S1 8F1             (3)3(10.0)   913727.4 
   105     1    3S1 8G1             (3)4(13.0)   914217.2 
   106     1    3S1 8G1             (1)4( 4.0)   914217.2 
   107     1    3S1 8F1             (1)3( 3.0)   914240.1 
   108     1    3S1 8H1             (3)5(16.0)   914351.9 
   109     1    3S1 8H1             (1)5( 5.0)   914351.9 
   110     1    3S1 8I1             (3)6(19.0)   914412.0 
   111     1    3S1 8I1             (1)6( 6.0)   914412.0 
   112     1    3S1 8J1             (3)7(22.0)   914442.7 
   113     1    3S1 8J1             (1)7( 7.0)   914442.7 
   114     2    3P1 5F1             (1)3( 3.0)   916855.0 
   115     2    3P1 5F1             (3)3(10.0)   917972.3 
   116     2    3P1 5F1             (3)4(13.0)   918717.0 
   117     2    3P1 5G1             (3)3(10.0)   921242.2 
   118     2    3P1 5G1             (1)3( 3.0)   921242.2 
   119     2    3P1 5G1             (3)4(13.0)   921242.2 
   120     2    3P1 5G1             (1)4( 4.0)   921242.2 
   121     2    3P1 5G1             (3)5(16.0)   921242.2 
   122     2    3P1 5G1             (1)5( 5.0)   921242.2 
   123     2    3P1 5F1             (3)2( 7.0)   921324.0 
   124     2    3P1 5F1             (1)4( 4.0)   924217.1 
   125     2    3P1 5F1             (1)2( 2.0)   924447.4 
   126     2    3P1 6S1             (3)1( 4.0)   950116.0 
   127     2    3P1 6S1             (1)1( 1.0)   951253.4 
   128     3    3D1 4D1             (3)2( 7.0)   957209.6 
   129     2    3P1 6P1             (1)1( 1.0)   960673.8 
   130     2    3P1 6P1             (3)2( 7.0)   961817.4 
   131     2    3P1 6P1             (3)1( 4.0)   962868.1 
   132     2    3P1 6P1             (3)0( 1.0)   963532.8 
   133     2    3P1 6P1             (1)2( 2.0)   964923.0 
   134     2    3P1 6P1             (1)0( 0.0)   968005.3 
   135     2    3P1 6D1             (1)2( 2.0)   978800.5 
   136     2    3P1 6D1             (3)2( 7.0)   979101.6 
   137     3    3D1 4D1             (1)2( 2.0)   979672.4 
   138     2    3P1 6D1             (3)3(10.0)   980004.5 
   139     2    3P1 6D1             (3)1( 4.0)   981008.0 
   140     2    3P1 6D1             (1)3( 3.0)   981223.2 
   141     2    3P1 6D1             (1)1( 1.0)   982067.4 
   142     3    3D1 4F1             (3)3(10.0)   983497.9 
   143     2    3P1 6F1             (1)3( 3.0)   984960.3 
   144     2    3P1 6F1             (3)3(10.0)   985547.6 
   145     2    3P1 6F1             (3)4(13.0)   985948.8 
   146     2    3P1 6F1             (3)2( 7.0)   987322.6 
   147     2    3P1 6G1             (3)3(10.0)   987443.5 
   148     2    3P1 6G1             (1)3( 3.0)   987443.5 
   149     2    3P1 6G1             (3)4(13.0)   987443.5 
   150     2    3P1 6G1             (1)4( 4.0)   987443.5 
   151     2    3P1 6G1             (3)5(16.0)   987443.5 
   152     2    3P1 6G1             (1)5( 5.0)   987443.5 
   153     2    3P1 6H1             (3)4(13.0)   987763.2 
   154     2    3P1 6H1             (1)4( 4.0)   987763.2 
   155     2    3P1 6H1             (3)5(16.0)   987763.2 
   156     2    3P1 6H1             (1)5( 5.0)   987763.2 
   157     2    3P1 6H1             (3)6(19.0)   987763.2 
   158     2    3P1 6H1             (1)6( 6.0)   987763.2 
   159     2    3P1 6F1             (1)4( 4.0)   988868.8 
   160     2    3P1 6F1             (1)2( 2.0)   989003.4 
   161     3    3D1 4F1             (1)3( 3.0)   997804.1 
   162     2    3P1 7S1             (3)1( 4.0)  1004512.5*
   163     2    3P1 7S1             (1)1( 1.0)  1005154.7*
   164     2    3P1 7P1             (1)1( 1.0)  1010951.4*
   165     2    3P1 7P1             (3)2( 7.0)  1011625.6*
   166     2    3P1 7P1             (3)1( 4.0)  1012178.8*
   167     2    3P1 7P1             (3)0( 1.0)  1012636.9*
   168     2    3P1 7P1             (1)2( 2.0)  1013379.2*
   169     2    3P1 7P1             (1)0( 0.0)  1015179.8*
   170     2    3P1 7D1             (1)2( 2.0)  1021932.5*
   171     2    3P1 7D1             (3)2( 7.0)  1022102.6*
   172     2    3P1 7D1             (3)3(10.0)  1022661.8*
   173     2    3P1 7D1             (3)1( 4.0)  1023256.1*
   174     2    3P1 7D1             (1)3( 3.0)  1023366.8*
   175     2    3P1 7D1             (1)1( 1.0)  1023880.1*
   176     2    3P1 7F1             (1)3( 3.0)  1025772.9*
   177     2    3P1 7F1             (3)3(10.0)  1026120.3*
   178     2    3P1 7F1             (3)4(13.0)  1026366.8*
   179     2    3P1 7F1             (3)2( 7.0)  1027182.8*
   180     2    3P1 7G1             (3)3(10.0)  1027315.2*
   181     2    3P1 7G1             (1)3( 3.0)  1027315.2*
   182     2    3P1 7G1             (3)4(13.0)  1027315.2*
   183     2    3P1 7G1             (1)4( 4.0)  1027315.2*
   184     2    3P1 7G1             (3)5(16.0)  1027315.2*
   185     2    3P1 7G1             (1)5( 5.0)  1027315.2*
   186     2    3P1 7H1             (3)4(13.0)  1027516.4*
