SEQ='F '     NUCCHG=18                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 103785549.2   NPRNTI= 3   NPRNTF= 6
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P4             (3)1( 4.0)        0.0 
     2          2S2 2P4             (1)2( 2.0)    64193.9 
     3          2S2 2P4             (1)0( 0.0)   131593.9 
     4          2S1 2P5             (3)1( 4.0)   516230.0*
     5          2S1 2P5             (1)1( 1.0)   718771.6*
     6          2P6                 (1)0( 0.0)  1225436.6*

   LS RESOLVED TERM INDEXING            BWNR= 107642136.0   NTRM= 340
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    2S2 2P5             (2)1( 2.5)        0.0 
     2  9999    2S1 2P6             (2)0( 0.5)   596815.2 
     3     1    2S2 2P4 3S1         (4)1( 5.5)  2242784.9 
     4     1    2S2 2P4 3S1         (2)1( 2.5)  2267743.5 
     5     2    2S2 2P4 3S1         (2)2( 4.5)  2315298.3 
     6     1    2S2 2P4 3P1         (4)1( 5.5)  2369954.5 
     7     3    2S2 2P4 3S1         (2)0( 0.5)  2383258.5 
     8     1    2S2 2P4 3P1         (4)2( 9.5)  2383887.2 
     9     1    2S2 2P4 3P1         (2)2( 4.5)  2397723.1 
    10     1    2S2 2P4 3P1         (2)0( 0.5)  2404786.1 
    11     1    2S2 2P4 3P1         (4)0( 1.5)  2404786.1 
    12     1    2S2 2P4 3P1         (2)1( 2.5)  2404856.7 
    13     2    2S2 2P4 3P1         (2)3( 6.5)  2447414.7 
    14     2    2S2 2P4 3P1         (2)2( 4.5)  2463927.6 
    15     2    2S2 2P4 3P1         (2)1( 2.5)  2513097.7 
    16     3    2S2 2P4 3P1         (2)1( 2.5)  2541342.4 
    17     1    2S2 2P4 3D1         (4)2( 9.5)  2556873.4 
    18     1    2S2 2P4 3D1         (4)3(13.5)  2573196.6 
    19     1    2S2 2P4 3D1         (4)1( 5.5)  2582265.1 
    20     1    2S2 2P4 3D1         (2)3( 6.5)  2583819.5 
    21     1    2S2 2P4 3D1         (2)1( 2.5)  2595208.7 
    22     1    2S2 2P4 3D1         (2)2( 4.5)  2599196.0 
    23     2    2S2 2P4 3D1         (2)4( 8.5)  2631969.8 
    24     2    2S2 2P4 3D1         (2)0( 0.5)  2642926.1 
    25     2    2S2 2P4 3D1         (2)3( 6.5)  2650393.2 
    26     2    2S2 2P4 3D1         (2)1( 2.5)  2659955.7 
    27     2    2S2 2P4 3D1         (2)2( 4.5)  2661226.7 
    28     3    2S2 2P4 3D1         (2)2( 4.5)  2713115.8 
    29     1    2S2 2P4 4S1         (4)1( 5.5)  3018970.0 
    30     1    2S2 2P4 4S1         (2)1( 2.5)  3027040.7 
    31     1    2S2 2P4 4P1         (4)1( 5.5)  3068896.4 
    32     1    2S2 2P4 4P1         (4)2( 9.5)  3073864.4 
    33     1    2S2 2P4 4P1         (2)2( 4.5)  3078701.4 
    34     1    2S2 2P4 4P1         (2)0( 0.5)  3081316.4 
    35     1    2S2 2P4 4P1         (4)0( 1.5)  3081316.4 
    36     2    2S2 2P4 4S1         (2)2( 4.5)  3085854.1 
    37     1    2S2 2P4 4P1         (2)1( 2.5)  3090391.2 
    38     1    2S2 2P4 4D1         (4)2( 9.5)  3135468.7 
    39     2    2S2 2P4 4P1         (2)3( 6.5)  3137742.2 
    40     1    2S2 2P4 4D1         (4)3(13.5)  3141560.1 
    41     2    2S2 2P4 4P1         (2)2( 4.5)  3143609.0 
    42     1    2S2 2P4 4D1         (4)1( 5.5)  3144944.2 
    43     1    2S2 2P4 4D1         (2)3( 6.5)  3146032.4 
    44     2    2S2 2P4 4P1         (2)1( 2.5)  3151831.5 
