SEQ='C '     NUCCHG=20                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 111450792.5   NPRNTI= 5   NPRNTF=15
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P1             (2)1( 0.5)        0.0 
     2          2S2 2P1             (2)1( 1.5)    34284.0 
     3          2S1 2P2             (4)1( 0.5)   262589.9 
     4          2S1 2P2             (4)1( 1.5)   276250.1 
     5          2S1 2P2             (4)1( 2.5)   294785.6 
     6          2S1 2P2             (2)2( 1.5)   481989.1*
     7          2S1 2P2             (2)2( 2.5)   484653.9*
     8          2S1 2P2             (2)0( 0.5)   593888.8*
     9          2S1 2P2             (2)1( 0.5)   637276.1*
    10          2S1 2P2             (2)1( 1.5)   651570.5*
    11          2P3                 (4)0( 1.5)   829332.1*
    12          2P3                 (2)2( 1.5)   945274.6*
    13          2P3                 (2)2( 2.5)   950930.9*
    14          2P3                 (2)1( 0.5)  1057994.6*
    15          2P3                 (2)1( 1.5)  1067020.6*

   IC RESOLVED LEVEL INDEXING           BWNR= 118652915.6   NLVL=1503
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    2S2 2P2             (3)1( 0.0)        0.0 
     2  9999    2S2 2P2             (3)1( 1.0)    16387.8 
     3  9999    2S2 2P2             (3)1( 2.0)    34859.7 
     4  9999    2S2 2P2             (1)2( 2.0)   108166.9 
     5  9999    2S2 2P2             (1)0( 0.0)   189641.8 
     6  9999    2S1 2P3             (5)0( 2.0)   264269.2 
     7  9999    2S1 2P3             (3)2( 2.0)   495046.9 
     8  9999    2S1 2P3             (3)2( 1.0)   495636.2 
     9  9999    2S1 2P3             (3)2( 3.0)   499591.2 
    10  9999    2S1 2P3             (3)1( 0.0)   576985.8 
    11  9999    2S1 2P3             (3)1( 1.0)   578557.0 
    12  9999    2S1 2P3             (3)1( 2.0)   581545.3 
    13  9999    2S1 2P3             (3)0( 1.0)   733205.7 
    14  9999    2S1 2P3             (1)2( 2.0)   736415.2 
    15  9999    2S1 2P3             (1)1( 1.0)   817709.0 
    16  9999    2P4                 (3)1( 2.0)  1111215.2 
    17  9999    2P4                 (3)1( 1.0)  1135755.6 
    18  9999    2P4                 (3)1( 0.0)  1142058.7 
    19  9999    2P4                 (1)2( 2.0)  1204834.1 
    20  9999    2P4                 (1)0( 0.0)  1359559.1 
    21     1    2S2 2P1 3S1         (3)1( 0.0)  4072943.7 
    22     1    2S2 2P1 3S1         (3)1( 1.0)  4077950.3 
    23     2    2S2 2P1 3S1         (3)1( 2.0)  4107285.2 
    24     2    2S2 2P1 3S1         (1)1( 1.0)  4125081.4 
    25     1    2S2 2P1 3P1         (3)2( 1.0)  4198363.7 
    26     1    2S2 2P1 3P1         (3)2( 2.0)  4220134.9 
    27     1    2S2 2P1 3P1         (1)1( 1.0)  4221059.9 
    28     2    2S2 2P1 3P1         (3)2( 3.0)  4244148.5 
    29     2    2S2 2P1 3P1         (3)0( 1.0)  4249603.5 
    30     1    2S2 2P1 3P1         (3)1( 0.0)  4257657.4 
