SEQ='C '     NUCCHG=20                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 110872714.2   NPRNTI= 2   NPRNTF= 8
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P1             (2)1( 2.5)        0.0 
     2          2S1 2P2             (4)1( 5.5)   233022.6 
     3          2S1 2P2             (2)2( 4.5)   431713.7*
     4          2S1 2P2             (2)0( 0.5)   550933.6*
     5          2S1 2P2             (2)1( 2.5)   590656.1*
     6          2P3                 (4)0( 1.5)   749903.8*
     7          2P3                 (2)2( 4.5)   869123.7*
     8          2P3                 (2)1( 2.5)   978566.2*

   LS RESOLVED TERM INDEXING            BWNR= 118056189.4   NTRM= 493
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    2S2 2P2             (3)1( 4.0)        0.0 
     2  9999    2S2 2P2             (1)2( 2.0)    77394.6 
     3  9999    2S2 2P2             (1)0( 0.0)   155034.5 
     4  9999    2S1 2P3             (5)0( 2.0)   210171.9 
     5  9999    2S1 2P3             (3)2( 7.0)   443873.0 
     6  9999    2S1 2P3             (3)1( 4.0)   521267.6 
     7  9999    2S1 2P3             (3)0( 1.0)   680608.7 
     8  9999    2S1 2P3             (1)1( 1.0)   756486.0 
     9  9999    2P4                 (3)1( 4.0)  1040707.0 
    10  9999    2P4                 (1)2( 2.0)  1118101.6 
    11  9999    2P4                 (1)0( 0.0)  1272645.4 
    12     1    2S2 2P1 3S1         (3)1( 4.0)  4069209.3 
    13     1    2S2 2P1 3S1         (1)1( 1.0)  4092012.0 
    14     1    2S2 2P1 3P1         (1)1( 1.0)  4184336.7 
    15     1    2S2 2P1 3P1         (3)2( 7.0)  4195320.9 
    16     1    2S2 2P1 3P1         (3)0( 1.0)  4211739.5 
    17     1    2S2 2P1 3P1         (3)1( 4.0)  4241914.0 
    18     1    2S2 2P1 3P1         (1)2( 2.0)  4271253.2 
    19     2    2S1 2P2 3S1         (5)1( 7.0)  4297320.7 
    20     1    2S2 2P1 3P1         (1)0( 0.0)  4317910.2 
    21     1    2S2 2P1 3D1         (1)2( 2.0)  4338336.2 
    22     1    2S2 2P1 3D1         (3)3(10.0)  4340007.9 
    23     2    2S1 2P2 3S1         (3)1( 4.0)  4364502.2 
    24     1    2S2 2P1 3D1         (3)2( 7.0)  4369279.6 
    25     1    2S2 2P1 3D1         (3)1( 4.0)  4375264.7 
    26     1    2S2 2P1 3D1         (1)1( 1.0)  4421689.0 
    27     1    2S2 2P1 3D1         (1)3( 3.0)  4424063.9 
    28     2    2S1 2P2 3P1         (5)2(12.0)  4427152.3 
    29     2    2S1 2P2 3P1         (3)0( 1.0)  4428516.8 
    30     2    2S1 2P2 3P1         (5)1( 7.0)  4438576.6 
    31     2    2S1 2P2 3P1         (3)2( 7.0)  4483251.8 
    32     2    2S1 2P2 3P1         (5)0( 2.0)  4497689.2 
    33     2    2S1 2P2 3P1         (3)1( 4.0)  4504844.1 
    34     2    2S1 2P2 3D1         (5)3(17.0)  4561166.1 
    35     2    2S1 2P2 3D1         (5)2(12.0)  4578949.3 
    36     2    2S1 2P2 3D1         (5)1( 7.0)  4603598.6 
    37     2    2S1 2P2 3D1         (3)1( 4.0)  4608482.3 
    38     2    2S1 2P2 3D1         (3)3(10.0)  4635654.7 
    39     3    2S1 2P2 3P1         (3)2( 7.0)  4670513.9 
    40     2    2S1 2P2 3D1         (3)2( 7.0)  4678176.3 
    41     5    2S1 2P2 3S1         (3)1( 4.0)  4678343.1 
    42     3    2S1 2P2 3P1         (3)1( 4.0)  4687301.1 
    43     4    2S1 2P2 3P1         (3)1( 4.0)  4773726.3 
    44     3    2S1 2P2 3D1         (3)3(10.0)  4794934.6 
    45     3    2S1 2P2 3D1         (3)2( 7.0)  4800510.1 
    46     5    2S1 2P2 3P1         (3)2( 7.0)  4800984.0 
    47     5    2S1 2P2 3P1         (3)1( 4.0)  4817563.6 
    48     3    2S1 2P2 3D1         (3)1( 4.0)  4825182.8 
    49     5    2S1 2P2 3P1         (3)0( 1.0)  4854531.9 
    50     4    2S1 2P2 3D1         (3)2( 7.0)  4914795.4 
    51     5    2S1 2P2 3D1         (3)3(10.0)  4941535.3 
    52     5    2S1 2P2 3D1         (3)2( 7.0)  4961695.4 
    53     5    2S1 2P2 3D1         (3)1( 4.0)  4974495.1 
    54     6    2P3 3P1             (3)1( 4.0)  4999982.0 
    55     7    2P3 3P1             (1)1( 1.0)  5076413.3 
    56     8    2P3 3S1             (3)1( 4.0)  5077537.7 
    57     7    2P3 3P1             (3)2( 7.0)  5077914.6 
    58     8    2P3 3S1             (1)1( 1.0)  5100340.5 
    59     6    2P3 3D1             (3)2( 7.0)  5152041.9 
    60     7    2P3 3P1             (3)1( 4.0)  5158314.3 
