SEQ='B '     NUCCHG=20                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 103612964.1   NPRNTI= 4   NPRNTF=10
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2                 (1)0( 0.0)        0.0 
     2          2S1 2P1             (3)1( 0.0)   261897.1 
     3          2S1 2P1             (3)1( 1.0)   273041.3 
     4          2S1 2P1             (3)1( 2.0)   298910.2 
     5          2S1 2P1             (1)1( 1.0)   529305.1*
     6          2P2                 (3)1( 0.0)   694666.4*
     7          2P2                 (3)1( 1.0)   711058.8*
     8          2P2                 (3)1( 2.0)   731587.3*
     9          2P2                 (1)2( 2.0)   809148.1*
    10          2P2                 (1)0( 0.0)   978732.8*

   IC RESOLVED LEVEL INDEXING           BWNR= 111450792.5   NLVL= 684
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    2S2 2P1             (2)1( 0.5)        0.0 
     2  9999    2S2 2P1             (2)1( 1.5)    34284.0 
     3  9999    2S1 2P2             (4)1( 0.5)   262589.9 
     4  9999    2S1 2P2             (4)1( 1.5)   276250.1 
     5  9999    2S1 2P2             (4)1( 2.5)   294785.6 
     6  9999    2S1 2P2             (2)2( 1.5)   481989.1 
     7  9999    2S1 2P2             (2)2( 2.5)   484653.9 
     8  9999    2S1 2P2             (2)0( 0.5)   593888.8 
     9  9999    2S1 2P2             (2)1( 0.5)   637276.1 
    10  9999    2S1 2P2             (2)1( 1.5)   651570.6 
    11  9999    2P3                 (4)0( 1.5)   829332.1 
    12  9999    2P3                 (2)2( 1.5)   945274.6 
    13  9999    2P3                 (2)1( 0.5)  1057994.6 
    14  9999    2P3                 (2)1( 1.5)  1067020.6 
    15     1    2S2 3S1             (2)0( 0.5)  4395456.0 
    16     1    2S2 3P1             (2)1( 0.5)  4530122.1 
    17     1    2S2 3P1             (2)1( 1.5)  4539898.4 
    18     1    2S2 3D1             (2)2( 1.5)  4651083.9 
    19     1    2S2 3D1             (2)2( 2.5)  4654009.9 
    20     2    2S1 2P1 3S1         (4)1( 0.5)  4655175.2 
    21     3    2S1 2P1 3S1         (4)1( 1.5)  4666054.8 
    22     4    2S1 2P1 3S1         (4)1( 2.5)  4688944.8 
    23     3    2S1 2P1 3S1         (2)1( 0.5)  4722558.3 
    24     4    2S1 2P1 3S1         (2)1( 1.5)  4745707.8 
    25     2    2S1 2P1 3P1         (4)2( 0.5)  4770478.9 
    26     2    2S1 2P1 3P1         (4)2( 1.5)  4779164.9 
    27     3    2S1 2P1 3P1         (4)2( 2.5)  4793638.8 
    28     3    2S1 2P1 3P1         (2)1( 1.5)  4801855.3 
    29     3    2S1 2P1 3P1         (2)1( 0.5)  4806428.3 
    30     4    2S1 2P1 3P1         (4)2( 3.5)  4813500.4 
    31     3    2S1 2P1 3P1         (4)0( 1.5)  4822901.5 
    32     3    2S1 2P1 3P1         (4)1( 0.5)  4831500.7 
    33     4    2S1 2P1 3P1         (4)1( 1.5)  4844846.9 
    34     4    2S1 2P1 3P1         (4)1( 2.5)  4853271.2 
    35     4    2S1 2P1 3P1         (2)2( 1.5)  4857382.6 
    36     4    2S1 2P1 3P1         (2)2( 2.5)  4879139.2 
    37     2    2S1 2P1 3D1         (4)3( 1.5)  4883948.5 
    38     2    2S1 2P1 3D1         (4)3( 2.5)  4890797.6 
    39     3    2S1 2P1 3D1         (4)3( 3.5)  4901272.8 
    40     4    2S1 2P1 3P1         (2)0( 0.5)  4906669.1 
    41     4    2S1 2P1 3D1         (4)3( 4.5)  4918106.0 
    42     3    2S1 2P1 3D1         (4)2( 2.5)  4922402.3 
    43     3    2S1 2P1 3D1         (4)2( 1.5)  4925598.5 
    44     3    2S1 2P1 3D1         (4)2( 0.5)  4926985.5 
    45     3    2S1 2P1 3D1         (2)2( 1.5)  4937662.9 
    46     5    2S1 2P1 3S1         (2)1( 0.5)  4939137.7 
    47     5    2S1 2P1 3S1         (2)1( 1.5)  4942121.6 
    48     3    2S1 2P1 3D1         (2)2( 2.5)  4942989.1 
    49     4    2S1 2P1 3D1         (4)2( 3.5)  4944869.2 
    50     4    2S1 2P1 3D1         (4)1( 2.5)  4952444.2 
    51     4    2S1 2P1 3D1         (4)1( 1.5)  4953603.1 
    52     4    2S1 2P1 3D1         (4)1( 0.5)  4954700.8 
    53     4    2S1 2P1 3D1         (2)3( 2.5)  4995348.5 
    54     4    2S1 2P1 3D1         (2)1( 1.5)  5013096.3 
    55     4    2S1 2P1 3D1         (2)3( 3.5)  5016335.7 
    56     4    2S1 2P1 3D1         (2)1( 0.5)  5025499.4 
    57     5    2S1 2P1 3P1         (2)2( 1.5)  5066075.3 
    58     5    2S1 2P1 3P1         (2)2( 2.5)  5070533.4 
    59     5    2S1 2P1 3P1         (2)1( 0.5)  5076901.6 
    60     5    2S1 2P1 3P1         (2)1( 1.5)  5086482.0 
    61     5    2S1 2P1 3P1         (2)0( 0.5)  5100660.3 
    62     6    2P2 3S1             (4)1( 0.5)  5114346.4 
    63     5    2S1 2P1 3D1         (2)3( 3.5)  5184486.3 
    64     5    2S1 2P1 3D1         (2)3( 2.5)  5185349.9 
    65     5    2S1 2P1 3D1         (2)2( 1.5)  5185788.2 
    66     5    2S1 2P1 3D1         (2)2( 2.5)  5189900.4 
    67     5    2S1 2P1 3D1         (2)1( 0.5)  5209015.5 
    68     6    2P2 3P1             (2)0( 0.5)  5210901.1 
    69     5    2S1 2P1 3D1         (2)1( 1.5)  5211797.0 
    70     7    2P2 3P1             (4)1( 1.5)  5246300.7 
    71     7    2P2 3P1             (4)1( 0.5)  5247217.2 
    72     8    2P2 3P1             (2)1( 1.5)  5300995.0 
    73     8    2P2 3P1             (2)1( 0.5)  5308042.8 
    74     8    2P2 3P1             (4)0( 1.5)  5315463.3 
    75     7    2P2 3D1             (4)2( 1.5)  5370009.0 
    76     9    2P2 3P1             (2)2( 1.5)  5391544.2 
    77     9    2P2 3P1             (2)1( 0.5)  5404164.4 
    78    10    2P2 3S1             (2)0( 0.5)  5404669.2 
    79     9    2P2 3P1             (2)1( 1.5)  5425890.2 
    80     8    2P2 3D1             (2)2( 2.5)  5453178.4 
    81     8    2P2 3D1             (2)2( 1.5)  5454645.7 
    82     9    2P2 3D1             (2)2( 1.5)  5480031.6 
    83     9    2P2 3D1             (2)3( 2.5)  5510950.4 
    84     9    2P2 3D1             (2)1( 1.5)  5516883.6 
    85    10    2P2 3P1             (2)1( 0.5)  5531476.8 
    86    10    2P2 3P1             (2)1( 1.5)  5535053.9 
    87    10    2P2 3D1             (2)2( 2.5)  5648263.5 
    88    10    2P2 3D1             (2)2( 1.5)  5651749.2 
    89     1    2S2 4S1             (2)0( 0.5)  5953388.9 
    90     1    2S2 4P1             (2)1( 0.5)  6007004.1 
    91     1    2S2 4P1             (2)1( 1.5)  6011042.9 
    92     1    2S2 4D1             (2)2( 1.5)  6054098.7 
    93     1    2S2 4D1             (2)2( 2.5)  6055329.7 
    94     1    2S2 4F1             (2)3( 2.5)  6078386.7 
    95     1    2S2 4F1             (2)3( 3.5)  6078955.0 
    96     2    2S1 2P1 4S1         (4)1( 0.5)  6216387.9 
    97     3    2S1 2P1 4S1         (4)1( 1.5)  6226805.2 
    98     3    2S1 2P1 4S1         (2)1( 0.5)  6242683.0 
    99     4    2S1 2P1 4S1         (4)1( 2.5)  6250845.3 
   100     2    2S1 2P1 4P1         (4)2( 0.5)  6264275.8 
   101     4    2S1 2P1 4S1         (2)1( 1.5)  6268523.2 
   102     2    2S1 2P1 4P1         (4)2( 1.5)  6271260.4 
   103     3    2S1 2P1 4P1         (4)0( 1.5)  6279230.7 
   104     3    2S1 2P1 4P1         (4)2( 2.5)  6281678.1 
   105     3    2S1 2P1 4P1         (2)1( 0.5)  6284869.7 
   106     3    2S1 2P1 4P1         (4)1( 0.5)  6289277.3 
   107     3    2S1 2P1 4P1         (2)2( 1.5)  6293665.6 
   108     4    2S1 2P1 4P1         (4)2( 3.5)  6302775.1 
   109     2    2S1 2P1 4D1         (4)3( 1.5)  6308773.0 
   110     4    2S1 2P1 4P1         (4)1( 1.5)  6309096.1 
   111     4    2S1 2P1 4P1         (4)1( 2.5)  6311251.3 
   112     4    2S1 2P1 4P1         (2)1( 1.5)  6311929.1 
   113     2    2S1 2P1 4D1         (4)3( 2.5)  6313806.0 
   114     3    2S1 2P1 4D1         (4)3( 3.5)  6322900.1 
   115     4    2S1 2P1 4P1         (2)2( 2.5)  6323663.0 
   116     3    2S1 2P1 4D1         (4)1( 2.5)  6324519.8 
   117     3    2S1 2P1 4D1         (4)2( 1.5)  6328023.6 
   118     3    2S1 2P1 4D1         (4)2( 0.5)  6329597.2 
   119     4    2S1 2P1 4P1         (2)0( 0.5)  6332913.0 
   120     3    2S1 2P1 4D1         (2)2( 1.5)  6335771.0 
   121     2    2S1 2P1 4F1         (4)4( 2.5)  6339850.9 
   122     2    2S1 2P1 4F1         (4)4( 3.5)  6340815.9 
   123     3    2S1 2P1 4D1         (2)2( 2.5)  6341211.4 
   124     4    2S1 2P1 4D1         (4)3( 4.5)  6342840.3 
   125     3    2S1 2P1 4F1         (4)3( 1.5)  6348957.3 
   126     3    2S1 2P1 4F1         (2)3( 2.5)  6349789.1 
   127     4    2S1 2P1 4D1         (4)2( 3.5)  6350188.3 
   128     3    2S1 2P1 4F1         (4)3( 4.5)  6350524.6 
   129     3    2S1 2P1 4F1         (2)3( 3.5)  6350583.6 
   130     4    2S1 2P1 4D1         (4)2( 2.5)  6352976.2 
   131     3    2S1 2P1 4F1         (4)2( 2.5)  6354309.4 
   132     4    2S1 2P1 4D1         (4)1( 1.5)  6354527.0 
   133     4    2S1 2P1 4D1         (4)1( 0.5)  6355189.8 
   134     3    2S1 2P1 4F1         (2)4( 3.5)  6355300.2 
   135     4    2S1 2P1 4D1         (2)3( 2.5)  6362619.9 
   136     4    2S1 2P1 4D1         (2)1( 1.5)  6370827.2 
   137     4    2S1 2P1 4F1         (4)4( 4.5)  6375132.1 
   138     4    2S1 2P1 4F1         (4)3( 3.5)  6375310.7 
   139     4    2S1 2P1 4D1         (2)3( 3.5)  6375439.9 
   140     4    2S1 2P1 4F1         (4)3( 2.5)  6376761.7 
   141     4    2S1 2P1 4F1         (4)2( 3.5)  6377370.5 
   142     4    2S1 2P1 4F1         (4)4( 5.5)  6378136.1 
   143     4    2S1 2P1 4D1         (2)1( 0.5)  6378706.4 
   144     4    2S1 2P1 4F1         (4)2( 1.5)  6379469.9 
   145     4    2S1 2P1 4F1         (2)2( 2.5)  6380526.3 
   146     4    2S1 2P1 4F1         (4)2( 0.5)  6381201.3 
   147     4    2S1 2P1 4F1         (2)4( 4.5)  6381635.1 
   148     4    2S1 2P1 4F1         (2)2( 1.5)  6384210.6 
   149     5    2S1 2P1 4S1         (2)1( 0.5)  6487444.0 
   150     5    2S1 2P1 4S1         (2)1( 1.5)  6488199.6 
   151     5    2S1 2P1 4P1         (2)2( 1.5)  6538490.1 
   152     5    2S1 2P1 4P1         (2)1( 0.5)  6540814.3 
   153     5    2S1 2P1 4P1         (2)2( 2.5)  6540997.0 
   154     5    2S1 2P1 4P1         (2)1( 1.5)  6544527.5 
   155     5    2S1 2P1 4P1         (2)0( 0.5)  6550763.2 
   156     5    2S1 2P1 4D1         (2)2( 1.5)  6584260.6 
   157     5    2S1 2P1 4D1         (2)3( 2.5)  6584872.8 
   158     5    2S1 2P1 4D1         (2)3( 3.5)  6584931.8 
   159     5    2S1 2P1 4D1         (2)2( 2.5)  6585877.4 
   160     5    2S1 2P1 4D1         (2)1( 0.5)  6593834.5 
   161     5    2S1 2P1 4D1         (2)1( 1.5)  6595029.7 
   162     5    2S1 2P1 4F1         (2)3( 2.5)  6602925.8 
   163     5    2S1 2P1 4F1         (2)3( 3.5)  6603490.2 
   164     5    2S1 2P1 4F1         (2)4( 3.5)  6609616.9 
   165     5    2S1 2P1 4F1         (2)4( 4.5)  6610084.7 
   166     5    2S1 2P1 4F1         (2)2( 1.5)  6612733.6 
   167     5    2S1 2P1 4F1         (2)2( 2.5)  6613254.4 
   168     1    2S2 5S1             (2)0( 0.5)  6649672.7 
   169     1    2S2 5P1             (2)1( 0.5)  6676414.0 
   170     1    2S2 5P1             (2)1( 1.5)  6678460.0 
   171     1    2S2 5D1             (2)2( 1.5)  6699733.4 
   172     1    2S2 5D1             (2)2( 2.5)  6700361.8 
   173     1    2S2 5F1             (2)3( 2.5)  6711631.5 
   174     1    2S2 5F1             (2)3( 3.5)  6711923.7 
   175     1    2S2 5G1             (1)*( 3.5)  6713193.2 
   176     1    2S2 5G1             (1)*( 4.5)  6713193.2 
   177     8    2P2 4P1             (2)1( 1.5)  6758354.2 
   178     8    2P2 4P1             (2)1( 0.5)  6758420.5 
   179     8    2P2 4D1             (2)2( 1.5)  6808436.4 
   180     8    2P2 4D1             (2)2( 2.5)  6810267.8 
   181     9    2P2 4D1             (2)2( 1.5)  6870643.7 
   182     9    2P2 4F1             (2)3( 2.5)  6884839.5 
   183     9    2P2 4F1             (2)3( 3.5)  6885438.6 
   184     2    2S1 2P1 5S1         (4)1( 0.5)  6912782.0 
   185     3    2S1 2P1 5S1         (4)1( 1.5)  6923194.8 
   186     3    2S1 2P1 5S1         (2)1( 0.5)  6929576.5 
   187     2    2S1 2P1 5P1         (4)2( 0.5)  6936967.7 
   188     2    2S1 2P1 5P1         (4)2( 1.5)  6941337.7 
   189    10    2P2 4S1             (2)0( 0.5)  6942464.6 
   190     4    2S1 2P1 5S1         (4)1( 2.5)  6947982.5 
   191     3    2S1 2P1 5P1         (2)1( 1.5)  6948209.5 
   192     3    2S1 2P1 5P1         (4)2( 2.5)  6951240.5 
   193     3    2S1 2P1 5P1         (2)1( 0.5)  6952339.5 
   194     3    2S1 2P1 5P1         (4)1( 0.5)  6954021.8 
   195     4    2S1 2P1 5S1         (2)1( 1.5)  6955854.1 
   196     3    2S1 2P1 5P1         (2)2( 1.5)  6956394.0 
   197     2    2S1 2P1 5D1         (4)3( 1.5)  6959339.3 
   198     2    2S1 2P1 5D1         (4)3( 2.5)  6962412.6 
   199     3    2S1 2P1 5D1         (4)1( 2.5)  6970775.5 
   200     3    2S1 2P1 5D1         (4)3( 3.5)  6971770.1 
   201     3    2S1 2P1 5D1         (4)2( 1.5)  6973205.9 
   202     2    2S1 2P1 5F1         (4)4( 2.5)  6973448.2 
   203     2    2S1 2P1 5F1         (4)2( 3.5)  6974042.8 
   204     4    2S1 2P1 5P1         (4)2( 3.5)  6974263.0 
   205     3    2S1 2P1 5D1         (4)2( 0.5)  6974400.5 
   206     2    2S1 2P1 5G1         (1)*( 3.5)  6975090.3 
   207     2    2S1 2P1 5G1         (1)*( 4.5)  6975090.3 
   208     4    2S1 2P1 5P1         (4)1( 1.5)  6976559.5 
   209     4    2S1 2P1 5P1         (4)1( 2.5)  6977298.7 
   210     3    2S1 2P1 5D1         (2)2( 1.5)  6977397.2 
   211     4    2S1 2P1 5P1         (4)0( 1.5)  6978089.3 
   212     3    2S1 2P1 5D1         (2)3( 2.5)  6980181.0 
   213     4    2S1 2P1 5P1         (2)2( 2.5)  6983656.8 
   214     3    2S1 2P1 5F1         (4)3( 1.5)  6983787.3 
   215     3    2S1 2P1 5F1         (2)3( 2.5)  6984133.2 
   216     3    2S1 2P1 5F1         (4)4( 3.5)  6984343.9 
   217     3    2S1 2P1 5F1         (4)4( 4.5)  6984381.7 
   218     3    2S1 2P1 5G1         (1)*( 2.5)  6986234.4 
   219     3    2S1 2P1 5G1         (1)*( 3.5)  6986234.4 
   220     3    2S1 2P1 5G1         (1)*( 4.5)  6986234.4 
   221     3    2S1 2P1 5G1         (1)*( 3.5)  6986234.4 
   222     3    2S1 2P1 5G1         (1)*( 4.5)  6986234.4 
   223     3    2S1 2P1 5G1         (1)*( 5.5)  6986234.4 
   224     3    2S1 2P1 5F1         (2)2( 2.5)  6986323.1 
   225     3    2S1 2P1 5F1         (2)4( 3.5)  6986829.7 
   226     4    2S1 2P1 5P1         (2)0( 0.5)  6987315.9 
   227    10    2P2 4P1             (2)1( 0.5)  6992968.9 
   228     4    2S1 2P1 5D1         (4)3( 4.5)  6994068.9 
   229    10    2P2 4P1             (2)1( 1.5)  6995398.5 
   230     4    2S1 2P1 5D1         (4)2( 3.5)  6997119.1 
   231     4    2S1 2P1 5D1         (4)2( 2.5)  6998468.5 
   232     4    2S1 2P1 5D1         (4)1( 1.5)  6999410.0 
   233     4    2S1 2P1 5D1         (4)1( 0.5)  6999782.5 
   234     4    2S1 2P1 5D1         (2)2( 2.5)  7002197.8 
   235     4    2S1 2P1 5D1         (2)1( 1.5)  7005912.7 
   236     4    2S1 2P1 5D1         (2)3( 3.5)  7008799.4 
   237     4    2S1 2P1 5F1         (4)3( 4.5)  7009361.8 
   238     4    2S1 2P1 5F1         (4)3( 3.5)  7009463.6 
   239     4    2S1 2P1 5F1         (4)3( 2.5)  7010162.6 
   240     4    2S1 2P1 5D1         (2)1( 0.5)  7010455.2 
   241     4    2S1 2P1 5F1         (2)3( 3.5)  7010700.9 
   242     4    2S1 2P1 5F1         (4)4( 5.5)  7010703.7 
   243     4    2S1 2P1 5F1         (4)2( 1.5)  7011436.2 
   244     4    2S1 2P1 5G1         (1)*( 1.5)  7012103.3 
   245     4    2S1 2P1 5G1         (1)*( 2.5)  7012103.3 
   246     4    2S1 2P1 5G1         (1)*( 3.5)  7012103.3 
   247     4    2S1 2P1 5G1         (1)*( 4.5)  7012103.3 
   248     4    2S1 2P1 5G1         (1)*( 5.5)  7012103.3 
   249     4    2S1 2P1 5G1         (1)*( 2.5)  7012103.3 
   250     4    2S1 2P1 5G1         (1)*( 3.5)  7012103.3 
   251     4    2S1 2P1 5G1         (1)*( 4.5)  7012103.3 
   252     4    2S1 2P1 5G1         (1)*( 5.5)  7012103.3 
   253     4    2S1 2P1 5G1         (1)*( 6.5)  7012103.3 
   254     4    2S1 2P1 5F1         (4)2( 2.5)  7012155.5 
   255     4    2S1 2P1 5F1         (4)2( 0.5)  7012334.6 
   256     4    2S1 2P1 5F1         (2)4( 4.5)  7013047.1 
   257     4    2S1 2P1 5F1         (2)2( 1.5)  7014237.9 
   258     1    2S2 6S1             (2)0( 0.5)  7020626.0 
   259     1    2S2 6P1             (2)1( 0.5)  7035864.8 
   260     1    2S2 6P1             (2)1( 1.5)  7037041.1 
   261    10    2P2 4D1             (2)2( 2.5)  7038946.8 
   262    10    2P2 4D1             (2)2( 1.5)  7039519.1 
   263     1    2S2 6D1             (2)2( 1.5)  7049118.2 
   264     1    2S2 6D1             (2)2( 2.5)  7049481.1 
   265     1    2S2 6F1             (2)3( 2.5)  7055848.4 
   266     1    2S2 6F1             (2)3( 3.5)  7056017.8 
   267     1    2S2 6G1             (1)*( 3.5)  7056938.7 
   268     1    2S2 6G1             (1)*( 4.5)  7056938.7 
   269     1    2S2 6H1             (1)*( 4.5)  7057197.7 
   270     1    2S2 6H1             (1)*( 5.5)  7057197.7 
   271     5    2S1 2P1 5S1         (2)1( 0.5)  7181205.8 
   272     5    2S1 2P1 5S1         (2)1( 1.5)  7181528.4 
   273     5    2S1 2P1 5P1         (2)2( 1.5)  7206811.5 
   274     5    2S1 2P1 5P1         (2)1( 0.5)  7207686.4 
   275     5    2S1 2P1 5P1         (2)2( 2.5)  7208187.0 
   276     5    2S1 2P1 5P1         (2)1( 1.5)  7209537.1 
   277     5    2S1 2P1 5P1         (2)0( 0.5)  7212714.0 
   278     5    2S1 2P1 5D1         (2)2( 1.5)  7229348.2 
   279     5    2S1 2P1 5D1         (2)3( 2.5)  7229746.9 
   280     5    2S1 2P1 5D1         (2)3( 3.5)  7229845.9 
   281     5    2S1 2P1 5D1         (2)2( 2.5)  7230155.0 
   282     5    2S1 2P1 5D1         (2)1( 0.5)  7234037.7 
   283     5    2S1 2P1 5D1         (2)1( 1.5)  7234651.7 
   284     5    2S1 2P1 5F1         (2)3( 2.5)  7238786.6 
   285     5    2S1 2P1 5F1         (2)3( 3.5)  7239082.8 
   286     1    2S2 7S1             (2)0( 0.5)  7241478.3 
