SEQ='B '     NUCCHG=20                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 103074250.9   NPRNTI= 2   NPRNTF= 6
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2                 (1)0( 0.0)        0.0 
     2          2S1 2P1             (3)1( 4.0)   258088.9 
     3          2S1 2P1             (1)1( 1.0)   499628.0*
     4          2P2                 (3)1( 4.0)   663245.8*
     5          2P2                 (1)2( 2.0)   744850.6*
     6          2P2                 (1)0( 0.0)   917710.9*

   LS RESOLVED TERM INDEXING            BWNR= 110872714.2   NTRM= 278
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    2S2 2P1             (2)1( 2.5)        0.0 
     2  9999    2S1 2P2             (4)1( 5.5)   233022.6 
     3  9999    2S1 2P2             (2)2( 4.5)   431713.7 
     4  9999    2S1 2P2             (2)0( 0.5)   550933.6 
     5  9999    2S1 2P2             (2)1( 2.5)   590656.1 
     6  9999    2P3                 (2)1( 2.5)   978566.2 
     7     1    2S2 3S1             (2)0( 0.5)  4372586.9 
     8     1    2S2 3P1             (2)1( 2.5)  4505254.1 
     9     1    2S2 3D1             (2)2( 4.5)  4615883.7 
    10     2    2S1 2P1 3S1         (4)1( 5.5)  4625053.0 
    11     2    2S1 2P1 3S1         (2)1( 2.5)  4685809.4 
    12     2    2S1 2P1 3P1         (4)2( 9.5)  4737986.7 
    13     2    2S1 2P1 3P1         (2)1( 2.5)  4750621.9 
    14     2    2S1 2P1 3P1         (4)0( 1.5)  4756214.2 
    15     2    2S1 2P1 3P1         (4)1( 5.5)  4786703.0 
    16     2    2S1 2P1 3P1         (2)2( 4.5)  4808609.8 
    17     2    2S1 2P1 3D1         (4)3(13.5)  4839125.4 
    18     2    2S1 2P1 3P1         (2)0( 0.5)  4844049.9 
    19     2    2S1 2P1 3D1         (4)2( 9.5)  4872496.7 
    20     2    2S1 2P1 3D1         (2)2( 4.5)  4874751.3 
    21     2    2S1 2P1 3D1         (4)1( 5.5)  4878937.9 
    22     3    2S1 2P1 3S1         (2)1( 2.5)  4888359.5 
    23     2    2S1 2P1 3D1         (2)3( 6.5)  4941012.8 
    24     2    2S1 2P1 3D1         (2)1( 2.5)  4950121.9 
    25     3    2S1 2P1 3P1         (2)2( 4.5)  5007923.3 
    26     3    2S1 2P1 3P1         (2)1( 2.5)  5022139.0 
    27     3    2S1 2P1 3P1         (2)0( 0.5)  5038141.5 
    28     3    2S1 2P1 3D1         (2)3( 6.5)  5118257.5 
    29     3    2S1 2P1 3D1         (2)2( 4.5)  5121338.5 
    30     3    2S1 2P1 3D1         (2)1( 2.5)  5144248.6 
    31     4    2P2 3P1             (2)1( 2.5)  5210188.7 
    32     6    2P2 3S1             (2)0( 0.5)  5320314.1 
    33     5    2P2 3P1             (2)1( 2.5)  5320902.0 
    34     4    2P2 3D1             (2)2( 4.5)  5359127.9 
    35     6    2P2 3P1             (2)1( 2.5)  5441004.9 
    36     6    2P2 3D1             (2)2( 4.5)  5551343.9 
    37     1    2S2 4S1             (2)0( 0.5)  5921209.2 
    38     1    2S2 4P1             (2)1( 2.5)  5974063.4 
    39     1    2S2 4D1             (2)2( 4.5)  6016891.9 
    40     1    2S2 4F1             (2)3( 6.5)  6039944.5 
    41     2    2S1 2P1 4S1         (4)1( 5.5)  6177773.7 
    42     2    2S1 2P1 4S1         (2)1( 2.5)  6197534.4 
    43     2    2S1 2P1 4P1         (4)2( 9.5)  6224946.4 
    44     2    2S1 2P1 4P1         (2)1( 2.5)  6229197.5 
    45     2    2S1 2P1 4P1         (4)0( 1.5)  6232143.7 
    46     2    2S1 2P1 4P1         (4)1( 5.5)  6238870.0 
    47     2    2S1 2P1 4P1         (2)2( 4.5)  6248678.2 
    48     2    2S1 2P1 4P1         (2)0( 0.5)  6263164.1 
    49     2    2S1 2P1 4D1         (4)3(13.5)  6263562.0 
    50     2    2S1 2P1 4D1         (4)2( 9.5)  6274736.9 
    51     2    2S1 2P1 4D1         (2)2( 4.5)  6276208.2 
    52     2    2S1 2P1 4D1         (4)1( 5.5)  6277299.3 
    53     2    2S1 2P1 4F1         (4)3(13.5)  6292782.4 
    54     2    2S1 2P1 4F1         (2)3( 6.5)  6294069.2 
    55     2    2S1 2P1 4F1         (4)4(17.5)  6298301.0 
    56     2    2S1 2P1 4D1         (2)3( 6.5)  6298972.1 
    57     2    2S1 2P1 4D1         (2)1( 2.5)  6301776.1 
    58     2    2S1 2P1 4F1         (4)2( 9.5)  6301931.3 
    59     2    2S1 2P1 4F1         (2)4( 8.5)  6303092.0 
    60     2    2S1 2P1 4F1         (2)2( 4.5)  6305399.2 
    61     3    2S1 2P1 4S1         (2)1( 2.5)  6426018.1 
    62     3    2S1 2P1 4P1         (2)2( 4.5)  6474800.8 
    63     3    2S1 2P1 4P1         (2)1( 2.5)  6477824.0 
    64     3    2S1 2P1 4P1         (2)0( 0.5)  6485000.9 
    65     3    2S1 2P1 4D1         (2)3( 6.5)  6517287.0 
    66     3    2S1 2P1 4D1         (2)2( 4.5)  6517503.0 
    67     3    2S1 2P1 4D1         (2)1( 2.5)  6527009.5 
    68     3    2S1 2P1 4F1         (2)3( 6.5)  6534762.0 
    69     3    2S1 2P1 4F1         (2)4( 8.5)  6541438.9 
    70     1    2S2 5S1             (2)0( 0.5)  6614053.4 
    71     1    2S2 5P1             (2)1( 2.5)  6640431.6 
    72     4    2P2 4P1             (2)1( 2.5)  6661139.6 
    73     1    2S2 5D1             (2)2( 4.5)  6661592.4 
    74     1    2S2 5F1             (2)3( 6.5)  6672857.5 
    75     1    2S2 5G1             (2)4( 8.5)  6673828.0 
    76     4    2P2 4D1             (2)2( 4.5)  6712172.2 
    77     5    2P2 4D1             (2)2( 4.5)  6770021.4 
    78     5    2P2 4F1             (2)3( 6.5)  6781718.1 
    79     6    2P2 4S1             (2)0( 0.5)  6849104.4 
    80     2    2S1 2P1 5S1         (4)1( 5.5)  6871508.4 
    81     2    2S1 2P1 5S1         (2)1( 2.5)  6880569.2 
    82     2    2S1 2P1 5P1         (4)2( 9.5)  6895398.1 
    83     2    2S1 2P1 5P1         (2)1( 2.5)  6897369.8 
    84     6    2P2 4P1             (2)1( 2.5)  6897829.4 
    85     2    2S1 2P1 5P1         (4)0( 1.5)  6898883.5 
    86     2    2S1 2P1 5P1         (4)1( 5.5)  6901499.7 
    87     2    2S1 2P1 5P1         (2)2( 4.5)  6906389.7 
    88     2    2S1 2P1 5P1         (2)0( 0.5)  6913450.3 
    89     2    2S1 2P1 5D1         (4)3(13.5)  6914467.6 
    90     2    2S1 2P1 5D1         (4)2( 9.5)  6919638.8 
    91     2    2S1 2P1 5D1         (2)2( 4.5)  6920375.8 
    92     2    2S1 2P1 5D1         (4)1( 5.5)  6920894.0 
    93     2    2S1 2P1 5F1         (4)3(13.5)  6928494.6 
    94     2    2S1 2P1 5F1         (2)3( 6.5)  6929329.1 
    95     2    2S1 2P1 5F1         (4)4(17.5)  6930813.6 
    96     2    2S1 2P1 5D1         (2)3( 6.5)  6931036.2 
    97     2    2S1 2P1 5G1         (4)3(13.5)  6931916.8 
    98     2    2S1 2P1 5G1         (2)3( 6.5)  6931916.8 
    99     2    2S1 2P1 5G1         (4)4(17.5)  6931916.8 
   100     2    2S1 2P1 5G1         (2)4( 8.5)  6931916.8 
   101     2    2S1 2P1 5G1         (4)5(21.5)  6931916.8 
   102     2    2S1 2P1 5G1         (2)5(10.5)  6931916.8 
   103     2    2S1 2P1 5D1         (2)1( 2.5)  6932337.5 
   104     2    2S1 2P1 5F1         (4)2( 9.5)  6932734.5 
   105     2    2S1 2P1 5F1         (2)4( 8.5)  6933943.0 
   106     2    2S1 2P1 5F1         (2)2( 4.5)  6935002.8 
   107     6    2P2 4D1             (2)2( 4.5)  6940115.9 
   108     1    2S2 6S1             (2)0( 0.5)  6983453.4 
   109     1    2S2 6P1             (2)1( 2.5)  6998492.8 
   110     1    2S2 6D1             (2)2( 4.5)  7010506.7 
   111     1    2S2 6F1             (2)3( 6.5)  7016870.8 
   112     1    2S2 6G1             (2)4( 8.5)  7017573.6 
   113     1    2S2 6H1             (2)5(10.5)  7017832.6 
   114     3    2S1 2P1 5S1         (2)1( 2.5)  7116090.4 
   115     3    2S1 2P1 5P1         (2)2( 4.5)  7140680.5 
   116     3    2S1 2P1 5P1         (2)1( 2.5)  7141797.0 
   117     3    2S1 2P1 5P1         (2)0( 0.5)  7145475.1 
   118     3    2S1 2P1 5D1         (2)2( 4.5)  7161580.4 
   119     3    2S1 2P1 5D1         (2)3( 6.5)  7161612.3 
   120     3    2S1 2P1 5D1         (2)1( 2.5)  7166251.2 
   121     3    2S1 2P1 5F1         (2)3( 6.5)  7170316.8 
   122     3    2S1 2P1 5F1         (2)4( 8.5)  7173396.6 
   123     1    2S2 7S1             (2)0( 0.5)  7203504.7 
   124     1    2S2 7P1             (2)1( 2.5)  7212882.9 
   125     1    2S2 7D1             (2)2( 4.5)  7220360.2 
   126     1    2S2 7F1             (2)3( 6.5)  7224311.5 
   127     1    2S2 7G1             (2)4( 8.5)  7224804.5 
   128     1    2S2 7H1             (2)5(10.5)  7224967.6 
   129     1    2S2 7I1             (2)6(12.5)  7225040.5 
   130     2    2S1 2P1 6S1         (4)1( 5.5)  7241215.8 
   131     2    2S1 2P1 6S1         (2)1( 2.5)  7246160.9 
   132     2    2S1 2P1 6P1         (4)2( 9.5)  7254926.5 
   133     2    2S1 2P1 6P1         (2)1( 2.5)  7256010.6 
   134     2    2S1 2P1 6P1         (4)0( 1.5)  7256870.9 
   135     2    2S1 2P1 6P1         (4)1( 5.5)  7258189.9 
   136     2    2S1 2P1 6P1         (2)2( 4.5)  7260957.4 
   137     2    2S1 2P1 6P1         (2)0( 0.5)  7264912.3 
   138     2    2S1 2P1 6D1         (4)3(13.5)  7265757.9 
   139     2    2S1 2P1 6D1         (4)2( 9.5)  7268596.8 
   140     2    2S1 2P1 6D1         (2)2( 4.5)  7269006.3 
   141     2    2S1 2P1 6D1         (4)1( 5.5)  7269301.0 
   142     2    2S1 2P1 6F1         (4)3(13.5)  7273610.7 
   143     2    2S1 2P1 6F1         (2)3( 6.5)  7274135.1 
   144     2    2S1 2P1 6F1         (4)4(17.5)  7274816.6 
   145     2    2S1 2P1 6D1         (2)3( 6.5)  7274892.6 
   146     2    2S1 2P1 6D1         (2)1( 2.5)  7275611.6 
   147     2    2S1 2P1 6G1         (4)3(13.5)  7275662.4 
   148     2    2S1 2P1 6G1         (2)3( 6.5)  7275662.4 
   149     2    2S1 2P1 6G1         (4)4(17.5)  7275662.4 
   150     2    2S1 2P1 6G1         (2)4( 8.5)  7275662.4 
   151     2    2S1 2P1 6G1         (4)5(21.5)  7275662.4 
   152     2    2S1 2P1 6G1         (2)5(10.5)  7275662.4 
   153     2    2S1 2P1 6H1         (4)4(17.5)  7275921.4 
   154     2    2S1 2P1 6H1         (2)4( 8.5)  7275921.4 
   155     2    2S1 2P1 6H1         (4)5(21.5)  7275921.4 
   156     2    2S1 2P1 6H1         (2)5(10.5)  7275921.4 
   157     2    2S1 2P1 6H1         (4)6(25.5)  7275921.4 
   158     2    2S1 2P1 6H1         (2)6(12.5)  7275921.4 
   159     2    2S1 2P1 6F1         (4)2( 9.5)  7275938.7 
   160     2    2S1 2P1 6F1         (2)4( 8.5)  7276791.5 
   161     2    2S1 2P1 6F1         (2)2( 4.5)  7277371.0 
   162     4    2P2 5P1             (2)1( 2.5)  7316139.1 
   163     4    2P2 5D1             (2)2( 4.5)  7340323.2 
   164     1    2S2 8S1             (2)0( 0.5)  7345104.6 
   165     1    2S2 8P1             (2)1( 2.5)  7351343.4 
   166     1    2S2 8D1             (2)2( 4.5)  7356313.6 
   167     1    2S2 8F1             (2)3( 6.5)  7358936.6 
   168     1    2S2 8G1             (2)4( 8.5)  7359288.0 
   169     1    2S2 8H1             (2)5(10.5)  7359397.3 
   170     1    2S2 8I1             (2)6(12.5)  7359446.1 
   171     1    2S2 8J1             (2)7(14.5)  7359471.0 
   172     2    2S1 2P1 7S1         (4)1( 5.5)  7461402.2 
   173     2    2S1 2P1 7S1         (2)1( 2.5)  7464408.0 
   174     2    2S1 2P1 7P1         (4)2( 9.5)  7469982.5 
   175     2    2S1 2P1 7P1         (2)1( 2.5)  7470645.0 
   176     2    2S1 2P1 7P1         (4)0( 1.5)  7471177.3 
   177     2    2S1 2P1 7P1         (4)1( 5.5)  7471945.4 
   178     2    2S1 2P1 7P1         (2)2( 4.5)  7473660.8 
   179     2    2S1 2P1 7P1         (2)0( 0.5)  7476097.9 
   180     2    2S1 2P1 7D1         (4)3(13.5)  7476726.6 
   181     2    2S1 2P1 7D1         (4)2( 9.5)  7478459.7 
   182     2    2S1 2P1 7D1         (2)2( 4.5)  7478709.2 
   183     2    2S1 2P1 7D1         (4)1( 5.5)  7478893.8 
   184     2    2S1 2P1 7F1         (4)3(13.5)  7481576.5 
   185     2    2S1 2P1 7F1         (2)3( 6.5)  7481920.1 
   186     2    2S1 2P1 7F1         (4)4(17.5)  7482288.6 
   187     2    2S1 2P1 7D1         (2)3( 6.5)  7482314.1 
   188     2    2S1 2P1 7D1         (2)1( 2.5)  7482755.2 
   189     2    2S1 2P1 7G1         (4)3(13.5)  7482893.4 
   190     2    2S1 2P1 7G1         (2)3( 6.5)  7482893.4 
   191     2    2S1 2P1 7G1         (4)4(17.5)  7482893.4 
   192     2    2S1 2P1 7G1         (2)4( 8.5)  7482893.4 
   193     2    2S1 2P1 7G1         (4)5(21.5)  7482893.4 
   194     2    2S1 2P1 7G1         (2)5(10.5)  7482893.4 
   195     2    2S1 2P1 7F1         (4)2( 9.5)  7482997.5 
   196     2    2S1 2P1 7H1         (4)4(17.5)  7483056.5 
   197     2    2S1 2P1 7H1         (2)4( 8.5)  7483056.5 
   198     2    2S1 2P1 7H1         (4)5(21.5)  7483056.5 
   199     2    2S1 2P1 7H1         (2)5(10.5)  7483056.5 
   200     2    2S1 2P1 7H1         (4)6(25.5)  7483056.5 
   201     2    2S1 2P1 7H1         (2)6(12.5)  7483056.5 
   202     2    2S1 2P1 7I1         (4)5(21.5)  7483129.3 
   203     2    2S1 2P1 7I1         (2)5(10.5)  7483129.3 
   204     2    2S1 2P1 7I1         (4)6(25.5)  7483129.3 
   205     2    2S1 2P1 7I1         (2)6(12.5)  7483129.3 
   206     2    2S1 2P1 7I1         (4)7(29.5)  7483129.3 
   207     2    2S1 2P1 7I1         (2)7(14.5)  7483129.3 
   208     2    2S1 2P1 7F1         (2)4( 8.5)  7483585.6 
   209     2    2S1 2P1 7F1         (2)2( 4.5)  7483938.6 
   210     3    2S1 2P1 6S1         (2)1( 2.5)  7484409.7 
   211     3    2S1 2P1 6P1         (2)2( 4.5)  7498498.9 
   212     3    2S1 2P1 6P1         (2)1( 2.5)  7499042.8 
   213     3    2S1 2P1 6P1         (2)0( 0.5)  7501148.3 
   214     3    2S1 2P1 6D1         (2)2( 4.5)  7510319.4 
   215     3    2S1 2P1 6D1         (2)3( 6.5)  7510367.1 
   216     3    2S1 2P1 6D1         (2)1( 2.5)  7512944.8 
   217     3    2S1 2P1 6F1         (2)3( 6.5)  7515326.5 
   218     3    2S1 2P1 6F1         (2)4( 8.5)  7517014.3 
   219     2    2S1 2P1 8S1         (4)1( 5.5)  7603071.3 
   220     2    2S1 2P1 8S1         (2)1( 2.5)  7605038.5 
   221     2    2S1 2P1 8P1         (4)2( 9.5)  7608791.6 
   222     2    2S1 2P1 8P1         (2)1( 2.5)  7609226.9 
   223     2    2S1 2P1 8P1         (4)0( 1.5)  7609578.6 
   224     2    2S1 2P1 8P1         (4)1( 5.5)  7610068.7 
   225     2    2S1 2P1 8P1         (2)2( 4.5)  7611204.9 
   226     2    2S1 2P1 8P1         (2)0( 0.5)  7612813.3 
   227     2    2S1 2P1 8D1         (4)3(13.5)  7613275.6 
   228     2    2S1 2P1 8D1         (4)2( 9.5)  7614413.9 
   229     2    2S1 2P1 8D1         (2)2( 4.5)  7614576.8 
   230     2    2S1 2P1 8D1         (4)1( 5.5)  7614700.3 
   231     2    2S1 2P1 8F1         (4)3(13.5)  7616484.5 
   232     2    2S1 2P1 8F1         (2)3( 6.5)  7616719.9 
   233     2    2S1 2P1 8F1         (4)4(17.5)  7616941.9 
   234     2    2S1 2P1 8D1         (2)3( 6.5)  7616948.8 
   235     2    2S1 2P1 8D1         (2)1( 2.5)  7617239.5 
   236     2    2S1 2P1 8G1         (4)3(13.5)  7617376.9 
   237     2    2S1 2P1 8G1         (2)3( 6.5)  7617376.9 
   238     2    2S1 2P1 8G1         (4)4(17.5)  7617376.9 
   239     2    2S1 2P1 8G1         (2)4( 8.5)  7617376.9 
   240     2    2S1 2P1 8G1         (4)5(21.5)  7617376.9 
   241     2    2S1 2P1 8G1         (2)5(10.5)  7617376.9 
   242     2    2S1 2P1 8F1         (4)2( 9.5)  7617417.5 
   243     2    2S1 2P1 8H1         (4)4(17.5)  7617486.2 
   244     2    2S1 2P1 8H1         (2)4( 8.5)  7617486.2 
   245     2    2S1 2P1 8H1         (4)5(21.5)  7617486.2 
   246     2    2S1 2P1 8H1         (2)5(10.5)  7617486.2 
   247     2    2S1 2P1 8H1         (4)6(25.5)  7617486.2 
   248     2    2S1 2P1 8H1         (2)6(12.5)  7617486.2 
   249     2    2S1 2P1 8I1         (4)5(21.5)  7617535.0 
   250     2    2S1 2P1 8I1         (2)5(10.5)  7617535.0 
   251     2    2S1 2P1 8I1         (4)6(25.5)  7617535.0 
   252     2    2S1 2P1 8I1         (2)6(12.5)  7617535.0 
   253     2    2S1 2P1 8I1         (4)7(29.5)  7617535.0 
   254     2    2S1 2P1 8I1         (2)7(14.5)  7617535.0 
   255     2    2S1 2P1 8J1         (4)6(25.5)  7617559.9 
   256     2    2S1 2P1 8J1         (2)6(12.5)  7617559.9 
   257     2    2S1 2P1 8J1         (4)7(29.5)  7617559.9 
   258     2    2S1 2P1 8J1         (2)7(14.5)  7617559.9 
   259     2    2S1 2P1 8J1         (4)8(33.5)  7617559.9 
   260     2    2S1 2P1 8J1         (2)8(16.5)  7617559.9 
   261     2    2S1 2P1 8F1         (2)4( 8.5)  7617831.9 
   262     2    2S1 2P1 8F1         (2)2( 4.5)  7618063.4 
   263     3    2S1 2P1 7S1         (2)1( 2.5)  7703945.6 
   264     3    2S1 2P1 7P1         (2)2( 4.5)  7712756.0 
   265     3    2S1 2P1 7P1         (2)1( 2.5)  7713065.9 
   266     3    2S1 2P1 7P1         (2)0( 0.5)  7714377.9 
   267     3    2S1 2P1 7D1         (2)2( 4.5)  7720099.4 
   268     3    2S1 2P1 7D1         (2)3( 6.5)  7720137.6 
   269     3    2S1 2P1 7D1         (2)1( 2.5)  7721720.5 
   270     3    2S1 2P1 7F1         (2)3( 6.5)  7723231.0 
   271     3    2S1 2P1 8S1         (2)1( 2.5)  7845267.1*
   272     3    2S1 2P1 8P1         (2)2( 4.5)  7851138.7*
   273     3    2S1 2P1 8P1         (2)1( 2.5)  7851333.6*
   274     3    2S1 2P1 8P1         (2)0( 0.5)  7852205.0*
   275     3    2S1 2P1 8D1         (2)2( 4.5)  7856014.8*
   276     3    2S1 2P1 8D1         (2)3( 6.5)  7856043.2*
   277     3    2S1 2P1 8D1         (2)1( 2.5)  7857086.0*
   278     3    2S1 2P1 8F1         (2)3( 6.5)  7858102.4*

   N-SHELL INDEXING                                     NREP= 42
   ----------------
   IREP    N
   -----   -
     1     1
     2     2
     3     3
     4     4
     5     5
     6     6
     7     7
     8     8
     9     9
    10    10
    11    11
    12    12
    13    13
    14    14
    15    15
    16    16
    17    18
    18    20
    19    22
    20    25
    21    29
    22    35
    23    39
    24    45
    25    49
    26    55
    27    61
    28    70
    29    81
    30   100
    31   115
    32   140
    33   162
    34   200
    35   235
    36   300
    37   353
    38   450
    39   535
    40   700
    41   811
    42   999



 --------------------------------
 PRTI= 1  TRMPRT= (1S)  SPNPRT= 1

