SEQ='N '     NUCCHG=20                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 118652915.6   NPRNTI= 6   NPRNTF=20
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P2             (3)1( 0.0)        0.0 
     2          2S2 2P2             (3)1( 1.0)    16387.8 
     3          2S2 2P2             (3)1( 2.0)    34859.7 
     4          2S2 2P2             (1)2( 2.0)   108166.9 
     5          2S2 2P2             (1)0( 0.0)   189641.8 
     6          2S1 2P3             (5)0( 2.0)   264269.2 
     7          2S1 2P3             (3)2( 2.0)   495046.9*
     8          2S1 2P3             (3)2( 1.0)   495636.2*
     9          2S1 2P3             (3)2( 3.0)   499591.2*
    10          2S1 2P3             (3)1( 0.0)   576985.8*
    11          2S1 2P3             (3)1( 1.0)   578557.0*
    12          2S1 2P3             (3)1( 2.0)   581545.3*
    13          2S1 2P3             (3)0( 1.0)   733205.7*
    14          2S1 2P3             (1)2( 2.0)   736415.2*
    15          2S1 2P3             (1)1( 1.0)   817709.0*
    16          2P4                 (3)1( 2.0)  1111215.2*
    17          2P4                 (3)1( 1.0)  1135755.6*
    18          2P4                 (3)1( 0.0)  1142058.7*
    19          2P4                 (1)2( 2.0)  1204834.1*
    20          2P4                 (1)0( 0.0)  1359559.1*

   IC RESOLVED LEVEL INDEXING           BWNR= 125228632.1   NLVL=1522
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    2S2 2P3             (4)0( 1.5)        0.0 
     2  9999    2S2 2P3             (2)2( 1.5)   107169.7 
     3  9999    2S2 2P3             (2)2( 2.5)   115801.8 
     4  9999    2S2 2P3             (2)1( 0.5)   168782.8 
     5  9999    2S2 2P3             (2)1( 1.5)   179563.0 
     6  9999    2S1 2P4             (4)1( 2.5)   511942.7 
     7  9999    2S1 2P4             (4)1( 1.5)   530516.3 
     8  9999    2S1 2P4             (4)1( 0.5)   539497.8 
     9  9999    2S1 2P4             (2)2( 1.5)   714108.2 
    10  9999    2S1 2P4             (2)2( 2.5)   716250.8 
    11  9999    2S1 2P4             (2)0( 0.5)   825041.9 
    12  9999    2S1 2P4             (2)1( 1.5)   865992.4 
    13  9999    2S1 2P4             (2)1( 0.5)   891268.6 
    14  9999    2P5                 (2)1( 1.5)  1361744.6 
    15  9999    2P5                 (2)1( 0.5)  1393282.5 
    16     1    2S2 2P2 3S1         (4)1( 0.5)  3752764.0 
    17     2    2S2 2P2 3S1         (4)1( 1.5)  3767146.0 
    18     3    2S2 2P2 3S1         (4)1( 2.5)  3783965.8 
    19     2    2S2 2P2 3S1         (2)1( 0.5)  3793530.6 
    20     3    2S2 2P2 3S1         (2)1( 1.5)  3812971.2 
    21     4    2S2 2P2 3S1         (2)2( 2.5)  3867267.8 
    22     4    2S2 2P2 3S1         (2)2( 1.5)  3868800.8 
    23     1    2S2 2P2 3P1         (4)2( 0.5)  3893514.5 
    24     2    2S2 2P2 3P1         (2)0( 0.5)  3904045.5 
    25     1    2S2 2P2 3P1         (4)2( 1.5)  3905795.4 
    26     2    2S2 2P2 3P1         (4)2( 2.5)  3919053.2 
    27     2    2S2 2P2 3P1         (4)1( 1.5)  3925977.0 
    28     2    2S2 2P2 3P1         (4)1( 0.5)  3926723.5 
    29     3    2S2 2P2 3P1         (4)2( 3.5)  3934724.3 
    30     3    2S2 2P2 3P1         (4)1( 2.5)  3935985.5 
    31     2    2S2 2P2 3P1         (2)2( 1.5)  3944627.9 
    32     5    2S2 2P2 3S1         (2)0( 0.5)  3950085.2 
    33     3    2S2 2P2 3P1         (2)2( 2.5)  3966683.6 
    34     3    2S2 2P2 3P1         (2)1( 1.5)  3975397.4 
