SEQ='N '     NUCCHG=20                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 118056189.4   NPRNTI= 4   NPRNTF=12
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P2             (3)1( 4.0)        0.0 
     2          2S2 2P2             (1)2( 2.0)    77394.6 
     3          2S2 2P2             (1)0( 0.0)   155034.5 
     4          2S1 2P3             (5)0( 2.0)   210171.9 
     5          2S1 2P3             (3)2( 7.0)   443873.0*
     6          2S1 2P3             (3)1( 4.0)   521267.6*
     7          2S1 2P3             (1)2( 2.0)   679091.4*
     8          2S1 2P3             (3)0( 1.0)   680608.7*
     9          2S1 2P3             (1)1( 1.0)   756485.9*
    10          2P4                 (3)1( 4.0)  1040707.0*
    11          2P4                 (1)2( 2.0)  1118101.6*
    12          2P4                 (1)0( 0.0)  1272645.4*

   LS RESOLVED TERM INDEXING            BWNR= 124644202.2   NTRM= 477
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    2S2 2P3             (4)0( 1.5)        0.0 
     2  9999    2S2 2P3             (2)2( 4.5)   113035.0 
     3  9999    2S2 2P3             (2)1( 2.5)   164511.2 
     4  9999    2S1 2P4             (4)1( 5.5)   493117.4 
     5  9999    2S1 2P4             (2)2( 4.5)   684444.8 
     6  9999    2S1 2P4             (2)0( 0.5)   797479.9 
     7  9999    2S1 2P4             (2)1( 2.5)   841029.5 
     8  9999    2P5                 (2)1( 2.5)  1314766.3 
     9     1    2S2 2P2 3S1         (4)1( 5.5)  3774331.4 
    10     1    2S2 2P2 3S1         (2)1( 2.5)  3806988.0 
    11     2    2S2 2P2 3S1         (2)2( 4.5)  3862611.5 
    12     1    2S2 2P2 3P1         (2)0( 0.5)  3899640.2 
    13     1    2S2 2P2 3P1         (4)2( 9.5)  3915141.4 
    14     1    2S2 2P2 3P1         (4)1( 5.5)  3925450.1 
    15     3    2S2 2P2 3S1         (2)0( 0.5)  3941223.2 
    16     1    2S2 2P2 3P1         (2)2( 4.5)  3946925.1 
    17     1    2S2 2P2 3P1         (2)1( 2.5)  3966080.4 
    18     4    2S1 2P3 3S1         (6)0( 2.5)  3980051.4 
    19     1    2S2 2P2 3P1         (4)0( 1.5)  3982502.5 
    20     2    2S2 2P2 3P1         (2)3( 6.5)  4006353.1 
    21     4    2S1 2P3 3S1         (4)0( 1.5)  4054006.2 
    22     2    2S2 2P2 3P1         (2)2( 4.5)  4054874.9 
    23     2    2S2 2P2 3P1         (2)1( 2.5)  4066841.2 
    24     1    2S2 2P2 3D1         (4)3(13.5)  4088126.8 
    25     1    2S2 2P2 3D1         (2)1( 2.5)  4103828.6 
    26     1    2S2 2P2 3D1         (4)2( 9.5)  4103959.8 
    27     3    2S2 2P2 3P1         (2)1( 2.5)  4107611.8 
    28     1    2S2 2P2 3D1         (2)3( 6.5)  4121759.2 
    29     1    2S2 2P2 3D1         (4)1( 5.5)  4124981.6 
    30     4    2S1 2P3 3P1         (6)1( 8.5)  4129445.1 
    31     1    2S2 2P2 3D1         (2)2( 4.5)  4170571.3 
    32     2    2S2 2P2 3D1         (2)4( 8.5)  4185877.9 
    33     4    2S1 2P3 3P1         (4)1( 5.5)  4186984.0 
    34     2    2S2 2P2 3D1         (2)2( 4.5)  4204219.5 
    35     2    2S2 2P2 3D1         (2)3( 6.5)  4212632.1 
    36     2    2S2 2P2 3D1         (2)1( 2.5)  4226202.4 
    37     2    2S2 2P2 3D1         (2)0( 0.5)  4232315.2 
    38     3    2S2 2P2 3D1         (2)2( 4.5)  4280193.4 
    39     4    2S1 2P3 3D1         (6)2(14.5)  4298156.2 
    40     4    2S1 2P3 3D1         (4)2( 9.5)  4373747.5 
    41     5    2S1 2P3 3P1         (4)1( 5.5)  4429574.4 
    42     8    2S1 2P3 3S1         (4)0( 1.5)  4474015.2 
    43     6    2S1 2P3 3P1         (4)1( 5.5)  4484693.9 
    44     5    2S1 2P3 3D1         (4)2( 9.5)  4560284.0 
    45     8    2S1 2P3 3P1         (4)1( 5.5)  4612323.8 
    46     6    2S1 2P3 3D1         (4)2( 9.5)  4644008.3 
    47     8    2S1 2P3 3D1         (4)2( 9.5)  4786583.4 
    48    10    2P4 3S1             (4)1( 5.5)  4843989.9 
    49    10    2P4 3S1             (2)1( 2.5)  4876646.5 
    50    11    2P4 3S1             (2)2( 4.5)  4932270.0 
    51    10    2P4 3P1             (4)2( 9.5)  4981145.0 
    52    10    2P4 3P1             (2)2( 4.5)  5000569.9 
    53    10    2P4 3P1             (2)1( 2.5)  5005832.1 
    54    10    2P4 3P1             (2)0( 0.5)  5009636.4 
    55    10    2P4 3P1             (4)0( 1.5)  5010665.8 
    56     1    2S2 2P2 4S1         (4)1( 5.5)  5077041.0 
    57    11    2P4 3P1             (2)2( 4.5)  5080844.4 
    58    12    2P4 3S1             (2)0( 0.5)  5085842.1 
    59     1    2S2 2P2 4S1         (2)1( 2.5)  5087894.9 
    60     1    2S2 2P2 4P1         (2)0( 0.5)  5128541.8 
    61    10    2P4 3D1             (4)2( 9.5)  5130162.2 
    62     1    2S2 2P2 4P1         (4)2( 9.5)  5134493.1 
    63     1    2S2 2P2 4P1         (4)1( 5.5)  5138457.0 
    64     1    2S2 2P2 4P1         (2)2( 4.5)  5150832.9 
    65     1    2S2 2P2 4P1         (4)0( 1.5)  5153985.3 
    66    10    2P4 3D1             (4)3(13.5)  5155791.5 
    67    11    2P4 3P1             (2)1( 2.5)  5157582.0 
    68     2    2S2 2P2 4S1         (2)2( 4.5)  5158053.6 
    69     1    2S2 2P2 4P1         (2)1( 2.5)  5159124.5 
    70    10    2P4 3D1             (2)3( 6.5)  5175029.8 
    71    10    2P4 3D1             (2)1( 2.5)  5185219.4 
    72    10    2P4 3D1             (2)2( 4.5)  5196933.6 
    73     1    2S2 2P2 4D1         (4)3(13.5)  5198009.8 
    74     1    2S2 2P2 4D1         (4)2( 9.5)  5203560.8 
    75     1    2S2 2P2 4D1         (2)1( 2.5)  5205028.9 
    76     1    2S2 2P2 4D1         (4)1( 5.5)  5211432.2 
    77     1    2S2 2P2 4D1         (2)3( 6.5)  5216809.3 
    78     2    2S2 2P2 4P1         (2)3( 6.5)  5216895.0 
    79     2    2S2 2P2 4P1         (2)2( 4.5)  5224580.0 
    80     1    2S2 2P2 4D1         (2)2( 4.5)  5230954.1 
    81     2    2S2 2P2 4P1         (2)1( 2.5)  5231879.5 
    82    12    2P4 3P1             (2)1( 2.5)  5232656.2 
    83     3    2S2 2P2 4S1         (2)0( 0.5)  5236021.8 
    84     1    2S2 2P2 4F1         (4)2( 9.5)  5237941.5 
    85     1    2S2 2P2 4F1         (2)2( 4.5)  5238104.2 
    86     1    2S2 2P2 4F1         (4)4(17.5)  5238724.3 
    87     1    2S2 2P2 4F1         (2)4( 8.5)  5240728.3 
    88     1    2S2 2P2 4F1         (4)3(13.5)  5244059.7 
    89     1    2S2 2P2 4F1         (2)3( 6.5)  5246792.6 
    90    11    2P4 3D1             (2)0( 0.5)  5248809.3 
    91    11    2P4 3D1             (2)3( 6.5)  5254806.8 
    92     2    2S2 2P2 4D1         (2)4( 8.5)  5282819.2 
    93    11    2P4 3D1             (2)1( 2.5)  5284329.6 
    94    11    2P4 3D1             (2)2( 4.5)  5284441.9 
    95     4    2S1 2P3 4S1         (6)0( 2.5)  5286035.6 
    96     2    2S2 2P2 4D1         (2)3( 6.5)  5286323.8 
    97     2    2S2 2P2 4D1         (2)2( 4.5)  5288628.2 
    98     2    2S2 2P2 4D1         (2)1( 2.5)  5296339.6 
    99     3    2S2 2P2 4P1         (2)1( 2.5)  5299114.0 
   100     2    2S2 2P2 4D1         (2)0( 0.5)  5299516.6 
   101     4    2S1 2P3 4S1         (4)0( 1.5)  5310004.7 
   102     2    2S2 2P2 4F1         (2)4( 8.5)  5314289.9 
   103     2    2S2 2P2 4F1         (2)3( 6.5)  5315156.2 
   104     2    2S2 2P2 4F1         (2)2( 4.5)  5320311.3 
   105     2    2S2 2P2 4F1         (2)5(10.5)  5320580.7 
   106     2    2S2 2P2 4F1         (2)1( 2.5)  5325213.0 
   107     4    2S1 2P3 4P1         (6)1( 8.5)  5346433.1 
   108     3    2S2 2P2 4D1         (2)2( 4.5)  5364746.0 
   109     4    2S1 2P3 4P1         (4)1( 5.5)  5368659.1 
   110     3    2S2 2P2 4F1         (2)3( 6.5)  5396412.3 
   111    12    2P4 3D1             (2)2( 4.5)  5402382.1 
   112     4    2S1 2P3 4D1         (6)2(14.5)  5408402.8 
   113     4    2S1 2P3 4D1         (4)2( 9.5)  5438418.3 
