SEQ='NE'     NUCCHG=20                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 136387983.4   NPRNTI= 2   NPRNTF= 2
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P5             (2)1( 1.5)        0.0 
     2          2S2 2P5             (2)1( 0.5)    29532.1 

   IC RESOLVED LEVEL INDEXING           BWNR= 141151225.6   NLVL= 337
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    2S2 2P6             (1)0( 0.0)        0.0 
     2     1    2S2 2P5 3S1         (3)1( 2.0)  2793436.0 
     3     1    2S2 2P5 3S1         (3)1( 1.0)  2802821.8 
     4     2    2S2 2P5 3S1         (3)1( 0.0)  2822968.1 
     5     2    2S2 2P5 3S1         (1)1( 1.0)  2831936.5 
     6     1    2S2 2P5 3P1         (3)0( 1.0)  2949497.8 
     7     1    2S2 2P5 3P1         (3)2( 3.0)  2968952.1 
     8     1    2S2 2P5 3P1         (3)2( 2.0)  2969069.7 
     9     1    2S2 2P5 3P1         (1)1( 1.0)  2977042.4 
    10     1    2S2 2P5 3P1         (3)1( 2.0)  2983808.5 
    11     2    2S2 2P5 3P1         (3)2( 1.0)  2997592.1 
    12     1    2S2 2P5 3P1         (3)1( 0.0)  2999276.3 
    13     2    2S2 2P5 3P1         (1)2( 2.0)  3007088.6 
    14     2    2S2 2P5 3P1         (3)1( 1.0)  3007135.1 
    15     2    2S2 2P5 3P1         (1)0( 0.0)  3131976.3 
    16     1    2S2 2P5 3D1         (3)1( 0.0)  3195328.9 
    17     1    2S2 2P5 3D1         (3)1( 1.0)  3198457.0 
    18     1    2S2 2P5 3D1         (3)1( 2.0)  3204612.5 
    19     1    2S2 2P5 3D1         (3)3( 4.0)  3206285.8 
    20     1    2S2 2P5 3D1         (3)3( 3.0)  3209822.1 
    21     1    2S2 2P5 3D1         (3)3( 2.0)  3216711.3 
    22     1    2S2 2P5 3D1         (3)2( 3.0)  3221573.0 
    23     1    2S2 2P5 3D1         (3)2( 1.0)  3236042.3 
    24     2    2S2 2P5 3D1         (1)2( 2.0)  3241187.6 
    25     2    2S2 2P5 3D1         (3)2( 2.0)  3245161.6 
    26     2    2S2 2P5 3D1         (1)3( 3.0)  3245448.4 
    27     2    2S2 2P5 3D1         (1)1( 1.0)  3284403.2 
    28     1    2S2 2P5 4S1         (3)1( 2.0)  3742856.3 
    29     1    2S2 2P5 4S1         (1)1( 1.0)  3746523.9 
    30     2    2S2 2P5 4S1         (3)1( 0.0)  3772388.4 
    31     2    2S2 2P5 4S1         (3)1( 1.0)  3774642.0 
    32     1    2S2 2P5 4P1         (3)0( 1.0)  3805272.2 
    33     1    2S2 2P5 4P1         (3)2( 3.0)  3811154.3 
    34     1    2S2 2P5 4P1         (3)2( 2.0)  3811262.6 
    35     1    2S2 2P5 4P1         (1)1( 1.0)  3814445.6 
    36     1    2S2 2P5 4P1         (3)1( 2.0)  3816385.2 
    37     1    2S2 2P5 4P1         (3)1( 0.0)  3830382.5 
    38     2    2S2 2P5 4P1         (3)2( 1.0)  3839666.7 
    39     2    2S2 2P5 4P1         (3)1( 1.0)  3842657.8 
    40     2    2S2 2P5 4P1         (1)2( 2.0)  3843380.1 
