SEQ='NE'     NUCCHG=20                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 135776773.9   NPRNTI= 1   NPRNTF= 1
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P5             (2)1( 2.5)        0.0 

   LS RESOLVED TERM INDEXING            BWNR= 140541089.1   NTRM= 175
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    2S2 2P6             (1)0( 0.0)        0.0 
     2     1    2S2 2P5 3S1         (3)1( 4.0)  2804031.2 
     3     1    2S2 2P5 3S1         (1)1( 1.0)  2822385.3 
     4     1    2S2 2P5 3P1         (3)0( 1.0)  2949141.0 
     5     1    2S2 2P5 3P1         (3)2( 7.0)  2972182.1 
     6     1    2S2 2P5 3P1         (1)2( 2.0)  2986042.6 
     7     1    2S2 2P5 3P1         (1)1( 1.0)  2987542.8 
     8     1    2S2 2P5 3P1         (3)1( 4.0)  2987542.8 
     9     1    2S2 2P5 3P1         (1)0( 0.0)  3126280.5 
    10     1    2S2 2P5 3D1         (3)1( 4.0)  3197718.8 
    11     1    2S2 2P5 3D1         (3)3(10.0)  3207583.8 
    12     1    2S2 2P5 3D1         (1)3( 3.0)  3219372.5 
    13     1    2S2 2P5 3D1         (1)2( 2.0)  3225341.0 
    14     1    2S2 2P5 3D1         (3)2( 7.0)  3225341.0 
    15     1    2S2 2P5 3D1         (1)1( 1.0)  3272388.5 
    16     1    2S2 2P5 4S1         (3)1( 4.0)  3747681.2 
    17     1    2S2 2P5 4S1         (1)1( 1.0)  3753602.4 
    18     1    2S2 2P5 4P1         (3)0( 1.0)  3805019.5 
    19     1    2S2 2P5 4P1         (3)2( 7.0)  3813203.8 
    20     1    2S2 2P5 4P1         (1)2( 2.0)  3817964.1 
    21     1    2S2 2P5 4P1         (1)1( 1.0)  3818660.0 
    22     1    2S2 2P5 4P1         (3)1( 4.0)  3818660.0 
    23     1    2S2 2P5 4P1         (1)0( 0.0)  3860579.2 
    24     1    2S2 2P5 4D1         (3)1( 4.0)  3893964.4 
    25     1    2S2 2P5 4D1         (3)3(10.0)  3897655.7 
    26     1    2S2 2P5 4D1         (1)3( 3.0)  3902568.1 
    27     1    2S2 2P5 4D1         (3)2( 7.0)  3904299.9 
    28     1    2S2 2P5 4D1         (1)2( 2.0)  3904299.9 
    29     1    2S2 2P5 4D1         (1)1( 1.0)  3924307.1 
    30     1    2S2 2P5 4F1         (3)2( 7.0)  3930516.0 
    31     1    2S2 2P5 4F1         (3)4(13.0)  3931724.9 
    32     1    2S2 2P5 4F1         (1)2( 2.0)  3931927.5 
    33     1    2S2 2P5 4F1         (1)4( 4.0)  3932100.8 
    34     1    2S2 2P5 4F1         (3)3(10.0)  3935179.0 
    35     1    2S2 2P5 4F1         (1)3( 3.0)  3935179.0 
    36     1    2S2 2P5 5S1         (3)1( 4.0)  4141704.7 
    37     1    2S2 2P5 5S1         (1)1( 1.0)  4144390.1 
    38     1    2S2 2P5 5P1         (3)0( 1.0)  4169887.5 
    39     1    2S2 2P5 5P1         (3)2( 7.0)  4173718.5 
    40     1    2S2 2P5 5P1         (1)2( 2.0)  4175943.9 
    41     1    2S2 2P5 5P1         (1)1( 1.0)  4176272.4 
    42     1    2S2 2P5 5P1         (3)1( 4.0)  4176272.4 
    43     1    2S2 2P5 5P1         (1)0( 0.0)  4194994.9 
    44     1    2S2 2P5 5D1         (3)1( 4.0)  4212285.5 
    45     1    2S2 2P5 5D1         (3)3(10.0)  4214065.8 
    46     1    2S2 2P5 5D1         (1)3( 3.0)  4216522.9 
    47     1    2S2 2P5 5D1         (3)2( 7.0)  4217270.3 
    48     1    2S2 2P5 5D1         (1)2( 2.0)  4217270.3 
    49     1    2S2 2P5 5D1         (1)1( 1.0)  4227296.2 
    50     1    2S2 2P5 5F1         (3)2( 7.0)  4230785.8 
    51     1    2S2 2P5 5F1         (3)4(13.0)  4231392.9 
    52     1    2S2 2P5 5G1         (3)3(10.0)  4231532.7 
    53     1    2S2 2P5 5G1         (1)3( 3.0)  4231532.7 
    54     1    2S2 2P5 5G1         (3)4(13.0)  4231532.7 
    55     1    2S2 2P5 5G1         (1)4( 4.0)  4231532.7 
    56     1    2S2 2P5 5G1         (3)5(16.0)  4231532.7 
    57     1    2S2 2P5 5G1         (1)5( 5.0)  4231532.7 
    58     1    2S2 2P5 5F1         (1)4( 4.0)  4231661.7 
    59     1    2S2 2P5 5F1         (1)2( 2.0)  4231790.3 
    60     1    2S2 2P5 5F1         (3)3(10.0)  4233127.5 
    61     1    2S2 2P5 5F1         (1)3( 3.0)  4233127.5 
    62     1    2S2 2P5 6S1         (3)1( 4.0)  4343918.6 
    63     1    2S2 2P5 6S1         (1)1( 1.0)  4345369.2 
    64     1    2S2 2P5 6P1         (3)0( 1.0)  4359778.6 
    65     1    2S2 2P5 6P1         (3)2( 7.0)  4361880.7 
    66     1    2S2 2P5 6P1         (1)2( 2.0)  4363104.9 
    67     1    2S2 2P5 6P1         (3)1( 4.0)  4363282.2 
    68     1    2S2 2P5 6P1         (1)1( 1.0)  4363282.2 
    69     1    2S2 2P5 6P1         (1)0( 0.0)  4373359.8 
    70     1    2S2 2P5 6D1         (3)1( 4.0)  4383357.7 
    71     1    2S2 2P5 6D1         (3)3(10.0)  4384353.5 
    72     1    2S2 2P5 6D1         (1)3( 3.0)  4385752.5 
    73     1    2S2 2P5 6D1         (1)2( 2.0)  4386146.0 
    74     1    2S2 2P5 6D1         (3)2( 7.0)  4386146.0 
    75     1    2S2 2P5 6D1         (1)1( 1.0)  4391854.4 
    76     1    2S2 2P5 6F1         (3)2( 7.0)  4393966.0 
    77     1    2S2 2P5 6F1         (3)4(13.0)  4394313.3 
    78     1    2S2 2P5 6F1         (1)4( 4.0)  4394490.8 
