SEQ='BE'     NUCCHG=20                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  94846886.9   NPRNTI= 3   NPRNTF= 3
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S1                 (2)0( 0.5)        0.0 
     2          2P1                 (2)1( 0.5)   295528.9 
     3          2P1                 (2)1( 1.5)   334397.6 

   IC RESOLVED LEVEL INDEXING           BWNR= 103612964.0   NLVL= 466
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    2S2                 (1)0( 0.0)        0.0 
     2  9999    2S1 2P1             (3)1( 0.0)   261897.1 
     3  9999    2S1 2P1             (3)1( 1.0)   273041.3 
     4  9999    2S1 2P1             (3)1( 2.0)   298910.2 
     5  9999    2S1 2P1             (1)1( 1.0)   529305.1 
     6  9999    2P2                 (3)1( 0.0)   694666.5 
     7  9999    2P2                 (3)1( 1.0)   711058.8 
     8  9999    2P2                 (3)1( 2.0)   731587.3 
     9  9999    2P2                 (1)2( 2.0)   809148.2 
    10  9999    2P2                 (1)0( 0.0)   978732.8 
    11     1    2S1 3S1             (3)0( 1.0)  4993075.5 
    12     1    2S1 3S1             (1)0( 0.0)  5054128.5 
    13     1    2S1 3P1             (3)1( 0.0)  5113549.5 
    14     1    2S1 3P1             (3)1( 1.0)  5116054.4 
    15     1    2S1 3P1             (3)1( 2.0)  5124160.3 
    16     1    2S1 3P1             (1)1( 1.0)  5141330.9 
    17     1    2S1 3D1             (3)2( 1.0)  5189271.0 
    18     1    2S1 3D1             (3)2( 2.0)  5190533.9 
    19     1    2S1 3D1             (3)2( 3.0)  5192557.7 
    20     1    2S1 3D1             (1)2( 2.0)  5240653.1 
    21     2    2P1 3S1             (3)1( 0.0)  5315449.6 
    22     2    2P1 3S1             (3)1( 1.0)  5320967.9 
    23     3    2P1 3S1             (3)1( 2.0)  5354318.3 
    24     3    2P1 3S1             (1)1( 1.0)  5373543.0 
    25     2    2P1 3P1             (3)2( 1.0)  5390725.1 
    26     2    2P1 3P1             (3)2( 2.0)  5415834.6 
    27     2    2P1 3P1             (1)1( 1.0)  5416834.3 
    28     3    2P1 3P1             (3)2( 3.0)  5443325.8 
    29     3    2P1 3P1             (3)0( 1.0)  5449709.4 
    30     2    2P1 3P1             (3)1( 0.0)  5455494.8 
    31     2    2P1 3D1             (3)3( 2.0)  5472938.3 
    32     3    2P1 3P1             (3)1( 1.0)  5473842.4 
    33     3    2P1 3P1             (3)1( 2.0)  5482938.0 
    34     2    2P1 3D1             (3)3( 3.0)  5490411.9 
    35     2    2P1 3D1             (1)2( 2.0)  5497929.7 
    36     3    2P1 3D1             (3)3( 4.0)  5514262.6 
    37     3    2P1 3P1             (1)2( 2.0)  5515768.2 
    38     2    2P1 3D1             (3)2( 1.0)  5519843.4 
    39     3    2P1 3D1             (3)2( 2.0)  5529636.4 
    40     3    2P1 3D1             (3)2( 3.0)  5544576.2 
    41     3    2P1 3D1             (3)1( 2.0)  5552047.1 
    42     3    2P1 3D1             (3)1( 1.0)  5553527.4 
    43     3    2P1 3D1             (3)1( 0.0)  5554517.2 
    44     3    2P1 3P1             (1)0( 0.0)  5565792.1 
    45     3    2P1 3D1             (1)1( 1.0)  5604175.9 
    46     3    2P1 3D1             (1)3( 3.0)  5607812.1 
    47     1    2S1 4S1             (3)0( 1.0)  6683941.7 
    48     1    2S1 4S1             (1)0( 0.0)  6703214.8 
    49     1    2S1 4P1             (3)1( 0.0)  6731500.8 
    50     1    2S1 4P1             (3)1( 1.0)  6732484.2 
    51     1    2S1 4P1             (3)1( 2.0)  6735939.6 
    52     1    2S1 4P1             (1)1( 1.0)  6741804.6 
    53     1    2S1 4D1             (3)2( 1.0)  6762499.3 
    54     1    2S1 4D1             (3)2( 2.0)  6763024.8 
    55     1    2S1 4D1             (3)2( 3.0)  6763885.0 
    56     1    2S1 4D1             (1)2( 2.0)  6779045.9 
    57     1    2S1 4F1             (3)3( 2.0)  6780292.3 
    58     1    2S1 4F1             (3)3( 3.0)  6780547.3 
    59     1    2S1 4F1             (3)3( 4.0)  6780967.7 
    60     1    2S1 4F1             (1)3( 3.0)  6783830.5 
    61     2    2P1 4S1             (3)1( 0.0)  6988294.0 
    62     2    2P1 4S1             (3)1( 1.0)  6990723.8 
    63     2    2P1 4P1             (3)2( 1.0)  7022514.5 
    64     3    2P1 4S1             (3)1( 2.0)  7027162.7 
    65     3    2P1 4S1             (1)1( 1.0)  7033143.9 
    66     2    2P1 4P1             (3)1( 1.0)  7035409.4 
    67     2    2P1 4P1             (3)2( 2.0)  7035741.4 
    68     2    2P1 4P1             (3)1( 0.0)  7044461.9 
