SEQ='BE'     NUCCHG=20                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  94355335.6   NPRNTI= 2   NPRNTF= 2
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S1                 (2)0( 0.5)        0.0 
     2          2P1                 (2)1( 2.5)   288366.5 

   LS RESOLVED TERM INDEXING            BWNR= 103074250.9   NTRM= 246
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    2S2                 (1)0( 0.0)        0.0 
     2  9999    2S1 2P1             (3)1( 4.0)   258088.9 
     3  9999    2S1 2P1             (1)1( 1.0)   499628.0 
     4  9999    2P2                 (3)1( 4.0)   663245.8 
     5  9999    2P2                 (1)2( 2.0)   744850.6 
     6  9999    2P2                 (1)0( 0.0)   917710.9 
     7     1    2S1 3S1             (3)0( 1.0)  4963820.7 
     8     1    2S1 3S1             (1)0( 0.0)  5024873.7 
     9     1    2S1 3P1             (3)1( 4.0)  5082350.5 
    10     1    2S1 3P1             (1)1( 1.0)  5102026.1 
    11     1    2S1 3D1             (3)2( 7.0)  5146927.4 
    12     1    2S1 3D1             (1)2( 2.0)  5196285.6 
    13     2    2P1 3S1             (3)1( 4.0)  5279032.4 
    14     2    2P1 3S1             (1)1( 1.0)  5303775.4 
    15     2    2P1 3P1             (1)1( 1.0)  5342612.6 
    16     2    2P1 3P1             (3)2( 7.0)  5355485.0 
    17     2    2P1 3P1             (3)0( 1.0)  5374793.6 
    18     2    2P1 3P1             (3)1( 4.0)  5405815.7 
    19     2    2P1 3D1             (1)2( 2.0)  5421434.5 
    20     2    2P1 3D1             (3)3(10.0)  5422601.1 
    21     2    2P1 3P1             (1)2( 2.0)  5439197.1 
    22     2    2P1 3D1             (3)2( 7.0)  5460038.5 
    23     2    2P1 3D1             (3)1( 4.0)  5466142.5 
    24     2    2P1 3P1             (1)0( 0.0)  5489269.0 
    25     2    2P1 3D1             (1)1( 1.0)  5521823.5 
    26     2    2P1 3D1             (1)3( 3.0)  5527331.7 
    27     1    2S1 4S1             (3)0( 1.0)  6644727.2 
    28     1    2S1 4S1             (1)0( 0.0)  6664000.3 
    29     1    2S1 4P1             (3)1( 4.0)  6691524.0 
    30     1    2S1 4P1             (1)1( 1.0)  6698372.5 
    31     1    2S1 4D1             (3)2( 7.0)  6717862.4 
    32     1    2S1 4D1             (1)2( 2.0)  6733548.9 
    33     1    2S1 4F1             (3)3(10.0)  6734269.4 
    34     1    2S1 4F1             (1)3( 3.0)  6737387.3 
    35     2    2P1 4S1             (3)1( 4.0)  6941917.1 
    36     2    2P1 4S1             (1)1( 1.0)  6950328.1 
    37     2    2P1 4P1             (1)1( 1.0)  6971261.3 
    38     2    2P1 4P1             (3)2( 7.0)  6976404.5 
    39     2    2P1 4P1             (3)0( 1.0)  6984119.2 
    40     2    2P1 4P1             (3)1( 4.0)  6990712.6 
    41     2    2P1 4D1             (1)2( 2.0)  7001477.6 
    42     2    2P1 4D1             (3)3(10.0)  7002329.7 
    43     2    2P1 4P1             (1)2( 2.0)  7003111.3 
    44     2    2P1 4D1             (3)2( 7.0)  7014355.6 
    45     2    2P1 4D1             (3)1( 4.0)  7017111.9 
    46     2    2P1 4F1             (1)3( 3.0)  7017430.5 
    47     2    2P1 4F1             (3)3(10.0)  7018403.8 
    48     2    2P1 4P1             (1)0( 0.0)  7021709.3 
    49     2    2P1 4F1             (3)4(13.0)  7024456.6 
    50     2    2P1 4F1             (3)2( 7.0)  7028619.1 
    51     2    2P1 4F1             (1)4( 4.0)  7029095.8 
    52     2    2P1 4F1             (1)2( 2.0)  7031134.7 
    53     2    2P1 4D1             (1)1( 1.0)  7036569.2 
    54     2    2P1 4D1             (1)3( 3.0)  7037834.4 
    55     1    2S1 5S1             (3)0( 1.0)  7404321.3 
    56     1    2S1 5S1             (1)0( 0.0)  7413096.2 
    57     1    2S1 5P1             (3)1( 4.0)  7427647.1 
    58     1    2S1 5P1             (1)1( 1.0)  7430891.9 
    59     1    2S1 5D1             (3)2( 7.0)  7440921.3 
    60     1    2S1 5D1             (1)2( 2.0)  7448026.2 
    61     1    2S1 5F1             (3)3(10.0)  7448659.5 
    62     1    2S1 5G1             (3)4(13.0)  7449669.5 
    63     1    2S1 5G1             (1)4( 4.0)  7449669.5 
    64     1    2S1 5F1             (1)3( 3.0)  7450644.7 
    65     2    2P1 5S1             (3)1( 4.0)  7696786.3 
    66     2    2P1 5S1             (1)1( 1.0)  7700719.4 
    67     2    2P1 5P1             (1)1( 1.0)  7712186.1 
    68     2    2P1 5P1             (3)2( 7.0)  7714689.4 
    69     2    2P1 5P1             (3)0( 1.0)  7718444.4 
