SEQ='AL'     NUCCHG=20                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 144375973.8   NPRNTI= 4   NPRNTF=26
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S2                 (1)0( 0.0)        0.0 
     2          3S1 3P1             (3)1( 0.0)   142489.0 
     3          3S1 3P1             (3)1( 1.0)   143922.4 
     4          3S1 3P1             (3)1( 2.0)   146970.9 
     5          3S1 3P1             (1)1( 1.0)   216949.4*
     6          3P2                 (1)2( 2.0)   336904.1*
     7          3P2                 (3)1( 0.0)   340417.2*
     8          3P2                 (3)1( 1.0)   342189.8*
     9          3P2                 (3)1( 2.0)   345609.1*
    10          3P2                 (1)0( 0.0)   402044.7*
    11          3S1 3D1             (3)2( 1.0)   419184.7*
    12          3S1 3D1             (3)2( 2.0)   419352.0*
    13          3S1 3D1             (3)2( 3.0)   419604.2*
    14          3S1 3D1             (1)2( 2.0)   480465.8*
    15          3P1 3D1             (3)3( 2.0)   569911.6*
    16          3P1 3D1             (3)3( 3.0)   571844.1*
    17          3P1 3D1             (3)3( 4.0)   574145.4*
    18          3P1 3D1             (1)2( 2.0)   577777.8*
    19          3P1 3D1             (3)1( 2.0)   606107.4*
    20          3P1 3D1             (3)1( 1.0)   607077.3*
    21          3P1 3D1             (3)1( 0.0)   608641.0*
    22          3P1 3D1             (3)2( 1.0)   609728.0*
    23          3P1 3D1             (3)2( 2.0)   610305.3*
    24          3P1 3D1             (3)2( 3.0)   610480.9*
    25          3P1 3D1             (1)3( 3.0)   663342.4*
    26          3P1 3D1             (1)1( 1.0)   671779.9*

   IC RESOLVED LEVEL INDEXING           BWNR= 145567721.3   NLVL=1150
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    3S2 3P1             (2)1( 0.5)        0.0 
     2  9999    3S2 3P1             (2)1( 1.5)     4096.2 
     3  9999    3S1 3P2             (4)1( 0.5)   128423.2 
     4  9999    3S1 3P2             (4)1( 1.5)   129918.4 
     5  9999    3S1 3P2             (4)1( 2.5)   132188.4 
     6  9999    3S1 3P2             (2)2( 1.5)   172823.5 
     7  9999    3S1 3P2             (2)2( 2.5)   173026.6 
     8  9999    3S1 3P2             (2)0( 0.5)   219829.1 
     9  9999    3S1 3P2             (2)1( 0.5)   234672.7 
    10  9999    3S1 3P2             (2)1( 1.5)   237144.5 
    11  9999    3S2 3D1             (2)2( 1.5)   292302.8 
    12  9999    3S2 3D1             (2)2( 2.5)   292596.3 
    13  9999    3P3                 (2)2( 1.5)   337053.5 
    14  9999    3P3                 (2)2( 2.5)   337506.8 
    15  9999    3P3                 (4)0( 1.5)   346647.4 
    16  9999    3P3                 (2)1( 0.5)   380591.4 
    17  9999    3P3                 (2)1( 1.5)   380659.1 
    18  9999    3S1 3P1 3D1         (4)3( 1.5)   382472.1 
    19  9999    3S1 3P1 3D1         (4)3( 2.5)   383330.5 
    20  9999    3S1 3P1 3D1         (4)3( 3.5)   384556.1 
    21  9999    3S1 3P1 3D1         (4)3( 4.5)   386173.6 
    22  9999    3S1 3P1 3D1         (4)1( 2.5)   414747.9 
    23  9999    3S1 3P1 3D1         (4)1( 1.5)   415762.1 
    24  9999    3S1 3P1 3D1         (4)1( 0.5)   416611.2 
    25  9999    3S1 3P1 3D1         (4)2( 0.5)   418921.6 
    26  9999    3S1 3P1 3D1         (4)2( 1.5)   419479.2 
    27  9999    3S1 3P1 3D1         (4)2( 2.5)   419955.2 
    28  9999    3S1 3P1 3D1         (4)2( 3.5)   420237.2 
    29  9999    3S1 3P1 3D1         (2)2( 2.5)   430671.8 
    30  9999    3S1 3P1 3D1         (2)2( 1.5)   430676.7 
    31  9999    3S1 3P1 3D1         (2)3( 2.5)   455334.0 
    32  9999    3S1 3P1 3D1         (2)3( 3.5)   458596.9 
    33  9999    3S1 3P1 3D1         (2)1( 1.5)   496886.4 
    34  9999    3S1 3P1 3D1         (2)1( 0.5)   498395.4 
    35  9999    3S1 3P1 3D1         (2)3( 3.5)   503035.8 
    36  9999    3S1 3P1 3D1         (2)3( 2.5)   503868.9 
    37  9999    3S1 3P1 3D1         (2)1( 0.5)   517595.5 
    38  9999    3S1 3P1 3D1         (2)1( 1.5)   518147.9 
    39  9999    3S1 3P1 3D1         (2)2( 1.5)   520033.4 
    40  9999    3S1 3P1 3D1         (2)2( 2.5)   520643.1 
    41     1    3S2 4S1             (2)0( 0.5)   551156.3 
    42  9999    3P2 3D1             (2)3( 2.5)   572236.4 
    43  9999    3P2 3D1             (2)3( 3.5)   573841.0 
    44  9999    3P2 3D1             (4)3( 1.5)   580183.9 
    45  9999    3P2 3D1             (4)3( 2.5)   581075.6 
    46  9999    3P2 3D1             (4)3( 3.5)   582308.8 
    47  9999    3P2 3D1             (4)3( 4.5)   583848.6 
    48  9999    3P2 3D1             (2)1( 1.5)   589242.3 
    49  9999    3P2 3D1             (2)1( 0.5)   591326.0 
    50  9999    3P2 3D1             (4)2( 1.5)   594018.6 
    51  9999    3P2 3D1             (4)2( 2.5)   594329.0 
    52  9999    3P2 3D1             (4)2( 0.5)   594456.2 
    53  9999    3P2 3D1             (4)2( 3.5)   595271.5 
    54  9999    3P2 3D1             (2)4( 3.5)   609299.5 
    55  9999    3P2 3D1             (2)4( 4.5)   609716.3 
    56     1    3S2 4P1             (2)1( 0.5)   616821.7 
    57     1    3S2 4P1             (2)1( 1.5)   618218.6 
    58  9999    3P2 3D1             (2)2( 2.5)   623600.8 
    59  9999    3P2 3D1             (2)2( 1.5)   624143.4 
    60  9999    3P2 3D1             (4)1( 2.5)   628094.8 
    61  9999    3P2 3D1             (4)1( 1.5)   628738.0 
    62  9999    3P2 3D1             (4)1( 0.5)   629178.5 
    63  9999    3P2 3D1             (2)1( 0.5)   653485.4 
    64  9999    3P2 3D1             (2)1( 1.5)   654466.2 
    65  9999    3P2 3D1             (2)0( 0.5)   656072.0 
    66  9999    3P2 3D1             (2)2( 1.5)   658777.8 
