SEQ='AL'     NUCCHG=20                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 143750963.6   NPRNTI= 2   NPRNTF=14
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S2                 (1)0( 0.0)        0.0 
     2          3S1 3P1             (3)1( 4.0)   141026.6 
     3          3S1 3P1             (1)1( 1.0)   212226.3*
     4          3P2                 (1)2( 2.0)   328578.3*
     5          3P2                 (3)1( 4.0)   334525.8*
     6          3P2                 (1)0( 0.0)   392736.5*
     7          3S1 3D1             (3)2( 7.0)   412228.3*
     8          3S1 3D1             (1)2( 2.0)   472779.6*
     9          3P1 3D1             (3)3(10.0)   560552.6*
    10          3P1 3D1             (1)2( 2.0)   565639.2*
    11          3P1 3D1             (3)1( 4.0)   595516.7*
    12          3P1 3D1             (3)2( 7.0)   597900.6*
    13          3P1 3D1             (1)3( 3.0)   651363.5*
    14          3P1 3D1             (1)1( 1.0)   660020.6*

   LS RESOLVED TERM INDEXING            BWNR= 144937922.6   NTRM= 441
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    3S2 3P1             (2)1( 2.5)        0.0 
     2  9999    3S1 3P2             (4)1( 5.5)   123895.1 
     3  9999    3S1 3P2             (2)2( 4.5)   166067.1 
     4  9999    3S1 3P2             (2)0( 0.5)   213004.1 
     5  9999    3S1 3P2             (2)1( 2.5)   228912.0 
     6  9999    3S2 3D1             (2)2( 4.5)   286889.8 
     7  9999    3P3                 (2)2( 4.5)   326517.5 
     8  9999    3P3                 (2)1( 2.5)   369363.2 
     9  9999    3S1 3P1 3D1         (4)3(13.5)   375034.1 
    10  9999    3S1 3P1 3D1         (4)1( 5.5)   406266.5 
    11  9999    3S1 3P1 3D1         (4)2( 9.5)   410027.0 
    12  9999    3S1 3P1 3D1         (2)2( 4.5)   420547.0 
    13  9999    3S1 3P1 3D1         (2)3( 6.5)   447534.9 
    14  9999    3S1 3P1 3D1         (2)1( 2.5)   487548.9 
    15  9999    3S1 3P1 3D1         (2)3( 6.5)   493631.4 
    16  9999    3S1 3P1 3D1         (2)1( 2.5)   508206.1 
    17  9999    3S1 3P1 3D1         (2)2( 4.5)   510187.6 
    18     1    3S2 4S1             (2)0( 0.5)   548853.8 
    19  9999    3P2 3D1             (2)3( 6.5)   559438.6 
    20  9999    3P2 3D1             (4)3(13.5)   568321.7 
    21  9999    3P2 3D1             (2)1( 2.5)   576470.9 
    22  9999    3P2 3D1             (4)2( 9.5)   580357.1 
    23  9999    3P2 3D1             (2)4( 8.5)   595558.4 
    24  9999    3P2 3D1             (2)2( 4.5)   610194.4 
    25     1    3S2 4P1             (2)1( 2.5)   614008.5 
    26  9999    3P2 3D1             (4)1( 5.5)   614208.6 
    27  9999    3P2 3D1             (2)1( 2.5)   640877.2 
    28  9999    3P2 3D1             (2)0( 0.5)   641969.5 
    29  9999    3P2 3D1             (2)2( 4.5)   646226.5 
    30  9999    3P2 3D1             (2)3( 6.5)   659201.0 
    31     2    3S1 3P1 4S1         (4)1( 5.5)   685508.3 
    32  9999    3S1 3D2             (4)1( 5.5)   689401.9 
    33  9999    3P2 3D1             (2)2( 4.5)   693581.1 
    34     1    3S2 4D1             (2)2( 4.5)   699678.5 
    35     2    3S1 3P1 4S1         (2)1( 2.5)   705281.4 
    36  9999    3S1 3D2             (2)2( 4.5)   722936.9 
    37  9999    3S1 3D2             (2)4( 8.5)   723458.9 
    38     1    3S2 4F1             (2)3( 6.5)   739503.2 
    39     2    3S1 3P1 4P1         (4)2( 9.5)   745546.3 
    40     2    3S1 3P1 4P1         (2)1( 2.5)   747498.0 
    41     2    3S1 3P1 4P1         (4)0( 1.5)   754071.6 
    42     2    3S1 3P1 4P1         (4)1( 5.5)   756113.0 
    43  9999    3S1 3D2             (2)3( 6.5)   758850.1 
    44     3    3S1 3P1 4S1         (2)1( 2.5)   763939.9 
    45     2    3S1 3P1 4P1         (2)2( 4.5)   766580.1 
    46  9999    3S1 3D2             (2)0( 0.5)   772685.1 
    47  9999    3S1 3D2             (2)1( 2.5)   779073.9 
    48     2    3S1 3P1 4P1         (2)0( 0.5)   780969.2 
    49  9999    3P1 3D2             (4)4(17.5)   805841.8 
    50     1    3S2 5S1             (2)0( 0.5)   812750.3 
    51     3    3S1 3P1 4P1         (2)2( 4.5)   824445.8 
    52  9999    3P1 3D2             (2)3( 6.5)   825751.3 
    53     3    3S1 3P1 4P1         (2)1( 2.5)   827692.0 
    54  9999    3P1 3D2             (2)2( 4.5)   828285.0 
    55     3    3S1 3P1 4P1         (2)0( 0.5)   833654.5 
    56     2    3S1 3P1 4D1         (4)2( 9.5)   834934.0 
    57     2    3S1 3P1 4D1         (2)2( 4.5)   835621.6 
    58  9999    3P1 3D2             (4)2( 9.5)   837477.5 
    59     2    3S1 3P1 4D1         (4)3(13.5)   838554.8 
    60     1    3S2 5P1             (2)1( 2.5)   842382.8 
    61  9999    3P1 3D2             (4)3(13.5)   843981.7 
    62     2    3S1 3P1 4D1         (4)1( 5.5)   844089.1 
    63     2    3S1 3P1 4D1         (2)3( 6.5)   846837.5 
    64  9999    3P1 3D2             (2)4( 8.5)   848218.5 
    65  9999    3P1 3D2             (4)1( 5.5)   848633.7 
    66     2    3S1 3P1 4D1         (2)1( 2.5)   851363.5 
    67  9999    3P1 3D2             (2)5(10.5)   861903.6 
    68  9999    3P1 3D2             (4)2( 9.5)   867463.1 
    69     2    3S1 3P1 4F1         (4)3(13.5)   873450.5 
    70     2    3S1 3P1 4F1         (2)3( 6.5)   874827.2 
    71  9999    3P1 3D2             (2)1( 2.5)   876190.4 
    72     2    3S1 3P1 4F1         (4)4(17.5)   876361.5 
    73     4    3P2 4S1             (2)2( 4.5)   881841.4 
    74     1    3S2 5D1             (2)2( 4.5)   882097.1 
    75     2    3S1 3P1 4F1         (4)2( 9.5)   883354.4 
    76     2    3S1 3P1 4F1         (2)4( 8.5)   890619.0 
