SEQ='MG'     NUCCHG=20                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 142855443.7   NPRNTI= 3   NPRNTF= 5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S1                 (2)0( 0.5)        0.0 
     2          3P1                 (2)1( 0.5)   174263.9 
     3          3P1                 (2)1( 1.5)   179087.9 
     4          3D1                 (2)2( 1.5)   423307.4*
     5          3D1                 (2)2( 2.5)   423771.3*

   IC RESOLVED LEVEL INDEXING           BWNR= 144375973.8   NLVL= 482
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    3S2                 (1)0( 0.0)        0.0 
     2  9999    3S1 3P1             (3)1( 0.0)   142489.0 
     3  9999    3S1 3P1             (3)1( 1.0)   143922.4 
     4  9999    3S1 3P1             (3)1( 2.0)   146970.9 
     5  9999    3S1 3P1             (1)1( 1.0)   216949.4 
     6  9999    3P2                 (1)2( 2.0)   336904.1 
     7  9999    3P2                 (3)1( 0.0)   340417.2 
     8  9999    3P2                 (3)1( 1.0)   342189.8 
     9  9999    3P2                 (3)1( 2.0)   345609.1 
    10  9999    3P2                 (1)0( 0.0)   402044.7 
    11  9999    3S1 3D1             (3)2( 1.0)   419184.7 
    12  9999    3S1 3D1             (3)2( 2.0)   419352.0 
    13  9999    3S1 3D1             (3)2( 3.0)   419604.2 
    14  9999    3S1 3D1             (1)2( 2.0)   480465.8 
    15  9999    3P1 3D1             (3)3( 2.0)   569911.6 
    16  9999    3P1 3D1             (3)3( 3.0)   571844.1 
    17  9999    3P1 3D1             (3)3( 4.0)   574145.4 
    18  9999    3P1 3D1             (1)2( 2.0)   577777.8 
    19  9999    3P1 3D1             (3)1( 2.0)   606107.4 
    20  9999    3P1 3D1             (3)1( 1.0)   607077.3 
    21  9999    3P1 3D1             (3)1( 0.0)   608640.9 
    22  9999    3P1 3D1             (3)2( 1.0)   609728.0 
    23  9999    3P1 3D1             (3)2( 2.0)   610305.3 
    24  9999    3P1 3D1             (3)2( 3.0)   610480.9 
    25  9999    3P1 3D1             (1)3( 3.0)   663342.4 
    26  9999    3P1 3D1             (1)1( 1.0)   671779.8 
    27     1    3S1 4S1             (3)0( 1.0)   761918.3 
    28     1    3S1 4S1             (1)0( 0.0)   782510.0 
    29     1    3S1 4P1             (3)1( 0.0)   831950.8 
    30     1    3S1 4P1             (3)1( 1.0)   832416.5 
    31     1    3S1 4P1             (3)1( 2.0)   833561.2 
    32     1    3S1 4P1             (1)1( 1.0)   840581.8 
    33  9999    3D2                 (3)3( 2.0)   844445.1 
    34  9999    3D2                 (3)1( 0.0)   866198.2 
    35  9999    3D2                 (3)1( 1.0)   866292.3 
    36  9999    3D2                 (3)1( 2.0)   866377.1 
    37  9999    3D2                 (1)2( 2.0)   867138.4 
    38     1    3S1 4D1             (3)2( 1.0)   922177.5 
    39     1    3S1 4D1             (3)2( 2.0)   922246.5 
    40     1    3S1 4D1             (3)2( 3.0)   922355.3 
    41  9999    3D2                 (1)0( 0.0)   923265.8 
    42     1    3S1 4D1             (1)2( 2.0)   925821.1 
    43     2    3P1 4S1             (3)1( 0.0)   942068.2 
    44     2    3P1 4S1             (3)1( 1.0)   943179.7 
    45     3    3P1 4S1             (3)1( 2.0)   946892.2 
    46     3    3P1 4S1             (1)1( 1.0)   954090.2 
    47     1    3S1 4F1             (3)3( 2.0)   956490.0 
    48     1    3S1 4F1             (3)3( 3.0)   956515.2 
    49     1    3S1 4F1             (3)3( 4.0)   956549.1 
    50     1    3S1 4F1             (1)3( 3.0)   963573.3 
    51     2    3P1 4P1             (1)1( 1.0)   996982.1 
    52     2    3P1 4P1             (3)2( 1.0)  1001741.7 
    53     2    3P1 4P1             (3)2( 2.0)  1002850.2 
    54     3    3P1 4P1             (3)2( 3.0)  1006210.1 
    55     3    3P1 4P1             (3)0( 1.0)  1012538.2 
    56     2    3P1 4P1             (3)1( 0.0)  1013321.4 
    57     3    3P1 4P1             (3)1( 1.0)  1015338.0 
    58     3    3P1 4P1             (3)1( 2.0)  1016703.5 
    59     3    3P1 4P1             (1)2( 2.0)  1027881.8 
    60     3    3P1 4P1             (1)0( 0.0)  1045700.3 
    61     1    3S1 5S1             (3)0( 1.0)  1068746.5 
    62     1    3S1 5S1             (1)0( 0.0)  1075553.8 
    63     2    3P1 4D1             (1)2( 2.0)  1092596.6 
    64     2    3P1 4D1             (3)2( 1.0)  1094144.2 
    65     2    3P1 4D1             (3)2( 2.0)  1094338.5 
    66     2    3P1 4D1             (3)2( 3.0)  1095125.6 
    67     3    3P1 4D1             (3)3( 2.0)  1098435.5 
    68     3    3P1 4D1             (3)3( 3.0)  1099460.0 
    69     1    3S1 5P1             (3)1( 0.0)  1101056.1 
    70     3    3P1 4D1             (3)3( 4.0)  1101223.9 
    71     1    3S1 5P1             (3)1( 1.0)  1101269.3 
    72     1    3S1 5P1             (3)1( 2.0)  1101824.3 
    73     1    3S1 5P1             (1)1( 1.0)  1104366.6 
    74     3    3P1 4D1             (3)1( 2.0)  1104989.0 
    75     3    3P1 4D1             (3)1( 1.0)  1105968.3 
    76     3    3P1 4D1             (3)1( 0.0)  1106718.6 
    77     3    3P1 4D1             (1)3( 3.0)  1107647.6 
    78     3    3P1 4D1             (1)1( 1.0)  1111859.0 
    79     2    3P1 4F1             (1)3( 3.0)  1125411.8 
    80     2    3P1 4F1             (3)3( 3.0)  1128270.9 
    81     2    3P1 4F1             (3)3( 2.0)  1128838.8 
    82     2    3P1 4F1             (3)3( 4.0)  1128935.2 
    83     3    3P1 4F1             (3)4( 3.0)  1131449.3 
    84     3    3P1 4F1             (3)4( 4.0)  1132464.2 
    85     3    3P1 4F1             (3)4( 5.0)  1133472.5 
    86     3    3P1 4F1             (3)2( 3.0)  1139604.5 
    87     3    3P1 4F1             (3)2( 2.0)  1140754.8 
    88     3    3P1 4F1             (3)2( 1.0)  1141733.9 
    89     1    3S1 5D1             (3)2( 1.0)  1143396.2 
    90     1    3S1 5D1             (3)2( 2.0)  1143431.6 
    91     1    3S1 5D1             (3)2( 3.0)  1143488.2 
    92     1    3S1 5D1             (1)2( 2.0)  1144847.9 
    93     3    3P1 4F1             (1)4( 4.0)  1149648.1 
    94     3    3P1 4F1             (1)2( 2.0)  1150237.3 
    95     1    3S1 5F1             (3)3( 2.0)  1160182.5 
    96     1    3S1 5F1             (3)3( 3.0)  1160195.4 
    97     1    3S1 5F1             (3)3( 4.0)  1160212.8 
    98     1    3S1 5G1             (1)*( 3.0)  1163366.2 
    99     1    3S1 5G1             (1)*( 4.0)  1163366.2 
   100     1    3S1 5G1             (1)*( 4.0)  1163366.2 
   101     1    3S1 5G1             (1)*( 5.0)  1163366.2 
   102     1    3S1 5F1             (1)3( 3.0)  1163483.2 
   103     1    3S1 6S1             (3)0( 1.0)  1220227.9 
   104     1    3S1 6S1             (1)0( 0.0)  1223445.1 
   105     1    3S1 6P1             (3)1( 0.0)  1237878.6 
   106     1    3S1 6P1             (3)1( 1.0)  1237994.2 
   107     1    3S1 6P1             (3)1( 2.0)  1238304.5 
   108     1    3S1 6P1             (1)1( 1.0)  1239552.3 
   109     2    3P1 5S1             (3)1( 0.0)  1244837.5 
   110     2    3P1 5S1             (3)1( 1.0)  1245503.8 
   111     3    3P1 5S1             (3)1( 2.0)  1249661.4 
   112     4    3D1 4P1             (1)2( 2.0)  1251901.4 
   113     3    3P1 5S1             (1)1( 1.0)  1251937.0 
   114     4    3D1 4P1             (3)2( 1.0)  1254188.2 
   115     4    3D1 4P1             (3)2( 2.0)  1254491.1 
   116     1    3S1 6D1             (3)2( 1.0)  1261215.6 
   117     1    3S1 6D1             (3)2( 2.0)  1261236.0 
   118     1    3S1 6D1             (3)2( 3.0)  1261269.0 
   119     1    3S1 6D1             (1)2( 2.0)  1261981.4 
   120     5    3D1 4P1             (3)1( 2.0)  1264041.7 
   121     4    3D1 4P1             (3)1( 1.0)  1264221.5 
   122     4    3D1 4P1             (3)1( 0.0)  1264371.7 
   123     1    3S1 6F1             (3)3( 2.0)  1270748.8 
   124     1    3S1 6F1             (3)3( 3.0)  1270756.3 
   125     1    3S1 6F1             (3)3( 4.0)  1270766.4 
   126     2    3P1 5P1             (1)1( 1.0)  1272413.2 
   127     1    3S1 6F1             (1)3( 3.0)  1272506.8 
   128     5    3D1 4P1             (1)1( 1.0)  1272554.1 
   129     1    3S1 6G1             (1)*( 3.0)  1272687.0 
   130     1    3S1 6G1             (1)*( 4.0)  1272687.0 
   131     1    3S1 6G1             (1)*( 4.0)  1272687.0 
   132     1    3S1 6G1             (1)*( 5.0)  1272687.0 
   133     1    3S1 6H1             (1)*( 4.0)  1273139.8 
   134     1    3S1 6H1             (1)*( 5.0)  1273139.8 
   135     1    3S1 6H1             (1)*( 5.0)  1273139.8 
   136     1    3S1 6H1             (1)*( 6.0)  1273139.8 
   137     2    3P1 5P1             (3)2( 1.0)  1275126.0 
   138     2    3P1 5P1             (3)2( 2.0)  1275469.4 
   139     2    3P1 5P1             (3)1( 0.0)  1277684.0 
   140     3    3P1 5P1             (3)2( 3.0)  1278920.2 
   141     3    3P1 5P1             (3)1( 1.0)  1279138.6 
   142     3    3P1 5P1             (3)1( 2.0)  1281037.4 
   143     3    3P1 5P1             (3)0( 1.0)  1282166.0 
   144     3    3P1 5P1             (1)2( 2.0)  1285632.5 
   145     3    3P1 5P1             (1)0( 0.0)  1293123.5 
   146     1    3S1 7S1             (3)0( 1.0)  1306409.1 
   147     1    3S1 7S1             (1)0( 0.0)  1308212.4 
   148     2    3P1 5D1             (1)2( 2.0)  1316506.2 
   149     2    3P1 5D1             (3)2( 2.0)  1316984.7 
   150     2    3P1 5D1             (3)2( 1.0)  1317037.6 
   151     1    3S1 7P1             (3)1( 0.0)  1317106.2 
   152     1    3S1 7P1             (3)1( 1.0)  1317176.1 
   153     1    3S1 7P1             (3)1( 2.0)  1317366.8 
   154     2    3P1 5D1             (3)2( 3.0)  1317537.0 
   155     1    3S1 7P1             (1)1( 1.0)  1318080.7 
   156     3    3P1 5D1             (3)3( 2.0)  1320832.9 
   157     3    3P1 5D1             (3)3( 3.0)  1321346.2 
   158     3    3P1 5D1             (3)3( 4.0)  1322665.5 
   159     3    3P1 5D1             (3)1( 2.0)  1323636.1 
   160     3    3P1 5D1             (3)1( 1.0)  1324265.6 
   161     3    3P1 5D1             (1)3( 3.0)  1324703.7 
   162     3    3P1 5D1             (3)1( 0.0)  1324992.5 
   163     3    3P1 5D1             (1)1( 1.0)  1326690.7 
   164     1    3S1 7D1             (3)2( 1.0)  1331349.9 
   165     1    3S1 7D1             (3)2( 2.0)  1331362.8 
   166     1    3S1 7D1             (3)2( 3.0)  1331383.6 
   167     4    3D1 4D1             (1)3( 3.0)  1331467.1 
   168     1    3S1 7D1             (1)2( 2.0)  1331810.0 
   169     2    3P1 5F1             (1)3( 3.0)  1332747.4 
   170     2    3P1 5F1             (3)3( 3.0)  1333836.6 
   171     4    3D1 4D1             (3)2( 1.0)  1334137.8 
   172     4    3D1 4D1             (3)2( 2.0)  1334287.6 
   173     2    3P1 5F1             (3)4( 4.0)  1334293.5 
   174     2    3P1 5F1             (3)3( 2.0)  1334481.8 
   175     4    3D1 4D1             (3)2( 3.0)  1334489.9 
   176     5    3D1 4D1             (3)4( 3.0)  1336425.6 
   177     4    3D1 4D1             (1)1( 1.0)  1336758.6 
   178     3    3P1 5F1             (3)4( 3.0)  1337268.5 
   179     1    3S1 7F1             (3)3( 2.0)  1337287.7 
