SEQ='MG'     NUCCHG=20                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 142237333.6   NPRNTI= 2   NPRNTF= 3
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S1                 (2)0( 0.5)        0.0 
     2          3P1                 (2)1( 2.5)   172539.3 
     3          3D1                 (2)2( 4.5)   415670.3*

   LS RESOLVED TERM INDEXING            BWNR= 143750963.6   NTRM= 243
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    3S2                 (1)0( 0.0)        0.0 
     2  9999    3S1 3P1             (3)1( 4.0)   141026.6 
     3  9999    3S1 3P1             (1)1( 1.0)   212226.3 
     4  9999    3P2                 (1)2( 2.0)   328578.3 
     5  9999    3P2                 (3)1( 4.0)   334525.8 
     6  9999    3P2                 (1)0( 0.0)   392736.5 
     7  9999    3S1 3D1             (3)2( 7.0)   412228.3 
     8  9999    3S1 3D1             (1)2( 2.0)   472779.6 
     9  9999    3P1 3D1             (3)3(10.0)   560552.6 
    10  9999    3P1 3D1             (1)2( 2.0)   565639.2 
    11  9999    3P1 3D1             (3)1( 4.0)   595516.7 
    12  9999    3P1 3D1             (3)2( 7.0)   597900.6 
    13  9999    3P1 3D1             (1)3( 3.0)   651363.5 
    14  9999    3P1 3D1             (1)1( 1.0)   660020.6 
    15     1    3S1 4S1             (3)0( 1.0)   757857.3 
    16     1    3S1 4S1             (1)0( 0.0)   778448.9 
    17     1    3S1 4P1             (3)1( 4.0)   827351.8 
    18     1    3S1 4P1             (1)1( 1.0)   834829.2 
    19  9999    3D2                 (3)1( 4.0)   851698.4 
    20  9999    3D2                 (1)2( 2.0)   852425.2 
    21  9999    3D2                 (1)0( 0.0)   908744.7 
    22     1    3S1 4D1             (3)2( 7.0)   915606.8 
    23     1    3S1 4D1             (1)2( 2.0)   919138.2 
    24     2    3P1 4S1             (3)1( 4.0)   936282.5 
    25     2    3P1 4S1             (1)1( 1.0)   944592.0 
    26     1    3S1 4F1             (3)3(10.0)   949687.5 
    27     1    3S1 4F1             (1)3( 3.0)   956729.3 
    28     2    3P1 4P1             (1)1( 1.0)   987571.0 
    29     2    3P1 4P1             (3)2( 7.0)   993452.8 
    30     2    3P1 4P1             (3)0( 1.0)  1002275.5 
    31     2    3P1 4P1             (3)1( 4.0)  1005140.5 
    32     2    3P1 4P1             (1)2( 2.0)  1017004.8 
    33     2    3P1 4P1             (1)0( 0.0)  1034801.1 
    34     1    3S1 5S1             (3)0( 1.0)  1063192.3 
    35     1    3S1 5S1             (1)0( 0.0)  1069999.6 
    36     2    3P1 4D1             (1)2( 2.0)  1081803.8 
    37     2    3P1 4D1             (3)2( 7.0)  1083847.0 
    38     2    3P1 4D1             (3)3(10.0)  1087927.9 
    39     2    3P1 4D1             (3)1( 4.0)  1093600.5 
    40     1    3S1 5P1             (3)1( 4.0)  1095274.8 
    41     2    3P1 4D1             (1)3( 3.0)  1095572.1 
    42     1    3S1 5P1             (1)1( 1.0)  1098028.9 
    43     2    3P1 4D1             (1)1( 1.0)  1099815.8 
    44     2    3P1 4F1             (1)3( 3.0)  1114399.3 
    45     2    3P1 4F1             (3)3(10.0)  1118020.9 
    46     2    3P1 4F1             (3)4(13.0)  1120064.2 
    47     2    3P1 4F1             (3)2( 7.0)  1128384.6 
    48     1    3S1 5D1             (3)2( 7.0)  1136680.1 
    49     2    3P1 4F1             (1)4( 4.0)  1137620.2 
    50     1    3S1 5D1             (1)2( 2.0)  1138074.6 
    51     2    3P1 4F1             (1)2( 2.0)  1138142.2 
    52     1    3S1 5F1             (3)3(10.0)  1153345.8 
    53     1    3S1 5G1             (3)4(13.0)  1156466.1 
    54     1    3S1 5G1             (1)4( 4.0)  1156466.1 
    55     1    3S1 5F1             (1)3( 3.0)  1156627.6 
    56     1    3S1 6S1             (3)0( 1.0)  1214069.9 
    57     1    3S1 6S1             (1)0( 0.0)  1217287.1 
    58     1    3S1 6P1             (3)1( 4.0)  1231606.1 
    59     1    3S1 6P1             (1)1( 1.0)  1232969.3 
    60     2    3P1 5S1             (3)1( 4.0)  1237558.6 
    61     2    3P1 5S1             (1)1( 1.0)  1240500.5 
    62     3    3D1 4P1             (3)1( 4.0)  1250526.9 
    63     1    3S1 6D1             (3)2( 7.0)  1254427.3 
    64     1    3S1 6D1             (1)2( 2.0)  1255160.0 
    65     3    3D1 4P1             (1)1( 1.0)  1258906.3 
    66     2    3P1 5P1             (1)1( 1.0)  1263039.6 
    67     1    3S1 6F1             (3)3(10.0)  1263890.4 
    68     1    3S1 6F1             (1)3( 3.0)  1265637.9 
    69     1    3S1 6G1             (3)4(13.0)  1265786.9 
    70     1    3S1 6G1             (1)4( 4.0)  1265786.9 
    71     2    3P1 5P1             (3)2( 7.0)  1265822.3 
    72     1    3S1 6H1             (3)5(16.0)  1266239.7 
    73     1    3S1 6H1             (1)5( 5.0)  1266239.7 
    74     2    3P1 5P1             (3)1( 4.0)  1268778.3 
    75     2    3P1 5P1             (3)0( 1.0)  1269996.4 
    76     2    3P1 5P1             (1)2( 2.0)  1273837.2 
    77     2    3P1 5P1             (1)0( 0.0)  1281425.6 
    78     1    3S1 7S1             (3)0( 1.0)  1299960.9 
    79     1    3S1 7S1             (1)0( 0.0)  1301764.3 
    80     2    3P1 5D1             (1)2( 2.0)  1306322.6 
    81     2    3P1 5D1             (3)2( 7.0)  1307006.4 
    82     2    3P1 5D1             (3)3(10.0)  1309309.1 
    83     1    3S1 7P1             (3)1( 4.0)  1310593.1 
    84     1    3S1 7P1             (1)1( 1.0)  1311376.8 
    85     2    3P1 5D1             (3)1( 4.0)  1311728.1 
    86     2    3P1 5D1             (1)3( 3.0)  1312118.1 
    87     2    3P1 5D1             (1)1( 1.0)  1314198.1 
    88     3    3D1 4D1             (3)2( 7.0)  1319762.2 
    89     2    3P1 5F1             (1)3( 3.0)  1322575.7 
    90     2    3P1 5F1             (3)3(10.0)  1324081.2 
    91     1    3S1 7D1             (3)2( 7.0)  1324522.4 
    92     1    3S1 7D1             (1)2( 2.0)  1324961.6 
    93     2    3P1 5F1             (3)4(13.0)  1325026.6 
    94     2    3P1 5F1             (3)2( 7.0)  1328519.0 
    95     2    3P1 5G1             (3)3(10.0)  1329005.4 
    96     2    3P1 5G1             (1)3( 3.0)  1329005.4 
    97     2    3P1 5G1             (3)4(13.0)  1329005.4 
    98     2    3P1 5G1             (1)4( 4.0)  1329005.4 
    99     2    3P1 5G1             (3)5(16.0)  1329005.4 
   100     2    3P1 5G1             (1)5( 5.0)  1329005.4 
   101     1    3S1 7F1             (3)3(10.0)  1330416.0 
   102     1    3S1 7F1             (1)3( 3.0)  1331456.3 
   103     1    3S1 7G1             (3)4(13.0)  1331639.5 
   104     1    3S1 7G1             (1)4( 4.0)  1331639.5 
   105     1    3S1 7H1             (3)5(16.0)  1331924.4 
   106     1    3S1 7H1             (1)5( 5.0)  1331924.4 
   107     1    3S1 7I1             (3)6(19.0)  1332051.6 
   108     1    3S1 7I1             (1)6( 6.0)  1332051.6 
   109     2    3P1 5F1             (1)4( 4.0)  1332482.2 
   110     2    3P1 5F1             (1)2( 2.0)  1332788.0 
   111     3    3D1 4D1             (1)2( 2.0)  1347029.0 
   112     1    3S1 8S1             (3)0( 1.0)  1353538.7 
   113     1    3S1 8S1             (1)0( 0.0)  1354659.3 
   114     3    3D1 4F1             (3)3(10.0)  1357286.7 
   115     1    3S1 8P1             (3)1( 4.0)  1360468.9 
   116     1    3S1 8P1             (1)1( 1.0)  1360963.8 
   117     1    3S1 8D1             (3)2( 7.0)  1369599.7 
   118     1    3S1 8D1             (1)2( 2.0)  1369885.4 
   119     1    3S1 8F1             (3)3(10.0)  1373518.6 
   120     1    3S1 8F1             (1)3( 3.0)  1374189.4 
   121     1    3S1 8G1             (3)4(13.0)  1374349.9 
   122     1    3S1 8G1             (1)4( 4.0)  1374349.9 
   123     1    3S1 8H1             (3)5(16.0)  1374540.7 
   124     1    3S1 8H1             (1)5( 5.0)  1374540.7 
   125     1    3S1 8I1             (3)6(19.0)  1374625.8 
   126     1    3S1 8I1             (1)6( 6.0)  1374625.8 
   127     1    3S1 8J1             (3)7(22.0)  1374669.3 
   128     1    3S1 8J1             (1)7( 7.0)  1374669.3 
   129     3    3D1 4F1             (1)3( 3.0)  1376587.8 
   130     2    3P1 6S1             (3)1( 4.0)  1387449.8 
   131     2    3P1 6S1             (1)1( 1.0)  1388876.0 
   132     2    3P1 6P1             (1)1( 1.0)  1401738.1 
   133     2    3P1 6P1             (3)2( 7.0)  1403223.7 
   134     2    3P1 6P1             (3)1( 4.0)  1404447.6 
   135     2    3P1 6P1             (3)0( 1.0)  1405452.2 
   136     2    3P1 6P1             (1)2( 2.0)  1407075.2 
   137     2    3P1 6P1             (1)0( 0.0)  1411016.6 
   138     2    3P1 6D1             (1)2( 2.0)  1425409.6 
   139     2    3P1 6D1             (3)2( 7.0)  1425747.5 
   140     2    3P1 6D1             (3)3(10.0)  1427036.4 
   141     2    3P1 6D1             (3)1( 4.0)  1428315.6 
   142     2    3P1 6D1             (1)3( 3.0)  1428467.0 
   143     2    3P1 6D1             (1)1( 1.0)  1429602.4 
   144     2    3P1 6F1             (1)3( 3.0)  1434687.1 
   145     2    3P1 6F1             (3)3(10.0)  1435451.3 
   146     2    3P1 6F1             (3)4(13.0)  1436015.6 
   147     2    3P1 6F1             (3)2( 7.0)  1437817.9 
   148     2    3P1 6G1             (3)3(10.0)  1438326.2 
   149     2    3P1 6G1             (1)3( 3.0)  1438326.2 
   150     2    3P1 6G1             (3)4(13.0)  1438326.2 
   151     2    3P1 6G1             (1)4( 4.0)  1438326.2 
   152     2    3P1 6G1             (3)5(16.0)  1438326.2 
   153     2    3P1 6G1             (1)5( 5.0)  1438326.2 
   154     2    3P1 6H1             (3)4(13.0)  1438779.0 
   155     2    3P1 6H1             (1)4( 4.0)  1438779.0 
   156     2    3P1 6H1             (3)5(16.0)  1438779.0 
   157     2    3P1 6H1             (1)5( 5.0)  1438779.0 
   158     2    3P1 6H1             (3)6(19.0)  1438779.0 
   159     2    3P1 6H1             (1)6( 6.0)  1438779.0 
   160     2    3P1 6F1             (1)4( 4.0)  1439847.3 
   161     2    3P1 6F1             (1)2( 2.0)  1440048.6 
   162     2    3P1 7S1             (3)1( 4.0)  1472964.7 
   163     2    3P1 7S1             (1)1( 1.0)  1473774.4 
   164     2    3P1 7P1             (1)1( 1.0)  1481738.4 
   165     2    3P1 7P1             (3)2( 7.0)  1482619.4 
   166     2    3P1 7P1             (3)1( 4.0)  1483259.9 
   167     2    3P1 7P1             (3)0( 1.0)  1483940.8 
   168     2    3P1 7P1             (1)2( 2.0)  1484802.6 
   169     2    3P1 7P1             (1)0( 0.0)  1487116.5 
   170     2    3P1 7D1             (1)2( 2.0)  1496128.1 
   171     2    3P1 7D1             (3)2( 7.0)  1496324.9 
   172     2    3P1 7D1             (3)3(10.0)  1497107.6 
   173     2    3P1 7D1             (3)1( 4.0)  1497870.6 
   174     2    3P1 7D1             (1)3( 3.0)  1497951.5 
   175     2    3P1 7D1             (1)1( 1.0)  1498636.3 
   176     2    3P1 7F1             (1)3( 3.0)  1501916.9 
   177     2    3P1 7F1             (3)3(10.0)  1502360.5 
   178     2    3P1 7F1             (3)4(13.0)  1502723.2 
   179     2    3P1 7F1             (3)2( 7.0)  1503781.6 
   180     2    3P1 7G1             (3)3(10.0)  1504178.7 
   181     2    3P1 7G1             (1)3( 3.0)  1504178.7 
