SEQ='F '     NUCCHG=20                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 130484355.7   NPRNTI= 3   NPRNTF= 6
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P4             (3)1( 4.0)        0.0 
     2          2S2 2P4             (1)2( 2.0)    73376.4 
     3          2S2 2P4             (1)0( 0.0)   151241.8 
     4          2S1 2P5             (3)1( 4.0)   591443.8*
     5          2S1 2P5             (1)1( 1.0)   820055.2*
     6          2P6                 (1)0( 0.0)  1400782.1*

   LS RESOLVED TERM INDEXING            BWNR= 135776773.9   NTRM= 340
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    2S2 2P5             (2)1( 2.5)        0.0 
     2  9999    2S1 2P6             (2)0( 0.5)   685359.8 
     3     1    2S2 2P4 3S1         (4)1( 5.5)  3056457.5 
     4     1    2S2 2P4 3S1         (2)1( 2.5)  3085789.4 
     5     2    2S2 2P4 3S1         (2)2( 4.5)  3139611.2 
     6     1    2S2 2P4 3P1         (4)1( 5.5)  3208200.2 
     7     3    2S2 2P4 3S1         (2)0( 0.5)  3218128.5 
     8     1    2S2 2P4 3P1         (4)2( 9.5)  3224920.1 
     9     1    2S2 2P4 3P1         (2)2( 4.5)  3241431.9 
    10     1    2S2 2P4 3P1         (2)1( 2.5)  3248270.4 
    11     1    2S2 2P4 3P1         (2)0( 0.5)  3250000.1 
    12     1    2S2 2P4 3P1         (4)0( 1.5)  3250000.1 
    13     2    2S2 2P4 3P1         (2)3( 6.5)  3297462.8 
    14     2    2S2 2P4 3P1         (2)2( 4.5)  3317320.2 
    15     2    2S2 2P4 3P1         (2)1( 2.5)  3374419.3 
    16     3    2S2 2P4 3P1         (2)1( 2.5)  3406465.3 
    17     1    2S2 2P4 3D1         (4)2( 9.5)  3428992.1 
    18     1    2S2 2P4 3D1         (4)3(13.5)  3449581.4 
    19     1    2S2 2P4 3D1         (4)1( 5.5)  3461019.9 
    20     1    2S2 2P4 3D1         (2)3( 6.5)  3463468.8 
    21     1    2S2 2P4 3D1         (2)1( 2.5)  3475894.2 
    22     1    2S2 2P4 3D1         (2)2( 4.5)  3481949.2 
    23     2    2S2 2P4 3D1         (2)4( 8.5)  3516401.9 
    24     2    2S2 2P4 3D1         (2)0( 0.5)  3531617.8 
    25     2    2S2 2P4 3D1         (2)3( 6.5)  3539527.5 
    26     2    2S2 2P4 3D1         (2)1( 2.5)  3555389.0 
    27     2    2S2 2P4 3D1         (2)2( 4.5)  3556380.5 
    28     3    2S2 2P4 3D1         (2)2( 4.5)  3612146.0 
    29     1    2S2 2P4 4S1         (4)1( 5.5)  4118542.2 
    30     1    2S2 2P4 4S1         (2)1( 2.5)  4128109.6 
    31     1    2S2 2P4 4P1         (4)1( 5.5)  4178970.5 
    32     1    2S2 2P4 4P1         (4)2( 9.5)  4184990.7 
    33     1    2S2 2P4 4P1         (2)2( 4.5)  4190791.4 
    34     1    2S2 2P4 4P1         (2)0( 0.5)  4194020.9 
    35     1    2S2 2P4 4P1         (4)0( 1.5)  4194020.9 
    36     2    2S2 2P4 4S1         (2)2( 4.5)  4195107.7 
    37     1    2S2 2P4 4P1         (2)1( 2.5)  4204002.9 
    38     2    2S2 2P4 4P1         (2)3( 6.5)  4257957.8 
    39     1    2S2 2P4 4D1         (4)2( 9.5)  4258379.6 
    40     2    2S2 2P4 4P1         (2)2( 4.5)  4265088.7 
    41     1    2S2 2P4 4D1         (4)3(13.5)  4265976.3 
    42     1    2S2 2P4 4D1         (4)1( 5.5)  4270196.7 
    43     1    2S2 2P4 4D1         (2)3( 6.5)  4271671.1 
    44     3    2S2 2P4 4S1         (2)0( 0.5)  4273187.1 
