SEQ='C '     NUCCHG=42                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 523528949.8   NPRNTI= 5   NPRNTF=15
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P1             (2)1( 0.5)        0.0 
     2          2S1 2P2             (4)1( 0.5)   871743.9 
     3          2S2 2P1             (2)1( 1.5)   888373.8 
     4          2S1 2P2             (4)1( 1.5)  1519404.0 
     5          2S1 2P2             (4)1( 2.5)  1719209.9 
     6          2S1 2P2             (2)2( 1.5)  2023382.4*
     7          2S1 2P2             (2)1( 0.5)  2059773.9*
     8          2S1 2P2             (2)2( 2.5)  2581297.3*
     9          2S1 2P2             (2)0( 0.5)  3000385.6*
    10          2P3                 (4)0( 1.5)  3013867.9*
    11          2S1 2P2             (2)1( 1.5)  3019037.5*
    12          2P3                 (2)2( 1.5)  3743945.0*
    13          2P3                 (2)2( 2.5)  3886611.4*
    14          2P3                 (2)1( 0.5)  4101464.2*
    15          2P3                 (2)1( 1.5)  4858420.9*

   IC RESOLVED LEVEL INDEXING           BWNR= 564544527.2   NLVL=1566
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    2S2 2P2             (3)1( 0.0)        0.0 
     2  9999    2S2 2P2             (3)1( 1.0)   766543.2 
     3  9999    2S2 2P2             (1)2( 2.0)   877324.3 
     4  9999    2S2 2P2             (3)1( 2.0)  1706363.5 
     5  9999    2S1 2P3             (5)0( 2.0)  1762008.7 
     6  9999    2S2 2P2             (1)0( 0.0)  1923873.1 
     7  9999    2S1 2P3             (3)2( 1.0)  2149437.6 
     8  9999    2S1 2P3             (3)2( 2.0)  2528182.0 
     9  9999    2S1 2P3             (3)2( 3.0)  2737924.0 
    10  9999    2S1 2P3             (3)1( 0.0)  2917126.8 
    11  9999    2S1 2P3             (3)1( 1.0)  2992621.7 
    12  9999    2S1 2P3             (1)2( 2.0)  3081819.8 
    13  9999    2S1 2P3             (3)0( 1.0)  3127228.6 
    14  9999    2S1 2P3             (3)1( 2.0)  3749708.4 
    15  9999    2S1 2P3             (1)1( 1.0)  4070132.0 
    16  9999    2P4                 (3)1( 2.0)  4228550.7 
    17  9999    2P4                 (1)0( 0.0)  4470939.7 
    18  9999    2P4                 (3)1( 1.0)  5047807.4 
    19  9999    2P4                 (1)2( 2.0)  5174868.2 
    20  9999    2P4                 (3)1( 0.0)  6129902.6 
    21     1    2S2 2P1 3S1         (3)1( 0.0) 22992283.4 
    22     1    2S2 2P1 3S1         (3)1( 1.0) 23009361.4 
    23     1    2S2 2P1 3P1         (3)2( 1.0) 23317655.2 
    24     1    2S2 2P1 3P1         (3)1( 0.0) 23481219.0 
    25     1    2S2 2P1 3P1         (3)0( 1.0) 23629235.3 
    26     1    2S2 2P1 3P1         (3)2( 2.0) 23638173.3 
    27     2    2S1 2P2 3S1         (5)1( 1.0) 23877677.8 
    28     3    2S2 2P1 3S1         (3)1( 2.0) 23881355.2 
    29     3    2S2 2P1 3S1         (1)1( 1.0) 23917602.9 
    30     1    2S2 2P1 3D1         (3)3( 2.0) 23922884.6 
    31     2    2S1 2P2 3S1         (3)1( 0.0) 24022133.0 
    32     1    2S2 2P1 3D1         (3)2( 1.0) 24045887.9 
    33     1    2S2 2P1 3D1         (3)2( 2.0) 24069314.7 
    34     1    2S2 2P1 3D1         (3)3( 3.0) 24079369.3 
    35     2    2S1 2P2 3P1         (5)2( 0.0) 24215438.0 
    36     2    2S1 2P2 3P1         (5)2( 1.0) 24228796.7 
    37     3    2S2 2P1 3P1         (3)1( 1.0) 24272870.9 
    38     3    2S2 2P1 3P1         (1)2( 2.0) 24293402.4 
    39     3    2S2 2P1 3P1         (3)2( 3.0) 24460341.5 
    40     3    2S2 2P1 3P1         (1)1( 1.0) 24463112.9 
    41     2    2S1 2P2 3P1         (5)1( 2.0) 24511487.2 
    42     4    2S1 2P2 3S1         (5)1( 2.0) 24514803.5 
    43     2    2S1 2P2 3P1         (3)2( 1.0) 24562575.7 
    44     3    2S2 2P1 3P1         (3)1( 2.0) 24591290.2 
    45     4    2S1 2P2 3S1         (3)1( 1.0) 24632646.8 
    46     3    2S2 2P1 3P1         (1)0( 0.0) 24692554.1 
    47     5    2S1 2P2 3S1         (5)1( 3.0) 24715281.2 
    48     2    2S1 2P2 3D1         (5)3( 1.0) 24800015.4 
    49     5    2S1 2P2 3S1         (3)1( 2.0) 24825605.4 
    50     2    2S1 2P2 3D1         (5)2( 2.0) 24829500.0 
    51     3    2S2 2P1 3D1         (1)2( 2.0) 24845797.9 
    52     4    2S1 2P2 3P1         (5)1( 1.0) 24855655.6 
