SEQ='C '     NUCCHG=42                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 511255702.8   NPRNTI= 2   NPRNTF= 8
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P1             (2)1( 2.5)        0.0 
     2          2S1 2P2             (4)1( 5.5)   532842.4 
     3          2S1 2P2             (2)2( 4.5)   975263.0*
     4          2S1 2P2             (2)0( 0.5)  1247274.2*
     5          2S1 2P2             (2)1( 2.5)  1316081.8*
     6          2P3                 (4)0( 1.5)  1694161.8*
     7          2P3                 (2)2( 4.5)  1966173.0*
     8          2P3                 (2)1( 2.5)  2210994.3*

   LS RESOLVED TERM INDEXING            BWNR= 551357853.5   NTRM= 520
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    2S2 2P2             (3)1( 4.0)        0.0 
     2  9999    2S2 2P2             (1)2( 2.0)   179202.9 
     3  9999    2S2 2P2             (1)0( 0.0)   366399.4 
     4  9999    2S1 2P3             (5)0( 2.0)   500459.1 
     5  9999    2S1 2P3             (3)2( 7.0)  1028887.9 
     6  9999    2S1 2P3             (3)1( 4.0)  1208090.8 
     7  9999    2S1 2P3             (3)0( 1.0)  1538957.2 
     8  9999    2S1 2P3             (1)1( 1.0)  1727339.8 
     9  9999    2P4                 (3)1( 4.0)  2396278.4 
    10  9999    2P4                 (1)2( 2.0)  2575481.3 
    11  9999    2P4                 (1)0( 0.0)  2925893.3 
    12     1    2S2 2P1 3S1         (3)1( 4.0) 22471810.0 
    13     1    2S2 2P1 3S1         (1)1( 1.0) 22525128.4 
    14     1    2S2 2P1 3P1         (1)1( 1.0) 22751611.5 
    15     1    2S2 2P1 3P1         (3)2( 7.0) 22778940.1 
    16     1    2S2 2P1 3P1         (3)0( 1.0) 22819790.1 
    17     1    2S2 2P1 3P1         (3)1( 4.0) 22882150.0 
    18     1    2S2 2P1 3P1         (1)2( 2.0) 22954057.8 
    19     2    2S1 2P2 3S1         (5)1( 7.0) 22995963.9 
    20     1    2S2 2P1 3P1         (1)0( 0.0) 23067488.9 
    21     1    2S2 2P1 3D1         (1)2( 2.0) 23116434.6 
    22     1    2S2 2P1 3D1         (3)3(10.0) 23117416.4 
    23     2    2S1 2P2 3S1         (3)1( 4.0) 23150973.3 
    24     1    2S2 2P1 3D1         (3)2( 7.0) 23200834.2 
    25     1    2S2 2P1 3D1         (3)1( 4.0) 23211599.5 
    26     2    2S1 2P2 3P1         (5)2(12.0) 23311899.2 
    27     2    2S1 2P2 3P1         (3)0( 1.0) 23313555.2 
    28     1    2S2 2P1 3D1         (1)1( 1.0) 23338219.9 
    29     2    2S1 2P2 3P1         (5)1( 7.0) 23340230.0 
    30     1    2S2 2P1 3D1         (1)3( 3.0) 23346885.6 
    31     2    2S1 2P2 3P1         (3)2( 7.0) 23443175.0 
    32     2    2S1 2P2 3P1         (5)0( 2.0) 23467933.7 
    33     2    2S1 2P2 3P1         (3)1( 4.0) 23495744.9 
    34     2    2S1 2P2 3D1         (5)3(17.0) 23623082.8 
    35     2    2S1 2P2 3D1         (5)2(12.0) 23667764.5 
    36     2    2S1 2P2 3D1         (5)1( 7.0) 23740794.3 
    37     2    2S1 2P2 3D1         (3)1( 4.0) 23752144.3 
    38     2    2S1 2P2 3D1         (3)3(10.0) 23817170.5 
    39     5    2S1 2P2 3S1         (3)1( 4.0) 23832831.2 
    40     3    2S1 2P2 3P1         (3)2( 7.0) 23854528.6 
    41     3    2S1 2P2 3P1         (3)1( 4.0) 23900231.9 
    42     2    2S1 2P2 3D1         (3)2( 7.0) 23936708.0 
    43     4    2S1 2P2 3P1         (3)1( 4.0) 24091820.3 
    44     5    2S1 2P2 3P1         (3)2( 7.0) 24134050.6 
    45     3    2S1 2P2 3D1         (3)3(10.0) 24172590.6 
    46     5    2S1 2P2 3P1         (3)1( 4.0) 24175998.8 
    47     3    2S1 2P2 3D1         (3)2( 7.0) 24178035.9 
    48     3    2S1 2P2 3D1         (3)1( 4.0) 24242009.3 
    49     5    2S1 2P2 3P1         (3)0( 1.0) 24251344.9 
    50     4    2S1 2P2 3D1         (3)2( 7.0) 24432939.6 
    51     5    2S1 2P2 3D1         (3)3(10.0) 24470578.2 
    52     5    2S1 2P2 3D1         (3)2( 7.0) 24523340.1 
    53     5    2S1 2P2 3D1         (3)1( 4.0) 24562276.1 
    54     6    2P3 3P1             (3)1( 4.0) 24608950.2 
    55     8    2P3 3S1             (3)1( 4.0) 24756416.3 
    56     7    2P3 3P1             (1)1( 1.0) 24779287.6 
    57     7    2P3 3P1             (3)2( 7.0) 24784443.5 
    58     8    2P3 3S1             (1)1( 1.0) 24809734.7 
