SEQ='B '     NUCCHG=42                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 480950912.6   NPRNTI= 4   NPRNTF=10
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2                 (1)0( 0.0)        0.0 
     2          2S1 2P1             (3)1( 0.0)   609118.9 
     3          2S1 2P1             (3)1( 1.0)   730873.0 
     4          2S1 2P1             (3)1( 2.0)  1531114.2 
     5          2P2                 (3)1( 0.0)  1739038.9*
     6          2S1 2P1             (1)1( 1.0)  1934384.2*
     7          2P2                 (3)1( 1.0)  2503182.0*
     8          2P2                 (1)2( 2.0)  2616904.9*
     9          2P2                 (3)1( 2.0)  3494947.4*
    10          2P2                 (1)0( 0.0)  3796734.0*

   IC RESOLVED LEVEL INDEXING           BWNR= 523528949.8   NLVL= 682
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    2S2 2P1             (2)1( 0.5)        0.0 
     2  9999    2S1 2P2             (4)1( 0.5)   871743.9 
     3  9999    2S2 2P1             (2)1( 1.5)   888373.8 
     4  9999    2S1 2P2             (4)1( 1.5)  1519404.0 
     5  9999    2S1 2P2             (4)1( 2.5)  1719209.9 
     6  9999    2S1 2P2             (2)2( 1.5)  2023382.4 
     7  9999    2S1 2P2             (2)1( 0.5)  2059773.9 
     8  9999    2S1 2P2             (2)2( 2.5)  2581297.3 
     9  9999    2S1 2P2             (2)0( 0.5)  3000385.6 
    10  9999    2P3                 (4)0( 1.5)  3013867.9 
    11  9999    2S1 2P2             (2)1( 1.5)  3019037.5 
    12  9999    2P3                 (2)2( 1.5)  3743945.0 
    13  9999    2P3                 (2)1( 0.5)  4101464.2 
    14  9999    2P3                 (2)1( 1.5)  4858420.9 
    15     1    2S2 3S1             (2)0( 0.5) 23822735.4 
    16     1    2S2 3P1             (2)1( 0.5) 24152842.6 
    17     1    2S2 3P1             (2)1( 1.5) 24412837.4 
    18     2    2S1 2P1 3S1         (4)1( 0.5) 24447063.8 
    19     3    2S1 2P1 3S1         (4)1( 1.5) 24560676.6 
    20     3    2S1 2P1 3S1         (2)1( 0.5) 24672796.6 
    21     1    2S2 3D1             (2)2( 1.5) 24681732.1 
    22     2    2S1 2P1 3P1         (4)2( 0.5) 24731502.1 
    23     1    2S2 3D1             (2)2( 2.5) 24764286.4 
    24     2    2S1 2P1 3P1         (4)2( 1.5) 24841568.9 
    25     3    2S1 2P1 3P1         (4)1( 0.5) 24979345.5 
    26     3    2S1 2P1 3P1         (4)0( 1.5) 25046076.0 
    27     3    2S1 2P1 3P1         (4)2( 2.5) 25152870.5 
    28     3    2S1 2P1 3P1         (2)1( 0.5) 25174185.8 
    29     3    2S1 2P1 3P1         (2)2( 1.5) 25190503.8 
    30     2    2S1 2P1 3D1         (4)3( 1.5) 25244304.4 
    31     2    2S1 2P1 3D1         (4)3( 2.5) 25341240.6 
    32     4    2S1 2P1 3S1         (4)1( 2.5) 25345412.4 
    33     3    2S1 2P1 3D1         (4)1( 2.5) 25410540.6 
    34     3    2S1 2P1 3D1         (4)2( 1.5) 25444201.9 
    35     3    2S1 2P1 3D1         (4)2( 0.5) 25451732.2 
    36     4    2S1 2P1 3S1         (2)1( 1.5) 25455825.7 
    37     3    2S1 2P1 3D1         (4)3( 3.5) 25487855.6 
    38     3    2S1 2P1 3D1         (2)2( 1.5) 25573027.5 
    39     3    2S1 2P1 3D1         (2)3( 2.5) 25578691.8 
    40     5    2P2 3S1             (4)1( 0.5) 25636941.6 
    41     4    2S1 2P1 3P1         (4)1( 1.5) 25703740.4 
    42     4    2S1 2P1 3P1         (4)1( 2.5) 25730666.8 
    43     6    2S1 2P1 3S1         (2)1( 0.5) 25782575.8 
    44     6    2S1 2P1 3S1         (2)1( 1.5) 25807929.1 
    45     4    2S1 2P1 3P1         (4)2( 3.5) 25891827.1 
    46     4    2S1 2P1 3P1         (2)1( 1.5) 25937425.7 
    47     4    2S1 2P1 3P1         (2)2( 2.5) 26021166.7 
    48     4    2S1 2P1 3P1         (2)0( 0.5) 26034904.1 
    49     6    2S1 2P1 3P1         (2)2( 1.5) 26124314.4 
    50     6    2S1 2P1 3P1         (2)1( 0.5) 26124891.5 
    51     5    2P2 3P1             (4)1( 1.5) 26198650.6 
    52     4    2S1 2P1 3D1         (4)2( 2.5) 26208895.2 
    53     4    2S1 2P1 3D1         (4)3( 4.5) 26209478.7 
    54     4    2S1 2P1 3D1         (4)2( 3.5) 26219520.3 
    55     4    2S1 2P1 3D1         (4)1( 1.5) 26225320.1 
    56     4    2S1 2P1 3D1         (4)1( 0.5) 26228510.5 
    57     4    2S1 2P1 3D1         (2)2( 2.5) 26320047.1 
