SEQ='B '     NUCCHG=42                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 469748931.9   NPRNTI= 2   NPRNTF= 6
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2                 (1)0( 0.0)        0.0 
     2          2S1 2P1             (3)1( 4.0)   571855.3 
     3          2S1 2P1             (1)1( 1.0)  1096879.4*
     4          2P2                 (3)1( 4.0)  1470156.1*
     5          2P2                 (1)2( 2.0)  1653649.1*
     6          2P2                 (1)0( 0.0)  2036068.3*

   LS RESOLVED TERM INDEXING            BWNR= 511255702.8   NTRM= 289
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    2S2 2P1             (2)1( 2.5)        0.0 
     2  9999    2S1 2P2             (4)1( 5.5)   532842.4 
     3  9999    2S1 2P2             (2)2( 4.5)   975263.0 
     4  9999    2S1 2P2             (2)0( 0.5)  1247274.3 
     5  9999    2S1 2P2             (2)1( 2.5)  1316081.8 
     6  9999    2P3                 (2)1( 2.5)  2210994.3 
     7     1    2S2 3S1             (2)0( 0.5) 23161680.0 
     8     1    2S2 3P1             (2)1( 2.5) 23469539.8 
     9     2    2S1 2P1 3S1         (4)1( 5.5) 23723141.2 
    10     1    2S2 3D1             (2)2( 4.5) 23731638.8 
    11     2    2S1 2P1 3S1         (2)1( 2.5) 23859479.1 
    12     2    2S1 2P1 3P1         (4)2( 9.5) 23988598.0 
    13     2    2S1 2P1 3P1         (2)1( 2.5) 24016813.5 
    14     2    2S1 2P1 3P1         (4)0( 1.5) 24032165.9 
    15     2    2S1 2P1 3P1         (4)1( 5.5) 24094202.5 
    16     2    2S1 2P1 3P1         (2)2( 4.5) 24149837.6 
    17     2    2S1 2P1 3D1         (4)3(13.5) 24217073.6 
    18     2    2S1 2P1 3P1         (2)0( 0.5) 24233426.3 
    19     3    2S1 2P1 3S1         (2)1( 2.5) 24296993.0 
    20     2    2S1 2P1 3D1         (4)2( 9.5) 24304771.9 
    21     2    2S1 2P1 3D1         (2)2( 4.5) 24309456.7 
    22     2    2S1 2P1 3D1         (4)1( 5.5) 24316879.7 
    23     2    2S1 2P1 3D1         (2)3( 6.5) 24476298.3 
    24     2    2S1 2P1 3D1         (2)1( 2.5) 24499555.2 
    25     3    2S1 2P1 3P1         (2)2( 4.5) 24578200.3 
    26     3    2S1 2P1 3P1         (2)1( 2.5) 24607407.3 
    27     3    2S1 2P1 3P1         (2)0( 0.5) 24650337.6 
    28     3    2S1 2P1 3D1         (2)3( 6.5) 24839789.8 
    29     3    2S1 2P1 3D1         (2)2( 4.5) 24851159.7 
    30     3    2S1 2P1 3D1         (2)1( 2.5) 24902906.1 
    31     4    2P2 3P1             (2)1( 2.5) 25044649.9 
    32     6    2P2 3S1             (2)0( 0.5) 25269543.0 
    33     5    2P2 3P1             (2)1( 2.5) 25295090.1 
    34     4    2P2 3D1             (2)2( 4.5) 25402729.4 
    35     5    2P2 3D1             (2)2( 4.5) 25467095.5 
    36     6    2P2 3P1             (2)1( 2.5) 25554439.4 
    37     6    2P2 3D1             (2)2( 4.5) 25821844.2 
    38     1    2S2 4S1             (2)0( 0.5) 31305271.8 
    39     1    2S2 4P1             (2)1( 2.5) 31430238.7 
    40     1    2S2 4D1             (2)2( 4.5) 31533775.2 
    41     1    2S2 4F1             (2)3( 6.5) 31594277.6 
    42     2    2S1 2P1 4S1         (4)1( 5.5) 31874584.3 
    43     2    2S1 2P1 4S1         (2)1( 2.5) 31919427.3 
    44     2    2S1 2P1 4P1         (4)2( 9.5) 31987496.1 
    45     2    2S1 2P1 4P1         (2)1( 2.5) 31996930.1 
    46     2    2S1 2P1 4P1         (4)0( 1.5) 32004951.4 
    47     2    2S1 2P1 4P1         (4)1( 5.5) 32017375.3 
    48     2    2S1 2P1 4P1         (2)2( 4.5) 32041906.6 
    49     2    2S1 2P1 4P1         (2)0( 0.5) 32076488.6 
    50     2    2S1 2P1 4D1         (4)3(13.5) 32079182.5 
    51     2    2S1 2P1 4D1         (4)2( 9.5) 32106369.3 
    52     2    2S1 2P1 4D1         (2)2( 4.5) 32109540.1 
    53     2    2S1 2P1 4D1         (4)1( 5.5) 32112591.5 
    54     2    2S1 2P1 4F1         (4)3(13.5) 32152813.4 
    55     2    2S1 2P1 4F1         (2)3( 6.5) 32156881.3 
    56     2    2S1 2P1 4D1         (2)3( 6.5) 32165110.5 
    57     2    2S1 2P1 4F1         (4)4(17.5) 32166509.7 
    58     2    2S1 2P1 4D1         (2)1( 2.5) 32172133.6 
    59     2    2S1 2P1 4F1         (4)2( 9.5) 32176246.0 
    60     2    2S1 2P1 4F1         (2)4( 8.5) 32180788.5 
