SEQ='N '     NUCCHG=42                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 564544527.3   NPRNTI= 6   NPRNTF=20
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P2             (3)1( 0.0)        0.0 
     2          2S2 2P2             (3)1( 1.0)   766543.2 
     3          2S2 2P2             (1)2( 2.0)   877324.3 
     4          2S2 2P2             (3)1( 2.0)  1706363.5 
     5          2S1 2P3             (5)0( 2.0)  1762008.7 
     6          2S2 2P2             (1)0( 0.0)  1923873.1 
     7          2S1 2P3             (3)2( 1.0)  2149437.6*
     8          2S1 2P3             (3)2( 2.0)  2528182.0*
     9          2S1 2P3             (3)2( 3.0)  2737923.9*
    10          2S1 2P3             (3)1( 0.0)  2917126.8*
    11          2S1 2P3             (3)1( 1.0)  2992621.7*
    12          2S1 2P3             (1)2( 2.0)  3081819.8*
    13          2S1 2P3             (3)0( 1.0)  3127228.6*
    14          2S1 2P3             (3)1( 2.0)  3749708.4*
    15          2S1 2P3             (1)1( 1.0)  4070132.0*
    16          2P4                 (3)1( 2.0)  4228550.7*
    17          2P4                 (1)0( 0.0)  4470939.7*
    18          2P4                 (3)1( 1.0)  5047807.4*
    19          2P4                 (1)2( 2.0)  5174868.2*
    20          2P4                 (3)1( 0.0)  6129902.6*

   IC RESOLVED LEVEL INDEXING           BWNR= 603230048.8   NLVL=1744
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    2S2 2P3             (2)2( 1.5)        0.0 
     2  9999    2S2 2P3             (4)0( 1.5)   731625.6 
     3  9999    2S2 2P3             (2)2( 2.5)   872501.8 
     4  9999    2S2 2P3             (2)1( 0.5)  1019889.8 
     5  9999    2S2 2P3             (2)1( 1.5)  1758642.6 
     6  9999    2S1 2P4             (4)1( 2.5)  1957411.9 
     7  9999    2S1 2P4             (4)1( 0.5)  2309149.1 
     8  9999    2S1 2P4             (2)2( 1.5)  2321119.0 
     9  9999    2S1 2P4             (4)1( 1.5)  2851178.6 
    10  9999    2S1 2P4             (2)2( 2.5)  3046287.9 
    11  9999    2S1 2P4             (2)1( 0.5)  3215087.8 
    12  9999    2S1 2P4             (2)1( 1.5)  3321841.5 
    13  9999    2S1 2P4             (2)0( 0.5)  4099047.7 
    14  9999    2P5                 (2)1( 1.5)  4683741.4 
    15  9999    2P5                 (2)1( 0.5)  5538261.6 
    16     1    2S2 2P2 3S1         (4)1( 0.5) 21408795.6 
    17     1    2S2 2P2 3P1         (4)2( 0.5) 21782682.9 
    18     1    2S2 2P2 3P1         (4)1( 1.5) 22075002.8 
    19     2    2S2 2P2 3S1         (4)1( 1.5) 22160409.6 
    20     2    2S2 2P2 3S1         (2)1( 0.5) 22203677.4 
    21     3    2S2 2P2 3S1         (2)2( 2.5) 22275721.4 
    22     3    2S2 2P2 3S1         (2)2( 1.5) 22306259.6 
    23     1    2S2 2P2 3D1         (2)1( 1.5) 22471850.3 
    24     2    2S2 2P2 3P1         (4)1( 0.5) 22532112.8 
    25     2    2S2 2P2 3P1         (4)2( 1.5) 22572119.7 
    26     1    2S2 2P2 3D1         (2)3( 2.5) 22599843.6 
    27     2    2S2 2P2 3P1         (2)3( 2.5) 22656786.1 
    28     3    2S2 2P2 3P1         (4)2( 2.5) 22788088.8 
    29     2    2S2 2P2 3P1         (4)0( 1.5) 22790283.8 
    30     2    2S2 2P2 3P1         (2)0( 0.5) 22813194.4 
    31     3    2S2 2P2 3P1         (2)2( 1.5) 22851841.2 
    32     3    2S2 2P2 3P1         (2)3( 3.5) 22898904.3 
    33     3    2S2 2P2 3P1         (2)1( 1.5) 22953673.5 
    34     3    2S2 2P2 3P1         (2)2( 2.5) 23007394.9 
    35     3    2S2 2P2 3P1         (2)1( 0.5) 23075962.4 
    36     4    2S2 2P2 3S1         (4)1( 2.5) 23102137.3 
    37     4    2S2 2P2 3S1         (2)1( 1.5) 23140060.5 
    38     5    2S1 2P3 3S1         (6)0( 2.5) 23152117.8 
    39     2    2S2 2P2 3D1         (4)3( 1.5) 23228712.6 
    40     2    2S2 2P2 3D1         (4)2( 0.5) 23243023.2 
    41     2    2S2 2P2 3D1         (4)3( 2.5) 23246819.7 
    42     5    2S1 2P3 3S1         (4)0( 1.5) 23287092.4 
    43     2    2S2 2P2 3D1         (4)3( 3.5) 23294208.4 
    44     6    2S2 2P2 3S1         (2)0( 0.5) 23335187.7 
    45     3    2S2 2P2 3D1         (2)4( 3.5) 23336787.3 
    46     2    2S2 2P2 3D1         (4)1( 2.5) 23354411.5 
    47     2    2S2 2P2 3D1         (4)2( 1.5) 23362814.9 
    48     3    2S2 2P2 3D1         (2)4( 4.5) 23410074.2 
