SEQ='N '     NUCCHG=42                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 551357853.5   NPRNTI= 4   NPRNTF=12
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P2             (3)1( 4.0)        0.0 
     2          2S2 2P2             (1)2( 2.0)   179202.9 
     3          2S2 2P2             (1)0( 0.0)   366399.4 
     4          2S1 2P3             (5)0( 2.0)   500459.1 
     5          2S1 2P3             (3)2( 7.0)  1028887.9*
     6          2S1 2P3             (3)1( 4.0)  1208090.8*
     7          2S1 2P3             (3)0( 1.0)  1538957.2*
     8          2S1 2P3             (1)2( 2.0)  1548136.9*
     9          2S1 2P3             (1)1( 1.0)  1727339.8*
    10          2P4                 (3)1( 4.0)  2396278.4*
    11          2P4                 (1)2( 2.0)  2575481.3*
    12          2P4                 (1)0( 0.0)  2925893.3*

   LS RESOLVED TERM INDEXING            BWNR= 590072887.3   NTRM= 500
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    2S2 2P3             (4)0( 1.5)        0.0 
     2  9999    2S2 2P3             (2)2( 4.5)   265620.5 
     3  9999    2S2 2P3             (2)1( 2.5)   392182.5 
     4  9999    2S1 2P4             (4)1( 5.5)  1173486.9 
     5  9999    2S1 2P4             (2)2( 4.5)  1608714.1 
     6  9999    2S1 2P4             (2)0( 0.5)  1874334.6 
     7  9999    2S1 2P4             (2)1( 2.5)  1947927.4 
     8  9999    2P5                 (2)1( 2.5)  3080945.1 
     9     1    2S2 2P2 3S1         (4)1( 5.5) 21788877.1 
    10     1    2S2 2P2 3S1         (2)1( 2.5) 21867465.0 
    11     2    2S2 2P2 3S1         (2)2( 4.5) 21994275.9 
    12     1    2S2 2P2 3P1         (2)0( 0.5) 22104451.6 
    13     1    2S2 2P2 3P1         (4)2( 9.5) 22144636.2 
    14     1    2S2 2P2 3P1         (4)1( 5.5) 22171360.3 
    15     3    2S2 2P2 3S1         (2)0( 0.5) 22183774.5 
    16     1    2S2 2P2 3P1         (2)2( 4.5) 22219320.5 
    17     1    2S2 2P2 3P1         (2)1( 2.5) 22267610.5 
    18     4    2S1 2P3 3S1         (6)0( 2.5) 22281758.8 
    19     1    2S2 2P2 3P1         (4)0( 1.5) 22297334.6 
    20     2    2S2 2P2 3P1         (2)3( 6.5) 22359038.2 
    21     4    2S1 2P3 3S1         (4)0( 1.5) 22457575.3 
    22     2    2S2 2P2 3P1         (2)2( 4.5) 22469694.9 
    23     2    2S2 2P2 3P1         (2)1( 2.5) 22508651.4 
    24     1    2S2 2P2 3D1         (4)3(13.5) 22562065.1 
    25     3    2S2 2P2 3P1         (2)1( 2.5) 22598701.3 
    26     1    2S2 2P2 3D1         (4)2( 9.5) 22604093.2 
    27     1    2S2 2P2 3D1         (2)1( 2.5) 22608097.9 
    28     1    2S2 2P2 3D1         (2)3( 6.5) 22645984.9 
    29     4    2S1 2P3 3P1         (6)1( 8.5) 22659356.7 
    30     1    2S2 2P2 3D1         (4)1( 5.5) 22673659.0 
    31     1    2S2 2P2 3D1         (2)2( 4.5) 22788182.4 
    32     2    2S2 2P2 3D1         (2)4( 8.5) 22798413.1 
    33     4    2S1 2P3 3P1         (4)1( 5.5) 22798536.8 
    34     2    2S2 2P2 3D1         (2)2( 4.5) 22864211.0 
    35     2    2S2 2P2 3D1         (2)3( 6.5) 22899551.4 
    36     2    2S2 2P2 3D1         (2)1( 2.5) 22919005.2 
    37     2    2S2 2P2 3D1         (2)0( 0.5) 22930301.3 
    38     3    2S2 2P2 3D1         (2)2( 4.5) 23042313.6 
    39     4    2S1 2P3 3D1         (6)2(14.5) 23065075.5 
    40     4    2S1 2P3 3D1         (4)2( 9.5) 23279703.0 
    41     5    2S1 2P3 3P1         (4)1( 5.5) 23348879.1 
    42     7    2S1 2P3 3S1         (4)0( 1.5) 23375593.8 
    43     6    2S1 2P3 3P1         (4)1( 5.5) 23469451.5 
    44     5    2S1 2P3 3D1         (4)2( 9.5) 23683780.0 
    45     7    2S1 2P3 3P1         (4)1( 5.5) 23729367.4 
    46     6    2S1 2P3 3D1         (4)2( 9.5) 23879081.0 
    47     7    2S1 2P3 3D1         (4)2( 9.5) 24158630.2 
    48    10    2P4 3S1             (4)1( 5.5) 24259381.4 
    49    10    2P4 3S1             (2)1( 2.5) 24337969.3 
    50    11    2P4 3S1             (2)2( 4.5) 24464780.2 
    51    10    2P4 3P1             (4)2( 9.5) 24612877.0 
    52    10    2P4 3P1             (2)2( 4.5) 24661528.7 
    53    10    2P4 3P1             (2)1( 2.5) 24665795.5 
    54    10    2P4 3P1             (2)0( 0.5) 24685806.8 
    55    11    2P4 3P1             (2)3( 6.5) 24789625.9 
