SEQ='NE'     NUCCHG=42                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 676174037.2   NPRNTI= 2   NPRNTF= 2
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P5             (2)1( 1.5)        0.0 
     2          2S2 2P5             (2)1( 0.5)   827428.5 

   IC RESOLVED LEVEL INDEXING           BWNR= 710508777.7   NLVL= 337
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    2S2 2P6             (1)0( 0.0)        0.0 
     2     1    2S2 2P5 3S1         (3)1( 2.0) 19178162.7 
     3     1    2S2 2P5 3S1         (1)1( 1.0) 19210499.4 
     4     1    2S2 2P5 3P1         (3)0( 1.0) 19693949.3 
     5     1    2S2 2P5 3P1         (3)2( 2.0) 19714373.8 
     6     1    2S2 2P5 3P1         (3)2( 3.0) 19903905.4 
     7     1    2S2 2P5 3P1         (1)1( 1.0) 19907671.5 
     8     1    2S2 2P5 3P1         (3)1( 2.0) 19947866.5 
     9     2    2S2 2P5 3S1         (3)1( 0.0) 20005591.2 
    10     2    2S2 2P5 3S1         (3)1( 1.0) 20022766.4 
    11     1    2S2 2P5 3P1         (3)1( 0.0) 20135481.6 
    12     2    2S2 2P5 3P1         (3)2( 1.0) 20529670.4 
    13     1    2S2 2P5 3D1         (3)1( 0.0) 20544125.8 
    14     1    2S2 2P5 3D1         (3)1( 1.0) 20573092.2 
    15     1    2S2 2P5 3D1         (3)3( 3.0) 20603464.9 
    16     1    2S2 2P5 3D1         (3)2( 2.0) 20617980.2 
    17     1    2S2 2P5 3D1         (3)3( 4.0) 20637912.5 
    18     1    2S2 2P5 3D1         (1)2( 2.0) 20660378.1 
    19     1    2S2 2P5 3D1         (3)2( 3.0) 20697065.4 
    20     2    2S2 2P5 3P1         (1)0( 0.0) 20736351.8 
    21     2    2S2 2P5 3P1         (3)1( 1.0) 20741632.4 
    22     2    2S2 2P5 3P1         (1)2( 2.0) 20752876.3 
    23     1    2S2 2P5 3D1         (1)1( 1.0) 20813983.3 
    24     2    2S2 2P5 3D1         (3)3( 2.0) 21422697.3 
    25     2    2S2 2P5 3D1         (3)1( 2.0) 21482556.7 
    26     2    2S2 2P5 3D1         (1)3( 3.0) 21497308.2 
    27     2    2S2 2P5 3D1         (3)2( 1.0) 21545595.9 
    28     1    2S2 2P5 4S1         (3)1( 2.0) 26105186.5 
    29     1    2S2 2P5 4S1         (1)1( 1.0) 26116189.4 
    30     1    2S2 2P5 4P1         (3)0( 1.0) 26318928.1 
    31     1    2S2 2P5 4P1         (3)2( 2.0) 26325746.6 
    32     1    2S2 2P5 4P1         (3)2( 3.0) 26404051.1 
    33     1    2S2 2P5 4P1         (1)1( 1.0) 26405704.7 
    34     1    2S2 2P5 4P1         (3)1( 2.0) 26420108.2 
    35     1    2S2 2P5 4P1         (1)0( 0.0) 26488437.5 
    36     1    2S2 2P5 4D1         (3)1( 0.0) 26645859.0 
    37     1    2S2 2P5 4D1         (3)1( 1.0) 26657043.2 
    38     1    2S2 2P5 4D1         (3)3( 3.0) 26667409.1 
    39     1    2S2 2P5 4D1         (3)2( 2.0) 26673044.6 
    40     1    2S2 2P5 4D1         (3)3( 4.0) 26683209.6 
    41     1    2S2 2P5 4D1         (1)2( 2.0) 26691388.7 
    42     1    2S2 2P5 4D1         (3)2( 3.0) 26704507.7 
    43     1    2S2 2P5 4D1         (1)1( 1.0) 26748560.3 
    44     1    2S2 2P5 4F1         (3)2( 1.0) 26824467.5 
    45     1    2S2 2P5 4F1         (3)4( 4.0) 26831438.5 
    46     1    2S2 2P5 4F1         (3)2( 2.0) 26832659.5 
    47     1    2S2 2P5 4F1         (3)3( 3.0) 26840599.3 
    48     1    2S2 2P5 4F1         (3)4( 5.0) 26840928.7 
    49     1    2S2 2P5 4F1         (1)2( 2.0) 26845510.5 
    50     1    2S2 2P5 4F1         (1)3( 3.0) 26847742.8 
    51     1    2S2 2P5 4F1         (3)3( 4.0) 26852661.0 
    52     2    2S2 2P5 4S1         (3)1( 0.0) 26932615.1 
    53     2    2S2 2P5 4S1         (3)1( 1.0) 26938228.5 
    54     2    2S2 2P5 4P1         (3)2( 1.0) 27148632.0 
    55     2    2S2 2P5 4P1         (3)1( 0.0) 27201699.4 
    56     2    2S2 2P5 4P1         (3)1( 1.0) 27234718.1 
    57     2    2S2 2P5 4P1         (1)2( 2.0) 27239097.3 
    58     2    2S2 2P5 4D1         (3)3( 2.0) 27491345.6 
    59     2    2S2 2P5 4D1         (3)1( 2.0) 27516136.6 
    60     2    2S2 2P5 4D1         (1)3( 3.0) 27521998.6 
    61     2    2S2 2P5 4D1         (3)2( 1.0) 27530177.1 
