SEQ='NE'     NUCCHG=42                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 662593533.5   NPRNTI= 1   NPRNTF= 1
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P5             (2)1( 2.5)        0.0 

   LS RESOLVED TERM INDEXING            BWNR= 696858141.5   NTRM= 175
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    2S2 2P6             (1)0( 0.0)        0.0 
     2     1    2S2 2P5 3S1         (3)1( 4.0) 19436510.8 
     3     1    2S2 2P5 3S1         (1)1( 1.0) 19486022.7 
     4     1    2S2 2P5 3P1         (3)0( 1.0) 19858469.7 
     5     1    2S2 2P5 3P1         (3)2( 7.0) 19926999.7 
     6     1    2S2 2P5 3P1         (1)2( 2.0) 19967484.1 
     7     1    2S2 2P5 3P1         (3)1( 4.0) 19972686.4 
     8     1    2S2 2P5 3P1         (1)1( 1.0) 19972686.4 
     9     1    2S2 2P5 3P1         (1)0( 0.0) 20328106.3 
    10     1    2S2 2P5 3D1         (3)1( 4.0) 20553778.7 
    11     1    2S2 2P5 3D1         (3)3(10.0) 20589578.4 
    12     1    2S2 2P5 3D1         (1)3( 3.0) 20639798.4 
    13     1    2S2 2P5 3D1         (3)2( 7.0) 20654017.9 
    14     1    2S2 2P5 3D1         (1)2( 2.0) 20654017.9 
    15     1    2S2 2P5 3D1         (1)1( 1.0) 20868418.1 
    16     1    2S2 2P5 4S1         (3)1( 4.0) 26176628.8 
    17     1    2S2 2P5 4S1         (1)1( 1.0) 26193245.1 
    18     1    2S2 2P5 4P1         (3)0( 1.0) 26354757.3 
    19     1    2S2 2P5 4P1         (3)2( 7.0) 26380242.1 
    20     1    2S2 2P5 4P1         (1)2( 2.0) 26394409.2 
    21     1    2S2 2P5 4P1         (1)1( 1.0) 26397231.9 
    22     1    2S2 2P5 4P1         (3)1( 4.0) 26397231.9 
    23     1    2S2 2P5 4P1         (1)0( 0.0) 26503645.2 
    24     1    2S2 2P5 4D1         (3)1( 4.0) 26616986.4 
    25     1    2S2 2P5 4D1         (3)3(10.0) 26629795.3 
    26     1    2S2 2P5 4D1         (1)3( 3.0) 26648138.8 
    27     1    2S2 2P5 4D1         (3)2( 7.0) 26652851.4 
    28     1    2S2 2P5 4D1         (1)2( 2.0) 26652851.4 
    29     1    2S2 2P5 4D1         (1)1( 1.0) 26727354.6 
    30     1    2S2 2P5 4F1         (3)2( 7.0) 26771457.5 
    31     1    2S2 2P5 4F1         (3)4(13.0) 26776854.4 
    32     1    2S2 2P5 4F1         (1)4( 4.0) 26779538.1 
    33     1    2S2 2P5 4F1         (1)2( 2.0) 26781488.1 
    34     1    2S2 2P5 4F1         (3)3(10.0) 26792274.3 
    35     1    2S2 2P5 4F1         (1)3( 3.0) 26792274.3 
    36     1    2S2 2P5 5S1         (3)1( 4.0) 29175298.9 
    37     1    2S2 2P5 5S1         (1)1( 1.0) 29183012.3 
    38     1    2S2 2P5 5P1         (3)0( 1.0) 29265992.9 
    39     1    2S2 2P5 5P1         (3)2( 7.0) 29278166.9 
    40     1    2S2 2P5 5P1         (1)2( 2.0) 29284866.5 
    41     1    2S2 2P5 5P1         (1)1( 1.0) 29286282.9 
    42     1    2S2 2P5 5P1         (3)1( 4.0) 29286282.9 
    43     1    2S2 2P5 5P1         (1)0( 0.0) 29333798.0 
    44     1    2S2 2P5 5D1         (3)1( 4.0) 29394085.8 
    45     1    2S2 2P5 5D1         (3)3(10.0) 29400162.4 
    46     1    2S2 2P5 5D1         (1)3( 3.0) 29408947.4 
    47     1    2S2 2P5 5D1         (3)2( 7.0) 29411100.3 
    48     1    2S2 2P5 5D1         (1)2( 2.0) 29411100.3 
    49     1    2S2 2P5 5D1         (1)1( 1.0) 29446043.2 
    50     1    2S2 2P5 5F1         (3)2( 7.0) 29469464.7 
    51     1    2S2 2P5 5F1         (3)4(13.0) 29472119.2 
    52     1    2S2 2P5 5F1         (1)4( 4.0) 29473907.5 
    53     1    2S2 2P5 5F1         (1)2( 2.0) 29476098.8 
    54     1    2S2 2P5 5G1         (3)3(10.0) 29478162.5 
    55     1    2S2 2P5 5G1         (1)3( 3.0) 29478162.5 
    56     1    2S2 2P5 5G1         (3)4(13.0) 29478162.5 
    57     1    2S2 2P5 5G1         (1)4( 4.0) 29478162.5 
    58     1    2S2 2P5 5G1         (3)5(16.0) 29478162.5 
    59     1    2S2 2P5 5G1         (1)5( 5.0) 29478162.5 
    60     1    2S2 2P5 5F1         (3)3(10.0) 29479703.3 
    61     1    2S2 2P5 5F1         (1)3( 3.0) 29479703.3 
    62     1    2S2 2P5 6S1         (3)1( 4.0) 30768670.7 
