SEQ='HE'     NUCCHG=42                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 198122701.0   NPRNTI= 1   NPRNTF= 1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S1                 (2)0( 0.5)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR= 390207216.3   NLVL= 127
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    1S2                 (1)0( 0.0)        0.0 
     2     1    1S1 2S1             (3)0( 1.0)144068949.1 
     3     1    1S1 2P1             (3)1( 0.0)144434315.4 
     4     1    1S1 2S1             (1)0( 0.0)144470595.9 
     5     1    1S1 2P1             (3)1( 1.0)144516801.7 
     6     1    1S1 2P1             (3)1( 2.0)145502729.6 
     7     1    1S1 2P1             (1)1( 1.0)145717429.8 
     8     1    1S1 3S1             (3)0( 1.0)170958670.6 
     9     1    1S1 3P1             (3)1( 0.0)171059714.8 
    10     1    1S1 3S1             (1)0( 0.0)171063949.9 
    11     1    1S1 3P1             (3)1( 1.0)171082204.4 
    12     1    1S1 3P1             (3)1( 2.0)171376210.4 
    13     1    1S1 3D1             (3)2( 1.0)171430772.2 
    14     1    1S1 3D1             (3)2( 2.0)171432361.5 
    15     1    1S1 3P1             (1)1( 1.0)171433376.0 
    16     1    1S1 3D1             (3)2( 3.0)171535245.2 
    17     1    1S1 3D1             (1)2( 2.0)171537723.3 
    18     1    1S1 4S1             (3)0( 1.0)180275027.3 
    19     1    1S1 4P1             (3)1( 0.0)180316578.0 
    20     1    1S1 4S1             (1)0( 0.0)180317675.2 
    21     1    1S1 4P1             (3)1( 1.0)180325802.1 
    22     1    1S1 4P1             (3)1( 2.0)180450067.3 
    23     1    1S1 4D1             (3)2( 1.0)180472417.6 
    24     1    1S1 4D1             (3)2( 2.0)180473264.1 
    25     1    1S1 4P1             (1)1( 1.0)180473340.0 
    26     1    1S1 4D1             (3)2( 3.0)180516498.8 
    27     1    1S1 4F1             (3)3( 2.0)180517280.9 
    28     1    1S1 4F1             (3)3( 3.0)180517294.7 
    29     1    1S1 4D1             (1)2( 2.0)180517832.7 
    30     1    1S1 4F1             (3)3( 4.0)180539306.6 
    31     1    1S1 4F1             (1)3( 3.0)180539325.0 
    32     1    1S1 5S1             (3)0( 1.0)184557719.1 
    33     1    1S1 5P1             (3)1( 0.0)184578716.3 
    34     1    1S1 5S1             (1)0( 0.0)184579152.8 
    35     1    1S1 5P1             (3)1( 1.0)184583378.4 
    36     1    1S1 5P1             (3)1( 2.0)184647051.0 
    37     1    1S1 5D1             (3)2( 1.0)184658340.5 
    38     1    1S1 5P1             (1)1( 1.0)184658774.8 
    39     1    1S1 5D1             (3)2( 2.0)184658811.5 
    40     1    1S1 5D1             (3)2( 3.0)184680911.5 
    41     1    1S1 5F1             (3)3( 2.0)184681382.6 
    42     1    1S1 5F1             (3)3( 3.0)184681393.7 
    43     1    1S1 5D1             (1)2( 2.0)184681657.0 
    44     1    1S1 5F1             (3)3( 4.0)184692659.8 
    45     1    1S1 5F1             (1)3( 3.0)184692674.7 
    46     1    1S1 5G1             (1)*( 3.0)184705341.0 
    47     1    1S1 5G1             (1)*( 4.0)184705341.0 
    48     1    1S1 5G1             (1)*( 4.0)184705341.0 
    49     1    1S1 5G1             (1)*( 5.0)184705341.0 
    50     1    1S1 6S1             (3)0( 1.0)186872922.9 
    51     1    1S1 6P1             (3)1( 0.0)186884978.6 
    52     1    1S1 6S1             (1)0( 0.0)186885201.8 
    53     1    1S1 6P1             (3)1( 1.0)186887657.8 
    54     1    1S1 6P1             (3)1( 2.0)186924519.2 
    55     1    1S1 6D1             (3)2( 1.0)186931004.2 
    56     1    1S1 6P1             (1)1( 1.0)186931244.6 
    57     1    1S1 6D1             (3)2( 2.0)186931288.1 
    58     1    1S1 6D1             (3)2( 3.0)186944066.6 
    59     1    1S1 6F1             (3)3( 2.0)186944360.4 
    60     1    1S1 6F1             (3)3( 3.0)186944368.2 
    61     1    1S1 6D1             (1)2( 2.0)186944516.8 
    62     1    1S1 6F1             (3)3( 4.0)186950886.6 
    63     1    1S1 6F1             (1)3( 3.0)186950897.0 
    64     1    1S1 6G1             (1)*( 3.0)186960138.6 
    65     1    1S1 6G1             (1)*( 4.0)186960138.6 
    66     1    1S1 6G1             (1)*( 4.0)186960138.6 
    67     1    1S1 6G1             (1)*( 5.0)186960138.6 
    68     1    1S1 6H1             (1)*( 4.0)186960259.5 
    69     1    1S1 6H1             (1)*( 5.0)186960259.5 
    70     1    1S1 6H1             (1)*( 5.0)186960259.5 
    71     1    1S1 6H1             (1)*( 6.0)186960259.5 
    72     1    1S1 7S1             (3)0( 1.0)188263962.2 
