SEQ='BE'     NUCCHG=42                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 436244610.9   NPRNTI= 3   NPRNTF= 3
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S1                 (2)0( 0.5)        0.0 
     2          2P1                 (2)1( 0.5)   704485.6 
     3          2P1                 (2)1( 1.5)  1647115.9 

   IC RESOLVED LEVEL INDEXING           BWNR= 480950912.4   NLVL= 466
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    2S2                 (1)0( 0.0)        0.0 
     2  9999    2S1 2P1             (3)1( 0.0)   609118.9 
     3  9999    2S1 2P1             (3)1( 1.0)   730873.1 
     4  9999    2S1 2P1             (3)1( 2.0)  1531114.2 
     5  9999    2P2                 (3)1( 0.0)  1739038.9 
     6  9999    2S1 2P1             (1)1( 1.0)  1934384.2 
     7  9999    2P2                 (3)1( 1.0)  2503182.1 
     8  9999    2P2                 (1)2( 2.0)  2616905.0 
     9  9999    2P2                 (3)1( 2.0)  3494947.5 
    10  9999    2P2                 (1)0( 0.0)  3796734.0 
    11     1    2S1 3S1             (3)0( 1.0) 25197638.6 
    12     1    2S1 3S1             (1)0( 0.0) 25330839.0 
    13     1    2S1 3P1             (3)1( 0.0) 25484581.3 
    14     1    2S1 3P1             (3)1( 1.0) 25498424.0 
    15     1    2S1 3P1             (3)1( 2.0) 25754058.0 
    16     1    2S1 3P1             (1)1( 1.0) 25786787.1 
    17     1    2S1 3D1             (3)2( 1.0) 25910428.1 
    18     1    2S1 3D1             (3)2( 2.0) 25933037.7 
    19     2    2P1 3S1             (3)1( 0.0) 25962579.8 
    20     2    2P1 3S1             (3)1( 1.0) 25980253.0 
    21     1    2S1 3D1             (3)2( 3.0) 25997198.6 
    22     1    2S1 3D1             (1)2( 2.0) 26094491.1 
    23     2    2P1 3P1             (3)2( 1.0) 26156081.8 
    24     2    2P1 3P1             (3)1( 0.0) 26325815.0 
    25     2    2P1 3P1             (3)0( 1.0) 26490769.5 
    26     2    2P1 3P1             (3)2( 2.0) 26500136.1 
    27     2    2P1 3D1             (3)3( 2.0) 26591875.4 
    28     2    2P1 3D1             (3)2( 1.0) 26725357.5 
    29     2    2P1 3D1             (3)2( 2.0) 26754709.9 
    30     2    2P1 3D1             (3)3( 3.0) 26765212.6 
    31     3    2P1 3S1             (3)1( 2.0) 26905210.1 
    32     3    2P1 3S1             (1)1( 1.0) 26942663.3 
    33     3    2P1 3P1             (3)1( 1.0) 27168114.2 
    34     3    2P1 3P1             (1)2( 2.0) 27189600.1 
    35     3    2P1 3P1             (3)2( 3.0) 27373350.8 
    36     3    2P1 3P1             (1)1( 1.0) 27376260.0 
    37     3    2P1 3P1             (3)1( 2.0) 27509028.8 
    38     3    2P1 3D1             (1)2( 2.0) 27573102.3 
    39     3    2P1 3P1             (1)0( 0.0) 27614354.9 
    40     3    2P1 3D1             (3)2( 3.0) 27616174.4 
    41     3    2P1 3D1             (3)3( 4.0) 27616770.4 
    42     3    2P1 3D1             (3)1( 0.0) 27633496.4 
    43     3    2P1 3D1             (3)1( 1.0) 27634390.9 
    44     3    2P1 3D1             (3)1( 2.0) 27682962.1 
    45     3    2P1 3D1             (1)3( 3.0) 27782841.5 
    46     3    2P1 3D1             (1)1( 1.0) 27806966.1 
    47     1    2S1 4S1             (3)0( 1.0) 33866924.4 
    48     1    2S1 4S1             (1)0( 0.0) 33909306.1 
    49     1    2S1 4P1             (3)1( 0.0) 33981580.5 
    50     1    2S1 4P1             (3)1( 1.0) 33986491.3 
