SEQ='BE'     NUCCHG=42                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 426200573.2   NPRNTI= 2   NPRNTF= 2
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S1                 (2)0( 0.5)        0.0 
     2          2P1                 (2)1( 2.5)   630287.2 

   LS RESOLVED TERM INDEXING            BWNR= 469748931.7   NTRM= 246
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    2S2                 (1)0( 0.0)        0.0 
     2  9999    2S1 2P1             (3)1( 4.0)   571855.3 
     3  9999    2S1 2P1             (1)1( 1.0)  1096879.4 
     4  9999    2P2                 (3)1( 4.0)  1470156.2 
     5  9999    2P2                 (1)2( 2.0)  1653649.2 
     6  9999    2P2                 (1)0( 0.0)  2036068.4 
     7     1    2S1 3S1             (3)0( 1.0) 24465254.2 
     8     1    2S1 3S1             (1)0( 0.0) 24598454.6 
     9     1    2S1 3P1             (3)1( 4.0) 24731188.4 
    10     1    2S1 3P1             (1)1( 1.0) 24777760.2 
    11     1    2S1 3D1             (3)2( 7.0) 24881366.1 
    12     1    2S1 3D1             (1)2( 2.0) 25001268.1 
    13     2    2P1 3S1             (3)1( 4.0) 25155996.9 
    14     2    2P1 3S1             (1)1( 1.0) 25211123.4 
    15     2    2P1 3P1             (1)1( 1.0) 25303895.5 
    16     2    2P1 3P1             (3)2( 7.0) 25333652.5 
    17     2    2P1 3P1             (3)0( 1.0) 25378288.0 
    18     2    2P1 3P1             (3)1( 4.0) 25440810.4 
    19     2    2P1 3D1             (1)2( 2.0) 25483199.7 
    20     2    2P1 3D1             (3)3(10.0) 25484109.1 
    21     2    2P1 3P1             (1)2( 2.0) 25517314.2 
    22     2    2P1 3D1             (3)2( 7.0) 25575892.0 
    23     2    2P1 3D1             (3)1( 4.0) 25587605.7 
    24     2    2P1 3P1             (1)0( 0.0) 25632070.0 
    25     2    2P1 3D1             (1)1( 1.0) 25721404.5 
    26     2    2P1 3D1             (1)3( 3.0) 25735644.5 
    27     1    2S1 4S1             (3)0( 1.0) 32900900.7 
    28     1    2S1 4S1             (1)0( 0.0) 32943282.4 
    29     1    2S1 4P1             (3)1( 4.0) 33007251.1 
    30     1    2S1 4P1             (1)1( 1.0) 33023451.7 
    31     1    2S1 4D1             (3)2( 7.0) 33069796.1 
    32     1    2S1 4D1             (1)2( 2.0) 33106007.5 
    33     1    2S1 4F1             (3)3(10.0) 33109459.0 
    34     1    2S1 4F1             (1)3( 3.0) 33117967.5 
    35     2    2P1 4S1             (3)1( 4.0) 33551391.5 
    36     2    2P1 4S1             (1)1( 1.0) 33570253.8 
    37     2    2P1 4P1             (1)1( 1.0) 33619967.4 
    38     2    2P1 4P1             (3)2( 7.0) 33631950.1 
    39     2    2P1 4P1             (3)0( 1.0) 33649924.1 
    40     2    2P1 4P1             (3)1( 4.0) 33662190.1 
    41     2    2P1 4D1             (1)2( 2.0) 33690048.3 
    42     2    2P1 4P1             (1)2( 2.0) 33690710.1 
    43     2    2P1 4D1             (3)3(10.0) 33692056.1 
    44     2    2P1 4D1             (3)2( 7.0) 33720020.5 
    45     2    2P1 4D1             (3)1( 4.0) 33726473.9 
    46     2    2P1 4F1             (1)3( 3.0) 33727721.3 
    47     2    2P1 4F1             (3)3(10.0) 33730259.1 
    48     2    2P1 4P1             (1)0( 0.0) 33733490.1 
    49     2    2P1 4F1             (3)4(13.0) 33744479.1 
    50     2    2P1 4F1             (3)2( 7.0) 33754785.4 
    51     2    2P1 4F1             (1)4( 4.0) 33756576.9 
    52     2    2P1 4F1             (1)2( 2.0) 33761347.0 
    53     2    2P1 4D1             (1)1( 1.0) 33772006.9 
    54     2    2P1 4D1             (1)3( 3.0) 33774849.0 
    55     1    2S1 5S1             (3)0( 1.0) 36763739.1 
    56     1    2S1 5S1             (1)0( 0.0) 36783119.2 
    57     1    2S1 5P1             (3)1( 4.0) 36817094.6 
    58     1    2S1 5P1             (1)1( 1.0) 36824768.3 
    59     1    2S1 5D1             (3)2( 7.0) 36848791.8 
    60     1    2S1 5D1             (1)2( 2.0) 36864921.1 
    61     1    2S1 5F1             (3)3(10.0) 36867317.8 
    62     1    2S1 5G1             (3)4(13.0) 36870277.1 
    63     1    2S1 5G1             (1)4( 4.0) 36870277.1 
    64     1    2S1 5F1             (1)3( 3.0) 36872599.5 
    65     2    2P1 5S1             (3)1( 4.0) 37403488.0 
    66     2    2P1 5S1             (1)1( 1.0) 37412343.0 
    67     2    2P1 5P1             (1)1( 1.0) 37439627.5 
    68     2    2P1 5P1             (3)2( 7.0) 37445476.7 
    69     2    2P1 5P1             (3)0( 1.0) 37454250.5 
