SEQ='AL'     NUCCHG=42                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 738873802.0   NPRNTI= 4   NPRNTF=35
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S2                 (1)0( 0.0)        0.0 
     2          3S1 3P1             (3)1( 0.0)   483013.4 
     3          3S1 3P1             (3)1( 1.0)   519407.9 
     4          3S1 3P1             (3)1( 2.0)   676077.3 
     5          3S1 3P1             (1)1( 1.0)   842528.4*
     6          3P2                 (3)1( 0.0)  1159093.8*
     7          3P2                 (1)2( 2.0)  1306842.9*
     8          3P2                 (3)1( 1.0)  1308663.7*
     9          3P2                 (3)1( 2.0)  1481867.0*
    10          3S1 3D1             (3)2( 1.0)  1540302.2*
    11          3S1 3D1             (3)2( 2.0)  1556491.5*
    12          3S1 3D1             (3)2( 3.0)  1582785.1*
    13          3P2                 (1)0( 0.0)  1623437.9*
    14          3S1 3D1             (1)2( 2.0)  1731089.9*
    15          3P1 3D1             (3)3( 2.0)  2062372.9*
    16          3P1 3D1             (3)3( 3.0)  2151125.1*
    17          3P1 3D1             (1)2( 2.0)  2167568.7*
    18          3P1 3D1             (3)2( 1.0)  2180431.6*
    19          3P1 3D1             (3)2( 2.0)  2293963.4*
    20          3P1 3D1             (3)3( 4.0)  2293995.3*
    21          3P1 3D1             (3)2( 3.0)  2339268.9*
    22          3P1 3D1             (3)1( 0.0)  2341249.4*
    23          3P1 3D1             (3)1( 1.0)  2343755.4*
    24          3P1 3D1             (3)1( 2.0)  2362177.1*
    25          3P1 3D1             (1)3( 3.0)  2473993.6*
    26          3P1 3D1             (1)1( 1.0)  2504742.2*
    27          3D2                 (3)3( 2.0)  3116938.9*
    28          3D2                 (3)3( 3.0)  3149359.5*
    29          3D2                 (3)3( 4.0)  3178695.2*
    30          3D2                 (3)1( 0.0)  3198354.9*
    31          3D2                 (1)2( 2.0)  3206766.6*
    32          3D2                 (3)1( 1.0)  3216142.5*
    33          3D2                 (1)4( 4.0)  3245438.3*
    34          3D2                 (3)1( 2.0)  3255097.8*
    35          3D2                 (1)0( 0.0)  3402075.9*

   IC RESOLVED LEVEL INDEXING           BWNR= 751777390.9   NLVL=3280
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    3S2 3P1             (2)1( 0.5)        0.0 
     2  9999    3S2 3P1             (2)1( 1.5)   185371.4 
     3  9999    3S1 3P2             (4)1( 0.5)   530485.0 
     4  9999    3S1 3P2             (4)1( 1.5)   644264.9 
     5  9999    3S1 3P2             (4)1( 2.5)   699705.2 
     6  9999    3S1 3P2             (2)2( 1.5)   795747.4 
     7  9999    3S1 3P2             (2)1( 0.5)   870809.8 
     8  9999    3S1 3P2             (2)2( 2.5)   878892.1 
     9  9999    3S1 3P2             (2)1( 1.5)  1056021.4 
    10  9999    3S1 3P2             (2)0( 0.5)  1057316.7 
    11  9999    3S2 3D1             (2)2( 1.5)  1134558.2 
    12  9999    3S2 3D1             (2)2( 2.5)  1158417.0 
    13  9999    3P3                 (2)2( 1.5)  1377759.1 
    14  9999    3P3                 (2)2( 2.5)  1486313.4 
    15  9999    3S1 3P1 3D1         (4)3( 1.5)  1488281.1 
    16  9999    3P3                 (4)0( 1.5)  1514892.5 
    17  9999    3S1 3P1 3D1         (4)3( 2.5)  1542480.4 
    18  9999    3S1 3P1 3D1         (4)3( 3.5)  1595603.4 
    19  9999    3S1 3P1 3D1         (4)2( 1.5)  1618999.6 
    20  9999    3S1 3P1 3D1         (4)1( 2.5)  1619781.4 
    21  9999    3S1 3P1 3D1         (4)2( 0.5)  1620271.6 
    22  9999    3P3                 (2)1( 0.5)  1627603.2 
    23  9999    3S1 3P1 3D1         (4)3( 4.5)  1708995.6 
    24  9999    3P3                 (2)1( 1.5)  1719136.8 
    25  9999    3S1 3P1 3D1         (2)3( 2.5)  1719330.8 
    26  9999    3S1 3P1 3D1         (4)2( 2.5)  1751583.6 
    27  9999    3S1 3P1 3D1         (2)2( 1.5)  1751995.0 
    28  9999    3S1 3P1 3D1         (4)1( 0.5)  1753292.3 
    29  9999    3S1 3P1 3D1         (4)2( 3.5)  1754413.9 
    30  9999    3S1 3P1 3D1         (4)1( 1.5)  1760652.6 
    31  9999    3S1 3P1 3D1         (2)2( 2.5)  1811861.7 
    32  9999    3S1 3P1 3D1         (2)2( 1.5)  1880941.7 
    33  9999    3S1 3P1 3D1         (2)3( 3.5)  1884691.6 
    34  9999    3S1 3P1 3D1         (2)3( 3.5)  1968377.4 
    35  9999    3S1 3P1 3D1         (2)3( 2.5)  1969033.6 
    36  9999    3S1 3P1 3D1         (2)1( 0.5)  1972923.9 
    37  9999    3S1 3P1 3D1         (2)1( 0.5)  1998873.8 
    38  9999    3S1 3P1 3D1         (2)1( 1.5)  2029642.9 
    39  9999    3S1 3P1 3D1         (2)2( 2.5)  2035671.0 
    40  9999    3S1 3P1 3D1         (2)1( 1.5)  2041768.8 
    41  9999    3P2 3D1             (4)3( 1.5)  2202843.7 
    42  9999    3P2 3D1             (4)3( 2.5)  2263580.8 
    43  9999    3P2 3D1             (2)3( 2.5)  2305668.3 
    44  9999    3P2 3D1             (2)1( 1.5)  2338221.4 
    45  9999    3P2 3D1             (2)3( 3.5)  2341422.4 
    46  9999    3P2 3D1             (4)2( 0.5)  2349417.0 
    47  9999    3P2 3D1             (4)3( 3.5)  2368005.2 
    48  9999    3P2 3D1             (4)3( 4.5)  2403550.0 
    49  9999    3P2 3D1             (4)2( 1.5)  2407771.1 
    50  9999    3P2 3D1             (4)2( 2.5)  2411573.9 
    51  9999    3P2 3D1             (2)2( 2.5)  2451663.8 
    52  9999    3P2 3D1             (4)1( 1.5)  2455187.3 
    53  9999    3P2 3D1             (4)1( 0.5)  2464597.0 
    54  9999    3P2 3D1             (2)4( 3.5)  2469982.9 
    55  9999    3P2 3D1             (2)1( 0.5)  2538329.0 
    56  9999    3P2 3D1             (4)2( 3.5)  2540267.1 
