SEQ='AL'     NUCCHG=42                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 724641922.8   NPRNTI= 2   NPRNTF=19
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S2                 (1)0( 0.0)        0.0 
     2          3S1 3P1             (3)1( 4.0)   460782.2 
     3          3S1 3P1             (1)1( 1.0)   659466.6*
     4          3P2                 (1)2( 2.0)  1061113.4*
     5          3P2                 (3)1( 4.0)  1066223.6*
     6          3P2                 (1)0( 0.0)  1233690.9*
     7          3S1 3D1             (3)2( 7.0)  1304814.1*
     8          3S1 3D1             (1)2( 2.0)  1451378.1*
     9          3P1 3D1             (3)3(10.0)  1795545.8*
    10          3P1 3D1             (1)2( 2.0)  1801209.5*
    11          3P1 3D1             (3)2( 7.0)  1881865.6*
    12          3P1 3D1             (3)1( 4.0)  1886279.4*
    13          3P1 3D1             (1)3( 3.0)  2027700.6*
    14          3P1 3D1             (1)1( 1.0)  2049619.6*
    15          3D2                 (3)3(10.0)  2630246.6*
    16          3D2                 (1)2( 2.0)  2695748.1*
    17          3D2                 (3)1( 4.0)  2697756.4*
    18          3D2                 (1)4( 4.0)  2713178.2*
    19          3D2                 (1)0( 0.0)  2869293.2*

   LS RESOLVED TERM INDEXING            BWNR= 737303006.2   NTRM=1285
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    3S2 3P1             (2)1( 2.5)        0.0 
     2  9999    3S1 3P2             (4)1( 5.5)   424818.3 
     3  9999    3S1 3P2             (2)2( 4.5)   552655.8 
     4  9999    3S1 3P2             (2)0( 0.5)   680432.8 
     5  9999    3S1 3P2             (2)1( 2.5)   721084.8 
     6  9999    3S2 3D1             (2)2( 4.5)   906004.7 
     7  9999    3P3                 (2)2( 4.5)  1088564.3 
     8  9999    3P3                 (2)1( 2.5)  1204206.6 
     9  9999    3S1 3P1 3D1         (4)3(13.5)  1251849.6 
    10  9999    3S1 3P1 3D1         (4)2( 9.5)  1334644.0 
    11  9999    3S1 3P1 3D1         (4)1( 5.5)  1335798.9 
    12  9999    3S1 3P1 3D1         (2)2( 4.5)  1363190.2 
    13  9999    3S1 3P1 3D1         (2)3( 6.5)  1440538.5 
    14  9999    3S1 3P1 3D1         (2)1( 2.5)  1543359.3 
    15  9999    3S1 3P1 3D1         (2)3( 6.5)  1572518.6 
    16  9999    3S1 3P1 3D1         (2)2( 4.5)  1601717.5 
    17  9999    3S1 3P1 3D1         (2)1( 2.5)  1615057.1 
    18  9999    3P2 3D1             (2)3( 6.5)  1851691.5 
    19  9999    3P2 3D1             (4)3(13.5)  1869271.8 
    20  9999    3P2 3D1             (2)1( 2.5)  1894257.7 
    21  9999    3P2 3D1             (4)2( 9.5)  1906254.4 
    22  9999    3P2 3D1             (2)4( 8.5)  1957938.0 
    23  9999    3P2 3D1             (4)1( 5.5)  1983344.6 
    24  9999    3P2 3D1             (2)2( 4.5)  1986074.4 
    25  9999    3P2 3D1             (2)1( 2.5)  2070398.3 
    26  9999    3P2 3D1             (2)0( 0.5)  2086421.3 
    27  9999    3P2 3D1             (2)2( 4.5)  2092739.0 
    28  9999    3P2 3D1             (2)3( 6.5)  2113179.4 
    29  9999    3P2 3D1             (2)2( 4.5)  2208509.8 
    30  9999    3S1 3D2             (4)1( 5.5)  2250429.5 
    31  9999    3S1 3D2             (2)2( 4.5)  2325580.9 
    32  9999    3S1 3D2             (2)4( 8.5)  2338055.5 
    33  9999    3S1 3D2             (2)3( 6.5)  2401291.7 
    34  9999    3S1 3D2             (2)1( 2.5)  2467291.6 
    35  9999    3S1 3D2             (2)0( 0.5)  2487281.6 
    36  9999    3P1 3D2             (4)4(17.5)  2659092.5 
    37  9999    3P1 3D2             (2)3( 6.5)  2712444.0 
    38  9999    3P1 3D2             (2)2( 4.5)  2720270.6 
    39  9999    3P1 3D2             (4)3(13.5)  2752865.0 
    40  9999    3P1 3D2             (4)2( 9.5)  2755603.2 
    41  9999    3P1 3D2             (2)4( 8.5)  2775550.1 
    42  9999    3P1 3D2             (4)1( 5.5)  2787416.5 
    43  9999    3P1 3D2             (4)2( 9.5)  2813640.4 
    44  9999    3P1 3D2             (2)5(10.5)  2827542.9 
    45  9999    3P1 3D2             (2)1( 2.5)  2847308.6 
    46  9999    3P1 3D2             (2)3( 6.5)  2905714.9 
    47  9999    3P1 3D2             (2)2( 4.5)  2930451.2 
    48  9999    3P1 3D2             (2)1( 2.5)  2970290.3 
    49  9999    3P1 3D2             (2)3( 6.5)  2983851.7 
    50  9999    3P1 3D2             (2)4( 8.5)  2994586.0 
    51  9999    3P1 3D2             (2)2( 4.5)  3068348.6 
    52  9999    3P1 3D2             (2)1( 2.5)  3112165.7 
    53  9999    3D3                 (4)3(13.5)  3596421.1 
    54  9999    3D3                 (4)1( 5.5)  3662910.7 
    55  9999    3D3                 (2)4( 8.5)  3664515.2 
    56  9999    3D3                 (2)2( 4.5)  3703556.9 
    57  9999    3D3                 (2)1( 2.5)  3704450.2 
    58  9999    3D3                 (2)3( 6.5)  3752599.1 
    59  9999    3D3                 (2)2( 4.5)  3851766.1 
    60     1    3S2 4S1             (2)0( 0.5)  5629475.9 
    61     1    3S2 4P1             (2)1( 2.5)  5876629.3 
    62     2    3S1 3P1 4S1         (4)1( 5.5)  6080859.4 
    63     2    3S1 3P1 4S1         (2)1( 2.5)  6140209.7 
    64     1    3S2 4D1             (2)2( 4.5)  6189188.7 
    65     3    3S1 3P1 4S1         (2)1( 2.5)  6301347.2 
    66     2    3S1 3P1 4P1         (4)2( 9.5)  6312968.6 
    67     2    3S1 3P1 4P1         (2)1( 2.5)  6315598.8 
    68     2    3S1 3P1 4P1         (4)0( 1.5)  6341986.4 
    69     2    3S1 3P1 4P1         (4)1( 5.5)  6342889.2 
    70     2    3S1 3P1 4P1         (2)2( 4.5)  6375499.6 
    71     1    3S2 4F1             (2)3( 6.5)  6402153.0 
