SEQ='O '     NUCCHG=42                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 590072887.4   NPRNTI= 3   NPRNTF= 8
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P3             (4)0( 1.5)        0.0 
     2          2S2 2P3             (2)2( 4.5)   265620.5 
     3          2S2 2P3             (2)1( 2.5)   392182.5 
     4          2S1 2P4             (4)1( 5.5)  1173486.9*
     5          2S1 2P4             (2)2( 4.5)  1608714.1*
     6          2S1 2P4             (2)0( 0.5)  1874334.6*
     7          2S1 2P4             (2)1( 2.5)  1947927.4*
     8          2P5                 (2)1( 2.5)  3080945.1*

   LS RESOLVED TERM INDEXING            BWNR= 627005032.3   NTRM= 526
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    2S2 2P4             (3)1( 4.0)        0.0 
     2  9999    2S2 2P4             (1)2( 2.0)   174974.5 
     3  9999    2S2 2P4             (1)0( 0.0)   369237.5 
     4  9999    2S1 2P5             (3)1( 4.0)  1422111.5 
     5  9999    2S1 2P5             (1)1( 1.0)  1935406.6 
     6  9999    2P6                 (1)0( 0.0)  3334907.6 
     7     1    2S2 2P3 3S1         (5)0( 2.0) 20699418.4 
     8     1    2S2 2P3 3S1         (3)0( 1.0) 20802316.9 
     9     2    2S2 2P3 3S1         (3)2( 7.0) 20990763.5 
    10     2    2S2 2P3 3S1         (1)2( 2.0) 21042212.8 
    11     1    2S2 2P3 3P1         (5)1( 7.0) 21114082.0 
    12     3    2S2 2P3 3S1         (3)1( 4.0) 21118679.6 
    13     3    2S2 2P3 3S1         (1)1( 1.0) 21170128.9 
    14     1    2S2 2P3 3P1         (3)1( 4.0) 21206046.4 
    15     2    2S2 2P3 3P1         (1)1( 1.0) 21365013.7 
    16     2    2S2 2P3 3P1         (3)2( 7.0) 21377878.7 
    17     2    2S2 2P3 3P1         (3)3(10.0) 21401008.7 
    18     2    2S2 2P3 3P1         (1)3( 3.0) 21422314.9 
    19     3    2S2 2P3 3P1         (3)0( 1.0) 21506190.0 
    20     3    2S2 2P3 3P1         (3)2( 7.0) 21530353.2 
    21     2    2S2 2P3 3P1         (3)1( 4.0) 21547498.3 
    22     3    2S2 2P3 3P1         (1)1( 1.0) 21565169.3 
    23     2    2S2 2P3 3P1         (1)2( 2.0) 21566023.0 
    24     1    2S2 2P3 3D1         (5)2(12.0) 21621199.2 
    25     3    2S2 2P3 3P1         (3)1( 4.0) 21630112.6 
    26     3    2S2 2P3 3P1         (1)2( 2.0) 21724147.2 
    27     1    2S2 2P3 3D1         (3)2( 7.0) 21745150.1 
    28     3    2S2 2P3 3P1         (1)0( 0.0) 21870339.0 
    29     2    2S2 2P3 3D1         (3)3(10.0) 21878378.3 
    30     2    2S2 2P3 3D1         (1)0( 0.0) 21886819.7 
    31     2    2S2 2P3 3D1         (3)4(13.0) 21914601.4 
    32     2    2S2 2P3 3D1         (1)4( 4.0) 21933122.6 
    33     2    2S2 2P3 3D1         (1)1( 1.0) 21955730.4 
    34     2    2S2 2P3 3D1         (1)2( 2.0) 21982897.8 
    35     2    2S2 2P3 3D1         (3)2( 7.0) 21992259.8 
    36     2    2S2 2P3 3D1         (3)1( 4.0) 22009622.4 
    37     3    2S2 2P3 3D1         (3)3(10.0) 22050456.8 
    38     2    2S2 2P3 3D1         (3)0( 1.0) 22060489.7 
    39     3    2S2 2P3 3D1         (3)1( 4.0) 22063932.5 
    40     2    2S2 2P3 3D1         (1)3( 3.0) 22096917.2 
    41     3    2S2 2P3 3D1         (3)2( 7.0) 22129321.1 
    42     3    2S2 2P3 3D1         (1)2( 2.0) 22186430.4 
    43     3    2S2 2P3 3D1         (1)3( 3.0) 22213435.4 
    44     3    2S2 2P3 3D1         (1)1( 1.0) 22310720.4 
    45     8    2P5 3S1             (3)1( 4.0) 23878749.9 
    46     8    2P5 3S1             (1)1( 1.0) 23930199.2 
    47     8    2P5 3P1             (3)2( 7.0) 24262409.6 
    48     8    2P5 3P1             (1)2( 2.0) 24306240.8 
    49     8    2P5 3P1             (1)1( 1.0) 24309964.7 
    50     8    2P5 3P1             (3)1( 4.0) 24311116.9 
    51     8    2P5 3P1             (1)0( 0.0) 24678355.1 
    52     8    2P5 3D1             (3)3(10.0) 24766887.4 
    53     8    2P5 3D1             (1)3( 3.0) 24823919.9 
    54     8    2P5 3D1             (1)2( 2.0) 24836108.0 
    55     8    2P5 3D1             (3)2( 7.0) 24836781.0 
    56     8    2P5 3D1             (1)1( 1.0) 25074504.2 
    57     1    2S2 2P3 4S1         (5)0( 2.0) 28012142.7 
    58     1    2S2 2P3 4S1         (3)0( 1.0) 28046915.5 
