SEQ='MG'     NUCCHG=42                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 710995688.1   NPRNTI= 2   NPRNTF= 3
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S1                 (2)0( 0.5)        0.0 
     2          3P1                 (2)1( 2.5)   534947.7 
     3          3D1                 (2)2( 4.5)  1276560.9*

   LS RESOLVED TERM INDEXING            BWNR= 724641922.7   NTRM= 267
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    3S2                 (1)0( 0.0)        0.0 
     2  9999    3S1 3P1             (3)1( 4.0)   460782.1 
     3  9999    3S1 3P1             (1)1( 1.0)   659466.5 
     4  9999    3P2                 (1)2( 2.0)  1061113.4 
     5  9999    3P2                 (3)1( 4.0)  1066223.5 
     6  9999    3P2                 (1)0( 0.0)  1233690.8 
     7  9999    3S1 3D1             (3)2( 7.0)  1304814.1 
     8  9999    3S1 3D1             (1)2( 2.0)  1451378.1 
     9  9999    3P1 3D1             (3)3(10.0)  1795545.7 
    10  9999    3P1 3D1             (1)2( 2.0)  1801209.4 
    11  9999    3P1 3D1             (3)2( 7.0)  1881865.4 
    12  9999    3P1 3D1             (3)1( 4.0)  1886279.3 
    13  9999    3P1 3D1             (1)3( 3.0)  2027700.5 
    14  9999    3P1 3D1             (1)1( 1.0)  2049619.5 
    15  9999    3D2                 (1)2( 2.0)  2695747.9 
    16  9999    3D2                 (3)1( 4.0)  2697756.3 
    17  9999    3D2                 (1)0( 0.0)  2869293.1 
    18     1    3S1 4S1             (3)0( 1.0)  6275857.7 
    19     1    3S1 4S1             (1)0( 0.0)  6333636.7 
    20     1    3S1 4P1             (3)1( 4.0)  6520034.1 
    21     1    3S1 4P1             (1)1( 1.0)  6539825.6 
    22     1    3S1 4D1             (3)2( 7.0)  6817210.1 
    23     2    3P1 4S1             (3)1( 4.0)  6830693.4 
    24     1    3S1 4D1             (1)2( 2.0)  6831098.5 
    25     2    3P1 4S1             (1)1( 1.0)  6855369.8 
    26     1    3S1 4F1             (3)3(10.0)  6993069.8 
    27     2    3P1 4P1             (1)1( 1.0)  7020934.6 
    28     1    3S1 4F1             (1)3( 3.0)  7028821.5 
    29     2    3P1 4P1             (3)2( 7.0)  7039890.6 
    30     2    3P1 4P1             (3)0( 1.0)  7068324.7 
    31     2    3P1 4P1             (3)1( 4.0)  7071523.6 
    32     2    3P1 4P1             (1)2( 2.0)  7108853.3 
