SEQ='F '     NUCCHG=42                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 627005032.4   NPRNTI= 3   NPRNTF= 6
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P4             (3)1( 4.0)        0.0 
     2          2S2 2P4             (1)2( 2.0)   174974.5 
     3          2S2 2P4             (1)0( 0.0)   369237.5 
     4          2S1 2P5             (3)1( 4.0)  1422111.5*
     5          2S1 2P5             (1)1( 1.0)  1935406.6*
     6          2P6                 (1)0( 0.0)  3334907.6*

   LS RESOLVED TERM INDEXING            BWNR= 662593533.5   NTRM= 342
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    2S2 2P5             (2)1( 2.5)        0.0 
     2  9999    2S1 2P6             (2)0( 0.5)  1665893.9 
     3     1    2S2 2P4 3S1         (4)1( 5.5) 20064160.6 
     4     1    2S2 2P4 3S1         (2)1( 2.5) 20139895.0 
     5     2    2S2 2P4 3S1         (2)2( 4.5) 20264379.9 
     6     3    2S2 2P4 3S1         (2)0( 0.5) 20460261.5 
     7     1    2S2 2P4 3P1         (4)1( 5.5) 20482935.1 
     8     1    2S2 2P4 3P1         (4)2( 9.5) 20529882.9 
     9     1    2S2 2P4 3P1         (2)2( 4.5) 20575294.9 
    10     1    2S2 2P4 3P1         (2)1( 2.5) 20579558.5 
    11     1    2S2 2P4 3P1         (4)0( 1.5) 20600304.6 
    12     1    2S2 2P4 3P1         (2)0( 0.5) 20600304.6 
    13     2    2S2 2P4 3P1         (2)3( 6.5) 20702160.5 
    14     2    2S2 2P4 3P1         (2)2( 4.5) 20758335.8 
    15     2    2S2 2P4 3P1         (2)1( 2.5) 20901769.5 
    16     3    2S2 2P4 3P1         (2)1( 2.5) 20973744.9 
    17     1    2S2 2P4 3D1         (4)2( 9.5) 21060810.4 
    18     1    2S2 2P4 3D1         (4)3(13.5) 21127953.2 
    19     1    2S2 2P4 3D1         (4)1( 5.5) 21165254.7 
    20     1    2S2 2P4 3D1         (2)3( 6.5) 21178232.3 
    21     1    2S2 2P4 3D1         (2)1( 2.5) 21195607.7 
    22     1    2S2 2P4 3D1         (2)2( 4.5) 21221697.3 
    23     2    2S2 2P4 3D1         (2)4( 8.5) 21284613.2 
    24     2    2S2 2P4 3D1         (2)0( 0.5) 21349072.9 
    25     2    2S2 2P4 3D1         (2)3( 6.5) 21359121.0 
    26     2    2S2 2P4 3D1         (2)2( 4.5) 21451503.1 
    27     2    2S2 2P4 3D1         (2)1( 2.5) 21453697.2 
    28     3    2S2 2P4 3D1         (2)2( 4.5) 21546537.2 
    29     6    2P6 3S1             (2)0( 0.5) 23494752.3 
    30     6    2P6 3P1             (2)1( 2.5) 23929941.8 
    31     6    2P6 3D1             (2)2( 4.5) 24523607.5 
    32     1    2S2 2P4 4S1         (4)1( 5.5) 27088707.7 
    33     1    2S2 2P4 4S1         (2)1( 2.5) 27114214.1 
    34     1    2S2 2P4 4P1         (4)1( 5.5) 27264665.1 
    35     2    2S2 2P4 4S1         (2)2( 4.5) 27272184.3 
    36     1    2S2 2P4 4P1         (4)2( 9.5) 27282202.9 
    37     1    2S2 2P4 4P1         (2)2( 4.5) 27298427.1 
    38     1    2S2 2P4 4P1         (4)0( 1.5) 27308509.6 
    39     1    2S2 2P4 4P1         (2)0( 0.5) 27308509.6 
    40     1    2S2 2P4 4P1         (2)1( 2.5) 27327839.4 
    41     2    2S2 2P4 4P1         (2)3( 6.5) 27455693.7 
    42     3    2S2 2P4 4S1         (2)0( 0.5) 27467009.4 
    43     2    2S2 2P4 4P1         (2)2( 4.5) 27476704.1 
    44     1    2S2 2P4 4D1         (4)2( 9.5) 27484252.8 
    45     2    2S2 2P4 4P1         (2)1( 2.5) 27497081.4 
    46     1    2S2 2P4 4D1         (4)3(13.5) 27508213.7 
    47     1    2S2 2P4 4D1         (4)1( 5.5) 27521525.4 
    48     1    2S2 2P4 4D1         (2)3( 6.5) 27526984.2 
    49     1    2S2 2P4 4D1         (2)1( 2.5) 27552211.2 
    50     1    2S2 2P4 4D1         (2)2( 4.5) 27563847.1 
    51     1    2S2 2P4 4F1         (4)3(13.5) 27632074.1 
    52     1    2S2 2P4 4F1         (2)3( 6.5) 27642032.2 
    53     1    2S2 2P4 4F1         (4)4(17.5) 27648473.8 
    54     1    2S2 2P4 4F1         (2)4( 8.5) 27651235.0 
    55     1    2S2 2P4 4F1         (4)2( 9.5) 27654213.6 
    56     1    2S2 2P4 4F1         (2)2( 4.5) 27659603.8 
    57     3    2S2 2P4 4P1         (2)1( 2.5) 27662569.1 
    58     2    2S2 2P4 4D1         (2)4( 8.5) 27676773.2 
