AR+17        18        18      35699910.0
    1 11                 (2)0( 0.5)            0.0
    2 12                 (2)0( 0.5)     26771000.0
    3 13                 (2)1( 2.5)     26797000.0
    4 14                 (2)0( 0.5)     31741000.0
    5 15                 (2)1( 2.5)     31748000.0
    6 16                 (2)2( 4.5)     31754000.0
    7 17                 (2)0( 0.5)     33478000.0
    8 18                 (2)1( 2.5)     33481000.0
    9 19                 (2)2( 4.5)     33484000.0
   10 1B                 (2)0( 0.5)     34282000.0
   11 1C                 (2)1( 2.5)     34284000.0
   12 1D                 (2)2( 4.5)     34285000.0
   13 1G                 (2)0( 0.5)     34718000.0
   14 1H                 (2)1( 2.5)     34719000.0
   15 1I                 (2)2( 4.5)     34720000.0
   -1    325.398 81.4380 81.2046 36.1558 36.0866 36.0311 20.3212 20.2920 20.2685    0.0  12.9981 12.9831 12.9711    0.0     0.0  9.02270 9.01400 9.00710
 18.0    3       6.48+04 9.72+04 1.62+05 3.24+05 6.48+05 1.62+06 3.24+06 4.86+06 6.48+06 9.72+06 1.62+07 3.24+07 6.48+07 9.72+07
   2   1 1.00-30 2.25-03 2.25-03 2.25-03 2.25-03 2.25-03 2.25-03 2.25-03 2.26-03 2.26-03 2.27-03 2.29-03 2.33-03 2.38-03 2.43-03
   3   1 6.62+13 1.52-02 1.52-02 1.52-02 1.52-02 1.52-02 1.52-02 1.53-02 1.54-02 1.55-02 1.57-02 1.61-02 1.73-02 1.95-02 2.14-02
   4   1 1.00-30 4.60-04 4.60-04 4.60-04 4.60-04 4.60-04 4.60-04 4.61-04 4.61-04 4.62-04 4.63-04 4.65-04 4.71-04 4.80-04 4.87-04
   5   1 1.76+13 2.98-03 2.98-03 2.98-03 2.98-03 2.98-03 2.98-03 3.00-03 3.01-03 3.02-03 3.05-03 3.11-03 3.28-03 3.61-03 3.90-03
   6   1 2.03+10 2.68-04 2.68-04 2.68-04 2.68-04 2.68-04 2.69-04 2.69-04 2.70-04 2.71-04 2.72-04 2.76-04 2.84-04 2.99-04 3.09-04
   7   1 1.00-30 1.72-04 1.72-04 1.72-04 1.72-04 1.72-04 1.72-04 1.73-04 1.73-04 1.73-04 1.73-04 1.74-04 1.76-04 1.79-04 1.82-04
   8   1 7.15+12 1.10-03 1.10-03 1.10-03 1.10-03 1.10-03 1.10-03 1.11-03 1.11-03 1.12-03 1.12-03 1.15-03 1.20-03 1.31-03 1.41-03
   9   1 1.12+10 1.30-04 1.30-04 1.30-04 1.30-04 1.30-04 1.30-04 1.30-04 1.31-04 1.31-04 1.32-04 1.33-04 1.37-04 1.43-04 1.48-04
  10   1 1.00-30 8.36-05 8.36-05 8.36-05 8.36-05 8.36-05 8.37-05 8.38-05 8.38-05 8.39-05 8.41-05 8.45-05 8.54-05 8.69-05 8.80-05
  11   1 3.60+12 5.31-04 5.31-04 5.31-04 5.31-04 5.31-04 5.32-04 5.34-04 5.36-04 5.38-04 5.42-04 5.52-04 5.78-04 6.30-04 6.76-04
  12   1 6.30+09 6.93-05 6.93-05 6.93-05 6.93-05 6.93-05 6.94-05 6.95-05 6.97-05 6.99-05 7.02-05 7.10-05 7.29-05 7.61-05 7.86-05
