Ne+ 9        10        10      10986873.0(1S)
    1 1S1               (2)0(  .5)               .0     {1}1.000
    2 2S1               (2)0(  .5)        8239096.5     {1}1.000
    3 2P1               (2)1( 2.5)        8241381.9     {1}1.000
    4 3S1               (2)0(  .5)        9766023.4     {1}1.000
    5 3P1               (2)1( 2.5)        9766700.1     {1}1.000
    6 3D1               (2)2( 4.5)        9767278.2     {1}1.000
    7 4S1               (2)0(  .5)       10300310.3     {1}1.000
    8 4P1               (2)1( 2.5)       10300595.7     {1}1.000
    9 4D1               (2)2( 4.5)       10300839.5     {1}1.000
   10 4F1               (2)3( 6.5)       10300943.9     {1}1.000
   11 5S1               (2)0(  .5)       10547547.9     {1}1.000
   12 5P1               (2)1( 2.5)       10547694.0     {1}1.000
   13 5D1               (2)2( 4.5)       10547818.9     {1}1.000
   14 5F1               (2)3( 6.5)       10547872.3     {1}1.000
   15 5G1               (2)4( 8.5)       10547902.0     {1}1.000
   -1
 10.0    3       5.00+04 1.00+05 2.00+05 3.00+05 5.00+05 1.00+06 1.50+06 2.00+06 3.00+06 5.00+06 1.00+07 1.50+07 2.00+07 5.00+07
   2   1 1.00-30 7.23-03 7.24-03 7.24-03 7.25-03 7.26-03 7.28-03 7.30-03 7.32-03 7.36-03 7.43-03 7.57-03 7.67-03 7.76-03 8.04-03
   3   1 6.26+12 2.96-02 2.96-02 2.98-02 2.99-02 3.01-02 3.06-02 3.12-02 3.18-02 3.30-02 3.55-02 4.14-02 4.67-02 5.15-02 7.26-02
   4   1 1.00-30 1.53-03 1.53-03 1.53-03 1.53-03 1.53-03 1.53-03 1.53-03 1.53-03 1.53-03 1.53-03 1.54-03 1.55-03 1.56-03 1.60-03
   5   1 1.67+12 6.29-03 6.29-03 6.30-03 6.31-03 6.32-03 6.37-03 6.43-03 6.50-03 6.64-03 6.96-03 7.80-03 8.60-03 9.33-03 1.27-02
   6   1 5.95+08 1.07-03 1.06-03 1.05-03 1.04-03 1.02-03 9.78-04 9.45-04 9.20-04 8.82-04 8.38-04 8.07-04 8.14-04 8.31-04 9.47-04
   7   1 1.00-30 5.84-04 5.84-04 5.83-04 5.83-04 5.83-04 5.82-04 5.81-04 5.80-04 5.79-04 5.79-04 5.79-04 5.82-04 5.84-04 5.96-04
   8   1 6.82+11 2.41-03 2.41-03 2.41-03 2.41-03 2.41-03 2.42-03 2.44-03 2.45-03 2.49-03 2.59-03 2.87-03 3.13-03 3.38-03 4.53-03
   9   1 3.27+08 5.48-04 5.45-04 5.39-04 5.33-04 5.23-04 5.01-04 4.83-04 4.69-04 4.48-04 4.22-04 4.00-04 3.99-04 4.04-04 4.53-04
  10   1 1.00-30 3.57-05 3.54-05 3.47-05 3.40-05 3.28-05 3.03-05 2.83-05 2.67-05 2.42-05 2.08-05 1.65-05 1.44-05 1.32-05 1.09-05
  11   1 1.00-30 2.86-04 2.86-04 2.86-04 2.85-04 2.85-04 2.84-04 2.84-04 2.83-04 2.83-04 2.82-04 2.82-04 2.83-04 2.83-04 2.89-04
  12   1 3.44+11 1.18-03 1.18-03 1.18-03 1.18-03 1.18-03 1.18-03 1.19-03 1.20-03 1.21-03 1.26-03 1.38-03 1.50-03 1.62-03 2.16-03
  13   1 1.85+08 3.00-04 2.99-04 2.95-04 2.92-04 2.86-04 2.74-04 2.64-04 2.56-04 2.44-04 2.29-04 2.16-04 2.14-04 2.16-04 2.40-04
  14   1 1.00-30 2.82-05 2.79-05 2.73-05 2.68-05 2.59-05 2.39-05 2.24-05 2.11-05 1.91-05 1.64-05 1.29-05 1.13-05 1.03-05 8.45-06
  15   1 1.00-30 7.48-07 7.38-07 7.20-07 7.02-07 6.70-07 6.04-07 5.52-07 5.09-07 4.44-07 3.57-07 2.50-07 2.00-07 1.71-07 1.17-07
   3   2 1.00-30 6.22+00 7.03+00 7.86+00 8.34+00 8.96+00 9.77+00 1.02+01 1.06+01 1.10+01 1.16+01 1.24+01 1.29+01 1.32+01 1.43+01
   4   2 1.00-30 8.77-02 8.80-02 8.85-02 8.89-02 8.97-02 9.13-02 9.26-02 9.36-02 9.52-02 9.72-02 9.99-02 1.01-01 1.02-01 1.04-01
   5   2 2.24+11 8.69-02 8.86-02 9.20-02 9.52-02 1.01-01 1.16-01 1.29-01 1.42-01 1.65-01 2.05-01 2.84-01 3.43-01 3.90-01 5.66-01
   6   2 5.14+07 1.79-01 1.80-01 1.81-01 1.83-01 1.87-01 1.94-01 2.01-01 2.07-01 2.18-01 2.34-01 2.61-01 2.76-01 2.87-01 3.15-01
   7   2 1.00-30 1.73-02 1.74-02 1.74-02 1.75-02 1.76-02 1.79-02 1.81-02 1.82-02 1.85-02 1.89-02 1.94-02 1.96-02 1.98-02 2.03-02
   8   2 9.67+10 2.05-02 2.08-02 2.13-02 2.18-02 2.28-02 2.51-02 2.74-02 2.95-02 3.34-02 4.02-02 5.35-02 6.36-02 7.18-02 1.02-01
