MO+41        42        42     192696740.0
    1 11                (2)0( 0.5)             0.0
    2 12                (2)0( 0.5)     148309100.0
    3 13                (2)1( 0.5)     148318340.0
    4 13                (2)1( 1.5)     149489480.0
    5 14                (2)0( 0.5)     176141700.0
    6 15                (2)1( 0.5)     176143640.0
    7 15                (2)1( 1.5)     176492030.0
    8 16                (2)2( 1.5)     176495300.0
    9 16                (2)2( 2.5)     176604800.0
   10 17                (2)0( 0.5)     185835200.0
   11 18                (2)1( 0.5)     185835910.0
   12 18                (2)1( 1.5)     185982745.0
   13 19                (2)2( 1.5)     185984120.0
   14 19                (2)2( 2.5)     186030420.0
   -1    1805.87 454.378 447.179 200.749 198.615 196.928 112.415 111.517 110.805
 42.0    3       3.53+05 8.82+05 1.76+06 3.53+06 8.82+06 1.76+07 3.53+07 8.82+07 1.76+08 3.53+08 8.82+08 1.76+09 3.53+09 3.88+09
   2   1 1.00-30 4.33-04 4.33-04 4.33-04 4.33-04 4.34-04 4.34-04 4.35-04 4.40-04 4.47-04 4.58-04 4.77-04 4.91-04 5.03-04 5.04-04
   3   1 1.98+15 8.99-04 8.99-04 9.00-04 9.00-04 9.03-04 9.07-04 9.18-04 9.54-04 1.02-03 1.15-03 1.45-03 1.77-03 2.17-03 2.23-03
   4   1 2.03+15 1.79-03 1.79-03 1.79-03 1.79-03 1.80-03 1.81-03 1.83-03 1.90-03 2.03-03 2.28-03 2.87-03 3.53-03 4.33-03 4.45-03
   5   1 1.00-30 8.68-05 8.68-05 8.68-05 8.68-05 8.69-05 8.70-05 8.72-05 8.78-05 8.88-05 9.05-05 9.34-05 9.57-05 9.78-05 9.80-05
   6   1 5.20+14 1.75-04 1.75-04 1.75-04 1.75-04 1.75-04 1.76-04 1.77-04 1.82-04 1.92-04 2.11-04 2.55-04 3.05-04 3.68-04 3.77-04
   7   1 5.23+14 3.49-04 3.49-04 3.49-04 3.49-04 3.50-04 3.51-04 3.54-04 3.64-04 3.84-04 4.21-04 5.10-04 6.10-04 7.34-04 7.53-04
   8   1 3.36+12 1.85-05 1.85-05 1.85-05 1.85-05 1.85-05 1.85-05 1.87-05 1.90-05 1.96-05 2.05-05 2.24-05 2.39-05 2.53-05 2.54-05
   9   1 3.37+12 2.77-05 2.77-05 2.77-05 2.77-05 2.78-05 2.78-05 2.80-05 2.85-05 2.93-05 3.08-05 3.36-05 3.58-05 3.79-05 3.81-05
