
Ne+10     H + 0 (2) / receiver, donor (donor state n=2)       /        /
    9               / number of energies
    6               / nmin
   15               / nmax
               0.01     0.02     0.05     0.10     0.20     0.50     1.00     2.00     4.20 / energies
              29.12    29.19    29.12    28.56    27.03    22.75    18.92    15.53    10.95 / alphas
           7.66E-14 7.72E-14 7.78E-14 7.91E-14 7.99E-14 8.16E-14 8.20E-14 8.22E-14 8.04E-14 / tot. xsect.(cm2)
  n  l  m                                                                                   / partial xsects.
  6        0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 8.52E-19 3.40E-18 6.82E-18 
  6  0     0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 
  6  1     0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 8.52E-19 8.52E-19 0.00E+00 
  6  2     0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 8.52E-19 
  6  3     0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 8.52E-19 8.52E-19 
  6  4     0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 8.52E-19 
  6  5     0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.70E-18 4.26E-18 
  7        0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.70E-18 4.25E-18 1.11E-17 4.34E-17 
  7  0     0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 8.52E-19 1.70E-18 
  7  1     0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.70E-18 4.26E-18 
  7  2     0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 8.52E-19 1.70E-18 2.55E-18 
  7  3     0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 8.52E-19 0.00E+00 8.52E-19 6.81E-18 
  7  4     0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 8.52E-19 1.70E-18 8.52E-19 8.52E-18 
  7  5     0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.41E-18 1.19E-17 
  7  6     0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.70E-18 1.70E-18 7.66E-18
  8        0.00E+00 0.00E+00 8.52E-19 0.00E+00 4.26E-18 3.66E-17 8.51E-17 2.52E-16 5.01E-16 
