B + 5     H + 0 (1)  / receiver, donor (donor state index)    /        /
    9                / number of energies
    2                / nmin
    8                / nmax
              0.25      0.99     2.25     4.00     6.25     8.99    12.24    15.99    20.23 / energies 
             18.91    12.69     4.49     6.22     3.04     0.53     1.51     3.47     3.41 / alpha
          1.69E-15 2.07E-15 2.72E-15 3.14E-15 3.59E-15 3.76E-15 3.75E-15 3.66E-15 3.54E-15 / total xsects.    (cm2)
  n  l  m                                                                                  / partial xsects.  (cm2)
  2       2.17E-26 9.14E-23 1.83E-21 7.08E-20 4.10E-19 1.24E-18 2.97E-18 5.59E-18 9.06E-18
  2  0    9.46E-27 4.86E-23 3.63E-22 2.47E-20 1.72E-19 5.25E-19 1.40E-18 2.59E-18 3.98E-18
  2  1    1.23E-26 4.28E-23 1.47E-21 4.61E-20 2.38E-19 7.16E-19 1.57E-18 3.01E-18 5.08E-18
  3       4.02E-18 1.45E-16 4.82E-16 7.98E-16 9.72E-16 1.06E-15 1.10E-15 1.09E-15 1.04E-15
  3  0    1.02E-18 3.90E-17 1.23E-16 1.98E-16 1.74E-16 1.39E-16 1.15E-16 9.97E-17 8.65E-17
  3  1    1.76E-18 7.23E-17 2.15E-16 3.60E-16 4.49E-16 4.60E-16 4.28E-16 3.90E-16 3.49E-16
  3  2    1.24E-18 3.41E-17 1.44E-16 2.40E-16 3.49E-16 4.61E-16 5.54E-16 6.03E-16 6.03E-16
  4       1.65E-15 1.84E-15 2.08E-15 2.13E-15 2.36E-15 2.38E-15 2.28E-15 2.06E-15 1.78E-15
  4  0    1.69E-16 1.37E-16 1.23E-16 1.03E-16 1.02E-16 7.42E-17 5.62E-17 4.75E-17 4.33E-17
  4  1    4.29E-16 3.85E-16 3.53E-16 3.01E-16 3.26E-16 2.27E-16 1.79E-16 1.62E-16 1.57E-16
  4  2    5.51E-16 5.72E-16 6.63E-16 6.66E-16 7.49E-16 7.22E-16 6.20E-16 5.14E-16 4.18E-16
  4  3    4.97E-16 7.44E-16 9.44E-16 1.06E-15 1.18E-15 1.35E-15 1.42E-15 1.34E-15 1.16E-15
  5       3.81E-17 8.09E-17 1.39E-16 1.88E-16 2.12E-16 2.53E-16 2.88E-16 3.66E-16 4.71E-16
  5  0    4.95E-18 1.38E-17 1.29E-17 5.56E-18 5.94E-18 9.27E-18 9.34E-18 1.20E-17 1.72E-17
  5  1    7.57E-18 1.88E-17 2.42E-17 1.66E-17 1.35E-17 2.14E-17 3.30E-17 4.43E-17 5.05E-17
  5  2    8.38E-18 2.09E-17 3.27E-17 4.50E-17 2.99E-17 3.02E-17 3.99E-17 6.49E-17 8.74E-17
  5  3    7.68E-18 1.91E-17 4.70E-17 7.45E-17 8.38E-17 8.14E-17 8.10E-17 9.80E-17 1.27E-16
  5  4    9.54E-18 8.44E-18 2.21E-17 4.68E-17 7.83E-17 1.11E-16 1.25E-16 1.47E-16 1.89E-16
  6       3.91E-19 2.64E-18 1.33E-17 1.44E-17 2.60E-17 3.58E-17 4.73E-17 8.07E-17 1.39E-16
  6  0    4.36E-20 2.57E-19 1.15E-18 8.65E-19 3.56E-18 2.52E-18 2.91E-18 4.52E-18 5.93E-18
  6  1    5.72E-20 3.79E-19 2.35E-18 2.98E-18 5.02E-18 4.38E-18 5.01E-18 8.82E-18 1.80E-17
  6  2    2.34E-20 4.65E-19 3.24E-18 3.45E-18 2.78E-18 4.14E-18 8.03E-18 1.28E-17 2.19E-17
  6  3    7.54E-20 5.07E-19 2.74E-18 3.56E-18 4.13E-18 5.63E-18 8.28E-18 1.15E-17 2.72E-17
  6  4    1.28E-19 5.20E-19 2.34E-18 2.13E-18 6.69E-18 1.14E-17 1.15E-17 1.99E-17 3.81E-17
  6  5    6.38E-20 5.12E-19 1.50E-18 1.40E-18 3.86E-18 7.81E-18 1.16E-17 1.97E-17 2.77E-17
  7       2.01E-20 4.57E-19 2.15E-18 4.50E-18 1.17E-17 1.90E-17 2.24E-17 3.56E-17 6.23E-17
  7  0    2.97E-21 4.06E-20 2.21E-19 4.74E-19 2.03E-18 2.12E-18 1.35E-18 1.67E-18 3.10E-18
  7  1    3.63E-21 8.47E-20 2.01E-19 6.70E-19 2.01E-18 2.55E-18 2.98E-18 4.11E-18 7.09E-18
  7  2    1.78E-21 5.88E-20 3.37E-19 4.98E-19 1.15E-18 1.71E-18 2.34E-18 4.83E-18 9.28E-18
  7  3    2.64E-21 3.76E-20 4.15E-19 6.94E-19 1.83E-18 2.56E-18 3.24E-18 6.38E-18 1.21E-17
  7  4    4.33E-21 5.86E-20 3.58E-19 6.57E-19 2.11E-18 3.36E-18 3.97E-18 6.66E-18 1.33E-17
  7  5    3.23E-21 7.54E-20 3.46E-19 7.75E-19 1.67E-18 2.61E-18 2.14E-18 8.22E-18 1.46E-17
  7  6    1.56E-21 1.01E-19 2.72E-19 7.30E-19 9.49E-19 4.06E-18 6.38E-18 3.74E-18 2.74E-18
  8       1.61E-21 8.39E-20 1.18E-18 1.96E-18 7.80E-18 1.77E-17 1.83E-17 2.24E-17 3.95E-17
  8  0    1.45E-22 6.73E-21 1.16E-19 1.12E-19 1.02E-18 9.81E-19 9.01E-19 1.63E-18 2.85E-18
  8  1    1.27E-22 1.34E-20 1.62E-19 2.37E-19 1.12E-18 1.20E-18 1.66E-18 3.15E-18 6.63E-18
  8  2    1.05E-22 1.11E-20 1.65E-19 1.97E-19 6.20E-19 1.65E-18 2.21E-18 2.95E-18 6.25E-18
  8  3    2.15E-22 1.04E-20 2.51E-19 2.65E-19 1.19E-18 3.95E-18 3.80E-18 2.75E-18 4.45E-18
  8  4    3.29E-22 1.32E-20 1.92E-19 3.31E-19 1.70E-18 3.96E-18 2.33E-18 3.24E-18 5.50E-18
  8  5    2.12E-22 1.28E-20 1.10E-19 4.24E-19 1.05E-18 2.18E-18 1.17E-18 3.49E-18 9.35E-18
  8  6    2.56E-22 7.60E-21 1.13E-19 2.26E-19 6.08E-19 2.01E-18 4.22E-18 3.38E-18 2.76E-18
  8  7    2.22E-22 8.60E-21 7.35E-19 1.71E-19 5.00E-19 1.78E-18 2.04E-18 1.82E-18 1.68E-18
   9                / number of energies
   2                / nmin
   8                / nmax
             24.98    30.23    35.97    48.96    63.95    80.93    99.92   156.13   224.82 /  energies
              3.16     3.06     3.10     2.66     2.71     2.48     2.35     2.70     1.65 / alpha
          3.39E-15 3.18E-15 2.87E-15 1.97E-15 1.23E-15 7.42E-16 4.33E-16 1.09E-16 2.90E-17 / total xsects.    (cm2)
  n  l  m                                                                                  / partial xsects.  (cm2)
  2       1.30E-17 1.71E-17 2.08E-17 2.55E-17 2.70E-17 2.55E-17 2.24E-17 1.06E-17 4.27E-18
  2  0    5.49E-18 7.00E-18 7.91E-18 7.20E-18 5.57E-18 4.75E-18 3.52E-18 1.54E-18 5.92E-19
  2  1    7.55E-18 1.01E-17 1.29E-17 1.83E-17 2.14E-17 2.08E-17 1.89E-17 9.05E-18 3.67E-18
  3       9.45E-16 8.34E-16 7.19E-16 5.15E-16 2.95E-16 1.81E-16 1.03E-16 2.73E-17 7.35E-18
  3  0    7.34E-17 6.08E-17 4.92E-17 2.35E-17 7.84E-18 5.13E-18 3.52E-18 1.38E-18 4.91E-19
  3  1    3.04E-16 2.59E-16 2.18E-16 1.31E-16 6.11E-17 3.60E-17 2.18E-17 7.12E-18 2.29E-18
  3  2    5.68E-16 5.13E-16 4.52E-16 3.61E-16 2.26E-16 1.40E-16 7.77E-17 1.88E-17 4.57E-18
  4       1.50E-15 1.25E-15 1.03E-15 6.45E-16 3.90E-16 2.28E-16 1.28E-16 2.75E-17 6.15E-18
  4  0    4.05E-17 3.80E-18 3.42E-17 1.59E-17 5.23E-18 3.36E-18 2.49E-18 9.70E-19 3.39E-19
  4  1    1.48E-16 1.33E-16 1.13E-16 7.03E-17 3.99E-17 2.36E-17 1.46E-17 4.84E-18 1.49E-18
  4  2    3.38E-16 2.76E-16 2.26E-16 1.61E-16 1.10E-16 6.51E-17 3.91E-17 1.06E-17 2.65E-18
  4  3    9.73E-16 8.02E-16 6.57E-16 3.99E-16 2.35E-16 1.36E-16 7.17E-17 1.12E-17 1.67E-18
  5       5.46E-16 5.53E-16 5.04E-16 3.19E-16 2.04E-16 1.20E-16 7.11E-17 1.73E-17 4.43E-18
  5  0    2.16E-17 2.24E-17 1.65E-17 4.02E-18 3.05E-18 2.17E-18 1.51E-18 5.92E-19 2.58E-19
  5  1    5.33E-17 4.97E-17 4.22E-17 2.49E-17 1.79E-17 1.27E-17 8.80E-18 3.06E-18 1.05E-18
  5  2    9.41E-17 8.90E-17 8.59E-17 5.92E-17 4.30E-17 2.89E-17 1.97E-17 6.04E-18 1.86E-18
  5  3    1.50E-16 1.56E-16 1.51E-16 1.03E-16 7.17E-17 4.39E-17 2.72E-17 6.40E-18 1.21E-18
  5  4    2.26E-16 2.32E-16 2.10E-16 1.28E-16 6.89E-17 3.23E-17 1.39E-17 1.24E-18 5.44E-20
  6       2.05E-16 2.58E-16 2.85E-16 2.19E-16 1.42E-16 8.51E-17 4.94E-17 1.22E-17 3.10E-18
  6  0    7.34E-18 7.55E-18 6.37E-18 2.78E-18 1.96E-18 1.35E-18 1.04E-18 4.13E-19 1.40E-19
  6  1    2.45E-17 2.69E-17 2.79E-17 1.89E-17 1.19E-17 8.61E-18 5.83E-18 2.13E-18 6.85E-19
  6  2    3.34E-17 4.09E-17 4.34E-17 3.67E-17 2.70E-17 1.82E-17 1.25E-17 3.92E-18 1.15E-18
  6  3    4.49E-17 6.17E-17 7.12E-17 5.91E-17 4.22E-17 2.69E-17 1.66E-17 4.26E-18 1.04E-18
  6  4    6.08E-17 7.99E-17 8.94E-17 6.79E-17 4.32E-17 2.44E-17 1.19E-17 1.49E-18 8.11E-20
  6  5    3.40E-17 3.91E-17 4.14E-17 2.96E-17 1.59E-17 5.61E-18 1.45E-18 7.41E-21 0.00E+00
  7       1.07E-16 1.64E-16 1.86E-16 1.47E-16 9.88E-17 5.95E-17 3.42E-17 8.30E-18 1.92E-18
  7  0    4.74E-18 5.67E-18 4.70E-18 1.86E-18 1.36E-18 9.89E-19 7.38E-19 2.86E-19 1.12E-19
  7  1    1.33E-17 2.01E-17 1.99E-17 1.14E-17 8.31E-18 5.76E-18 3.99E-18 1.41E-18 4.24E-19
  7  2    1.79E-17 2.86E-17 3.14E-17 2.34E-17 1.81E-17 1.25E-17 8.54E-18 2.51E-18 7.67E-19
  7  3    2.19E-17 3.59E-17 4.15E-17 3.61E-17 2.75E-17 1.78E-17 1.10E-17 2.78E-18 5.58E-19
  7  4    2.48E-17 3.94E-17 4.71E-17 4.12E-17 2.73E-17 1.60E-17 8.24E-18 1.29E-18 5.80E-20
  7  5    1.94E-17 2.50E-17 2.90E-17 2.74E-17 1.49E-17 6.41E-18 1.72E-18 2.85E-20 0.00E+00
  7  6    4.45E-18 6.70E-18 7.33E-18 6.04E-18 1.30E-18 1.11E-19 3.86E-21 0.00E+00 0.00E+00
  8       7.01E-17 1.09E-16 1.23E-16 1.03E-16 6.88E-17 4.27E-17 2.50E-17 5.79E-18 1.54E-18
  8  0    5.28E-18 8.35E-18 8.49E-18 3.86E-18 1.05E-18 7.74E-19 5.08E-19 1.86E-19 8.64E-20
  8  1    1.14E-17 1.74E-17 1.83E-17 1.11E-17 5.84E-18 4.29E-18 2.72E-18 1.01E-18 3.15E-19
  8  2    1.10E-17 1.67E-17 1.87E-17 1.61E-17 1.24E-17 8.84E-18 6.06E-18 1.81E-18 6.11E-19
  8  3    1.07E-17 1.84E-17 2.57E-17 2.52E-17 1.82E-17 1.25E-17 7.75E-18 1.98E-18 4.63E-19
  8  4    1.07E-17 1.95E-17 2.60E-17 2.66E-17 1.84E-17 1.08E-17 5.95E-18 7.74E-19 6.42E-20
  8  5    1.37E-17 1.71E-17 1.73E-17 1.52E-17 1.08E-17 5.31E-18 1.92E-18 2.79E-20 0.00E+00
  8  6    5.45E-18 8.73E-18 9.48E-18 6.76E-18 2.09E-18 3.11E-19 5.83E-20 0.00E+00 0.00E+00
  8  7    1.95E-18 2.71E-18 2.22E-18 9.81E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   -1   -1
C-------------------------------------------------------------------------------------------
C
C  B(5+) + H(1s)
C  ---------------
C  The total, n-partial and nl-partial cross sections for capture from n=2
C  to n=8 are included over 1-225 kev/amu. These data come from the merging   
C  of three different methods: quantal OEDM, semiclassical OEDM and classical CTMC.
C  each in its own range. when the value of the cross section is 0.00E+00 the 
C  cross section is lower than the precission of the machine calculations
C
C  Data published in PPCF 48 (2006) 1585 L.F. Erre, F. Guzman et al.
C
C  AUTHOR : F. Guzmán, UAM
C  DATE   : 2005
C
C
C
C  Data put into ADAS adf01 format.
C   - alpha has been obtained from n=8 and n=7 xsection
C
C  AUTHOR : F. Guzmán
C  DATE   : 14-04-2009
C
C-------------------------------------------------------------------------------------------
