B + 5     H + 0 (2)  / receiver, donor (donor state index)    /        /
    9                / number of energies
    2                / nmin
    8                / nmax
              0.25     0.99     2.25     4.00     6.25     8.99    12.24    15.99    20.23 / energies 
             15.70    12.57     1.68     0.69     1.72     3.92     4.76     4.65     3.42 / alpha
       	  4.54E-14 4.70E-14 4.30E-14 4.03E-14 3.14E-14 2.21E-14 1.51E-14 9.35E-15 5.64E-15 / total xsects.    (cm2)
  n  l  m                                                                                  / partial xsects.  (cm2)
  2       9.37E-29 7.21E-27 5.41E-25 2.41E-23 1.12E-21 4.26E-21 2.92E-20 6.42E-20 7.74E-20
  2  0    2.21E-29 1.35E-27 1.14E-25 1.02E-23 3.68E-22 8.71E-22 1.13E-20 1.31E-20 1.05E-20
  2  1    7.17E-29 5.86E-27 4.27E-25 1.39E-23 7.61E-22 3.39E-21 1.79E-20 5.11E-20 6.69E-20
  3       1.03E-25 4.82E-21 5.37E-20 3.03E-19 1.49E-18 3.40E-18 6.67E-18 1.35E-17 1.84E-17
  3  0    5.09E-26 8.12E-22 5.55E-21 3.83E-20 1.16E-19 2.54E-19 2.65E-19 1.45E-18 2.26E-18
  3  1    2.77E-26 2.54E-21 2.50E-20 1.55E-19 6.59E-19 1.09E-18 2.86E-18 4.29E-18 5.54E-18
  3  2    2.43E-26 1.46E-21 2.32E-20 1.10E-19 7.18E-19 2.06E-18 3.55E-18 7.78E-18 1.06E-17
  4       7.71E-19 5.04E-18 3.13E-17 6.06E-17 7.59E-17 1.13E-16 1.74E-16 2.45E-16 2.62E-16
  4  0    1.55E-19 7.70E-19 4.78E-18 7.31E-18 4.99E-18 7.93E-18 1.99E-17 3.39E-17 3.11E-17
  4  1    3.04E-19 1.28E-18 6.00E-18 1.19E-17 1.16E-17 1.88E-17 3.21E-17 4.63E-17 4.79E-17
  4  2    2.45E-19 1.85E-18 1.06E-17 1.89E-17 2.63E-17 3.72E-17 4.84E-17 6.62E-17 7.59E-17
  4  3    6.77E-20 1.15E-18 9.95E-18 2.24E-17 3.30E-17 4.92E-17 7.44E-17 1.06E-16 1.15E-16
  5       1.50E-16 4.59E-16 9.34E-16 1.09E-15 1.82E-15 2.03E-15 1.77E-15 1.36E-15 9.71E-16
  5  0    1.66E-17 3.71E-17 3.68E-17 4.32E-17 1.05E-16 9.79E-17 4.98E-17 1.73E-17 1.06E-17
  5  1    3.77E-17 8.27E-17 1.43E-16 1.75E-16 3.25E-16 3.40E-16 2.30E-16 1.08E-16 4.86E-17
  5  2    4.06E-17 1.34E-16 2.10E-16 2.52E-16 3.99E-16 3.97E-16 3.35E-16 2.43E-16 1.56E-16
  5  3    4.30E-17 6.59E-17 2.11E-16 2.56E-16 5.10E-16 6.35E-16 5.88E-16 4.55E-16 3.29E-16
  5  4    1.22E-17 1.40E-16 3.32E-16 3.64E-16 4.51E-16 5.46E-16 6.07E-16 5.61E-16 4.27E-16
  6       5.52E-15 9.84E-15 1.16E-14 1.10E-14 9.46E-15 7.01E-15 4.73E-15 2.81E-15 1.59E-15
  6  0    1.92E-16 2.52E-16 3.10E-16 1.75E-16 9.86E-17 4.15E-17 1.32E-17 8.77E-18 5.68E-18
  6  1    6.15E-16 8.30E-16 9.12E-16 6.22E-16 4.35E-16 2.03E-16 6.77E-17 4.00E-17 2.53E-17
  6  2    8.05E-16 1.23E-15 1.81E-15 1.60E-15 1.19E-15 6.24E-16 2.64E-16 1.40E-16 9.03E-17
  6  3    8.94E-16 2.33E-15 3.02E-15 2.77E-15 2.33E-15 1.57E-15 9.08E-16 4.41E-16 2.15E-16
  6  4    1.24E-15 1.83E-15 2.63E-15 3.27E-15 3.05E-15 2.27E-15 1.48E-15 8.58E-16 4.49E-16
  6  5    1.77E-15 3.37E-15 2.88E-15 2.61E-15 2.36E-15 2.33E-15 2.01E-15 1.32E-15 8.08E-16
  7       3.54E-14 3.09E-14 1.69E-14 1.47E-14 1.11E-14 8.10E-15 5.53E-15 3.20E-15 1.69E-15
  7  0    1.02E-15 5.91E-16 2.26E-16 2.07E-16 1.40E-16 6.96E-17 2.36E-17 5.13E-18 3.43E-18
  7  1    2.65E-15 1.68E-15 6.68E-16 6.14E-16 4.22E-16 2.17E-16 8.32E-17 2.57E-17 1.64E-17
  7  2    3.67E-15 2.57E-15 1.28E-15 1.12E-15 7.46E-16 4.17E-16 2.05E-16 9.85E-17 6.25E-17
  7  3    4.70E-15 4.47E-15 2.29E-15 1.89E-15 1.34E-15 8.83E-16 5.44E-16 2.87E-16 1.46E-16
  7  4    5.51E-15 6.86E-15 3.50E-15 2.78E-15 2.17E-15 1.57E-15 9.32E-16 5.07E-16 2.68E-16
  7  5    6.92E-15 8.01E-15 4.69E-15 3.98E-15 3.17E-15 2.36E-15 1.52E-15 8.83E-16 4.63E-16
  7  6    1.09E-14 6.70E-15 4.29E-15 4.13E-15 3.82E-15 3.26E-15 2.39E-15 1.40E-15 7.27E-16
  8       4.35E-15 5.77E-15 1.35E-14 1.34E-14 8.82E-15 4.80E-15 2.93E-15 1.72E-15 1.07E-15
  8  0    1.93E-16 1.16E-16 2.84E-16 1.96E-16 6.57E-17 1.75E-17 5.18E-18 2.05E-18 1.67E-18
  8  1    2.49E-16 2.63E-16 5.96E-16 5.82E-16 3.12E-16 1.17E-16 4.01E-17 1.32E-17 9.41E-18
  8  2    4.51E-16 3.60E-16 6.61E-16 5.40E-16 2.78E-16 1.33E-16 8.25E-17 5.09E-17 3.74E-17
  8  3    4.85E-16 4.39E-16 7.04E-16 9.52E-16 7.25E-16 3.84E-16 2.22E-16 1.33E-16 8.28E-17
  8  4    5.34E-16 6.76E-16 9.30E-16 1.39E-15 1.09E-15 6.33E-16 3.85E-16 2.20E-16 1.43E-16
  8  5    6.80E-16 1.14E-15 1.47E-15 1.55E-15 1.26E-15 7.98E-16 5.44E-16 3.50E-16 2.33E-16
  8  6    9.12E-16 1.75E-15 2.44E-15 2.70E-15 2.07E-15 1.18E-15 7.68E-16 4.82E-16 3.06E-16
  8  7    8.42E-16 1.02E-15 6.40E-15 5.21E-15 3.12E-15 1.55E-15 8.88E-16 4.73E-16 2.59E-16
   9                / number of energies
   2                / nmin
   8                / nmax
             24.98    30.23    35.97    48.96    63.95    80.93    99.92   156.13   224.82 /  energies
              1.23     1.35     1.53     1.63     2.21     1.81     0.98     1.12     3.81 / alpha
          3.26E-15 2.17E-15 1.43E-15 6.26E-16 2.81E-16 1.33E-16 6.36E-17 1.27E-17 3.07E-18 / total xsects.    (cm2)
  n  l  m                                                                                  / partial xsects.  (cm2)
  2       2.35E-19 4.03E-19 5.76E-19 7.17E-19 9.65E-19 7.72E-19 7.26E-19 5.73E-19 2.59E-19
  2  0    2.91E-20 5.43E-20 1.06E-19 1.75E-19 2.32E-19 1.44E-19 1.85E-19 1.25E-19 4.51E-20
  2  1    2.06E-19 3.49E-19 4.70E-19 5.42E-19 7.33E-19 6.28E-19 5.40E-19 4.48E-19 2.14E-19
  3       2.07E-17 2.13E-17 1.98E-17 1.73E-17 1.33E-17 9.49E-18 6.67E-18 2.31E-18 7.72E-19
  3  0    2.42E-18 2.64E-18 2.12E-18 1.52E-18 7.50E-19 5.16E-19 4.04E-19 1.34E-19 4.58E-20
  3  1    6.43E-18 6.69E-18 5.59E-18 5.73E-18 4.03E-18 2.55E-18 1.74E-18 5.35E-19 2.20E-19
  3  2    1.18E-17 1.19E-17 1.20E-17 1.01E-17 8.54E-18 6.43E-18 4.53E-18 1.64E-18 5.06E-19
  4       2.37E-16 1.94E-16 1.50E-16 8.48E-17 4.49E-17 2.41E-17 1.29E-17 2.90E-18 6.03E-19
  4  0    2.10E-17 1.04E-17 4.50E-18 1.94E-18 1.01E-18 6.09E-19 3.19E-19 1.43E-19 2.45E-20
  4  1    3.85E-17 2.82E-17 2.02E-17 9.90E-18 4.81E-18 2.57E-18 1.49E-18 3.35E-19 1.39E-19
  4  2    7.81E-17 6.74E-17 5.04E-17 2.56E-17 1.25E-17 6.53E-18 3.10E-18 8.75E-19 2.54E-19
  4  3    1.07E-16 9.28E-17 7.54E-17 4.74E-17 2.65E-17 1.44E-17 7.96E-18 1.55E-18 1.85E-19
  5       6.95E-16 4.85E-16 3.18E-16 1.45E-16 6.62E-17 2.89E-17 1.38E-17 2.25E-18 4.44E-19
  5  0    6.78E-18 5.14E-18 3.61E-18 2.17E-18 1.05E-18 4.91E-19 2.41E-19 6.91E-20 3.86E-20
  5  1    3.05E-17 1.98E-17 1.57E-17 8.19E-18 4.27E-18 2.01E-18 1.12E-18 2.67E-19 8.35E-20
  5  2    9.78E-17 5.79E-17 3.93E-17 1.87E-17 8.99E-18 4.62E-18 2.32E-18 4.15E-19 1.84E-19
  5  3    2.25E-16 1.45E-16 8.16E-17 3.49E-17 1.61E-17 7.53E-18 3.82E-18 9.74E-19 1.38E-19
  5  4    3.35E-16 2.57E-16 1.77E-16 8.16E-17 3.58E-17 1.43E-17 6.28E-18 5.21E-19 0.00E+00
  6       8.57E-16 5.63E-16 3.64E-16 1.46E-16 6.11E-17 2.94E-17 1.17E-17 2.22E-18 3.70E-19
  6  0    3.76E-18 3.00E-18 2.30E-18 1.39E-18 6.59E-19 4.19E-19 1.93E-19 5.88E-20 1.23E-20
  6  1    1.56E-17 1.17E-17 9.90E-18 5.72E-18 3.05E-18 1.80E-18 8.85E-19 2.31E-19 6.10E-20
  6  2    5.11E-17 3.37E-17 2.53E-17 1.24E-17 6.21E-18 3.13E-18 1.52E-18 4.64E-19 1.47E-19
  6  3    1.10E-16 7.07E-17 4.53E-17 2.16E-17 9.21E-18 5.12E-18 2.24E-18 7.51E-19 9.92E-20
  6  4    2.25E-16 1.33E-16 8.49E-17 3.57E-17 1.70E-17 8.90E-18 4.17E-18 6.92E-19 5.08E-20
  6  5    4.52E-16 3.11E-16 1.97E-16 6.94E-17 2.50E-17 1.01E-17 2.74E-18 2.13E-20 0.00E+00
  7       7.84E-16 4.91E-16 3.19E-16 1.28E-16 5.40E-17 2.24E-17 9.48E-18 1.30E-18 3.91E-19
  7  0    2.12E-18 1.67E-18 1.64E-18 1.17E-18 6.73E-19 3.51E-19 6.57E-20 2.33E-20 4.14E-21
  7  1    9.49E-18 7.88E-18 6.58E-18 4.47E-18 2.21E-18 1.21E-18 4.60E-19 1.04E-19 5.39E-20
  7  2    3.54E-17 2.53E-17 1.73E-17 9.45E-18 4.36E-18 2.15E-18 1.03E-18 3.16E-19 9.63E-20
