Variables:,q,a,b,t0,t1,c1,c2,c3,c4,c5,c6,c7,e1,e2,e3,e4,e5,e6,e7
Type:,Integer,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float
Data:,0,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000
Data:,1,1.674E-013,-3.559E-001,1.781E+000,1.488E+004,3.506E-009,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,1.494E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000
Data:,2,6.395E-013,-3.246E-001,3.271E+000,3.093E+003,9.914E-009,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,2.182E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000
Data:,3,1.521E-012,-2.998E-001,3.924E+000,2.575E+003,1.650E-008,6.930E-010,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,2.649E+000,6.478E+001,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000
Data:,4,3.989E-012,1.053E-001,2.270E+000,7.712E+002,1.870E-008,1.821E-009,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,2.713E+000,1.056E+001,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000
Data:,5,8.620E-012,4.060E-001,1.242E+000,3.731E+002,1.736E-008,3.636E-009,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,2.504E+000,1.612E+002,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000
Data:,6,9.301E-012,4.377E-001,2.047E+000,4.202E+002,7.855E-009,5.456E-009,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,1.970E+000,1.407E+001,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000
Data:,7,1.664E-011,5.213E-001,1.355E+000,5.051E+002,5.545E-009,-4.990E-012,7.566E-009,0.000E+000,0.000E+000,0.000E+000,0.000E+000,2.314E+000,5.340E+001,1.852E+001,0.000E+000,0.000E+000,0.000E+000,0.000E+000
Data:,8,1.305E-011,5.616E-001,3.062E+000,4.823E+002,2.555E-009,2.518E-008,7.594E-009,0.000E+000,0.000E+000,0.000E+000,0.000E+000,1.667E+001,1.568E+002,4.850E+001,0.000E+000,0.000E+000,0.000E+000,0.000E+000
