Variables:,q,c1,c2,c3,c4,e1,e2,e3,e4
Type:,Integer,Float,Float,Float,Float,Float,Float,Float,Float
Data:,0,-1.000E+000,-1.000E+000,-1.000E+000,-1.000E+000,-1.0,-1.0,-1.0,-1.0
Data:,1,-1.000E+000,-1.000E+000,-1.000E+000,-1.000E+000,-1.0,-1.0,-1.0,-1.0
Data:,2,-1.000E+000,-1.000E+000,-1.000E+000,-1.000E+000,-1.0,-1.0,-1.0,-1.0
Data:,3,-1.000E+000,-1.000E+000,-1.000E+000,-1.000E+000,-1.0,-1.0,-1.0,-1.0
Data:,4,-1.000E+000,-1.000E+000,-1.000E+000,-1.000E+000,-1.0,-1.0,-1.0,-1.0
Data:,5,-1.000E+000,-1.000E+000,-1.000E+000,-1.000E+000,-1.0,-1.0,-1.0,-1.0
Data:,6,-1.000E+000,-1.000E+000,-1.000E+000,-1.000E+000,-1.0,-1.0,-1.0,-1.0
Data:,7,-1.000E+000,-1.000E+000,-1.000E+000,-1.000E+000,-1.0,-1.0,-1.0,-1.0
Data:,8,-1.000E+000,-1.000E+000,-1.000E+000,-1.000E+000,-1.0,-1.0,-1.0,-1.0
Data:,9,3.928E+003,1.795E+004,3.069E+004,0.000E+000,228.0,387.8,1320.9,0.0
Data:,10,4.173E+003,1.574E+004,2.699E+004,0.000E+000,256.9,413.1,1374.3,0.0
Data:,11,4.900E+003,1.430E+004,2.400E+004,0.000E+000,283.2,447.7,1476.3,0.0
Data:,12,9.140E+002,1.268E+004,1.860E+004,2.903E+004,260.8,370.3,909.2,3727.0
Data:,13,1.947E+003,1.034E+004,1.720E+004,1.630E+004,302.5,411.7,1042.0,4118.6
Data:,14,1.511E+004,1.721E+004,0.000E+000,0.000E+000,769.0,2471.9,0.0,0.0
Data:,15,1.203E+004,1.434E+004,0.000E+000,0.000E+000,829.1,2558.4,0.0,0.0
Data:,16,9.637E+003,1.197E+004,0.000E+000,0.000E+000,891.2,2649.7,0.0,0.0
Data:,17,8.743E+003,1.001E+004,0.000E+000,0.000E+000,954.7,2741.1,0.0,0.0
Data:,18,7.743E+003,6.091E+003,0.000E+000,0.000E+000,2833.1,1019.9,0.0,0.0
Data:,19,5.028E+003,6.987E+003,0.000E+000,0.000E+000,1087.5,2930.4,0.0,0.0
Data:,20,4.052E+003,5.815E+003,0.000E+000,0.000E+000,1157.6,3029.7,0.0,0.0
Data:,21,3.262E+003,4.819E+003,0.000E+000,0.000E+000,1230.2,3135.7,0.0,0.0
Data:,22,2.616E+003,3.966E+003,0.000E+000,0.000E+000,1306.5,3247.3,0.0,0.0
Data:,23,2.090E+003,3.232E+003,9.343E+002,2.509E+002,1388.5,3372.9,3362.3,1187.7
Data:,24,2.635E+003,1.629E+003,9.228E+002,9.827E+001,3509.2,1460.8,3209.1,1417.7
Data:,25,2.562E+003,1.107E+003,4.877E+002,6.365E+002,2685.0,1456.3,4719.4,2554.9
Data:,26,2.024E+003,8.507E+002,4.800E+002,6.265E+002,3784.4,1521.8,4719.4,2554.9
Data:,27,1.556E+003,6.355E+002,4.724E+002,6.166E+002,3890.9,1590.7,4719.5,2554.9
Data:,28,1.149E+003,4.561E+002,4.649E+002,6.068E+002,4017.6,1666.3,4719.4,2554.9
Data:,29,1.229E+003,3.108E+002,4.576E+002,5.972E+002,4189.9,1750.4,4719.5,2554.9
Data:,30,9.614E+002,1.814E+002,3.630E+002,5.231E+002,4531.7,1844.0,4959.7,2558.3
Data:,31,7.391E+002,8.550E+001,2.927E+002,4.200E+002,4936.3,1917.4,4893.4,2591.7
Data:,32,5.770E+002,0.000E+000,0.000E+000,0.000E+000,5717.7,0.0,0.0,0.0
Data:,33,-2.000E+000,-2.000E+000,-2.000E+000,-2.000E+000,-2.0,-2.0,-2.0,-2.0
Data:,34,-2.000E+000,-2.000E+000,-2.000E+000,-2.000E+000,-2.0,-2.0,-2.0,-2.0
Data:,35,-2.000E+000,-2.000E+000,-2.000E+000,-2.000E+000,-2.0,-2.0,-2.0,-2.0
Data:,36,-2.000E+000,-2.000E+000,-2.000E+000,-2.000E+000,-2.0,-2.0,-2.0,-2.0
Data:,37,-2.000E+000,-2.000E+000,-2.000E+000,-2.000E+000,-2.0,-2.0,-2.0,-2.0
Data:,38,-2.000E+000,-2.000E+000,-2.000E+000,-2.000E+000,-2.0,-2.0,-2.0,-2.0
Data:,39,-2.000E+000,-2.000E+000,-2.000E+000,-2.000E+000,-2.0,-2.0,-2.0,-2.0
Data:,40,-2.000E+000,-2.000E+000,-2.000E+000,-2.000E+000,-2.0,-2.0,-2.0,-2.0
Data:,41,-2.000E+000,-2.000E+000,-2.000E+000,-2.000E+000,-2.0,-2.0,-2.0,-2.0
Data:,42,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.0,0.0,0.0,0.0
