Variables:,q,Ip,A,B,C,D
Type:,Integer,Float,Float,Float,Float,Float
Data:,0,7.1,-89.3,21.0,34.0,59.1
Data:,1,13.6,-70.0,30.9,29.2,39.5
Data:,2,26.0,0.3,-5.2,36.8,2.7
Data:,3,40.0,35.7,-118.6,84.2,7.6
Data:,4,54.0,165.9,-137.5,32.1,-88.9
Data:,5,68.5,315.8,-236.9,20.5,-213.3
Data:,6,80.0,-60.7,57.4,22.5,61.4
Data:,7,115.0,-24.4,12.1,27.8,20.7
Data:,8,140.0,-253.9,140.5,53.7,217.8
Data:,32,3990.0,-2.0,-2.0,-2.0,-2.0
Data:,33,4191.0,-2.0,-2.0,-2.0,-2.0
Data:,34,4392.0,-2.0,-2.0,-2.0,-2.0
Data:,35,4593.0,-2.0,-2.0,-2.0,-2.0
Data:,36,4902.0,-2.0,-2.0,-2.0,-2.0
Data:,37,5110.0,-2.0,-2.0,-2.0,-2.0
Data:,38,5407.0,-2.0,-2.0,-2.0,-2.0
Data:,39,5585.0,-2.0,-2.0,-2.0,-2.0
Data:,40,23120.0,-2.0,-2.0,-2.0,-2.0
Data:,41,24600.0,-2.0,-2.0,-2.0,-2.0
