Variables:,q,a,b,t0,t1,c1,c2,c3,c4,c5,c6,c7,e1,e2,e3,e4,e5,e6,e7
Type:,Integer,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float
Data:,0,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000
Data:,1,1.957E-013,-5.291E-001,1.463E+000,1.338E+004,1.84E-010,1.299E-008,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,1.494E+000,6.974E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000
Data:,2,6.240E-013,-5.466E-001,3.553E+000,1.030E+004,6.83E-010,3.548E-008,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,2.961E+000,7.895E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000
Data:,3,1.471E-012,-4.586E-001,4.435E+000,2.306E+004,1.69E-009,7.231E-008,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,4.877E+000,1.073E+001,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000
Data:,4,2.917E-012,-3.003E-001,4.389E+000,5.209E+003,2.20E-007,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,3.846E+001,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000
Data:,5,4.284E-012,-3.264E-001,5.733E+000,2.246E+004,3.48E-007,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,3.874E+001,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000
Data:,6,5.520E-012,-2.934E-001,7.212E+000,3.042E+004,5.08E-007,1.434E-007,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,3.877E+001,2.635E+002,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000
Data:,7,1.296E-011,4.939E-001,1.895E+000,5.057E+002,5.14E-007,2.591E-007,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,3.999E+001,2.681E+002,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000
Data:,8,1.231E-011,3.650E-001,3.673E+000,9.595E+002,4.85E-007,4.167E-007,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000,4.110E+001,2.717E+002,0.000E+000,0.000E+000,0.000E+000,0.000E+000,0.000E+000
