#
# Output file generated by Yacora 0.8.0
# =====================================
#   Filename: 'PopKoeff_n=6.txt'
#   Date of creation: 23. January 2009
#   Time of creation: 15:03:16
#   Used input file: 'H_6_12_2004.txt'
#   Performed calculation: Population Coefficient for state 'H(6)' coupled to the particle 'H(1)'
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 50 calculated values between 5.5000 and 25.0000
#              T_i: Fixed value 0.0000
#              T_n: Fixed value 0.0000
#              n_e: 50 calculated values between 5.0000e+017 and 2.5000e+020
#              n_i: Fixed value 0.0000
#              n_n: Fixed value 1.0000

#   Pressure: 
#              Not defined (set to zero)

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           POP_COEFF      
   5.5000        5.0000e+017   3.34340514e-024    
   5.5000        5.6761e+017   3.12854324e-024    
   5.5000        6.4437e+017   2.92467672e-024    
   5.5000        7.3150e+017   2.73162796e-024    
   5.5000        8.3041e+017   2.54915002e-024    
   5.5000        9.4270e+017   2.37694135e-024    
   5.5000        1.0702e+018   2.21466021e-024    
   5.5000        1.2149e+018   2.06193816e-024    
   5.5000        1.3792e+018   1.91839172e-024    
   5.5000        1.5657e+018   1.78363167e-024    
   5.5000        1.7774e+018   1.65726978e-024    
   5.5000        2.0177e+018   1.53892287e-024    
   5.5000        2.2906e+018   1.42821464e-024    
   5.5000        2.6003e+018   1.32477577e-024    
   5.5000        2.9519e+018   1.22824289e-024    
   5.5000        3.3511e+018   1.13825713e-024    
   5.5000        3.8042e+018   1.05446284e-024    
   5.5000        4.3186e+018   9.76506952e-025    
   5.5000        4.9026e+018   9.04039143e-025    
   5.5000        5.5656e+018   8.36713054e-025    
   5.5000        6.3182e+018   7.74188362e-025    
   5.5000        7.1725e+018   7.16133536e-025    
   5.5000        8.1424e+018   6.62228981e-025    
   5.5000        9.2434e+018   6.12170223e-025    
   5.5000        1.0493e+019   5.65670822e-025    
   5.5000        1.1912e+019   5.22464717e-025    
   5.5000        1.3523e+019   4.82307793e-025    
   5.5000        1.5352e+019   4.44978540e-025    
   5.5000        1.7428e+019   4.10277781e-025    
   5.5000        1.9784e+019   3.78027512e-025    
   5.5000        2.2460e+019   3.48069006e-025    
   5.5000        2.5497e+019   3.20260367e-025    
   5.5000        2.8944e+019   2.94473774e-025    
   5.5000        3.2858e+019   2.70592629e-025    
   5.5000        3.7301e+019   2.48508859e-025    
   5.5000        4.2345e+019   2.28120500e-025    
   5.5000        4.8071e+019   2.09329736e-025    
   5.5000        5.4572e+019   1.92041407e-025    
   5.5000        6.1951e+019   1.76162040e-025    
   5.5000        7.0328e+019   1.61599335e-025    
   5.5000        7.9838e+019   1.48262060e-025    
   5.5000        9.0634e+019   1.36060266e-025    
   5.5000        1.0289e+020   1.24905723e-025    
   5.5000        1.1680e+020   1.14712508e-025    
   5.5000        1.3260e+020   1.05397650e-025    
   5.5000        1.5053e+020   9.68817891e-026    
   5.5000        1.7088e+020   8.90897836e-026    
   5.5000        1.9399e+020   8.19512449e-026    
   5.5000        2.2022e+020   7.54009676e-026    
   5.5000        2.5000e+020   6.93792436e-026    
   5.6726        5.0000e+017   3.59831046e-024    
   5.6726        5.6761e+017   3.36668495e-024    
   5.6726        6.4437e+017   3.14693040e-024    
   5.6726        7.3150e+017   2.93885408e-024    
   5.6726        8.3041e+017   2.74218866e-024    
   5.6726        9.4270e+017   2.55660796e-024    
   5.6726        1.0702e+018   2.38174261e-024    
   5.6726        1.2149e+018   2.21719450e-024    
